id,Country,Edu,SES,Minority,age,sex,mobile
358,cn,6,7,2,30,1,1
380,cn,6,7,2,30,1,1
398,cn,6,5,2,26,1,0
806,cn,6,5,2,50,1,1
844,cn,6,7,2,41,1,0
1461,cn,6,6,2,52,1,1
1577,cn,6,6,2,30,1,1
1582,cn,6,8,2,30,1,1
1697,cn,6,7,2,35,2,1
1707,cn,6,6,2,31,1,1
1736,cn,7,5,2,37,2,1
1769,cn,6,5,2,22,2,1
1794,cn,6,8,2,40,2,1
1909,cn,6,7,2,35,1,1
1964,cn,6,6,2,33,1,0
2198,cn,,,,27,1,1
2283,cn,6,8,2,40,2,1
2309,cn,6,6,2,20,1,0
2312,cn,,,,46,2,1
2392,cn,7,6,2,34,2,1
2400,cn,6,6,2,46,1,0
2403,cn,6,7,2,36,2,1
2449,cn,7,7,2,31,1,1
2465,cn,6,8,2,40,2,1
2503,cn,6,8,2,40,2,1
3072,cn,,,,31,1,1
3199,cn,6,9,2,40,2,1
3406,cn,6,10,2,28,1,0
3463,cn,6,5,2,30,1,0
3500,cn,6,6,2,27,2,0
3505,cn,6,3,2,35,1,1
3506,cn,6,3,2,35,2,1
3519,cn,6,5,2,33,2,1
3530,cn,6,5,2,40,1,1
3571,cn,7,6,2,33,2,1
3618,cn,6,3,2,35,2,1
3623,cn,6,8,2,39,1,1
3639,cn,6,6,2,36,2,1
3665,cn,6,5,2,26,1,1
3680,cn,6,4,2,26,2,0
3682,cn,6,7,2,25,2,0
3686,cn,5,3,1,49,1,1
3692,cn,6,5,2,36,1,1
3694,cn,6,6,1,23,2,1
3696,cn,6,3,2,35,1,1
3697,cn,6,3,2,35,2,1
3703,cn,6,8,2,34,2,1
3706,cn,1,1,2,21,2,1
3720,cn,,,,35,1,1
3738,cn,6,10,2,35,2,1
3755,cn,,,,35,2,1
3761,cn,6,6,2,36,2,1
3762,cn,6,4,2,25,1,1
3764,cn,6,7,2,70,1,0
3768,cn,6,3,2,35,2,1
3769,cn,,,,48,1,0
3771,cn,,,,27,2,1
3775,cn,6,6,2,36,2,1
3780,cn,6,3,2,38,2,1
3786,cn,6,8,2,45,2,1
3789,cn,6,4,2,35,2,1
3795,cn,6,5,2,28,2,1
3796,cn,6,7,2,31,1,1
3797,cn,6,3,2,35,2,1
3798,cn,6,6,2,36,2,1
3800,cn,4,9,2,51,2,1
3807,cn,6,8,2,46,1,0
3809,cn,6,5,2,39,1,1
3814,cn,6,3,2,35,2,1
3816,cn,,,,32,1,0
3817,cn,5,8,2,27,2,1
3821,cn,4,5,2,40,1,1
3822,cn,4,4,2,51,2,1
3827,cn,6,7,2,35,2,1
3829,cn,6,9,2,30,2,1
3833,cn,6,3,2,38,2,1
3835,cn,6,6,2,36,2,1
3838,cn,6,5,2,34,1,1
3842,cn,6,3,2,35,2,1
3848,cn,6,6,2,29,1,1
3850,cn,6,8,2,33,1,1
3852,cn,6,7,2,45,2,1
3854,cn,7,8,2,28,2,1
3855,cn,6,6,2,40,1,0
3858,cn,6,10,2,34,2,1
3859,cn,6,6,2,39,2,1
3860,cn,6,7,2,31,2,1
3862,cn,6,4,2,21,2,1
3864,cn,6,3,2,35,2,1
3870,cn,6,5,2,26,1,1
3871,cn,,,,29,2,1
3872,cn,,,,30,2,1
3873,cn,6,8,2,27,2,0
3874,cn,6,6,2,32,1,1
3876,cn,4,4,2,36,1,1
3877,cn,6,5,2,31,2,1
3878,cn,6,4,2,38,2,1
3879,cn,,,,26,2,1
3880,cn,6,6,2,36,2,1
3885,cn,6,6,1,57,2,1
3886,cn,6,7,2,19,1,1
3888,cn,6,6,2,36,1,0
3889,cn,6,6,2,20,2,1
3891,cn,6,9,2,29,1,0
3892,cn,6,6,2,56,1,0
3894,cn,6,6,2,52,1,1
3895,cn,6,6,2,22,1,1
3898,cn,6,7,2,32,1,1
3899,cn,4,3,2,21,1,1
3902,cn,6,10,2,37,2,1
3903,cn,6,6,2,50,2,1
3904,cn,6,5,2,48,2,1
3905,cn,6,3,2,35,2,1
3906,cn,,,,19,1,0
3907,cn,7,7,2,32,2,0
3909,cn,6,7,2,30,1,1
3910,cn,6,5,2,36,2,1
3911,cn,6,6,2,51,1,0
3912,cn,,,,33,2,1
3914,cn,3,3,2,46,1,1
3916,cn,6,6,2,36,2,1
3917,cn,6,7,2,18,2,1
3918,cn,6,7,2,25,1,1
3919,cn,6,7,2,29,2,0
3920,cn,6,6,2,34,2,1
3922,cn,4,4,2,24,1,0
3923,cn,6,6,2,24,2,1
3925,cn,5,6,2,42,1,0
3926,cn,6,3,2,35,1,1
3927,cn,6,5,2,32,1,1
3928,cn,6,6,2,38,1,1
3929,cn,,,,35,1,1
3930,cn,6,7,2,43,2,0
3933,cn,6,4,2,37,2,1
3934,cn,,,,36,1,0
3935,cn,6,3,2,35,2,1
3937,cn,6,6,2,32,2,1
3939,cn,6,9,1,20,2,1
3941,cn,6,5,2,25,1,1
3942,cn,6,9,2,24,2,1
3943,cn,4,1,2,31,1,1
3945,cn,6,6,2,26,2,1
3946,cn,6,7,2,38,2,1
