sex,sex_other,age,marit_status,children,employ_status,employ_status_other
2,,41,3,0,1,
,,,,,,
1,,41,3,3,1,
,,,,,,
2,,51,3,1,1,
,,,,,,
1,,45,3,2,1,
,,,,,,
1,,41,1,0,1,
,,,,,,
2,,44,3,2,1,
,,,,,,
2,,40,2,0,1,
,,,,,,
1,,42,3,2,5,
,,,,,,
1,,38,1,0,1,
,,,,,,
1,,36,3,0,1,
,,,,,,
1,,21,1,0,4,
,,,,,,
1,,39,1,0,1,
,,,,,,
1,,62,3,0,2,
,,,,,,
2,,28,1,0,1,
,,,,,,
1,,40,3,2,1,
,,,,,,
2,,43,1,0,6,House keeper
,,,,,,
2,,32,3,0,2,
,,,,,,
1,,47,3,3,1,
,,,,,,
1,,60,3,2,5,
,,,,,,
1,,36,1,0,1,
,,,,,,
1,,40,3,0,1,
,,,,,,
1,,31,1,0,1,
,,,,,,
2,,66,3,2,5,
,,,,,,
2,,53,3,2,5,
,,,,,,
2,,39,3,2,1,
,,,,,,
1,,27,2,0,1,
,,,,,,
1,,29,2,0,1,
,,,,,,
2,,68,3,3,5,
,,,,,,
2,,27,1,0,1,
,,,,,,
1,,28,1,0,1,
,,,,,,
1,,29,3,3,1,
,,,,,,
2,,61,1,3,6,House keeper
,,,,,,
1,,55,2,1,3,
,,,,,,
2,,52,3,3,2,
,,,,,,
1,,48,3,1,2,
,,,,,,
2,,35,3,2,2,
,,,,,,
2,,37,1,0,1,
,,,,,,
1,,37,3,2,6,House wife
,,,,,,
1,,47,1,0,5,
,,,,,,
2,,60,3,2,5,
,,,,,,
2,,22,1,0,4,
,,,,,,
2,,44,3,2,6,House keeper
,,,,,,
1,,26,2,0,1,
,,,,,,
2,,42,1,0,1,
,,,,,,
1,,26,1,0,1,
,,,,,,
1,,37,3,2,1,
,,,,,,
2,,29,3,2,1,
,,,,,,
2,,23,1,0,2,
,,,,,,
1,,24,1,0,1,
,,,,,,
1,,27,1,0,1,
,,,,,,
1,,44,3,2,1,
,,,,,,
1,,61,3,2,1,
,,,,,,
1,,41,3,2,1,
,,,,,,
2,,36,1,0,1,
,,,,,,
1,,27,1,0,2,
,,,,,,
2,,56,1,0,5,
,,,,,,
2,,60,3,2,5,
,,,,,,
2,,29,1,0,1,
,,,,,,
2,,43,3,1,1,
,,,,,,
2,,39,1,0,1,
,,,,,,
1,,53,3,3,5,
,,,,,,
1,,38,2,0,1,
,,,,,,
1,,35,2,0,1,
,,,,,,
1,,27,1,0,1,
,,,,,,
2,,38,1,0,1,
,,,,,,
2,,36,1,0,1,
,,,,,,
1,,48,3,2,2,
,,,,,,
1,,28,1,0,1,
,,,,,,
1,,44,3,3,6,House keeper
,,,,,,
1,,28,3,2,6,House keeper
,,,,,,
1,,42,3,1,1,
,,,,,,
2,,43,3,2,2,
,,,,,,
1,,39,1,0,1,
,,,,,,
1,,47,1,0,3,
,,,,,,
2,,51,3,2,1,
,,,,,,
2,,35,1,0,1,
,,,,,,
1,,21,1,0,4,
,,,,,,
1,,50,1,0,1,
,,,,,,
2,,53,3,3,6,House keeper
,,,,,,
1,,29,1,0,1,
,,,,,,
1,,28,2,0,1,
,,,,,,
2,,47,1,0,1,
,,,,,,
1,,44,3,2,1,
,,,,,,
1,,40,3,0,1,
,,,,,,
2,,36,2,0,1,
,,,,,,
1,,40,3,1,1,
,,,,,,
1,,45,3,0,1,
,,,,,,
1,,42,3,1,1,
,,,,,,
2,,61,3,2,3,
,,,,,,
1,,34,2,0,1,
,,,,,,
1,,39,3,1,1,
,,,,,,
2,,41,1,0,1,
,,,,,,
2,,21,1,0,4,
,,,,,,
1,,22,2,0,4,
,,,,,,
2,,52,1,0,2,
,,,,,,
1,,53,3,1,1,
,,,,,,
1,,36,1,0,1,
,,,,,,
2,,40,1,1,1,
,,,,,,
2,,45,1,0,1,
,,,,,,
1,,52,1,0,5,
,,,,,,
2,,41,3,2,1,
,,,,,,
2,,22,1,0,4,
,,,,,,
2,,40,1,1,3,
,,,,,,
1,,55,3,3,1,
,,,,,,
1,,61,3,1,5,
,,,,,,
1,,35,1,1,1,
,,,,,,
1,,25,1,0,1,
,,,,,,
2,,22,1,0,4,
,,,,,,
1,,37,3,2,1,
,,,,,,
2,,31,1,0,3,
,,,,,,
2,,37,1,0,1,
,,,,,,
1,,36,1,0,1,
,,,,,,
2,,35,1,0,1,
,,,,,,
2,,50,3,3,5,
,,,,,,
1,,56,3,4,1,
,,,,,,
1,,37,3,3,1,
,,,,,,
1,,41,1,0,1,
,,,,,,
2,,36,1,0,1,
,,,,,,
1,,54,3,1,5,
,,,,,,
2,,39,3,2,1,
,,,,,,
2,,24,2,0,4,
,,,,,,
1,,46,3,1,2,
,,,,,,
1,,38,3,1,1,
,,,,,,
2,,37,3,0,1,
,,,,,,
1,,30,1,0,3,
,,,,,,
2,,36,1,0,3,
,,,,,,
2,,35,1,0,1,
,,,,,,
2,,60,3,3,1,
,,,,,,
1,,25,3,1,3,
,,,,,,
2,,38,3,2,6,House keeper
,,,,,,
1,,39,3,2,1,
,,,,,,
1,,35,3,2,1,
,,,,,,
1,,39,3,3,1,
,,,,,,
2,,44,1,0,1,
,,,,,,
2,,42,3,1,1,
,,,,,,
1,,36,3,1,1,
,,,,,,
1,,31,1,0,1,
,,,,,,
1,,52,3,3,1,
,,,,,,
1,,40,3,2,3,
,,,,,,
2,,27,2,0,1,
,,,,,,
1,,59,3,2,1,
,,,,,,
2,,30,1,0,1,
,,,,,,
1,,30,1,0,3,
,,,,,,
2,,37,3,2,1,
,,,,,,
2,,30,3,0,3,
,,,,,,
1,,29,2,0,1,
,,,,,,
2,,40,3,0,1,
,,,,,,
2,,33,3,2,6,House keeper
,,,,,,
1,,51,1,0,1,
,,,,,,
2,,40,3,1,6,House keeper
,,,,,,
1,,24,1,0,4,
,,,,,,
2,,33,3,1,6,House wife
,,,,,,
1,,44,1,0,1,
,,,,,,
1,,31,3,1,1,
,,,,,,
2,,26,1,0,1,
,,,,,,
2,,27,1,0,1,
,,,,,,
1,,47,3,2,1,
,,,,,,
2,,63,3,2,2,
,,,,,,
1,,45,2,2,3,
,,,,,,
1,,25,1,0,1,
,,,,,,
1,,39,3,1,1,
,,,,,,
1,,37,3,1,1,
,,,,,,
1,,39,3,2,1,
,,,,,,
2,,53,3,2,2,
,,,,,,
1,,21,1,0,4,
,,,,,,
1,,27,2,0,1,
,,,,,,
2,,38,1,0,1,
,,,,,,
1,,43,3,2,6,House keeper
,,,,,,
2,,33,1,0,1,
,,,,,,
2,,46,3,2,1,
,,,,,,
1,,46,3,1,1,
,,,,,,
1,,45,1,0,1,
,,,,,,
2,,64,1,2,5,
,,,,,,
1,,50,3,2,1,
,,,,,,
1,,23,1,0,2,
,,,,,,
1,,48,1,0,1,
,,,,,,
2,,54,3,2,5,
,,,,,,
2,,52,3,2,1,
,,,,,,
1,,37,3,0,1,
,,,,,,
1,,37,3,3,1,
,,,,,,
2,,24,1,0,1,
,,,,,,
2,,33,3,2,1,
,,,,,,
2,,40,3,3,1,
,,,,,,
2,,60,3,2,2,
,,,,,,
1,,29,2,0,1,
,,,,,,
1,,29,1,0,3,
,,,,,,
2,,68,3,1,3,
,,,,,,
2,,50,3,2,2,
,,,,,,
2,,20,2,0,4,
,,,,,,
1,,53,3,2,1,
,,,,,,
1,,61,3,1,1,
,,,,,,
1,,23,1,0,4,
,,,,,,
2,,48,3,0,1,
,,,,,,
1,,21,1,0,1,
,,,,,,
1,,44,3,2,1,
,,,,,,
2,,40,3,2,1,
,,,,,,
1,,28,1,0,2,
,,,,,,
1,,45,1,0,1,
,,,,,,
1,,23,1,0,3,
,,,,,,
2,,20,1,0,4,
,,,,,,
2,,20,1,0,4,
,,,,,,
1,,40,1,0,1,
,,,,,,
1,,33,1,0,1,
,,,,,,
2,,38,1,0,1,
,,,,,,
2,,41,2,1,1,
,,,,,,
2,,50,1,0,1,
,,,,,,
1,,41,3,1,1,
,,,,,,
2,,39,3,2,1,
,,,,,,
1,,42,3,1,1,
,,,,,,
1,,29,3,2,6,House wife
,,,,,,
1,,35,1,0,1,
,,,,,,
2,,40,3,2,6,House keeper
,,,,,,
1,,45,1,0,1,
,,,,,,
2,,42,3,2,1,
,,,,,,
1,,40,1,0,1,
,,,,,,
2,,24,2,0,1,
,,,,,,
1,,50,1,0,1,
,,,,,,
2,,33,3,0,1,
,,,,,,
1,,44,3,2,1,
,,,,,,
1,,55,3,3,1,
,,,,,,
1,,41,3,2,3,
,,,,,,
2,,42,1,0,1,
,,,,,,
1,,49,3,2,1,
,,,,,,
1,,32,3,0,1,
,,,,,,
1,,42,1,0,1,
,,,,,,
2,,45,3,3,1,
,,,,,,
2,,52,3,4,3,
,,,,,,
1,,29,3,2,6,House keeper
,,,,,,
1,,43,3,3,2,
,,,,,,
1,,49,3,2,1,
,,,,,,
1,,56,1,2,3,
,,,,,,
1,,44,3,2,1,
,,,,,,
1,,45,3,1,1,
,,,,,,
2,,22,1,0,4,
,,,,,,
1,,36,3,2,1,
,,,,,,
1,,22,1,0,4,
,,,,,,
1,,56,3,2,5,
,,,,,,
1,,37,3,2,1,
,,,,,,
2,,39,3,2,1,
,,,,,,
2,,33,1,0,1,
,,,,,,
1,,44,3,2,1,
,,,,,,
1,,28,3,2,1,
,,,,,,
2,,42,3,1,2,
,,,,,,
1,,38,1,1,1,
,,,,,,
1,,59,3,2,1,
,,,,,,
1,,47,3,1,1,
,,,,,,
1,,35,1,0,1,
,,,,,,
2,,26,1,0,1,
,,,,,,
1,,48,3,1,2,
,,,,,,
2,,24,1,0,4,
,,,,,,
1,,47,3,1,1,
,,,,,,
1,,63,3,3,1,
,,,,,,
2,,21,1,0,4,
,,,,,,
2,,44,3,2,3,
,,,,,,
1,,28,2,0,4,
,,,,,,
1,,60,3,3,3,
,,,,,,
2,,64,3,2,5,
,,,,,,
2,,51,3,2,1,
,,,,,,
1,,23,1,0,4,
,,,,,,
1,,48,3,2,1,
,,,,,,
2,,47,3,2,1,
,,,,,,
2,,54,3,1,5,
,,,,,,
2,,43,3,1,2,
,,,,,,
2,,27,2,0,1,
,,,,,,
2,,42,1,0,3,
,,,,,,
2,,29,2,0,1,
,,,,,,
2,,49,3,3,2,
,,,,,,
1,,48,1,2,2,
,,,,,,
2,,22,1,0,4,
,,,,,,
1,,21,1,0,2,
,,,,,,
1,,44,2,0,1,
,,,,,,
2,,25,2,0,4,
,,,,,,
1,,37,2,0,1,
,,,,,,
2,,23,2,0,3,
,,,,,,
2,,44,3,0,1,
,,,,,,
2,,39,2,0,3,
,,,,,,
2,,43,3,2,1,
,,,,,,
1,,47,3,2,1,
,,,,,,
1,,40,1,0,1,
,,,,,,
1,,69,3,2,5,
,,,,,,
1,,39,2,1,1,
,,,,,,
1,,33,2,0,1,
,,,,,,
2,,41,3,0,1,
,,,,,,
2,,47,3,3,6,House keeper
,,,,,,
1,,21,1,0,4,
,,,,,,
2,,38,3,1,1,
,,,,,,
1,,45,3,3,1,
,,,,,,
2,,23,1,0,1,
,,,,,,
2,,44,1,0,6,Running SOHO business
,,,,,,
2,,23,1,0,4,
,,,,,,
1,,43,3,2,1,
,,,,,,
1,,35,1,0,1,
,,,,,,
1,,28,1,0,6,House keeper
,,,,,,
2,,28,3,1,3,
,,,,,,
2,,37,1,0,3,
,,,,,,
1,,50,1,0,1,
,,,,,,
2,,53,3,1,6,House keeper
,,,,,,
2,,21,1,0,4,
,,,,,,
1,,26,1,0,3,
,,,,,,
2,,35,1,0,2,
,,,,,,
2,,49,1,0,1,
,,,,,,
1,,36,2,0,1,
,,,,,,
1,,61,1,0,6,contract employee
,,,,,,
1,,50,2,0,1,
,,,,,,
1,,33,3,2,1,
,,,,,,
2,,69,3,2,2,
,,,,,,
1,,50,3,2,1,
,,,,,,
2,,32,2,0,1,
,,,,,,
2,,23,2,0,4,
,,,,,,
1,,40,2,0,1,
,,,,,,
2,,45,1,0,1,
,,,,,,
1,,46,1,0,1,
,,,,,,
1,,25,1,0,3,
,,,,,,
2,,24,1,0,4,
,,,,,,
2,,44,1,0,2,
,,,,,,
1,,24,3,1,1,
,,,,,,
1,,62,1,0,1,
,,,,,,
1,,51,2,0,1,
,,,,,,
2,,42,3,2,2,
,,,,,,
1,,51,3,1,6,House keeper
,,,,,,
2,,34,3,2,1,
,,,,,,
2,,36,3,2,1,
,,,,,,
2,,37,1,0,1,
,,,,,,
1,,39,3,1,2,
,,,,,,
1,,28,1,0,3,
,,,,,,
1,,42,3,0,1,
,,,,,,
2,,26,1,0,1,
,,,,,,
2,,26,1,0,1,
,,,,,,
2,,56,3,2,1,
,,,,,,
2,,41,3,3,1,
,,,,,,
1,,54,1,0,1,
,,,,,,
2,,42,3,2,3,
,,,,,,
2,,33,1,0,1,
,,,,,,
2,,32,3,0,1,
,,,,,,
2,,27,1,0,1,
,,,,,,
1,,56,1,0,6,Retired and doing part-time job
,,,,,,
1,,20,1,0,4,
,,,,,,
