RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
02/05/2020 5:18,577,AUSTRALIA,EN,7,8,7,8,7,7,9,8,9,8,7,7,6,7,8,100,0,0,8,7,8,7,9,7,8,6,5,6,8,7,8,6,8,7,9,8,7,7,8,6,9,8,7,9,6,8,7,9,6,8,7,9,8,7,6,7,7,8,8,6,7,7,7,6,7,7,8,7,9,60,50,6,8,9,1.5,3,6,1,,41,2,1,1,,2,1,1,1,213,7
02/05/2020 5:32,681,AUSTRALIA,EN,8,0,6,8,10,6,6,7,1,1,10,10,9,10,6,95,0,5,1,1,0,0,0,2,0,2,2,2,1,7,7,7,7,1,5,2,5,9,5,5,6,8,1,1,2,2,2,2,5,7,5,2,0,1,1,5,2,1,3,7,7,3,1,6,6,1,5,6,7,10,10,5,3,2,50,300,2,2,,51,1,0,2,,10,1,1,1,213,0
02/05/2020 5:34,1500,AUSTRALIA,EN,6,7,8,7,7,7,6,7,6,7,7,8,8,8,8,90,5,5,6,7,7,6,6,9,9,6,5,7,7,6,7,6,7,6,8,6,6,7,5,7,7,7,6,6,5,7,8,7,7,6,7,7,6,6,7,6,7,8,7,7,6,6,6,7,6,7,6,7,7,60,60,7,4,7,25,3,7,2,,34,3,0,1,,8,1,1,1,213,6
02/05/2020 5:36,603,AUSTRALIA,EN,6,7,8,9,9,10,9,10,10,10,6,10,10,10,10,80,10,10,2,2,9,9,9,9,10,8,9,8,8,10,10,10,8,8,7,8,9,8,8,9,9,9,8,9,2,3,8,4,10,9,9,10,10,8,9,4,9,9,9,8,8,7,7,8,8,8,8,8,8,70,90,9,9,8,50,3,4,2,,31,3,1,3,,3,1,1,1,213,10
02/05/2020 5:37,794,AUSTRALIA,EN,8,0,5,7,9,9,9,9,8,8,8,8,8,8,8,80,10,10,5,6,5,5,5,8,5,5,2,2,2,2,8,8,8,2,5,6,7,7,7,5,5,7,5,6,7,5,5,7,8,8,5,5,2,3,5,2,2,3,2,8,6,5,0,5,5,1,5,5,5,50,50,5,7,5,50,900 minutes ,4 hours ,2,,31,3,0,1,,6,1,1,1,213,0
02/05/2020 5:39,1440,AUSTRALIA,EN,10,0,10,10,10,5,5,5,5,5,5,10,10,10,10,100,0,0,6,5,10,8,7,9,9,0,0,0,0,0,10,10,10,0,0,5,5,5,5,5,5,5,5,5,5,7,7,9,6,5,8,8,5,0,5,0,5,0,0,10,10,5,0,5,5,0,0,0,10,10,10,5,16,8,50 cents,900 minutes,4 hours,2,,60,1,0,3,,8,1,1,2,213,0
02/05/2020 5:39,898,AUSTRALIA,EN,10,1,8,9,10,9,9,9,9,8,9,10,8,8,10,20,80,0,8,8,7,7,8,10,9,1,1,1,1,4,9,9,8,1,3,8,8,9,8,8,9,8,8,9,8,9,9,9,8,9,7,2,8,9,9,3,9,8,2,9,9,8,0,9,8,1,8,9,9,50,70,7,11,8,25,3 minutes,7,1,,37,1,0,1,,5,1,1,1,213,8
02/05/2020 5:44,798,AUSTRALIA,EN,5,5,5,5,5,5,5,5,5,5,9,8,8,8,8,100,0,0,5,5,8,8,8,5,5,0,0,0,0,5,5,5,5,5,5,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,5,3,9,50,300,4,1,,21,1,0,2,,4,1,2,2,213,5
02/05/2020 5:54,1186,AUSTRALIA,EN,9,0,9,9,10,8,8,8,0,9,8,8,1,5,2,100,0,0,7,8,2,4,2,9,9,2,9,8,9,2,9,9,9,0,0,8,8,8,8,7,8,3,10,10,8,8,9,9,10,10,2,0,9,1,8,1,9,8,0,10,10,3,0,10,5,0,0,10,10,90,90,8,16,10,50,300,7,1,,56,3,4,2,,3,1,1,1,213,0
02/05/2020 5:54,660,AUSTRALIA,EN,8,2,1,9,10,8,8,7,8,7,9,7,3,3,1,50,40,10,4,4,3,3,3,8,6,2,1,3,1,4,8,3,7,1,3,7,8,3,7,2,6,3,7,9,7,8,9,8,6,5,6,5,7,7,6,3,8,4,1,7,6,2,2,7,4,7,6,7,6,20,0,2,5,4,50,3,4,1,,24,2,0,1,,5,1,1,1,213,0
