StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q114,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self-control_1,trait_self-control_2,trait_self-control_3,trait_self-control_4,self-esteem_1,Q108_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please read and confirm the following statements:- I have read and understand the information sheet for the above study.  I have had the opportunity to consider the information, ask questions and have had these answered satisfactorily.- I understand that my participation is voluntary and that I am free to withdraw at any time without giving any reason. - I understand that my data will be treated confidentially and any publication resulting from this work will report only data that does not identify me. My anonymized responses, however, may be shared with other researchers or made available in online data repositories. - I freely agree to participate in this study.","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - Staying at home as much as practically possible","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - Visiting friends, family, or colleagues outside my home","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - Keeping the number of grocery store visits at an absolute minimum","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - Keeping physical distance from all other people outside my home","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - Avoiding handshaking with people outside my home","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - Washing my hands longer than usual","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - Washing my hands (with soap) more thoroughly than usual","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - Washing my hands immediately after returning home","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - Disinfecting frequently used objects, such as mobile phones and keys","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - Sneezing and coughing into my upper sleeve","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - In favor of closing all schools and universities","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - In favor of closing all bars and restaurants","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - In favor of closing all parks","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - In favor of forbidding all public gatherings where many people are gathered at one place (sports and culture)","Be as accurate as you can:

During the days of the coronavirus (COVID-19) pandemic, I have been ... - In favor of forbidding all non-necessary travel","Read carefully 

Please imagine that you were provided with a total amount of [median daily wage in your country]. 
It would be entirely up to you how much money you would keep for yourself, and how much you would give to charity organizations who are working full-time to protect people from the Coronavirus (COVID-19).

 

Your identity would remain anonymous:

No one else would know how much you decided to keep and how much you decided to give.


If this was a real choice:How much (0-100%) would you give to charity?

 

Please indicate below how much you would keep to yourself, how much you would give to a national charity in (INSERT YOUR COUNTRY), providing medical support to people in your own country, and how much you would give to an international charity, providing medical support to people in need all over the world. - What you would keep to yourself:","Read carefully 

Please imagine that you were provided with a total amount of [median daily wage in your country]. 
It would be entirely up to you how much money you would keep for yourself, and how much you would give to charity organizations who are working full-time to protect people from the Coronavirus (COVID-19).

 

Your identity would remain anonymous:

No one else would know how much you decided to keep and how much you decided to give.


If this was a real choice:How much (0-100%) would you give to charity?

 

Please indicate below how much you would keep to yourself, how much you would give to a national charity in (INSERT YOUR COUNTRY), providing medical support to people in your own country, and how much you would give to an international charity, providing medical support to people in need all over the world. - What you would give to a national charity in (INSERT YOUR COUNTRY):","Read carefully 

Please imagine that you were provided with a total amount of [median daily wage in your country]. 
It would be entirely up to you how much money you would keep for yourself, and how much you would give to charity organizations who are working full-time to protect people from the Coronavirus (COVID-19).

 

Your identity would remain anonymous:

No one else would know how much you decided to keep and how much you decided to give.


If this was a real choice:How much (0-100%) would you give to charity?

 

Please indicate below how much you would keep to yourself, how much you would give to a national charity in (INSERT YOUR COUNTRY), providing medical support to people in your own country, and how much you would give to an international charity, providing medical support to people in need all over the world. - What you  would give to an international charity:","In general, to what extent do you feel happy these days? - 1","Please imagine a ladder, with steps numbered 0 at the bottom and 10 at the top. The top represents the best possible life for you, and the bottom represents the worst possible life for you. On which step of the ladder would you say you personally feel you stand at this time? - 1","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Indians deserves special treatment.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Not many people seem to fully understand the importance of India.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I will never be satisfied until country India gets the recognition it deserves","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I identify as an Indian.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Being an Indian is an important reflection of who I am.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - The coronavirus (COVID-19) is a bioweapon engineered by scientists.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - The coronavirus (COVID-19) is a conspiracy to take away citizen’s rights for good and establish an authoritarian government.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - The coronavirus (COVID-19) is a hoax invented by interest groups for financial gains.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - The coronavirus (COVID-19) was created as a cover up for the impending global economic crash","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I think that paying attention to people who disagree with me is a waste of time.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I feel no shame learning from someone who knows more than me.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - If I do not know much about some topic, I don’t mind being taught about it, even if I know about other topics.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Even when I have high status, I don’t mind learning from others who have lower status.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Only wimps admit that they’ve made mistakes.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I don’t take people seriously if they’re very different from me.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone helped a member of their family.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone worked to unite a community.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone kept their promise.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone showed courage in the face of adversity.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone deferred to those in authority.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone kept the best part for themselves.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone kept something that didn’t belong to them.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - As a person, I am optimistic for my future.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Overall, I expect more good things to happen to me than bad.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I feel connected with others.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - When I am with other people, I feel included.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I feel accepted by others.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I have close bonds with family and friends.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I am good at resisting temptation","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I am able to work effectively toward long-term goals","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I have a hard time breaking bad habits","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I am lazy","For the following statement, please select the answer that best describes whether you agree or disagree. - I have high self-esteem","Please confirm that you have read this question by moving the bar all the way to the left, providing the value 0 as your answer. - Weather rating:","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I react annoyed if another person steals the show from me.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I deserve to be seen as a great personality.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I want my rivals to fail.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Being a very special person gives me a lot of strength.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I manage to be the center of attention with my outstanding contributions.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Most people are somehow losers.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - It would make me feel good to be a person who has these characteristics.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - Being someone who has these characteristics is an important part of who I am.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - I often wear clothes that identify me as having these characteristics.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - I would be ashamed to be a person who had these characteristics.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - The types of things I do in my spare time (e.g., hobbies) clearly identify me as having these characteristics","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - The kinds of books and magazines that I read identify me as having these characteristics.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - Having these characteristics is not really important to me.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - The fact that I have these characteristics is communicated to others by my membership in certain organizations.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - I am actively involved in activities that communicate to others that I have these characteristics.","Listed below are some characteristics that might describe a person:  caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind. The person with these characteristics could be you or it could be someone else.  For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - I strongly desire to have these characteristics.","Please answer the following questions as accurately as possible: - By April 30, 2021: How likely do you think it is that you will get infected by the Coronavirus (Covid-19)?","Please answer the following questions as accurately as possible: - By April 30, 2021: How likely do you think it is that the average person in INSERT YOUR COUNTRY will get infected by the Coronavirus (Covid-19)?","Overall, what would be the best description of your political views? - 1","Please select the number that represents the extent of your moral circle. Note that, in this scale, the number you select includes all the numbers below it as well. So, for example, if you select 10 (all mammals) you are also including number 1-9 (up to""all people on all continents"") in your moral circle.","In general, how would you rate your physical health as it is today? - 8",A postcard and a pen cost 150 cents in total. The postcard costs 100 cents more than the pen. How many cents does the pen cost?,"If it takes 3 nurses 3 minutes to measure the blood pressure of 3 patients, how long would it take 300 nurses to measure the blood pressure of 300 patients?","Sally is making some tea. Every hour, the concentration of the tea doubles. If it takes 8 hours for the tea to be ready, how many hours would it take for the tea to reach half of the final concentration?",What is your gender? - Selected Choice,What is your gender? - Other - Text,How old are you?,What is your current marital status?,"How many children do you have? If none, please type 0.",How would you describe your current employment status? - Selected Choice,How would you describe your current employment status? - Other - Text,"Where would you place yourself on this ladder to represent where you think you stand at this time in your life, compared to other people in India?",Which of the following best describes the area you live in?,"Have you tested positive for the Coronavirus (COVID-19), meaning that you (now or earlier) have had a medically confirmed case of this disease?","Has anyone you know well (friend, partner, family, colleague etc.) tested positive for the Coronavirus (COVID-19)?",Help us get rid of bots: Please write the number 213 into the comment box.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID114""}","{""ImportId"":""QID111_1""}","{""ImportId"":""QID111_2""}","{""ImportId"":""QID111_3""}","{""ImportId"":""QID111_4""}","{""ImportId"":""QID111_5""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID112_2""}","{""ImportId"":""QID112_3""}","{""ImportId"":""QID112_4""}","{""ImportId"":""QID112_5""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID113_2""}","{""ImportId"":""QID113_3""}","{""ImportId"":""QID113_4""}","{""ImportId"":""QID113_5""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID78_2""}","{""ImportId"":""QID78_3""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID68_4""}","{""ImportId"":""QID68_5""}","{""ImportId"":""QID68_6""}","{""ImportId"":""QID79_4""}","{""ImportId"":""QID79_5""}","{""ImportId"":""QID80_4""}","{""ImportId"":""QID80_5""}","{""ImportId"":""QID80_7""}","{""ImportId"":""QID80_8""}","{""ImportId"":""QID81_4""}","{""ImportId"":""QID81_5""}","{""ImportId"":""QID81_7""}","{""ImportId"":""QID81_8""}","{""ImportId"":""QID81_9""}","{""ImportId"":""QID81_10""}","{""ImportId"":""QID82_4""}","{""ImportId"":""QID82_5""}","{""ImportId"":""QID82_7""}","{""ImportId"":""QID82_8""}","{""ImportId"":""QID82_9""}","{""ImportId"":""QID82_10""}","{""ImportId"":""QID82_11""}","{""ImportId"":""QID83_4""}","{""ImportId"":""QID83_5""}","{""ImportId"":""QID84_4""}","{""ImportId"":""QID84_5""}","{""ImportId"":""QID84_12""}","{""ImportId"":""QID84_13""}","{""ImportId"":""QID85_4""}","{""ImportId"":""QID85_5""}","{""ImportId"":""QID85_12""}","{""ImportId"":""QID85_13""}","{""ImportId"":""QID86_4""}","{""ImportId"":""QID108_4""}","{""ImportId"":""QID87_4""}","{""ImportId"":""QID87_5""}","{""ImportId"":""QID87_12""}","{""ImportId"":""QID87_13""}","{""ImportId"":""QID87_14""}","{""ImportId"":""QID87_15""}","{""ImportId"":""QID88_4""}","{""ImportId"":""QID88_5""}","{""ImportId"":""QID88_12""}","{""ImportId"":""QID88_13""}","{""ImportId"":""QID88_14""}","{""ImportId"":""QID88_15""}","{""ImportId"":""QID88_16""}","{""ImportId"":""QID88_17""}","{""ImportId"":""QID88_18""}","{""ImportId"":""QID88_19""}","{""ImportId"":""QID89_4""}","{""ImportId"":""QID89_5""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67_8""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID95""}","{""ImportId"":""QID95_3_TEXT""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID99""}","{""ImportId"":""QID99_6_TEXT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID107""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105_TEXT""}"
4/24/2020 3:33,4/24/2020 4:05,0,117.226.228.235,100,1924,1,4/24/2020 4:05,R_1IA6HSGKMqNC8aI,,,,,22.56550598,88.36529541,anonymous,EN,1,4,1,8,10,10,9,9,8,5,8,8,10,10,10,10,70,25,5,3,5,9,7,8,9,9,1,2,2,2,9,10,10,10,2,2,9,7,6,5,5,8,0,9,9,7,2,8,8,8,8,5,3,9,8,7,8,6,8,8,9,10,9,4,2,5,7,2,8,8,9,50,50,2,7,9,25 cents ,3 minutes,7 hours,1,,28,3,0,1,,8,1,1,1,213
4/24/2020 8:30,4/24/2020 8:53,0,117.227.72.239,100,1437,1,4/24/2020 8:53,R_BJpHJ5qaL171kcN,,,,,22.56550598,88.36529541,anonymous,EN,1,3,1,8,10,10,10,9,8,5,8,8,10,10,10,10,70,25,5,2,5,9,8,8,9,9,1,1,2,2,8,10,10,10,2,2,10,7,6,5,5,8,0,9,9,7,2,9,9,8,8,5,2,9,8,7,8,6,8,8,9,10,9,4,2,5,7,2,8,8,9,60,50,2,7,8,25 cents,3 minutes,7 hours,2,,36,3,2,1,,7,1,1,1,213
4/24/2020 12:54,4/24/2020 14:31,0,157.33.148.148,100,5780,1,4/24/2020 14:31,R_3kLY2hx3AT845g9,,,,,18.52130127,73.85229492,anonymous,EN,1,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,25,50,25,0,7,10,10,10,10,5,5,5,5,5,5,10,10,10,0,0,6,10,5,5,5,5,5,5,4,7,7,7,9,5,5,5,5,7,0,8,6,0,5,0,0,10,7,0,0,0,0,0,0,0,5,50,10,1,1,7,25 cents,3 min,7 hours,1,,19,1,0,4,,6,1,1,2,213
4/26/2020 8:20,4/26/2020 8:49,0,117.227.117.106,100,1690,1,4/26/2020 8:49,R_210uCSydQO6xccj,,,,,22.56550598,88.36529541,anonymous,EN,1,7,1,1,9,10,8,8,9,5,8,8,10,10,8,10,80,15,5,3,5,9,8,9,9,9,1,1,0,1,7,9,8,9,2,8,9,8,5,7,8,9,0,9,9,9,8,8,9,9,8,6,5,8,9,5,5,4,8,8,9,9,8,3,2,5,6,2,7,8,9,50,50,2,7,8,25 cents,3 minutes,4 hours,2,,41,3,2,6,Housewife,9,1,1,1,213
4/29/2020 4:21,4/29/2020 4:58,0,202.142.117.115,100,2225,1,4/29/2020 4:58,R_1P05aSpybAhiOuN,,,,,22.56550598,88.36529541,anonymous,EN,1,10,0,9,10,10,10,5,10,7,0,10,10,10,10,10,60,25,15,8,8,6,9,7,10,10,7,4,6,9,5,10,9,10,0,0,8,10,10,10,5,6,6,9,5,9,8,9,9,9,9,3,3,5,5,2,10,0,10,0,5,10,10,9,0,8,8,1,10,10,10,50,50,3,16,3,75,33333,8,2,,23,1,0,1,,6,1,1,1,213
4/29/2020 5:38,4/29/2020 6:06,0,47.15.236.65,100,1670,1,4/29/2020 6:06,R_bQou99EJEanLvrP,,,,,22.56550598,88.36529541,anonymous,EN,1,9,1,9,8,9,9,8,8,8,5,8,8,8,8,9,50,25,25,6,7,,,,8,7,2,3,3,3,6,9,7,7,2,,6,6,7,8,7,5,,8,8,7,7,7,7,,7,4,3,7,6,4,4,3,5,,3,7,7,5,3,4,6,5,,,7,40,40,,16,7,50 cents,300 minutes,4 hours,1,,30,1,0,1,,6,1,1,1,213
4/29/2020 6:04,4/29/2020 6:40,0,202.142.117.26,100,2161,1,4/29/2020 6:40,R_2atpcuGE8813H0M,,,,,22.56550598,88.36529541,anonymous,EN,1,10,0,10,9,10,10,10,10,10,10,10,10,10,10,10,80,15,5,7,6,6,8,8,9,9,4,1,2,2,2,9,9,10,9,10,9,9,9,6,7,,9,7,10,8,8,9,8,5,5,9,8,4,5,6,8,8,9,8,5,10,8,7,2,7,,2,6,5,9,30,50,5,12,7,50,3 minute,7 hours,1,,37,3,1,1,,4,1,1,1,213
4/29/2020 7:19,4/29/2020 9:15,0,42.110.144.78,100,6979,1,4/29/2020 9:15,R_1kZ9NPhBo4ZA9tz,,,,,22.56550598,88.36529541,anonymous,EN,1,10,0,10,10,10,8,8,10,5,5,10,10,10,10,10,100,0,0,5,5,5,5,5,6,5,5,5,5,5,8,10,5,9,5,8,8,8,5,9,5,5,5,8,9,8,8,8,9,10,10,1,5,10,5,5,8,5,5,5,6,10,10,9,10,6,5,5,0,0,10,50,50,5,3,10,50,3,7,1,,43,3,2,1,,4,1,1,1,213
