RecordDate;Duration_sec;Country;Language;physical_contact_1;physical_contact_2;physical_contact_3;physical_contact_4;physical_contact_5;physical_hygiene_1;physical_hygiene_2;physical_hygiene_3;physical_hygiene_4;physical_hygiene_5;policy_support_1;policy_support_2;policy_support_3;policy_support_4;policy_support_5;generosity_1;generosity_2;generosity_3;psych_wellbeing1_1;psych_wellbeing2_1;collective_narcis_1;collective_narcis_2;collective_narcis_3;national_identity_1;national_identity_2;conspiracy_theories_1;conspiracy_theories_2;conspiracy_theories_3;conspiracy_theories_4;open_mindness_1;open_mindness_2;open_mindness_3;open_mindness_4;open_mindness_5;open_mindness_6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging_1;social_belonging_2;social_belonging_3;social_belonging_4;trait_self_control_1;trait_self_control_2;trait_self_control_3;trait_self_control_4;self_esteem_1;narcissism_1;narcissism_2;narcissism_3;narcissism_4;narcissism_5;narcissism_6;moral_identity_1;moral_identity_2;moral_identity_3;moral_identity_4;moral_identity_5;moral_identity_6;moral_identity_7;moral_identity_8;moral_identity_9;moral_identity_10;risk_perception_1;risk_perception_2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;ladder;urban;tested_positive;know_tested_positive;Attcheck_nobots;Attcheck2
08/05/20;1049;TURKEY;Turkish;10;5;8;10;10;9;7;5;8;10;8;4;7;6; ;25;50;25;4;6;8;3;7;10;10;8;3;7;4;7;7;6;4;3;2;8;4;6;4;8;3;8;4;10;8;0;0;2;9;4;7; ;8;7;7;4;6;8;4;6;4;2;10;6;8;6;3;7; ;30;20;7;16;9;1;9900; ;1; ;18;1;0;4; ;1;3;1;1;213;8
01/05/20;1148;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;30;40;30;5;6;10;7;7;10;10;5;5;5;5;8;7;7;8;8;7;6;7;8;9;8;8;8;10;10;10;9;10;10;9;8;0;0;8;5;6;6;8;7;0;10;10;10;10;10;10;2;8;7;7;50;50;4;9;9; ;300; ;2; ;26;3;3;1; ;1;1;1;1;213;0
02/05/20;339;TURKEY;Turkish;8;2;3;7;9;3;6;2;3;8;3;9;2;1;0;60;30;10;3;10;4;7;4;8;4;9;10;2;6;2;9;4;8;2;3;2;7;3;8;8;8;1;7;7;1;7;3;2;3;7;2;0;7;10;3;7;2;8;7;8;2;8;3;7;3;8;4;4;7;100;40;10;4;9;50;300; ;1; ;27;1;0;3; ;1;2;2;2;213;2
08/05/20;815;TURKEY;Turkish;6;4;6;5;4;6;4;6;4;6;7;4;6;3;7;100;0;0;1;5;4;6;4;4;6;10;3;6;6;4;6;4;6;4;6;0;9;3;2;4;1;0;1;9;6;4;6;4;6;4;6;8;7;6;4;6;4;6;4;7;6;4;3;3;7;3;7;4;6;40;60;6;11;4;25;300; ;1; ;67;2;4;1; ;6;1;1;1;213;6
02/05/20;1437;TURKEY;Turkish;9;0;7;8;8;9;9;10;10;10;10;10;10;10;10;60;20;20;6;8;2;4;4;9;8;2;2;2;2;4;7;7;8;2;2;6;6;8;7;8;7;7;8;8;7;7;7;8;8;8;2;3;8;2;2;2;2;2;1;8;9;8;0;7;6;1;1;1;8;10;40;4;16;9;25;300; ;2; ;26;1;0;1; ;6;1;1;1;213;8
06/05/20;195;TURKEY;Turkish; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;100;0;0; ; ; ; ; ;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;35;1;0;6; ; ; ; ; ;213; 
04/05/20;340;TURKEY;Turkish;10;10;9;10;10;10;10;9;9;9;10;10;10;10;10;35;35;30;9;10;10;10;10;10;9;10;9;10;9;3;6;9;9;9;9;10;10;9;10;10;10;10;10;10;10;10;10;10;9;10;9; ;10;10;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;100;100;10;10;10; ; ; ;2; ;34;3;2;1; ;6;1;1;1;213; 
01/05/20;307;TURKEY;Turkish; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
06/05/20;493;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;30;40;30;8;6;10;10;10;10;10;7;5;5;5;5;8;8;8;7;4;7;6;5;5;5;5;5;10;10;9;9;9;9;10;10;2;2;9;7;9;6;7;8;0;7;8;10;0;10;9;0;9;9;9;50;50;4;9;9; ; ; ;2; ;26;3;3;1; ;1;1;1;1;213;0
04/05/20;1339;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;100;0;0;7;8;10;10;10;10;10;0;0;0;0;10;0;0;0;0;0;10;10;10;10;10;10;10;5;5;8;8;8;10;9;9;8;10;9;0;0;0;0;0;0;10;10;7;0;10;10;10;10;10;10;0;90;5;1;8; ; ; ;1; ;70;3;2;5; ;6;1;1;1;213;0
