RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,marit_status_other,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
27.04.2020 14:53:40,702,CROATIA,HR,0,5,7,8,5,5,5,10,0,5,0,10,0,5,1,90,10,0,5,5,5,5,5,10,10,9,8,9,8,10,10,10,10,0,5,9,5,10,7,9,9,10,5,5,0,0,0,0,2,5,5,0,5,0,0,5,5,0,5,7,10,2,0,7,8,4,5,8,4,10,30,9,16,8,50,3,4,1,,52,3,,3,6,,6,2,1,1,213,0
27.04.2020 14:53:54,1366,CROATIA,HR,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,100,100,5,5,10,10,10,10,10,5,5,0,5,10,10,10,10,0,5,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,0,0,10,0,10,0,5,5,0,10,10,10,0,10,10,0,10,10,10,0,0,5,16,10,50,1,4,2,,50,3,,3,5,,6,1,1,1,213,0
27.04.2020 14:54:26,907,CROATIA,HR,10,0,10,10,10,9,10,9,9,10,10,10,10,10,10,20,40,40,8,9,0,5,5,10,5,8,5,5,5,0,9,9,9,0,0,8,7,8,8,7,7,7,8,5,8,9,9,9,5,8,5,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,5,20,20,5,6,8,50,900,4,2,,38,1,,1,1,,6,2,1,1,213,0
27.04.2020 15:03:30,722,CROATIA,HR,10,0,10,8,5,5,5,10,7,10,10,10,10,10,10,100,0,0,5,5,0,5,0,10,0,5,3,5,5,5,10,10,10,0,0,5,5,10,10,5,7,10,7,7,8,5,5,7,5,7,7,5,7,5,7,5,7,5,5,10,8,0,0,5,5,0,5,5,8,80,50,0,16,5,25,3,7,2,,27,2,,0,1,,5,1,1,1,213,0
27.04.2020 15:19:30,1352,CROATIA,HR,10,0,4,7,10,10,10,10,10,10,5,5,5,10,10,0,100,0,5,5,5,5,5,7,5,5,5,5,5,5,10,6,8,5,5,8,5,8,5,5,5,5,10,10,8,10,8,8,5,5,5,5,8,5,1,1,2,5,5,1,1,1,8,8,8,8,7,7,8,20,40,5,16,8,50,300,128,2,,48,2,,2,1,,4,1,1,1,213,0
27.04.2020 15:30:06,927,CROATIA,HR,10,9,10,10,10,10,10,10,9,10,9,10,7,10,10,0,90,10,6,5,5,7,8,10,8,5,0,0,1,0,10,10,10,0,5,5,8,8,8,5,5,10,8,8,6,6,5,10,8,9,9,5,5,9,5,0,5,7,5,10,9,5,0,5,4,7,5,8,10,0,30,5,4,4,50,300,4,2,,51,1,,2,3,,10,1,1,1,23,10
27.04.2020 15:34:41,2770,CROATIA,HR,10,2,10,10,10,10,10,10,10,10,10,10,8,10,10,70,20,10,4,5,5,4,5,10,10,5,5,4,2,2,10,9,10,10,5,10,9,10,7,10,10,10,7,10,5,10,5,6,8,6,2,5,9,0,4,10,5,4,2,8,9,0,0,5,5,0,5,8,10,20,20,8,11,7,50,3,4,2,,50,3,,2,3,,6,2,1,1,213,0
27.04.2020 15:53:21,1376,CROATIA,HR,10,0,10,7,10,10,10,10,10,10,10,10,8,10,10,0,50,50,5,5,6,8,8,10,5,7,5,5,5,5,10,8,7,0,5,7,8,8,10,5,5,5,8,5,10,9,10,10,7,6,5,0,6,5,6,3,6,5,5,10,7,5,0,8,5,5,7,8,5,50,50,7,9,5,50,300,4,2,,58,3,,1,1,,6,1,1,1,213,0
27.04.2020 16:41:08,1584,CROATIA,HR,10,5,10,8,10,10,10,10,5,10,10,10,5,10,10,0,90,10,10,10,1,5,5,10,10,0,0,0,0,8,0,10,10,0,5,5,9,9,8,5,9,7,9,8,8,8,10,10,8,8,3,8,8,0,5,0,5,3,0,8,9,1,0,5,1,1,5,5,8,50,50,6,16,8,50,3,7,1,,42,3,,4,1,,4,2,1,1,213,0
27.04.2020 16:46:38,1341,CROATIA,HR,10,0,10,10,10,10,10,10,10,10,10,10,5,10,10,0,100,0,5,5,5,5,5,10,5,5,5,5,5,10,10,10,5,10,5,10,10,10,10,10,5,10,5,5,10,10,10,10,10,5,5,5,10,5,5,0,5,0,5,0,0,0,10,5,0,5,0,5,5,10,10,5,9,5,50,300,8,2,,54,3,,2,3,,6,1,1,1,213,0
