RecordedDate,Duration_sec,Country,Language,Informed.consent,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self.control_1,trait_self.control_2,trait_self.control_3,trait_self.control_4,self.esteem_1,Q108_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots
23/04/2020 13:25,1175,Pakistan,EN,Agree,10,7,9,7,10,9,9,9,6,10,10,10,10,10,10,10,90,0,7,8,5,6,7,10,10,0,0,0,0,6,8,9,7,1,1,5,7,7,7,6,6,4,9,8,7,6,5,4,8,7,6,5,6,0,7,6,3,6,4,1,7,5,5,3,6,6,6,5,5,7,50,70,3,9,8,50,900,4,1,NA,33,2,2,6,NA,8,1,No,No,213
24/04/2020 0:11,2360,Pakistan,EN,Agree,9,0,10,9,10,6,9,10,10,7,10,10,10,10,10,50,40,10,0,0,10,10,10,10,5,0,0,0,0,1,10,10,10,0,0,10,1,2,2,5,5,5,5,5,3,5,5,7,4,6,2,8,5,5,5,6,1,5,5,1,10,10,0,0,5,0,0,0,5,7,50,50,5,16,7,NA,NA,NA,2,NA,33,2,0,6,NA,8,1,No,No,213
24/04/2020 1:45,4648,Pakistan,EN,Agree,10,0,3,3,10,10,10,10,4,7,10,10,4,0,10,70,30,0,7,4,3,3,2,10,9,10,10,10,10,0,10,10,10,0,0,8,7,10,8,8,4,4,10,7,8,7,3,4,3,8,3,8,7,0,3,1,7,6,6,0,7,7,7,4,8,7,7,7,7,6,70,80,7,12,7,50,90000,NA,1,NA,36,2,2,6,NA,5,1,No,Yes,213
24/04/2020 1:55,3607,Pakistan,EN,Agree,10,2,10,10,10,9,9,10,7,9,8,10,8,9,8,50,30,20,8,7,5,5,3,10,10,10,3,3,7,7,1,7,10,0,3,10,10,10,10,4,3,0,8,8,10,9,9,10,7,5,7,10,7,0,4,5,0,8,5,3,10,10,7,0,9,3,0,8,4,10,100,100,7,16,10,50,3,1,1,NA,34,3,0,2,NA,6,1,No,No,213
24/04/2020 2:07,2249,Pakistan,EN,Agree,9,4,9,9,10,10,10,10,4,9,10,6,8,10,10,60,40,0,6,9,0,1,6,6,6,1,2,2,1,2,9,9,9,1,2,9,10,9,9,8,9,10,7,8,9,9,9,9,6,3,6,7,6,0,6,4,1,7,7,3,10,10,6,0,9,7,1,10,10,10,80,10,3,16,9,50,1,4,1,NA,30,2,0,5,NA,8,1,No,Yes,213
24/04/2020 3:44,1491,Pakistan,EN,Agree,6,2,9,8,10,6,7,9,3,10,8,9,2,8,9,70,30,0,7,7,6,6,4,10,10,4,6,4,4,2,10,8,10,7,1,6,6,8,7,8,6,7,9,8,9,7,6,10,6,7,6,3,7,6,4,4,1,8,8,4,9,7,9,2,8,9,2,9,8,9,70,90,6,16,7,50,300,2,1,NA,30,3,0,2,NA,7,1,No,Yes,213
24/04/2020 6:02,634,Pakistan,EN,Agree,10,7,10,10,10,10,10,10,10,10,7,8,8,6,6,20,50,30,7,8,3,4,7,7,8,7,8,9,8,7,7,8,8,8,9,8,9,7,7,7,7,8,7,7,8,8,9,8,6,6,6,6,9,9,8,10,4,8,7,3,8,9,9,9,10,9,10,9,7,7,70,70,10,14,2,50,3,4,1,NA,29,2,1,6,NA,10,1,No,No,213
24/04/2020 6:02,854,Pakistan,EN,Agree,9,1,3,9,9,9,9,9,9,9,9,9,9,9,9,0,100,0,9,6,3,8,6,9,7,1,1,1,1,1,8,9,9,1,1,9,7,8,8,4,3,7,9,7,8,8,8,9,7,7,3,6,7,0,2,4,1,5,3,0,9,9,4,1,6,6,3,7,4,6,10,50,2,13,9,25,3,7,1,NA,32,2,1,6,NA,5,1,No,No,213
24/04/2020 6:15,1563,Pakistan,EN,Agree,10,2,10,10,10,8,8,10,6,9,10,10,10,10,10,0,100,0,8,5,6,10,7,10,10,7,0,2,2,8,10,10,10,6,5,8,8,8,8,8,4,2,10,10,7,7,8,10,10,9,0,0,10,0,7,8,1,10,6,4,10,10,0,0,8,7,0,7,7,10,20,30,8,9,8,50,NA,NA,2,NA,34,3,NA,2,NA,8,1,No,No,213
24/04/2020 6:24,1213,Pakistan,EN,Agree,5,4,6,8,10,10,9,10,8,10,6,10,10,10,10,50,25,25,4,5,6,7,7,10,10,0,0,0,0,3,10,10,10,4,2,5,6,7,7,8,8,8,9,8,4,6,6,8,5,7,4,2,8,0,6,4,0,3,4,3,10,10,4,0,8,8,0,8,8,10,40,50,4,16,6,50,3,3,1,NA,30,2,0,6,NA,5,1,No,No,213
24/04/2020 6:26,1912,Pakistan,EN,Agree,10,8,9,9,10,9,9,9,7,10,10,10,10,10,10,40,40,20,7,6,6,9,7,10,10,4,4,5,3,2,9,9,9,5,7,10,9,9,10,7,9,9,10,10,8,8,8,9,8,9,9,1,10,0,9,8,7,7,7,3,9,9,9,1,7,8,1,3,8,9,60,80,6,14,8,50,300,4,2,NA,28,2,0,2,NA,7,1,No,No,213
24/04/2020 6:33,1259,Pakistan,EN,Agree,10,0,10,10,10,10,10,10,10,10,10,10,6,10,10,0,100,0,4,7,5,8,8,9,10,7,0,7,7,2,10,10,10,1,0,9,9,10,10,10,10,3,8,10,9,9,9,10,9,9,6,6,10,0,2,8,0,9,9,0,10,10,3,0,7,8,0,0,3,10,10,40,2,7,3,25,3,8,2,NA,31,1,0,6,NA,7,1,No,Yes,213
24/04/2020 6:41,689,Pakistan,EN,Agree,8,6,5,7,8,10,10,10,10,9,10,8,8,9,5,10,60,30,5,5,5,6,6,10,10,5,5,5,5,7,9,9,9,9,2,9,6,9,7,7,7,8,5,5,5,5,5,6,5,7,5,2,7,6,6,6,3,9,7,5,8,8,8,8,7,7,7,7,7,8,50,90,5,16,5,50,1,4,2,NA,27,3,0,2,NA,10,1,No,No,213
24/04/2020 6:51,1239,Pakistan,EN,Agree,8,4,4,4,3,7,7,10,10,7,7,10,6,10,10,10,30,60,0,7,10,10,10,7,8,2,2,2,2,9,10,1,9,6,7,5,8,10,9,2,10,1,7,7,6,7,6,7,7,7,8,7,5,5,7,4,4,6,4,6,9,10,1,8,6,8,1,8,6,10,20,100,3,1,7,50,900,16,2,NA,29,2,2,6,NA,3,0,No,No,NA
24/04/2020 6:53,1020,Pakistan,EN,Agree,10,0,10,10,10,7,10,10,10,10,10,10,5,10,10,50,40,10,5,5,5,5,5,5,8,5,5,5,5,5,10,10,10,5,5,3,10,9,8,7,7,3,7,9,10,10,10,10,5,5,3,3,5,0,2,5,0,7,5,0,10,10,0,0,0,0,0,0,0,5,50,50,2,16,7,50,300,16,2,NA,23,3,0,2,NA,7,1,No,No,NA
24/04/2020 6:59,1120,Pakistan,EN,Agree,10,1,9,10,10,10,10,10,10,10,8,8,6,10,10,40,40,20,2,6,8,10,10,9,9,10,8,7,8,8,9,9,9,9,8,7,8,9,8,5,5,5,5,5,7,8,7,7,8,7,7,8,7,9,9,7,2,8,9,8,10,10,8,1,8,5,3,5,5,2,20,80,5,10,4,5030,300,NA,2,NA,26,2,1,4,House wife ,5,1,No,No,213
24/04/2020 7:02,1006,Pakistan,EN,Agree,10,0,10,10,10,7,7,5,10,10,10,10,8,10,10,100,0,0,7,7,0,5,5,0,0,1,1,0,0,2,8,8,10,0,2,1,7,5,8,8,8,10,8,5,7,7,6,9,7,8,5,2,4,0,7,6,3,8,9,5,10,10,7,0,6,7,0,3,7,9,70,80,2,14,8,25,3,7,1,NA,39,2,0,6,NA,7,1,No,No,213
