StartDate,EndDate,Country,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,self_esteem_1,Q108_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,No_bots_correct,age_rec,sex_rec,edu_rec,geo_rec,vote.recall_rec,weight,weight_trimmed_0.999,weight_trimmed_0.995,weight_trimmed_0.990
05/02/2020,05/02/2020,MEX,100,1246,1,05/02/2020,R_06P6TzaHDexpCxj,email,ES,1,9,0,8,8,10,8,10,8,5,8,10,10,10,10,10,20,70,10,5,7,0,5,7,10,10,0,0,0,0,8,10,10,10,0,5,10,10,10,7,8,10,10,8,7,7,7,4,8,5,8,5,8,7,10,7,0,7,5,5,2,9,7,3,0,5,5,10,10,5,10,20,70,3,1,8,250,900,4,1, ,44,3,0,1, ,4,1,1,1,213,1,2,1,2,4,1,0.047477027,0.070583505,0.108439339,0.125252111
05/02/2020,05/02/2020,MEX,100,3787,1,05/02/2020,R_0eVd9gYAFc8e969,email,ES,1,10,8,10,10,10,10,10,10,7,0,10,10,10,10,10,50,30,20,0,5,10,10,10,10,10,10,10,10,10,0,10,10,10,0,0,10,10,10,10,10,10,10,0,0,7,7,3,7,2,2,10,10,7,0,0,10,10,10,10,10,10,10,10,0,10,10,0,0,0,10,80,80,0,9,0,50,300,4,1, ,41,1,0,3, ,11,1,1,1,213,1,2,1,2,1,5,0.041712924,0.064819402,0.102675236,0.119488008
05/05/2020,05/05/2020,MEX,100,2513,1,05/05/2020,R_0lArFNuVON9XnHj,anonymous,ES,1,9,0,8,7,10,10,5,10,3,10,10,10,10,10,10,0,100,0,7,8,0,6,5,10,5,0,1,0,1,2,10,10,10,0,5,5,8,9,9,9,5,10,9,10,10,10,10,10,4,7,6,7,8,6,6,0,0,5,5,0,10,8,0,0,7,6,1,5,5,5,50,70,5,3,7,50,300,4,1, ,33,3,0,1, ,3,1,1,1,213,1,1,1,2,3,5,2.340445251,2.363551729,2.401407563,2.418220335
05/05/2020,05/05/2020,MEX,100,2200,1,05/05/2020,R_0PYdKWNFZ8CDkxX,anonymous,ES,1,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,20,80,0,2,6,5,9,7,10,8,3,0,0,0,7,10,10,10,0,2,4,9,4,3,5,2,3,8,10,8,6,6,8,3,9,1,9,8,0,3,8,1,10,2,6,10,8,5,0,9,10,0,9,9,10,20,40,0,8,10,25,3,7,2, ,31,2,1,4, ,8,1,1,1,213,1,1,2,2,3,1,0.02484661,0.047953088,0.085808922,0.102621694
05/04/2020,05/04/2020,MEX,100,2034,1,05/04/2020,R_0SQHFwpSjK3PM0p,anonymous,ES,1,9,0,9,10,10,10,10,10,10,10,6,7,6,7,9,50,40,10,8,7,5,8,5,10,8,5,5,5,5,3,9,9,9,0,3,5,8,8,9,5,7,7,10,10,5,5,8,8,9,8,3,1,9,0,5,6,6,5,7,6,8,9,5,0,7,7,0,5,5,5,90,90,8,16,9,50,3,7,1, ,36,3,0,3, ,4,1,1,2,213,1,2,1,2,1,3,0.000433975,0.023540453,0.061396287,0.078209059
05/03/2020,05/03/2020,MEX,100,1760,1,05/03/2020,R_0TVAs0bhE3MIiml,email,ES,1,10,8,10,10,10,10,10,10,3,8,9,9,2,4,9,80,10,10,8,7,0,0,0,10,9,3,3,4,4,3,10,10,10,0,0,9,8,9,7,7,6,6,9,10,5,9,7,10,4,10,0,8,10,10,0,0,0,0,1,0,9,9,10,0,7,2,7,6,4,6,20,100,8,1,8,50,300,8,1, ,51,3,0,3, ,6,2,1,1,213,1, , , , , , , , , 
4/30/2020,4/30/2020,MEX,100,4078,1,4/30/2020,R_0UnSeQv6JqX97ot,email,ES,1,9,1,9,10,10,10,8,10,10,10,9,10,10,10,10,70,30,0,8,6,5,7,1,10,10,7,3,3,3,3,10,10,8,1,3,7,7,10,9,7,7,7,10,10,8,8,8,10,8,10,1,1,9,8,1,6,1,7,7,3,9,9,4,2,4,3,2,3,7,7,40,60,1,16,9,50,3,4,1, ,52,2,1,3, ,5,1,1,1,213,1,3,1,2,2,1,3.98E-05,0.023146247,0.061002081,0.077814853
05/03/2020,05/03/2020,MEX,100,1901,1,05/03/2020,R_0V8fRcDDDfkLvwd,email,ES,1,8,10,8,10,10,9,8,10,8,10,10,10,9,10,10,40,30,30,9,9,5,3,0,10,10,2,0,1,1,2,10,10,10,0,0,7,10,9,9,8,10,10,10,10,9,10,10,10,9,9,2,1,9,0,2,7,0,7,7,0,10,9,9,0,8,10,10,9,9,9,70,80,8,9,9,25,3,7,1, ,49,1,0,6,Freelance,6,1,1,1,213,1,2,1,2,1,2,0.00069483,0.023801308,0.061657142,0.078469914
4/29/2020,4/29/2020,MEX,100,1380,1,4/29/2020,R_0vnXbVXki8hn46l,email,ES,1,10,0,10,10,10,9,10,10,10,10,10,10,10,10,10,40,60,0,7,7,3,6,5,9,6,4,0,0,0,0,10,10,10,0,4,7,8,10,7,8,2,0,8,8,8,8,8,7,2,3,10,5,8,0,6,9,4,7,10,5,9,8,6,1,5,3,2,5,6,8,20,20,3,9,9,50,300,7,2, ,33,2,1,6,Ama de casa,4,1,1,1,213,1,1,2,2,3,2,0.030259129,0.053365607,0.091221441,0.108034213
05/01/2020,05/01/2020,MEX,100,2457,1,05/01/2020,R_10IpSmcUebnbYD0,email,ES,1,8,1,10,10,10,10,10,10,8,10,10,10,10,10,10,80,20,0,5,8,8,8,8,10,8,5,5,5,5,7,10,10,10,0,5,10,10,10,8,8,5,10,7,8,8,8,8,8,5,8,3,3,7,5,8,8,5,10,8,5,10,10,10,0,8,8,0,10,8,10,20,20,5,16,8,50,3,8,2, ,60,3,3,2, ,3,2,1,1,213,1,3,2,2,1,2,0.016318474,0.039424952,0.077280786,0.094093558
