sex;age;children;education;household_size;marital_RO;physical_contact1;physical_contact2;physical_contact3;physical_contact4;physical_contact5;physical_hygiene1;physical_hygiene2;physical_hygiene3;physical_hygiene4;physical_hygiene5;policy_support1;policy_support2;policy_support3;policy_support4;policy_support5;generosity1;generosity2;generosity3;psych_wellbeing1;psych_wellbeing2;collective_narcis1;collective_narcis2;collective_narcis3;national_identity1;national_identity2;conspiracy_theories1;conspiracy_theories2;conspiracy_theories3;conspiracy_theories4;open_mindness1;open_mindness2;open_mindness3;open_mindness4;open_mindness5;open_mindness6;morality_as_cooperat1;morality_as_cooperat2;morality_as_cooperat3;morality_as_cooperat4;morality_as_cooperat5;morality_as_cooperat6;morality_as_cooperat7;trait_optimism1;trait_optimism2;social_belonging1;social_belonging2;social_belonging3;social_belonging4;trait_self_control1;trait_self_control2;trait_self_control3;trait_self_control4;self_esteem;narcissism1;narcissism2;narcissism3;narcissism4;narcissism5;narcissism6;moral_identity1;moral_identity2;moral_identity3;moral_identity4;moral_identity5;moral_identity6;moral_identity7;moral_identity8;moral_identity9;moral_identity10;risk_perception1;risk_perception2;political_ideology;CRT1;CRT2;CRT3;CRT4;CRT5;CRT6;moral_circle1;health;employment;employment_other;ladder_answer;urban;tested_positive;know_tested_positive;marital
2;52;0;5;3;3;99;79;77;78;89;84;100;100;30;92;56;38;28;67;38;50;60;60;6;7;7;8;4;10;10;7;8;4;8;4;9;10;10;1;2;4;4;10;10;9;3;10;8;10;10;9;9;8;8;8;3;1;7;8;8;9;7;7;0;9;9;8;0;6;10;1;2;2;9;55;63;5;105;5;47;4;14;15;16;7;1; ;5;2;1;1;3
2;28;1;5;3;3;100;0;100;100;100;100;100;99;100;100;98;100;100;100;100;100;70;0;9;8;10;10;10;10;10;7;10;8;7;5;10;10;5;5;5;5;5;5;7;5;5;5;10;10;10;10;10;10;10;10;10;0;10;0;10;0;5;5;0;5;5;10;5;10;9;5;8;10;7;77;100;5;100;5;24;10;31;20;16;10;1; ;5;1;1;1;3
2;28;3;7;5;5;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;85;85;10;10;10;10;10;10;10;0;0;0;0;0;10;10;10;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;100;100;10;10;100;24;4;15;20;1;10;1; ;5;1;1;1;1
2;59;0;5;3;3;96;7;96;96;91;100;100;99;76;98;95;99;90;100;81;70;50;50;7;6;3;4;3;10;9;3;2;3;2;1;10;10;9;0;0;8;4;10;10;8;9;10;6;4;9;10;9;10;9;9;4;0;9;3;0;0;7;2;0;9;9;9;0;9;10;0;9;1;10;12;56;5;10;100;24;4;29;20;1;5;5; ;5;1;1;2;3
1;39;4;7;6;3;61;80;33;33;78;84;86;83;95;37;95;95;94;100;100;100;35;35;2;2;7;6;5;3;9;3;3;4;5;0;10;10;10;0;1;10;8;10;8;10;8;8;4;5;7;8;9;8;5;4;8;1;8;0;5;4;8;8;7;10;10;10;0;9;9;0;8;10;10;61;76;10;100;100;24;16;15;10;1;4;1; ;6;1;1;2;3
2;28;2;7;4;3;72;100;80;88;100;53;62;100;24;100;47;51;34;49;68;20;150;0;3;3;6;7;5;10;6;5;7;6;7;3;9;8;9;3;2;5;6;7;6;6;5;8;3;7;4;5;5;9;5;7;9;3;4;4;2;2;2;2;1;6;6;3;3;6;6;1;5;6;8;24;49;5;100;100;24;8;30;20;1;5;1; ;5;1;1;1;3
2;21;1;5;3;3;96;57;76;77;100;100;100;100;100;98;85;96;100;73;77;70;50;50;8;8;7;9;8;7;7;7;7;7;8;7;8;6;7;7;6;7;7;6;6;6;6;7;7;7;8;7;7;7;6;7;7;6;9;6;6;7;7;4;7;10;7;8;9;6;6;9;6;7;8;64;82;8;100;100;1;4;30;20;1;10;1; ;5;2;1;1;3
1;42;0;7;2;1;90;0;15;80;85;90;85;85;80;75;80;90;80;90;85;70;50;50;2;3;4;5;5;7;7;3;3;3;3;3;9;9;7;3;3;8;8;9;8;8;7;9;7;8;7;6;7;7;8;9;2;3;7;8;8;4;7;7;5;9;9;9;1;9;9;1;8;8;9;66;75;8;105;5;47;4;29;15;16;9;2; ;6;2;1;1;1
2;39;1;7;3;3;87;52;100;91;100;100;100;100;88;100;100;100;94;100;98;0;170;0;3;3;5;5;5;10;10;5;3;0;1;2;10;6;8;2;2;7;5;10;6;6;6;6;7;7;6;4;8;7;5;4;7;7;7;4;3;3;4;3;1;9;7;5;1;7;5;1;4;7;8;50;70;7;105;5;47;4;29;15;4;6;1; ;6;1;1;1;3
2;25;0;2;2;1;100;70;100;0;100;0;100;29;0;0;100;100;100;100;100;170;0;0;9;6;8;7;4;10;3;0;0;0;7;0;10;3;6;2;2;10;7;7;7;7;6;3;3;7;7;6;7;9;7;8;10;10;6;4;2;6;7;4;2;8;3;3;1;1;6;6;6;7;7;34;77;7;105;100;47;4;15;3;11;4;4; ;5;2;1;1;1
1;52;0;3;2;3;100;12;100;90;100;100;100;100;100;100;100;100;100;100;100;50;120;0;4;4;9;8;8;10;8;7;0;2;4;0;10;10;10;0;0;7;5;8;5;10;3;10;2;5;5;5;6;9;5;7;8;3;7;9;2;9;7;6;0;9;7;7;8;6;7;7;6;6;7;27;100;8;100;5;47;4;15;20;1;4;5; ;3;1;1;1;3
1;19;1;7;4;1;92;10;89;100;99;100;100;97;100;100;100;100;100;100;100;70;50;50;5;5;5;5;5;10;10;2;4;3;2;4;3;4;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;15;75;5;105;5;96;4;15;10;1;7;4; ;8;1;2;1;1
1;22;0;6;2;1;100;0;100;100;100;50;53;100;50;100;100;100;100;100;100;170;0;0;9;5;5;5;9;6;6;0;0;0;0;5;10;10;9;0;5;10;5;10;5;10;5;5;8;10;6;5;6;6;10;8;4;7;9;0;5;5;5;5;5;10;10;10;0;8;10;0;10;9;10;33;87;5;100;5;47;4;15;15;10;10;4; ;5;1;1;1;1
2;63;0;7;1;1;71;8;91;91;99;81;71;67;50;50;50;96;3;16;5;0;170;0;5;5;2;3;3;5;5;2;5;5;5;5;7;2;8;10;5;8;5;5;5;5;5;5;5;5;2;7;7;7;8;7;7;3;7;5;5;5;5;5;5;6;6;5;5;8;7;7;6;5;5;50;50;0;100;5;24;4;16;20;2;6;5; ;6;1;1;2;1
1;31;0;7;2;2;41;51;73;92;91;71;52;83;49;26;44;68;29;77;25;150;10;10;6;5;2;2;3;5;5;4;6;1;3;5;8;8;5;2;5;9;6;8;8;7;4;2;6;6;6;5;6;8;7;7;8;7;7;6;3;3;5;7;3;6;6;3;2;7;7;5;6;5;3;0;50;5;10;5;47;4;29;15;3;7;1; ;7;1;1;1;2
2;62;0;7;2;3;100;0;97;98;100;100;100;100;100;100;91;94;25;100;100;30;90;50;6;4;10;9;10;10;10;5;6;7;8;6;10;6;9;10;7;9;8;8;8;8;8;10;6;6;8;8;8;9;8;9;3;7;8;8;8;7;9;9;5;7;8;1;7;6;9;7;7;7;8;0;27;4;100;100;24;4;15;0;1;9;1; ;5;1;2;1;3
1;39;2;7;4;3;100;0;100;81;100;100;100;100;97;100;100;100;100;100;100;100;70;0;10;8;0;0;0;10;5;0;0;10;5;0;10;10;10;0;0;5;5;10;8;8;10;10;10;10;9;9;9;10;9;10;0;0;9;6;0;5;7;5;1;10;10;5;0;6;7;0;10;10;5;0;96;2;105;5;47;4;29;15;1;9;1; ;7;1;1;1;3
1;34;0;7;2;3;100;0;17;32;100;100;100;100;100;100;100;96;100;100;100;100;50;20;10;7;10;10;3;10;10;0;0;0;0;1;10;7;10;0;1;10;7;10;9;8;6;10;8;8;6;6;7;10;3;8;8;4;8;3;4;2;2;2;0;10;10;10;0;10;7;0;7;7;10;78;83;10;100;5;23;4;31;15;5;9;1; ;8;1;2;1;3
