screening,Q109,physical_contact1,physical_contact2,physical_contact3,physical_contact4,physical_contact5,physical_hygiene1,physical_hygiene2,physical_hygiene3,physical_hygiene4,physical_hygiene5,policy_support1,policy_support2,policy_support3,policy_support4,policy_support5,generosity1,generosity2,generosity3,generosity4,psych_wellbeing1,psych_wellbeing2,collective_narcis1,collective_narcis2,collective_narcis3,national_identity1,national_identity2,conspiracy_theories1,conspiracy_theories2,conspiracy_theories3,conspiracy_theories4,open-mindedness1,open-mindedness2,open-mindedness3,open-mindedness4,open-mindedness5,open-mindedness6,morality_as_cooperation1,morality_as_cooperation2,morality_as_cooperation3,morality_as_cooperation4,morality_as_cooperation5,morality_as_cooperation6,morality_as_cooperation7,trait_optimism1,trait_optimism2,social_belonging1,social_belonging2,social_belonging3,social_belonging4,trait_self-control1,trait_self-control2,trait_self-control3,trait_self-control4,self_esteem,Q108,narcissism1,narcissism2,narcissism3,narcissism4,narcissism5,narcissism6,moral_identity1,moral_identity2,moral_identity3,moral_identity4,moral_identity5,moral_identity6,moral_identity7,moral_identity8,moral_identity9,moral_identity10,risk_perception1,risk_perception2,political_ideology,moral_circle,moral_circle1,health,CRT1,CRT2,CRT3,CRT4,CRT5,CRT6,sex,Other (please specify),age,marital,children,employment,Other (please specify),ladder_instro,ladder_picture,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,Q110
1,1,100,0,100,100,100,60,80,100,30,90,,,,,,0,99,0,,,,5,9,5,,,10,8,5,5,,,,,,,,,,,,,,9,9,,,,,8,8,5,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,90,80,90,50,100,,,,,,50,40,10,50,,,10,8,10,,,10,10,10,10,5,10,10,10,1,3,8,10,10,10,8,10,0,10,10,10,10,10,10,6,7,6,8,9,,,,,,,,10,10,5,0,10,8,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,50,80,100,0,80,,,,,,0,100,0,100,70,70,3,3,0,,,2,3,3,3,2,10,10,10,0,2,7,3,7,5,5,6,6,,,7,7,8,10,,,,,9,,7,6,0,5,6,6,7,6,3,3,6,5,4,1,7,5,,,8,,3,10,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,90,10,,10,40,50,0,5,5,10,6,0,0,0,0,4,10,10,10,0,2,3,10,10,10,5,0,0,3,7,7,10,10,10,10,3,3,4,7,,0,0,0,0,0,0,10,8,8,0,7,10,0,6,6,10,50,40,3,,12,7,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,80,90,100,50,100,30,100,80,100,100,60,35,5,100,80,30,,,,,,10,8,2,,7,10,9,7,0,4,,0,5,0,10,,10,7,8,,,,10,0,8,10,6,4,,2,1,5,3,,,10,,0,,,0,,0,0,8,30,50,,,3,6,50,3,7,4,26,15,1,,30,1,,4,,,,4,1,1,1,213,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,80,0,30,90,100,90,100,100,100,100,30,30,30,80,80,44,100,0,,70,70,,7,3,9,9,7,0,0,0,3,8,8,8,1,0,6,7,,8,,,3,10,10,,7,7,10,4,9,6,1,8,,3,7,3,6,6,2,8,7,3,1,4,,3,7,7,,100,80,8,,1,7,50,300,4,4,25,15,2,,35,3,1,1,,,,1,1,1,2,213,
1,1,,,,,,,,,,,,,,,,50,50,50,,,,5,5,0,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,1,5,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,80,10,80,90,90,90,100,80,70,80,90,100,30,100,80,76,35,25,,80,60,,7,,,,,,2,2,2,9,10,10,1,1,6,7,9,7,7,3,2,7,7,7,9,7,7,4,7,7,6,7,,3,3,2,2,2,3,8,7,,2,4,8,3,3,3,7,30,30,7,,16,8,,,,,,,,,,,,,,,,,,,,,
1,1,90,90,70,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,70,100,100,100,100,100,30,100,,,0,70,70,100,50,50,,40,,7,3,,10,,0,0,0,0,6,8,8,7,1,0,,,,,,,,7,7,,,,,5,,,,9,,7,3,0,0,2,1,10,10,0,0,,,0,0,,10,80,100,3,,,8,50,37,7,42,2515,15,2,,35,1,0,1,,,,1,1,1,1,123,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,,,,,,90,60,90,100,90,95,80,20,100,90,90,5,5,5,,,2,1,0,2,,,,,,,,,,,,,,9,7,8,8,7,7,8,8,3,2,8,,5,5,0,8,5,0,10,8,5,0,8,5,2,5,7,7,90,90,8,,16,9,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,100,100,100,100,100,,,,,,0,100,0,,,,8,5,3,,,0,0,0,0,,,,,,,,,,,,,,,,10,8,8,9,,,,,,,6,6,2,9,9,1,,,,,,,,,,,,,,,7,8,,,,,,,,,,,,,,,,,,,,,
