"RecordDate","Duration_sec","Country","Language","physical_contact__1","physical_contact__2","physical_contact__3","physical_contact__4","physical_contact__5","physical_hygiene__1","physical_hygiene__2","physical_hygiene__3","physical_hygiene__4","physical_hygiene__5","policy_support__1","policy_support__2","policy_support__3","policy_support__4","policy_support__5","generosity__1","generosity__2","generosity__3","psych_wellbeing1","psych_wellbeing2","collective_narcis__1","collective_narcis__2","collective_narcis__3","national_identity__1","national_identity__2","Conspiracy_theories__1","Conspiracy_theories__2","Conspiracy_theories__3","Conspiracy_theories__4","open_mindedness__1","open_mindedness__2","open_mindedness__3","open_mindedness__4","open_mindedness__5","open_mindedness__6","morality_as_cooperat_1","morality_as_cooperat_2","morality_as_cooperat_3","morality_as_cooperat_4","morality_as_cooperat_5","morality_as_cooperat_6","morality_as_cooperat_7","trait_optimism_1","trait_optimism_2","social_belonging__1","social_belonging__2","social_belonging__3","social_belonging__4","trait_self.control__1","trait_self.control__2","trait_self.control__3","trait_self.control__4","Self.esteem","Narcissism__1","Narcissism__2","Narcissism__3","Narcissism__4","Narcissism__5","Narcissism__6","Moral_ID__1","Moral_ID__2","Moral_ID__3","Moral_ID__4","Moral_ID__5","Moral_ID__6","Moral_ID__7","Moral_ID__8","Moral_ID__9","Moral_ID__10","risk_perception__1","risk_perception__2","political_ideology","moral_circle","health_cond","CRT1","CRT2","CRT3","sex","sex_other","age","marit_status","children","employ_status","employ_status_other","Ladder","urban","tested_positive","know_tested_positive","AttCheck_nobots","AttCheck2"
"2020-05-05 10:39:45","344","USA","EN","8","1","9","10","9","9","10","9","9","9","10","9","10","9","10","100","0","0","10","3","10","10","9","10","9","3","3","3","3","10","9","10","10","10","9","10","10","9","9","9","9","9","9","7","10","10","10","10","10","10","10","10","10","10","10","10","9","10","9","10","10","9","10","9","10","9","10","9","10","60","60","9","8","9","150","3","4","2","","28","3","0","1","","6","1","1","1","213","9"
"2020-05-05 10:40:30","405","USA","EN","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","25","35","40","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","100","100","10","16","10","10","12","13","1","","40","3","2","1","","1","1","2","2","213","10"
"2020-05-05 10:41:24","397","USA","EN","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","25","50","25","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","50","50","5","16","5","50","900","8","2","","41","1","0","5","","9","2","1","1","213","5"
"2020-05-05 10:41:44","376","USA","EN","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","100","0","0","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","50","50","5","16","5","400","6","4","2","","34","1","0","3","","6","1","2","2","213","5"
"2020-05-05 10:43:08","539","USA","EN","9","7","9","10","8","8","9","10","8","10","9","10","7","9","9","40","30","30","9","9","9","10","8","7","9","8","10","7","9","10","7","7","8","9","10","7","9","8","9","8","9","8","9","9","8","9","7","9","7","9","6","3","8","9","7","9","7","8","9","8","10","7","9","8","10","8","7","8","8","80","100","10","15","8","50","300","5","1","","49","1","0","1","","1","2","2","2","two hudred an thirteen","9"
"2020-05-05 10:43:23","319","USA","EN","8","10","9","8","8","6","6","7","7","7","7","8","9","8","","100","0","0","8","7","6","7","8","7","8","7","8","7","7","8","8","8","8","7","8","7","8","8","7","7","8","8","7","7","7","8","8","8","8","6","7","7","7","7","7","8","8","7","8","8","7","8","6","7","8","8","6","7","8","60","80","8","5","8","50","Na","Na","2","","36","1","1","2","","6","1","1","1","213","6"
"2020-05-05 10:43:31","549","USA","EN","6","6","5","6","6","10","10","6","1","7","1","10","10","10","10","100","0","0","5","5","5","5","4","5","5","4","4","6","6","5","4","4","6","6","6","5","5","6","6","6","5","5","6","3","0","0","0","1","6","6","4","2","6","4","4","4","4","4","4","5","5","5","5","6","5","5","5","6","6","10","40","6","4","6","50","300","4","1","","62","3","0","5","","4","2","1","1","213","5"
"2020-05-05 10:43:44","553","USA","EN","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","35","40","25","5","5","3","3","3","5","5","5","5","5","5","3","3","3","3","3","3","5","5","5","5","5","5","5","5","5","3","3","3","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","10","30","5","1","5","50","900","4","2","","52","3","0","3","","6","1","1","1","213","5"
"2020-05-05 10:44:16","601","USA","EN","7","8","8","9","9","10","10","9","9","9","1","1","1","1","1","100","0","0","3","10","10","10","10","10","10","10","10","9","8","1","8","9","10","8","8","2","7","4","7","7","3","4","9","10","8","8","9","9","10","8","3","8","9","8","9","2","7","7","3","7","8","7","","7","8","10","8","8","8","0","20","9","4","10","50","900","4","2","","56","1","0","1","","1","2","2","1","213","7"
"2020-05-05 10:44:40","305","USA","EN","7","8","8","9","9","7","8","9","9","9","7","8","8","9","9","25","25","50","8","8","7","9","8","6","8","7","7","8","8","7","7","8","8","9","9","7","7","8","8","8","7","6","7","8","7","8","8","9","8","8","7","2","8","7","8","8","9","8","8","7","8","8","8","9","9","8","8","8","8","70","70","8","9","7","50","200","12","1","","38","1","0","1","","3","1","1","1","213","8"
"2020-05-05 10:45:27","583","USA","EN","8","0","10","10","10","6","6","10","2","5","6","7","7","8","8","50","25","25","5","7","5","5","5","10","9","2","2","2","1","5","5","5","9","0","0","9","8","10","7","0","6","9","9","8","5","7","6","9","5","7","9","0","5","0","0","0","8","0","0","10","9","9","1","5","4","1","5","0","8","60","70","6","1","9","25 cents ","1000","20","2","","47","3","2","6","Homemaker ","6","1","1","1","213","0"
"2020-05-05 10:46:17","664","USA","EN","4","0","4","0","0","10","10","10","10","10","10","10","10","10","10","100","0","0","7","8","6","6","6","10","8","6","4","0","0","3","3","3","3","3","3","7","6","8","7","7","7","7","7","7","6","6","6","6","6","6","6","6","6","8","8","8","8","8","5","9","9","8","1","7","7","7","7","7","8","80","70","1","16","6","50","300min","4","2","","44","3","1","1","","6","1","1","1","213","6"
"2020-05-05 10:46:19","662","USA","EN","5","6","5","5","5","6","7","7","6","9","1","2","1","8","1","80","20","0","8","9","8","8","8","10","10","9","9","9","9","7","6","4","6","3","5","9","9","8","9","8","8","10","9","8","9","9","9","10","7","3","3","4","10","8","7","10","7","7","7","5","5","5","5","5","10","5","5","8","7","20","30","8","1","10","50","300","4","2","","56","3","0","5","","1","2","1","1","213","5"
