StartDate,EndDate,Progress,Duration__in_seconds_,Finished,RecordedDate,consent,physical_contact_1,physical_contact_4,physical_contact_5,physical_contact_6,physical_contact_7,physical_hygiene_1,physical_hygiene_4,physical_hygiene_5,physical_hygiene_6,physical_hygiene_8,acq,policy_support_1,policy_support_4,policy_support_5,policy_support_6,policy_support_9,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,self_esteem_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,Q_Language
4/23/2020,4/23/2020,100,850,1,4/23/2020,1,10,0,10,10,10,7,10,10,10,10,0,3,10,10,10,10,90,0,10,7,5,1,1,0,0,0,5,10,10,10,1,10,10,10,0,10,7,10,10,5,5,5,10,5,7,10,10,10,10,10,7,7,4,6,5,5,0,4,5,0,10,10,1,0,10,0,0,0,0,10,0,70,4,9,5,25,3 ?????,4,2,,28,3,3,6,??? ????,5,1,0,0,213,AR
4/23/2020,4/23/2020,100,690,1,4/23/2020,1,9,1,0,9,9,10,9,9,8,9,0,10,10,8,9,9,100,0,0,6,7,2,2,0,2,2,2,2,6,2,8,3,8,7,8,7,9,7,8,7,8,6,7,9,9,2,2,2,1,3,7,8,8,7,6,8,10,10,6,8,4,3,6,3,7,5,7,6,4,8,10,30,4,10,7,50,2700,1,1,,24,3,1,2,,7,1,1,1,213,AR
4/23/2020,4/23/2020,100,1913,1,4/23/2020,1,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,50,50,9,6,4,4,6,9,9,0,0,0,0,0,10,10,10,0,0,0,0,7,6,0,8,8,10,10,4,8,9,8,8,9,6,2,9,2,8,0,7,6,1,10,10,3,0,9,9,0,7,8,10,20,30,5,16,9,25,300,7,2,,30,3,2,1,,5,2,0,0,213,AR
4/23/2020,4/23/2020,100,716,1,4/23/2020,1,4,5,5,5,4,10,10,10,10,10,0,0,0,0,0,0,50,20,30,10,10,8,8,4,6,10,10,10,10,10,8,8,8,8,2,7,10,3,8,8,8,8,7,10,10,6,5,10,8,10,9,0,0,8,0,10,2,9,7,7,10,10,10,10,10,10,10,4,8,7,0,30,5,14,10,50,100,16,2,,34,4,0,1,,9,2,0,0,213,AR
4/23/2020,4/23/2020,100,957,1,4/23/2020,1,10,2,10,10,10,8,8,10,10,10,0,10,10,10,10,10,40,60,0,2,7,0,0,0,2,2,9,1,9,1,0,10,10,10,2,0,8,8,9,9,9,5,5,9,9,7,7,8,9,3,8,7,2,7,3,7,2,2,2,0,10,8,2,0,7,5,0,8,8,8,80,90,0,16,2,25,3,7,2,,32,1,0,3,,3,1,0,0,213,AR
4/23/2020,4/23/2020,100,1063,1,4/23/2020,1,10,0,10,8,10,9,10,10,9,10,0,10,10,10,10,10,70,30,0,6,8,5,5,5,5,5,4,3,0,0,7,9,10,10,0,8,4,7,7,3,7,3,0,6,8,10,10,10,10,3,7,3,2,8,7,10,7,8,8,2,10,10,7,0,4,8,0,2,3,10,50,50,0,16,9,25,3 ?????,?,2,,32,3,1,1,,5,1,0,0,213,AR
4/23/2020,4/23/2020,100,1898,1,4/23/2020,1,10,1,10,10,9,10,10,10,10,10,0,10,10,10,10,10,40,30,30,8,8,5,6,6,9,9,0,0,0,0,3,8,9,9,0,5,9,7,8,7,5,7,9,5,7,8,8,7,6,9,9,5,6,6,1,6,1,5,5,3,10,10,0,0,6,5,0,0,0,10,10,50,5,16,9,25,3,7,2,,29,3,1,6,???? ????,8,2,0,0,213,AR
4/23/2020,4/23/2020,100,1533,1,4/23/2020,1,9,0,7,10,10,8,9,10,10,10,0,10,10,10,10,10,40,30,30,5,6,4,3,3,6,4,3,3,2,3,0,10,10,10,0,0,7,9,8,8,2,5,9,9,9,8,8,10,10,8,8,2,1,9,2,8,0,8,8,0,9,8,6,0,8,7,0,7,8,10,20,10,3,14,7,50,300,8,2,,27,1,0,1,,7,1,0,0,213,AR
4/23/2020,4/23/2020,100,422,1,4/23/2020,1,2,7,6,9,3,6,3,4,3,7,0,9,0,0,0,0,80,10,10,2,7,4,8,10,10,9,9,8,10,3,7,4,7,3,7,4,7,8,6,3,8,5,9,3,7,7,7,7,10,1,6,4,6,8,5,7,3,7,5,3,6,3,6,2,9,8,1,7,4,9,10,20,6,6,10,50,300,4 ôíÖö,1,,40,2,0,3,,2,1,0,0,213,HE
4/23/2020,4/23/2020,100,955,1,4/23/2020,1,10,1,10,10,10,10,10,10,8,10,0,10,10,10,10,10,0,100,0,6,8,9,9,9,8,5,6,6,6,6,2,10,10,10,0,5,8,7,9,8,6,8,8,8,8,9,9,9,10,9,9,2,8,7,1,7,0,7,8,0,10,10,7,0,7,10,0,10,10,10,30,50,5,12,8,25,3 ?????,7  ?????,2,,27,3,3,2,,6,1,0,0,213,AR
