StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q109,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,self_esteem_1,Q108_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots
4/29/2020,4/29/2020,0,77.49.25.139,100,442,1,4/29/2020,R_3lxddEwcMY0Z47n, , , , ,40.6381073,22.94549561,anonymous,EN,8,9,4,8,9,10,9,10,10,10,10,9,9,4,10,7,50,25,25,6,4,0,4,3,6,2,0,0,0,0,3,7,7,7,3,3,4,6,6,6,4,6,6,4,3,6,4,5,3,7,4,6,4,7,9,1,1,2,4,1,1,7,7,2,0,3,3,2,4,4,7,30,30,0,16,10,50,3,7,1, ,21,1,0,4, ,5,1,1,1,213
4/29/2020,4/29/2020,0,79.167.238.29,100,591,1,4/29/2020,R_ReJbS4veWplG0NP, , , , ,40.6381073,22.94549561,anonymous,EN,8,4,5,4,5,6,6,7,7,7,6,5,6,3,4,4,100,0,0,4,4,6,6,4,5,5,5,3,2,4,4,7,7,7,7,3,5,5,5,6,6,6,6,5,6,6,6,7,7,4,6,4,5,6,6,4,6,2,6,5,2,7,5,6,3,5,6,7,6,7,7,30,40,5,4,7,50,900,4,2, ,39,1,1,3, ,6,1,1,1,213
4/29/2020,4/29/2020,0,94.68.160.141,100,684,1,4/29/2020,R_24i4osjJUaAWanU, , , , ,40.6381073,22.94549561,anonymous,EN,8,7,5,7,7,8,9,9,9,9,9,9,9,7,9,9,15,65,20,3,5,5,4,3,6,5,2,2,2,2,3,8,8,8,2,3,9,10,7,4,4,6,4,5,3,8,8,7,7,6,6,4,4,4,0,3,5,4,6,6,3,8,7,4,2,2,6,4,7,6,9,20,50,5,4,6,50,1,4,1, ,29,1,0,1, ,5,1,1,1,213
4/29/2020,4/29/2020,0,94.66.59.231,100,733,1,4/29/2020,R_03bPWlPJrVlHIUp, , , , ,37.98420715,23.73530579,anonymous,EN,8,9,0,3,9,10,10,10,10,8,10,9,10,7,10,10,0,0,100,5,8,0,0,0,5,2,0,0,0,0,2,9,9,9,1,4,7,5,9,10,9,9,10,3,5,5,6,7,7,8,9,8,3,8,0,4,5,5,7,7,6,9,8,5,0,3,7,0,2,3,8,80,80,3,11,9,25,3,7,1, ,40,3,2,1, ,4,1,1,1,213
4/29/2020,4/29/2020,0,185.134.114.36,100,596,1,4/29/2020,R_bacMsbHfSdz6hAl, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,1,9,9,9,10,10,10,10,10,10,10,10,10,10,50,25,25,2,3,0,0,0,7,0,1,0,0,0,6,10,10,8,1,2,8,8,8,1,2,1,1,2,10,1,7,4,7,2,3,9,6,0,0,3,3,3,3,3,8,10,10,3,0,0,0,2,0,2,9,50,50,3,11,5,50,300,4,1, ,26,2,0,1, ,8,1,1,1,213
4/29/2020,4/29/2020,0,5.203.240.107,100,730,1,4/29/2020,R_24kLKCcI11sGBW7, , , , ,37.98420715,23.73530579,anonymous,EN,8,10,0,9,10,10,10,10,10,3,8,10,10,0,3,8,50,50,0,4,7,0,0,0,10,10,1,2,0,3,2,10,10,10,0,0,3,7,7,8,7,8,8,8,8,7, ,10,3,4,4, ,3,3,0,1,3,2,2,2,0,10,7,2,0, , ,2,0,3,8, , , ,7,7,50,3, ,1, ,38,3,1,1, ,4,1,1,1,213
4/29/2020,4/29/2020,0,147.27.4.29,100,798,1,4/29/2020,R_2fycAKoqSgM7wzu, , , , ,39.44389343,21.55499268,anonymous,EN,8,8,1,6,4,10,7,7,6,3,3,7,7,4,7,10,90,5,5,4,5,2,3,5,2,2,5,5,5,5,4,7,7,7,3,4,6,6,7,8,6,6,6,0,3,3,2,2,6,3,3,7,9,3,0,5,5,8,3,5,5,4,4,3,5,7,3,6,6,6,3,80,60,4,16,4,25,3,7,2, ,22,1,0,4, ,3,1,1,1,213
4/29/2020,4/29/2020,0,176.58.226.28,100,658,1,4/29/2020,R_3hhEeIggyUodX9y, , , , ,40.6381073,22.94549561,anonymous,EN,8,7,4,10,10,10,10,10,10,10,10,10,10,10,10,10,50,50,0,7,5,5,3,5,10,10,3,3,3,3,0,0,10,10,0,0,7,5,8,8,5,3,0,6,5,5,5,6,8,2,9,7,2,2,0,0,7,5,5,6,0,10,10,6,0,5,6,4,0,5,9,70,90,5,16,8,50,3,4,2, ,25,1,0,4, ,6,1,1,1,231
4/29/2020,4/29/2020,0,94.67.93.195,100,506,1,4/29/2020,R_324vCPKP0lFLEIg, , , , ,40.6381073,22.94549561,anonymous,EN,8,10,0,10,10,10,8,8,10,10,10,10,10,10,10,10,100,0,0,7,3,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,6,5,10,8,0,5,10,2,2,1,0,6,10,10,10,1,7,0,0,0,0,2,2,0,3,10,7,5,0,5,2,3,0,0,7,90,90,7,5,8,25,3,7,1, ,23,2,0,1, ,6,1,1,2,213
4/29/2020,4/29/2020,0,2.86.15.177,100,755,1,4/29/2020,R_2xRcfJKhumJlyxU, , , , ,37.98420715,23.73530579,anonymous,EN,8,8,3,9,5,5,2,8,10,3,10,10,9,2,7,10,50,30,20,7,4,0,0,1,10,6,0,0,0,0,8,10,10,10,0,1,9,9,10,8,5,7,10,9,10,5,8,10,9,5,7,3,0,10,0,1,7,0,6,8,1,10,8,5,0,8,9,2,1,7,7,50,50,5,4,9,25,3,7,2, ,20,1,0,4, ,4,1,1,1,213
