V1,V2,V3,V4,V5,SC0_0,SC0_1,SC0_2,rid,pid,SUPPLIER_ID,SUPNAME,complete,information sheet,consent,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_4,collective_narcis_5,collective_narcis_6,national_identity_4,national_identity_5,conspiracy_theories_4,conspiracy_theories_5,conspiracy_theories_7,conspiracy_theories_8,open_mindness_4,open_mindness_5,open_mindness_7,open_mindness_8,open_mindness_9,open_mindness_10,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_7,morality_as_cooperat_8,morality_as_cooperat_9,morality_as_cooperat_10,morality_as_cooperat_11,trait_optimism_4,trait_optimism_5,social_belonging_4,social_belonging_5,social_belonging_12,social_belonging_13,trait_self-control_4,trait_self-control_5,trait_self-control_12,trait_self-control_13,self-esteem_4,attention_check_4,narcissism_4,narcissism_5,narcissism_12,narcissism_13,narcissism_14,narcissism_15,moral_identity_4,moral_identity_5,moral_identity_12,moral_identity_13,moral_identity_14,moral_identity_15,moral_identity_16,moral_identity_17,moral_identity_18,moral_identity_19,risk_perception_4,risk_perception_5,political_ideology_1,moral_circle,moral_circle1,health_8,CRT,CRT1,CRT2,CRT3,intro,sex,sex_TEXT,age,marital,children,employment,employment_TEXT,ladder_instro,ladder_picture,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,prefecture,education,income,support,comments,debrief,
ResponseID,ResponseSet,StartDate,EndDate,Finished,Score-sum,Score-weightedAvg,Score-weightedStdDev,rid,pid,SUPPLIER_ID,SUPNAME,complete,Aims of the Study: The aim of this study is to learn about your social and political beliefs and...,Please read and confirm the following statements: I confirm that I have read and understand the i...,"Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-Staying at home as much as practically possible","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-Visiting friends, family, or colleagues outside my home","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-Keeping the number of grocery store visits at an absolute minimum","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-Keeping physical distance from all other people outside my home","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-Avoiding handshaking with people outside my home","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-Washing my hands longer than usual","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-Washing my hands (with soap) more thoroughly than usual","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-Washing my hands immediately after returning home","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-Disinfecting frequently used objects, such as mobile phones and keys","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-Sneezing and coughing into my upper sleeve","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-In favor of closing all schools and universities","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-In favor of closing all bars and restaurants","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-In favor of closing all parks","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-In favor of forbidding all public gatherings where many people are gathered at one place (sports and culture)","Be as accurate as you can: During the days of the coronavirus (COVID-19) pandemic, I have been ...-In favor of forbidding all non-necessary travel",Read carefully  Please imagine that you were provided with a total amount of [median daily wage i...-What you would <u>keep</u> to yourself:,Read carefully  Please imagine that you were provided with a total amount of [median daily wage i...-What you would <u>give</u> to a national charity in (INSERT YOUR COUNTRY):,Read carefully  Please imagine that you were provided with a total amount of [median daily wage i...-What you  would <u>give</u> to an international charity:," In general, to what extent do you feel happy these days?-","Please imagine a ladder, with steps numbered 0 at the bottom and 10 at the top. The top represent...-","For each of the following statements, please select the answer that best describes whether you ag...-[My national group] deserves special treatment.","For each of the following statements, please select the answer that best describes whether you ag...-Not many people seem to fully understand the importance of [my national group]","For each of the following statements, please select the answer that best describes whether you ag...-I will never be satisfied until [my national group] gets the recognition it deserves","For each of the following statements, please select the answer that best describes whether you ag...-I identify as [nationality]","For each of the following statements, please select the answer that best describes whether you ag...-Being a [nationality] is an important reflection of who I am.","For each of the following statements, please select the answer that best describes whether you ag...-The coronavirus (COVID-19) is a bioweapon engineered by scientists.","For each of the following statements, please select the answer that best describes whether you ag...-The coronavirus (COVID-19) is a conspiracy to take away citizen’s rights for good and establish an authoritarian government.","For each of the following statements, please select the answer that best describes whether you ag...-The coronavirus (COVID-19) is a hoax invented by interest groups for financial gains.","For each of the following statements, please select the answer that best describes whether you ag...-The coronavirus (COVID-19) was created as a cover up for the impending global economic crash","For each of the following statements, please select the answer that best describes whether you ag...-I think that paying attention to people who disagree with me is a waste of time.","For each of the following statements, please select the answer that best describes whether you ag...-I feel no shame learning from someone who knows more than me.","For each of the following statements, please select the answer that best describes whether you ag...-If I do not know much about some topic, I don’t mind being taught about it, even if I know about other topics.","For each of the following statements, please select the answer that best describes whether you ag...-Even when I have high status, I don’t mind learning from others who have lower status.","For each of the following statements, please select the answer that best describes whether you ag...-Only wimps admit that they’ve made mistakes.","For each of the following statements, please select the answer that best describes whether you ag...-I don’t take people seriously if they’re very different from me.","When you decide whether something is right or wrong, to what extent are the following considerati...-Whether or not someone helped a member of their family.","When you decide whether something is right or wrong, to what extent are the following considerati...-Whether or not someone worked to unite a community.","When you decide whether something is right or wrong, to what extent are the following considerati...-Whether or not someone kept their promise.","When you decide whether something is right or wrong, to what extent are the following considerati...-Whether or not someone showed courage in the face of adversity.","When you decide whether something is right or wrong, to what extent are the following considerati...-Whether or not someone deferred to those in authority.","When you decide whether something is right or wrong, to what extent are the following considerati...-Whether or not someone kept the best part for themselves.","When you decide whether something is right or wrong, to what extent are the following considerati...-Whether or not someone kept something that didn’t belong to them.","For each of the following statements, please select the answer that best describes whether you ag...-As a person, I am optimistic for my future.","For each of the following statements, please select the answer that best describes whether you ag...-Overall, I expect more good things to happen to me than bad.","For each of the following statements, please select the answer that best describes whether you ag...-I feel connected with others.","For each of the following statements, please select the answer that best describes whether you ag...-When I am with other people, I feel included.","For each of the following statements, please select the answer that best describes whether you ag...-I feel accepted by others.","For each of the following statements, please select the answer that best describes whether you ag...-I have close bonds with family and friends.","For each of the following statements, please select the answer that best describes whether you ag...-I am good at resisting temptation","For each of the following statements, please select the answer that best describes whether you ag...-I am able to work effectively toward long-term goals","For each of the following statements, please select the answer that best describes whether you ag...-I have a hard time breaking bad habits","For each of the following statements, please select the answer that best describes whether you ag...-I am lazy","For the following statement, please select the answer that best describes whether you agree or di...-I have high self-esteem","Please confirm that you have read this question by moving the bar all the way to the left, provid...-Weather rating:","For each of the following statements, please select the answer that best describes whether you ag...-I react annoyed if another person steals the show from me.","For each of the following statements, please select the answer that best describes whether you ag...-I deserve to be seen as a great personality.","For each of the following statements, please select the answer that best describes whether you ag...-I want my rivals to fail.","For each of the following statements, please select the answer that best describes whether you ag...-Being a very special person gives me a lot of strength.","For each of the following statements, please select the answer that best describes whether you ag...-I manage to be the center of attention with my outstanding contributions.","For each of the following statements, please select the answer that best describes whether you ag...-Most people are somehow losers.","Listed below are some characteristics that might describe a person:    caring, compassionate, fai...-It would make me feel good to be a person who has these characteristics.","Listed below are some characteristics that might describe a person:    caring, compassionate, fai...-Being someone who has these characteristics is an important part of who I am.","Listed below are some characteristics that might describe a person:    caring, compassionate, fai...-I often wear clothes that identify me as having these characteristics.","Listed below are some characteristics that might describe a person:    caring, compassionate, fai...-I would be ashamed to be a person who had these characteristics.","Listed below are some characteristics that might describe a person:    caring, compassionate, fai...-The types of things I do in my spare time (e.g., hobbies) clearly identify me as having these characteristics","Listed below are some characteristics that might describe a person:    caring, compassionate, fai...-The kinds of books and magazines that I read identify me as having these characteristics.","Listed below are some characteristics that might describe a person:    caring, compassionate, fai...-Having these characteristics is not really important to me.","Listed below are some characteristics that might describe a person:    caring, compassionate, fai...-The fact that I have these characteristics is communicated to others by my membership in certain organizations.","Listed below are some characteristics that might describe a person:    caring, compassionate, fai...-I am actively involved in activities that communicate to others that I have these characteristics.","Listed below are some characteristics that might describe a person:    caring, compassionate, fai...-I strongly desire to have these characteristics.","Please answer the following questions as accurately as possible:-By April 30, 2021: How likely do you think it is that <u>you</u> will get infected by the Coronavirus (Covid-19)?","Please answer the following questions as accurately as possible:-By April 30, 2021: How likely do you think it is that the <u>average person</u> in INSERT YOUR COUNTRY will get infected by the Coronavirus (Covid-19)?","Overall, what would be the best description of your political views?-","On this page, we would like you to indicate the extent of your moral circle. By moral circle, we...","Please select the number that represents the extent of your moral circle. Note that, in this scal...","In general, how would you rate your physical health as it is today?-",Below is a set of math problems. Please solve as many as you can.,A postcard and a pen cost 150 cents in total. The postcard costs 100 cents more than the pen. How...,"If it takes 3 nurses 3 minutes to measure the blood pressure of 3 patients, how long would it tak...","Sally is making some tea. Every hour, the concentration of the tea doubles. If it takes 8 hours f...",Please answer the following questions: ,What is your gender?,What is your gender?-TEXT,How old are you?,What is your current marital status?,"How many children do you have? If none, please type 0.",How would you describe your current employment status? ,How would you describe your current employment status? -TEXT,Please think of this ladder as representing where people stand in Japan.  At the top of this ladd...,Ladder,Where would you place yourself on this ladder to represent where you think you stand at this time...,Which of the following best describes the area you live in? ,"Have you tested positive for the Coronavirus (COVID-19), meaning that you (now or earlier) have h...","Has anyone you know well (friend, partner, family, colleague etc.) tested positive for the Corona...",Help us get rid of bots: Please write the number 213 into the comment box.,In which prefecture do you currently live?,What is the highest level of education you have completed? If you withdrew from a certain level b...,How much was your total household income combining your and your family's income last year? Pleas...,Do you support or do you not support the Japanese government's response to the novel coronavirus?,"Finally, please let us know if you have any comments or opinions regarding this survey. Please fi...",Thank you for completing the study. The aim of this study is to learn more about people’s opinion...,
R_1rIYOBN3IrWYrUW,Default Response Set,2020-04-26 06:53:24,2020-04-26 07:07:46,1,0,0,0,5ea56810-05c6-9272-5525-04b89e5cc9c5,120834174,968,TheoremReach,1,1,1,8,2,8,4,2,10,10,7,7,9,7,7,7,7,7,30,40,30,7,7,7,7,7,3,7,7,7,7,7,6,6,4,4,4,7,8,8,7,7,7,7,8,7,7,3,3,6,8,7,7,3,3,7,7,7,7,7,7,7,7,7,7,6,7,4,6,6,4,6,7,80,80,4,1,9,9,1,25,3,7,1,1,,29,1,0,1,,1,1,7,2,1,1,213,7,5,2,3,同じ質問があります,1,
R_2BhNDOmYm63zyIL,Default Response Set,2020-04-26 07:00:53,2020-04-26 07:07:58,1,0,0,0,5ea569a3-ca65-ebc3-4579-77189255b815,101870275,1119,GMOResearch-Link,1,1,1,10,0,7,8,8,7,7,8,7,7,1,2,2,2,3,100,0,0,6,6,3,3,3,10,10,5,5,5,5,7,8,7,7,7,7,7,7,7,7,7,7,6,6,7,3,3,3,3,4,8,8,4,8,7,8,5,10,2,2,7,7,8,7,8,7,7,7,8,7,7,70,70,6,1,2,5,1,25,9,256,1,1,,54,3,1,1,,1,1,4,1,1,1,213,28,5,4,2,なし,1,
R_3Myxz2ynMdGVsM4,Default Response Set,2020-04-26 07:05:33,2020-04-26 07:09:40,1,0,0,0,5ea56aeb-e399-e888-7c9b-4928fce5e6ed,103333288,1119,GMOResearch-Link,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,90,10,0,5,5,5,5,5,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,50,5,1,6,5,1,特になし,特になし,特になし,1,1,,60,3,1,1,,1,1,6,1,1,1,特になし,27,3,4,3,特になし,1,
R_3m1RXY0LoTmCRd2,Default Response Set,2020-04-26 06:59:45,2020-04-26 07:10:08,1,0,0,0,5ea5695e-a436-7d76-e33a-f37271a4ee1d,35465552,968,TheoremReach,1,1,1,10,4,6,7,6,6,6,6,4,6,5,4,5,4,5,100,0,0,4,4,4,4,3,10,5,5,5,5,4,5,10,10,10,6,6,10,4,5,5,4,5,4,6,5,5,4,5,6,5,4,4,5,6,0,3,5,3,5,4,4,4,4,4,5,3,0,4,3,3,5,0,20,5,1,2,10,1,25,300,3,1,1,,40,1,0,1,,1,1,6,2,1,1,213,28,4,4,1,,1,
R_SGY09we0xqQm8nL,Default Response Set,2020-04-26 06:52:44,2020-04-26 07:10:20,1,0,0,0,5ea567f4-8976-7331-260e-e779b5c0dd00,50637397,968,TheoremReach,1,1,1,9,2,10,6,10,1,1,1,0,1,8,8,1,9,5,99,1,0,7,7,7,6,6,10,3,1,1,0,0,10,10,7,0,0,2,8,0,10,9,10,8,9,10,10,6,7,7,2,0,2,10,9,8,0,10,8,9,10,4,0,10,8,9,1,7,9,3,9,10,8,90,40,7,1,14,10,1,50セント,15時間,4時間,1,2,,30,3,1,1,,1,1,6,1,1,1,213,13,5,3,2,,1,
R_10GFvaxdmPNwYqO,Default Response Set,2020-04-26 06:59:07,2020-04-26 07:11:51,1,0,0,0,5ea56968-23e5-c9de-1a4e-4b8073e77be7,84624905,968,TheoremReach,1,1,1,9,3,8,7,10,7,8,9,5,9,5,5,5,7,10,100,0,0,5,5,1,2,5,5,5,5,5,3,3,3,6,7,9,0,0,9,7,8,9,3,5,5,5,6,6,5,6,7,5,3,6,6,0,0,1,5,0,5,0,0,5,5,5,5,5,5,3,5,5,7,50,60,5,1,11,3,1,50,1,4,1,2,,31,3,2,1,,1,1,6,2,1,1,213,31,2,5,3,,1,
R_10IusmYRDdmBZ2F,Default Response Set,2020-04-26 07:08:20,2020-04-26 07:13:35,1,0,0,0,5ea56b79-2eaf-f251-ead9-17389aa7e89e,121012169,968,TheoremReach,1,1,1,8,2,3,6,6,5,5,5,5,6,6,6,6,6,6,100,0,0,8,8,4,4,4,2,1,2,1,2,1,4,3,4,3,3,4,5,5,5,5,6,5,5,8,8,8,7,7,8,6,5,4,5,6,0,5,5,5,5,5,10,7,7,5,6,6,6,5,5,6,5,60,60,2,1,1,7,1,50,300,4,1,1,,25,3,0,1,,1,1,3,1,1,1,213,13,5,3,4,,1,
R_9mcBlh5OLVvhUTT,Default Response Set,2020-04-26 07:05:53,2020-04-26 07:15:20,1,0,0,0,5ea56ae6-d5b3-c1be-eaea-4abe7bf6cac1,49693369,968,TheoremReach,1,1,1,10,0,10,10,10,10,10,10,7,10,10,10,10,10,10,100,0,0,2,2,5,5,4,10,5,0,0,0,0,5,8,8,7,7,3,0,5,5,8,0,1,2,3,2,0,0,0,5,10,8,5,0,8,8,10,5,10,7,5,8,9,6,4,5,7,9,3,7,7,3,70,70,5,1,13,5,1,50,900分,４時間,1,1,,47,1,1,6,自営業,1,1,8,1,2,2,213,27,3,7,5,日本語の使い方が間違っている。,1,
R_2fCiYYjup2e4CA6,Default Response Set,2020-04-26 07:09:53,2020-04-26 07:16:11,1,0,0,0,5ea56bc0-a6eb-4d6f-7410-05980b88ab13,87921632,968,TheoremReach,1,1,1,10,1,9,8,9,10,10,10,4,3,7,10,8,10,8,85,10,5,10,8,4,3,3,10,10,8,8,3,7,7,4,8,7,3,2,8,3,7,7,6,3,6,3,8,6,8,9,10,2,4,9,10,5,0,8,1,8,3,7,2,9,2,8,8,2,7,7,9,6,8,30,70,7,1,7,9,1,250セント,3時間,4時間,1,2,,34,3,1,1,,1,1,4,1,1,1,213,13,5,5,1,,1,
