ResponseID,Timestamp_mm_dd_yyyy,Time_seconds,Q109_Informedconsent,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing_1,psych_wellbeing_2,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,national_identity_3,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,selfesteem,Q108_attention_check,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1_percentage,risk_perception_2_percentage,political_ideology,moral_circle,health,CRT_1_eurocents,CRT_2_minutes,CRT_3_hours,gender,age,marital,children,employment,ladder_answer,urban,tested_positive,know_tested_positive,no_bots
64230860,4/28/2020,2262,1,10,4,9,6,10,10,9,10,10,10,10,9,6,9,9,20,40,40,9,8,1,5,0,10,7,0,0,0,0,6,10,9,8,0,5,6,8,9,4,6,7,7,10,10,10,8,8,10,7,8,6,7,9,0,1,1,0,7,0,4,4,6,5,0,2,0,1,2,4,5,40,30,1,5,7,25,3,7,1,18,1,1,6,3,1,1,1,213
64298436,4/29/2020,4311,1,6,6,8,10,10,4,6,10,6,6,9,8,8,9,9,20,20,60,8,7,5,5,5,8,8,5,5,7,5,6,9,7,9,0,6,8,7,7,8,6,6,8,8,8,8,7,8,8,6,8,4,2,7,0,1,6,0,3,3,2,7,7,4,0,7,7,6,7,8,8,10,10,7,16,7,25,3,7,2,32,3,2,1,5,1,1,1,213
64325139,4/29/2020,813,1,10,0,10,10,10,7,10,10,5,10,10,10,10,10,10,0,100,0,5,7,7,7,7,10,8,5,5,0,5,5,10,10,10,0,0,10,5,10,10,5,10,10,8,10,8,8,5,5,5,10,5,2,5,0,5,5,5,5,1,5,10,5,0,5,5,5,5,5,5,10,50,50,5,15,5,50,3,4,2,55,3,3,2,5,1,1,1,213
64325232,4/29/2020,1328,1,0,10,0,0,5,2,2,10,0,0,5,5,5,5,5,100,0,0,0,2,5,5,5,0,0,10,10,10,0,7,9,7,7,1,7,5,5,5,5,5,5,5,6,6,0,0,0,0,3,6,7,5,0,0,5,6,10,5,0,7,10,5,0,5,6,5,1,0,0,6,0,0,3,16,2,50,3,7,1,34,1,1,1,10,1,1,1,213
64325265,4/29/2020,1391,1,9,9,8,10,9,10,10,9,10,10,10,9,8,10,10,0,90,10,4,5,8,5,7,10,10,9,5,10,5,5,9,9,9,5,5,5,5,5,5,5,5,5,5,8,5,8,5,9,3,5,7,5,5,0,5,8,5,8,5,1,8,8,1,1,5,5,1,1,1,8,50,20,5,7,5,50,3,4,2,53,1,3,1,7,1,1,1,213
64325282,4/29/2020,1004,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,0,0,5,5,5,5,5,10,10,5,5,5,5,5,5,5,5,5,10,5,5,5,5,5,5,5,10,5,5,5,5,5,10,10,3,5,7,0,10,8,5,10,5,10,10,8,4,0,5,5,4,3,6,10,0,10,5,16,5,50,3, ,1,61,3,11,3,3,1,1,1,213
64325400,4/29/2020,1168,1,7,9,8,8,9,10,10,10,10,10,8,10,8,10,9,39,40,21,3,3,5,6,7,8,8,7,0,0,0,2,8,7,9,1,1,6,6,7,7,7,7,7,3,8,7,8,6,8,5,8,2,1,2,0,5,8,0,8,6,7,3,3,5,4,6,5,4,4,6,5,10,20,5,3,3,50,1,4,2,63,3,3,3,6,2,1,1,213
64325828,4/29/2020,1042,1,10,0,9,9,10,10,10,9,0,0,10,5,5,10,10,10,85,5,9,9,6,8,6,10,10,8,0,0,5,5,10,10,10,0,2,10,8,10,9,10,10,10,10,10,10,8,10,10,3,10,9,8,9,0,0,5,0,5,5,1,10,10,0,0,5,5,0,5,9,10,50,50,5,1,7,50,3,4,2,62,3,3,1,3,1,1,1,213
64325975,4/29/2020,1388,1,9,2,8,9,9,9,9,9,5,2,5,9,9,9,9,5,95,0,7,6,4,4,2,9,7,9,8,2,8,1,9,9,9,1,1,9,1,1,9,1,9,9,9,9,9,9,9,8,9,9,1,7,6,0,1,1,1,2,1,1,8,7,8,8,7,7,4,9,7,10,70,80,8,10,7,50,3,1,2,44,1,1,1,4,1,1,1,213
64326162,4/29/2020,1560,1,0,5,0,5,5,5,5,5,0,0,0,10,2,4,10,100,0,0,6,8,5,10,6,10,10,5,7,5,5,5,7,9,6,3,5,6,2,10,6,7,6,5,7,7,4,5,7,5,8,7,7,6,6,0,3,6,1,3,5,6,6,7,0,3,0,5,2,0,1,6,20,30,5,7,6,50,300,7,1,46,3,3,1,7,2,1,1,666
