RecordDate;Duration_sec;Country;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2
22-May-2020 14:30:00;918;PHILIPPINES;EN-GB;10;0;10;8;10;10;10;10;10;10;10;10;10;10;10;0;80;20;10;9;5;7;6;10;10;0;0;0;0;7;10;2;10;3;2;9;10;10;10;8;9;0;10;10;8;8;9;10;10;10;8;0;9;1;6;0;8;1;0;9;10;8;0;10;10;7;10;8;10;0;0;9;16;10;50;300;4;1;NA;24;1;1;1;NA;8;1;1;1;213;0
22-May-2020 14:30:00;1035;PHILIPPINES;EN-GB;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;30;70;0;7;6;7;10;10;10;10;5;5;5;5;0;5;7;10;0;0;10;10;10;10;9;10;10;10;10;8;10;10;10;8;10;6;4;8;3;8;3;10;10;2;10;10;8;0;10;10;0;10;10;10;0;0;2;16;10;50;300;4;2;NA;21;2;0;4;NA;6;1;1;1;213;2
22-May-2020 14:36:00;1214;PHILIPPINES;EN-GB;10;0;7;10;10;10;10;10;3;8;10;10;10;10;10;50;25;25;4;4;5;8;7;10;10;0;0;0;0;6;9;10;10;0;0;7;7;5;7;7;6;0;8;6;7;6;8;10;3;7;6;2;3;2;6;0;6;4;0;10;10;10;0;8;7;1;10;10;10;60;80;6;14;6;50;3;7;2;NA;19;1;0;4;NA;6;1;1;1;213;0
22-May-2020 14:36:00;1328;PHILIPPINES;EN-GB;10;0;10;10;10;10;10;10;10;10;6;10;6;10;10;0;80;20;8;10;5;1;8;10;10;0;0;0;0;3;10;10;10;0;0;10;10;7;10;8;10;2;10;10;6;6;6;8;6;8;3;2;4;2;5;2;1;1;1;9;9;10;0;10;10;0;8;7;8;0;0;5;9;8;50;300;16;2;NA;29;1;0;1;NA;5;1;1;2;213;6
22-May-2020 14:38:00;1325;PHILIPPINES;EN-GB;10;0;7;10;10;10;10;10;9;9;9;10;10;10;10;70;20;10;7;7;3;9;7;10;10;6;7;2;2;2;9;7;2;2;2;9;9;8;8;8;9;9;7;9;8;8;9;9;7;8;7;4;7;7;3;2;7;1;4;8;8;7;3;8;7;2;8;7;9;10;40;8;14;10;50;900;16;1;NA;37;1;1;2;NA;3;1;1;1;213;6
22-May-2020 14:42:00;1692;PHILIPPINES;EN-GB;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;50;30;20;7;8;8;8;8;10;10;9;9;9;9;10;10;10;10;0;10;8;8;8;8;8;8;3;9;9;8;8;8;9;8;9;5;1;9;1;9;8;7;6;0;8;10;3;3;9;9;2;9;9;9;50;50;7;10;8;50;100;4;2;NA;39;1;4;3;NA;6;1;1;1;213;0
22-May-2020 14:43:00;1484;PHILIPPINES;EN-GB;10;4;10;10;10;4;4;4;4;2;10;10;10;10;10;80;10;10;3;3;0;2;1;10;10;10;1;0;1;2;10;10;10;3;2;9;8;10;8;9;7;6;10;10;10;10;10;10;10;10;2;1;10;2;5;8;10;3;3;10;7;3;7;4;6;4;6;7;6;0;70;5;16;8;49;100;4;3;TRANSGENDER WOMAN;33;2;0;6;self employed;5;1;1;1;213;6
22-May-2020 14:43:00;1455;PHILIPPINES;EN-GB;9;3;10;10;10;10;10;10;10;10;10;10;10;10;10;50;30;20;10;10;10;10;10;10;10;8;8;10;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;8;8;9;6;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;20;8;1;10;50;900;12;1;NA;34;3;0;3;NA;1;1;1;1;213;10
22-May-2020 14:44:00;1056;PHILIPPINES;EN-GB;10;5;10;10;10;10;10;10;10;3;10;10;10;10;10;5;85;10;8;7;6;3;7;10;10;8;3;3;8;7;8;9;9;10;4;7;7;6;7;7;7;7;8;10;7;7;8;10;6;9;7;3;8;2;3;3;6;3;3;8;7;10;3;7;7;2;7;5;8;40;40;5;9;8;50;3;4;1;NA;39;3;2;1;NA;6;1;1;1;213;6
22-May-2020 14:44:00;1536;PHILIPPINES;EN-GB;10;2;2;10;10;10;10;10;10;10;10;10;10;10;10;0;60;40;10;10;7;7;7;10;8;10;10;10;10;5;5;7;7;4;4;8;7;6;7;7;7;7;10;10;10;10;10;10;10;10;5;0;10;6;10;6;10;10;6;10;10;4;6;6;6;4;6;6;10;10;40;7;10;10;50;300;2;1;NA;48;3;4;1;NA;1;1;1;1;213;NA
22-May-2020 14:46:00;1387;PHILIPPINES;EN-GB;9;0;10;9;10;10;10;10;9;9;10;8;10;10;10;60;20;20;9;8;9;9;9;10;10;7;7;7;7;6;9;9;9;0;3;8;8;9;8;2;9;2;8;9;8;8;8;9;7;9;2;1;8;2;7;1;8;7;0;10;10;9;0;9;8;1;9;8;10;10;10;8;6;9;50;900;8;2;NA;30;3;2;1;NA;4;1;1;2;213;0
22-May-2020 14:47:00;1504;PHILIPPINES;EN-GB;10;6;9;10;10;10;10;10;9;10;10;10;10;9;9;75;15;10;3;7;9;9;8;10;9;8;6;9;9;9;7;6;9;5;6;8;6;6;6;3;8;0;9;10;7;6;6;6;6;9;6;6;6;7;8;6;8;6;6;10;10;8;0;6;7;0;7;6;10;70;90;6;16;7;40;300;4;2;NA;41;1;1;1;NA;9;1;1;1;213;0
22-May-2020 14:48:00;1288;PHILIPPINES;EN-GB;10;0;10;10;10;10;10;10;10;10;2;10;10;9;8;60;30;10;8;8;2;5;5;10;10;10;9;8;8;5;10;0;0;0;0;9;9;10;10;10;10;1;8;8;8;5;5;7;5;9;5;0;9;7;8;4;10;6;4;9;9;9;0;9;9;0;10;5;10;10;0;5;10;8;25;1;7;2;NA;26;2;0;3;NA;6;1;1;1;213;3
22-May-2020 14:50:00;1277;PHILIPPINES;EN-GB;10;5;8;10;5;10;10;10;10;10;10;10;10;10;10;75;25;0;5;5;9;5;8;10;10;10;10;10;10;10;10;8;7;7;7;10;8;6;6;7;7;6;10;10;8;8;8;10;7;8;5;5;9;9;9;5;8;9;5;9;10;5;5;9;8;8;8;9;8;20;50;5;1;9;50;6000;4;1;NA;30;3;1;2;NA;6;1;1;1;213;3
22-May-2020 14:53:00;1537;PHILIPPINES;EN-GB;10;8;10;10;10;10;10;10;10;7;9;10;10;9;10;60;20;20;1;7;10;8;6;10;10;8;6;6;5;4;10;10;10;3;3;10;8;8;10;8;8;5;8;8;8;8;9;8;6;9;6;3;7;6;7;2;6;2;1;8;8;5;4;8;6;4;6;8;8;80;90;8;14;9;25;3;4;2;NA;29;1;0;1;NA;4;1;1;2;213;8
22-May-2020 14:54:00;1134;PHILIPPINES;EN-GB;9;0;9;9;9;8;8;8;7;8;6;6;7;7;8;50;30;20;6;6;6;6;7;10;10;3;7;2;3;8;8;8;9;1;2;7;7;7;7;6;6;3;6;6;7;6;6;7;6;2;3;8;3;0;3;0;3;3;3;7;7;6;2;6;3;2;6;6;8;70;70;6;1;3;50;900;16;2;NA;33;1;0;2;NA;6;1;2;2;213;0
22-May-2020 14:55:00;826;PHILIPPINES;EN-GB;10;6;3;10;10;10;10;10;10;10;5;10;6;2;5;30;60;10;10;10;10;10;0;10;10;10;10;10;10;9;10;0;0;0;7;0;0;0;0;0;0;0;10;10;6;8;10;10;7;10;0;2;10;3;10;2;10;3;1;10;10;10;2;10;7;10;8;10;9;10;10;10;1;10;100;3;36;2;NA;25;3;1;6;Self employed;6;1;1;1;213;10
22-May-2020 15:00:00;1800;PHILIPPINES;EN-GB;10;0;7;8;9;10;8;9;2;6;8;9;10;10;10;5;35;60;8;7;3;8;3;10;10;8;7;0;6;6;4;8;10;4;7;7;7;6;8;10;6;2;6;8;8;3;4;8;6;6;8;8;7;6;8;5;10;1;1;10;8;2;1;4;2;4;8;8;10;10;30;6;9;7;50;300;30;1;NA;18;1;0;2;NA;6;1;1;1;213;0
22-May-2020 15:02:00;1807;PHILIPPINES;EN-GB;10;1;10;10;10;9;9;10;9;10;3;3;9;9;7;55;30;15;7;7;5;8;8;10;10;5;0;0;0;9;9;9;9;0;3;8;8;9;9;7;9;0;9;9;9;8;9;10;6;9;5;1;7;8;9;5;9;8;0;10;10;8;0;9;9;0;9;9;10;10;30;5;7;8;25;3;7;1;NA;45;1;1;1;NA;6;1;1;1;213;2
22-May-2020 15:02:00;2545;PHILIPPINES;EN-GB;9;2;9;8;10;8;8;8;8;8;8;9;9;8;8;50;30;20;3;6;6;6;6;8;8;4;3;3;3;4;7;8;8;8;2;7;7;7;7;6;7;7;6;6;6;6;6;8;6;6;4;3;6;2;2;2;6;2;1;8;8;4;4;6;6;3;4;4;7;60;60;6;16;4;50;300;4;2;NA;48;3;2;2;NA;7;1;1;1;213;3
22-May-2020 15:03:00;1034;PHILIPPINES;EN-GB;10;0;9;9;10;8;9;10;10;10;9;10;10;10;10;0;100;0;7;4;4;9;10;10;10;9;6;9;9;8;9;10;9;1;6;4;9;4;9;4;4;4;9;9;9;9;9;10;4;6;7;6;8;4;8;1;8;8;1;9;6;4;0;6;7;1;7;7;9;10;30;7;1;7;50;300;4;2;NA;30;1;0;1;NA;6;1;1;1;213;0
22-May-2020 15:04:00;1148;PHILIPPINES;EN-GB;10;0;10;10;10;5;5;10;10;0;10;10;10;10;10;50;40;10;10;9;4;4;2;10;10;10;10;10;10;8;10;10;10;6;0;5;5;8;8;5;5;5;10;10;8;5;5;10;8;10;8;0;9;5;5;2;5;7;0;10;10;6;0;8;8;1;7;9;10;50;50;10;16;9;150;300;4;2;NA;27;2;0;3;NA;6;1;1;1;213;9
22-May-2020 15:08:00;1424;PHILIPPINES;EN-GB;10;1;8;9;10;9;10;9;8;9;8;10;8;7;6;50;30;20;10;9;5;8;6;10;10;7;7;4;4;4;8;8;8;6;2;7;7;6;7;5;6;4;10;9;7;8;8;10;6;8;4;4;7;2;7;1;7;5;4;9;8;6;1;7;6;2;6;6;6;20;60;7;16;8;50;3;4;2;NA;32;3;3;2;NA;5;1;1;2;213;0
22-May-2020 15:10:00;1711;PHILIPPINES;EN-GB;10;10;7;10;7;10;10;10;10;2;9;7;6;10;10;10;60;30;4;7;2;8;10;7;10;6;8;6;2;7;7;7;9;7;8;6;8;9;8;7;6;6;9;7;10;10;10;10;4;8;4;4;7;7;7;8;8;8;9;8;9;7;8;7;9;6;8;10;7;20;20;10;1;7;NA;NA;NA;2;NA;52;3;0;1;NA;4;1;1;1;213;3
22-May-2020 15:10:00;2914;PHILIPPINES;EN-GB;10;0;6;9;10;9;9;10;8;9;8;9;8;6;7;20;50;30;5;6;7;9;5;6;7;5;5;5;4;6;7;6;4;4;3;7;6;6;7;6;7;6;8;9;7;8;8;9;8;7;6;2;9;5;6;5;7;6;5;8;8;8;3;6;6;3;7;7;8;10;60;10;14;9;50;300;8;2;NA;42;3;3;3;NA;6;2;1;1;213;0
22-May-2020 15:13:00;3101;PHILIPPINES;EN-GB;10;3;6;9;10;10;10;10;5;4;8;8;8;8;8;50;30;20;7;7;3;8;4;10;10;9;3;6;3;5;4;7;9;3;5;6;5;5;4;3;4;4;7;7;5;6;5;10;4;7;6;6;8;3;2;1;5;5;5;5;5;4;3;6;7;7;6;5;6;20;60;6;9;7;50;100;4;1;NA;58;3;1;5;NA;7;1;1;1;213;0
22-May-2020 15:13:00;2470;PHILIPPINES;EN-GB;10;0;10;10;10;10;10;10;8;10;10;10;10;10;10;60;30;10;2;3;5;5;5;8;8;10;5;10;10;3;8;9;10;2;2;8;7;8;10;5;8;5;7;8;5;5;5;9;7;10;5;2;7;5;8;0;8;5;5;10;10;7;0;7;7;0;0;0;10;30;50;5;16;5;25;3;4;2;NA;48;3;2;2;NA;7;1;1;2;213;5
22-May-2020 15:18:00;2781;PHILIPPINES;EN-GB;10;0;10;10;10;10;10;8;7;10;10;10;10;10;10;0;75;25;3;2;5;7;6;10;10;7;5;0;0;3;7;10;8;3;0;5;5;5;6;4;5;4;8;10;5;5;5;8;8;3;5;10;8;6;5;7;8;8;2;8;8;3;1;8;8;0;7;8;3;10;10;5;11;7;25;420;7;1;NA;45;1;0;1;NA;8;1;1;1;213;5
22-May-2020 15:19:00;3714;PHILIPPINES;EN-GB;10;1;5;10;10;10;10;10;10;10;10;10;10;10;10;40;30;30;8;8;9;9;7;10;10;8;9;7;7;8;9;9;10;1;1;10;10;10;10;10;10;10;10;8;8;7;9;8;7;10;5;1;9;8;9;1;9;6;3;10;10;2;1;2;2;1;7;3;10;70;70;9;16;10;50;1;128;2;NA;28;2;0;1;NA;3;1;1;2;213;10
22-May-2020 15:22:00;1580;PHILIPPINES;EN-GB;10;0;9;10;10;10;10;10;10;10;10;10;10;10;10;80;10;10;7;6;10;10;10;10;10;5;5;5;5;10;10;10;10;7;5;10;10;10;8;7;10;4;10;10;10;10;9;10;9;10;0;0;10;9;9;0;10;8;5;10;10;8;0;8;9;8;8;10;10;80;80;10;1;10;50;3;8;2;NA;23;1;1;1;NA;4;1;1;1;213;0
22-May-2020 15:22:00;2373;PHILIPPINES;EN-GB;9;0;10;9;10;9;9;10;9;7;10;10;9;9;10;20;50;30;3;3;7;8;7;10;10;1;2;1;2;8;10;10;10;0;0;8;7;9;9;7;8;2;3;4;7;8;8;9;7;7;8;1;8;1;1;0;1;0;0;10;8;4;0;7;9;1;6;4;6;60;80;3;7;7;25;300;8;1;NA;49;1;0;6;Freelancer;7;1;1;1;213;0
22-May-2020 15:25:00;1598;PHILIPPINES;EN-GB;10;1;10;10;10;10;10;10;10;10;10;9;10;10;10;10;60;30;8;7;9;9;10;10;10;6;2;2;2;2;9;8;8;7;7;8;8;7;7;7;7;7;9;9;9;9;9;9;8;9;7;1;9;2;6;2;8;8;3;8;8;8;1;8;8;1;8;8;8;10;30;7;1;9;50;900;4;1;NA;29;1;0;1;NA;3;1;1;1;213;0
22-May-2020 15:27:00;4277;PHILIPPINES;EN-GB;10;0;2;10;10;9;9;10;8;10;10;10;10;10;10;40;40;20;9;8;7;5;5;10;9;1;2;1;1;7;8;3;3;3;0;8;8;8;8;8;7;1;9;10;6;7;8;10;8;9;3;1;7;7;3;1;1;2;1;9;8;2;2;2;2;2;4;6;7;10;20;8;3;10;50;300;4;1;NA;37;1;0;1;NA;6;1;1;1;213;0
22-May-2020 15:31:00;1444;PHILIPPINES;EN-GB;10;4;8;9;9;9;9;10;10;7;10;10;10;10;10;80;20;0;6;7;6;9;6;10;10;8;7;8;7;6;8;8;8;4;7;7;6;8;8;6;7;7;7;9;8;8;7;9;8;9;7;8;6;8;6;3;9;6;4;9;10;6;3;7;8;2;7;6;10;20;40;6;14;7;50;300;4;1;NA;20;1;0;4;NA;9;1;1;1;213;3
22-May-2020 15:34:00;1323;PHILIPPINES;EN-GB;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;20;80;0;9;7;8;8;7;10;10;0;0;2;0;2;10;10;10;0;0;10;9;10;10;5;1;0;10;10;10;10;10;10;7;7;2;2;8;2;2;0;7;7;0;10;10;7;0;8;8;10;8;6;10;10;30;5;16;7;25;300;2;1;NA;32;3;1;3;NA;6;1;2;2;213;6
22-May-2020 15:36:00;1383;PHILIPPINES;EN-GB;10;0;6;10;10;10;10;10;10;3;10;3;10;6;8;10;70;20;10;8;8;9;9;10;10;8;8;7;4;10;8;6;8;3;4;6;8;4;6;6;6;4;8;8;8;6;6;10;10;10;7;2;8;3;7;1;10;3;4;8;10;4;4;7;7;4;6;4;6;40;50;7;1;10;50;900;16;2;NA;39;3;1;2;NA;6;1;1;1;213;8
22-May-2020 15:38:00;1625;PHILIPPINES;EN-GB;9;1;3;10;10;7;7;6;5;5;6;8;6;9;8;0;100;0;7;8;5;5;5;7;7;7;7;7;6;7;7;7;7;3;3;6;6;6;6;4;3;3;8;9;8;8;8;8;9;9;2;1;8;4;3;2;6;3;5;10;9;9;0;9;9;1;8;8;9;20;30;9;16;8;25;3;NA;1;NA;55;3;0;2;NA;4;1;1;1;213;0
22-May-2020 15:41:00;2511;PHILIPPINES;EN-GB;9;9;10;8;8;10;9;10;7;8;10;10;10;10;10;70;20;10;5;6;7;10;8;10;9;7;2;3;4;2;9;7;10;0;0;7;7;6;8;8;7;7;8;8;7;8;6;7;8;6;7;7;8;3;3;0;0;0;0;10;6;8;2;7;7;5;7;4;7;10;10;6;16;7;50;300;4;2;NA;23;1;0;3;NA;5;1;1;1;213;0
