RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
28-May-20,2024,UKRAINE,EN,10,0,10,5,9,5,5,10,4,9,10,10,5,10,10,50,50,0,9,8,10,9,9,10,10,0,0,0,5,0,10,9,8,0,0,8,8,10,10,8,10,10,10,10,5,8,8,10,5,10,2,8,8,5,0,5,10,8,0,10,8,5,0,5,5,0,4,5,5,30,30,5,5,8,25,3,2,1,NA,48,3,2,5,NA,4,1,1,2,213,0
28-May-20,2031,UKRAINE,EN,5,5,5,5,9,5,5,5,5,7,10,10,7,10,10,0,70,30,7,6,5,5,10,10,5,5,5,8,8,5,10,10,10,0,0,10,10,10,8,8,8,10,8,5,7,7,7,9,10,8,8,5,7,5,8,5,5,8,5,7,7,7,1,2,2,8,5,2,10,50,100,7,7,5,25,3,7,1,NA,39,3,2,1,NA,6,1,1,1,213,0
26-May-20,1435,UKRAINE,EN,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,98,1,1,5,5,10,10,6,10,10,0,0,0,0,10,7,7,3,2,2,5,5,10,5,2,2,0,0,0,0,0,0,10,10,10,0,0,10,5,7,3,5,3,3,10,10,10,0,10,0,10,5,0,10,50,50,5,4,7,50,3,2,1,NA,31,3,1,1,NA,6,1,1,1,213,0
26-May-20,1456,UKRAINE,EN,8,1,10,9,9,1,1,10,0,10,9,10,0,9,8,35,60,5,3,6,0,0,0,9,5,1,3,9,1,3,10,10,9,0,0,8,3,10,10,7,9,10,5,7,4,4,4,7,4,6,6,7,3,2,0,0,1,1,0,10,5,0,4,4,4,10,0,1,10,70,55,3,4,3,50,300,4,2,NA,45,3,2,2,NA,7,1,1,1,213,0
26-May-20,2114,UKRAINE,EN,2,5,5,7,7,10,10,10,6,3,5,5,1,7,7,90,10,0,4,5,5,1,1,7,6,5,5,6,5,2,10,9,9,0,1,5,5,6,7,6,8,9,4,4,5,2,3,5,4,6,5,8,5,2,4,4,4,4,0,10,5,5,0,3,4,0,5,3,10,10,8,1,11,3,50,3,7,1,NA,36,2,0,1,NA,6,1,1,1,213,0
26-May-20,751,UKRAINE,EN,0,5,5,10,10,10,10,10,0,5,10,10,0,10,0,95,5,0,5,5,0,0,0,8,5,5,5,5,5,4,10,10,10,0,0,9,9,10,9,5,5,5,10,10,8,5,5,9,10,10,5,0,5,0,5,0,5,5,0,10,9,0,0,0,0,0,5,5,5,1,5,5,14,9,50,900,4,1,NA,29,3,1,1,NA,6,1,1,1,213,0
27-May-20,1213,UKRAINE,EN,4,1,9,9,8,10,10,10,2,10,8,10,3,10,3,100,0,0,8,3,5,5,10,10,10,9,1,1,1,1,10,9,9,0,5,9,8,10,5,7,10,10,5,7,2,0,0,0,8,8,5,9,7,5,7,7,5,6,2,8,7,3,0,8,9,0,0,3,10,1,50,8,14,7,50,900,7,1,NA,46,3,0,1,NA,5,1,1,1,213,0
27-May-20,2146,UKRAINE,EN,10,0,10,10,10,10,10,10,10,10,7,7,5,7,5,10,80,10,7,7,5,7,5,10,10,5,5,5,5,5,7,7,7,0,0,7,7,7,7,7,7,7,8,8,5,5,5,7,5,8,5,0,5,5,5,0,5,5,0,8,8,5,0,7,0,5,0,0,7,5,5,5,16,8,50,900,4,2,NA,30,2,0,2,NA,4,1,1,1,213,0
27-May-20,1897,UKRAINE,EN,5,5,10,7,10,5,5,10,5,10,7,10,3,5,7,10,70,20,5,5,5,5,10,10,10,5,5,5,5,5,10,10,10,0,0,0,3,7,5,5,9,10,5,5,5,5,5,5,3,7,0,5,0,0,5,10,0,0,0,10,5,0,0,5,0,5,8,5,10,1,5,3,3,5,50,3,4,1,NA,38,NA,1,1,NA,6,1,1,1,213,0
27-May-20,1324,UKRAINE,EN,5,0,10,10,10,10,10,10,10,10,10,10,10,10,10,70,20,10,7,5,9,5,10,10,10,10,5,0,5,5,10,10,10,0,5,5,5,5,8,5,10,5,5,10,5,5,5,10,5,10,5,5,5,0,0,0,0,0,5,10,7,5,0,7,7,3,5,7,9,50,50,5,1,5,50,300,4,2,NA,42,3,1,1,NA,6,1,1,1,213,0
