RecordedDate,Duration (in seconds),Country,UserLanguage,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self-control_1,trait_self-control_2,trait_self-control_3,trait_self-control_4,self-esteem_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,Attention_check
4/24/2020 21:24,2423,NEPAL,EN/NP,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,50,50,9,9,5,5,9,10,10,0,0,0,0,5,10,10,10,0,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,9,0,0,0,5,5,0,10,10,9,0,10,0,7,10,7,7,0,10,5,16,10,0.1,100,24,3,Male,27,1,0,6,student ,8,2,1,1,213,9
4/24/2020 22:39,1026,NEPAL,EN/NP,10,2,9,8,9,8,8,8,6,7,8,8,2,8,8,0,50,50,6,8,6,2,4,7,7,1,4,2,2,4,8,8,10,1,1,8,8,8,8,8,8,6,8,8,8,8,8,8,6,9,3,3,7,8,6,7,6,3,1,8,9,4,1,8,8,1,7,9,8,30,60,4,12,7,0.1,3,24,1,,33,1,0,6,freelancer,6,1,1,1,213,3
4/26/2020 21:27,3747,NEPAL,NP,10,1,9,10,10,9,10,10,8,10,10,10,10,10,10,0,75,25,5,6,9,9,8,10,10,0,0,0,0,9,10,10,10,8,8,7,8,2,5,6,6,5,10,10,10,8,8,10,10,10,7,0,10,0,5,0,8,8,7,9,9,8,0,1,5,3,8,10,7,50,20,5,11,10,0.1,1,24,1,,30,3,1,6,Baideshik rojgar,6,2,1,1,213,4
5/3/2020 9:47,1617,NEPAL,EN/NP,9,1,7,8,9,7,8,8,4,7,7,8,10,8,9,60,30,10,5,6,3,4,4,7,5,1,1,1,1,5,8,7,8,1,3,5,5,5,7,6,6,7,7,7,7,3,6,6,5,5,5,10,7,7,5,6,7,5,3,6,3,3,3,5,4,3,5,3,6,50,50,5,4,5,0.1,100,47,1,,29,1,0,6,Laid off recently due to outbreak.,7,1,1,1,213,0
4/29/2020 12:14,3884,NEPAL,EN/NP,10,2,3,9,10,10,10,10,10,10,7,10,7,9,10,5,45,50,4,5,8,8,10,9,10,8,3,0,2,7,10,10,10,2,10,9,8,8,9,9,9,6,10,10,9,10,10,10,9,10,5,3,9,5,7,3,8,7,8,9,10,8,9,10,8,3,9,10,10,50,80,6,16,7,0.1,100,24,2,,22,1,0,6,ANM,6,1,1,1,213,10
5/5/2020 17:06,2445,NEPAL,EN/NP,2,0,1,6,3,9,10,10,2,9,10,10,10,10,10,20,30,50,5,5,8,10,10,10,10,0,0,0,0,1,8,10,10,8,9,10,9,7,10,3,9,7,8,10,7,10,1,10,4,9,3,9,4,2,0,0,10,9,7,9,10,7,0,9,9,2,9,9,10,100,70,6,16,7,0.1,5,24,1,,18,1,0,6,Leader at babai health desk.,6,2,1,1,213,9
4/27/2020 16:19,2759,NEPAL,EN/NP,10,1,1,1,1,8,8,8,7,6,9,9,9,9,9,0,50,50,6,8,6,7,6,8,5,2,1,1,1,3,9,9,8,2,2,8,8,9,8,6,8,8,7,9,7,7,7,10,7,8,8,7,7,3,1,2,7,5,2,9,8,4,1,6,7,1,6,7,10,90,70,5,7,7,0.5,5,49,1,,68,3,2,5,,7,1,1,1,213,0
5/4/2020 18:40,3311,NEPAL,EN/NP,10,0,10,10,10,7,7,7,7,9,9,9,9,9,9,5,75,20,9,9,9,3,7,10,10,1,1,1,1,9,9,9,9,1,1,7,7,7,7,7,7,7,10,10,9,9,9,10,9,9,3,1,7,3,3,1,7,7,3,9,9,9,0,9,9,1,9,8,7,0,10,7,16,7,0.1,100,24,2,,61,3,2,5,,4,1,1,1,213,9
4/28/2020 16:05,1957,NEPAL,EN/NP,10,1,9,9,10,9,8,10,6,9,9,10,10,10,9,0,70,30,8,9,7,2,5,10,5,1,1,0,1,1,10,10,10,0,1,6,9,10,10,8,5,9,10,10,10,10,10,10,10,9,1,2,10,6,5,5,5,6,4,10,10,0,0,5,5,0,7,9,6,0,0,5,16,10,0.05,5,47,1,,52,3,1,1,,6,1,1,1,213,10
5/3/2020 21:11,3399,NEPAL,EN/NP,9,0,10,9,10,10,10,10,7,10,2,1,1,1,3,5,30,65,2,7,10,10,10,10,10,10,2,7,2,0,10,10,10,0,3,8,8,10,8,10,10,8,10,10,8,8,7,7,9,9,7,0,9,2,8,7,9,9,10,10,10,7,3,9,9,3,9,9,10,10,0,6,9,8,0.1,1,47,1,,48,3,2,1,,6,1,1,1,213,10
