CONSENT FORM_0;CONSENT FORM_2;CONSENT FORM_3;QCONSENT FORM_4;physical_contact_0;physical_contact_1;physical_contact_2;physical_contact_3;physical_contact_4;physical_hygiene_0;physical_hygiene_1;physical_hygiene_2;physical_hygiene_3;physical_hygiene_4;policy_support_0;policy_support_1;policy_support_2;policy_support_3;policy_support_4;Generosity_1;Generosity_2;Generosity_3;psych_wellbeing0;psych_wellbeing1;collective_narcis_0;collective_narcis_1;collective_narcis_2;national_identity_0;national_identity_1;conspiracy_theories_0;conspiracy_theories_1;conspiracy_theories_2;conspiracy_theories_3;Open_mind_0;Open_mind_1;Open_mind_2;Open_mind_3;Open_mind_4;Open_mind_5;Morality_cooper_0;Morality_cooper_1;Morality_cooper_2;Morality_cooper_3;Morality_cooper_4;Morality_cooper_5;Morality_cooper_6;trait_optimism_0;trait_optimism_1;social_belonging_0;social_belonging_1;social_belonging_2;social_belonging_3;trait_self-control_0;trait_self-control_1;trait_self-control_2;trait_self-control_3;self-esteem;Attention check_0;narcissism_0;narcissism_1;narcissism_2;narcissism_3;narcissism_4;narcissism_5;moral_identity_0;moral_identity_1;moral_identity_2;moral_identity_3;moral_identity_4;moral_identity_5;moral_identity_6;moral_identity_7;moral_identity_8;moral_identity_9;risk_perception_1;risk_perception_2;political_ideology;moral_circle;health;CRT1;CRT2 ;CRT3;sex;sex_other;age;marital;children;employment;employment_other;ladder;urban ;tested_positive;know_tested_positive;no_bots
0;0;0;0;8;6;10;10;10;10;10;10;10;0;10;10;10;10;10;100;0;0;8;4;10;10;10;10;6;0;0;0;0;3;10;9;9;0;0;10;9;9;9;7;8;7;8;4;10;10;10;10;4;8;3;7;7;0;2;5;5;4;4;7;7;4;2;0;0;0;4;0;0;3;5;1;2;14;9;50;3;4;1;-2;18;1;0;4;-2;5;1;2;2;213
0;0;0;0;1;10;0;0;0;8;10;10;0;2;7;0;0;0;0;50;20;30;0;3;5;5;0;0;0;0;5;0;10;5;10;7;6;0;0;1;5;10;10;5;4;5;5;6;3;9;7;5;5;4;9;10;2;0;10;10;0;8;5;1;10;6;5;0;4;1;4;0;1;4;0;0;5;3;7;50;300;6;2;-2;18;1;0;3;-2;6;1;1;1;213
0;0;0;0;10;0;10;5;4;5;5;10;0;5;10;10;10;10;10;0;50;50;4;6;0;0;0;5;0;0;0;0;0;5;10;10;5;0;0;0;0;0;0;0;0;0;10;10;8;0;10;9;5;7;10;10;1;0;0;0;0;0;0;0;10;10;5;0;10;10;0;5;5;10;0;30;4;5;9;50;3;7;1;-2;18;2;0;4;-2;5;1;1;1;213
0;0;0;0;5;0;3;4;10;10;10;10;3;1;10;10;9;10;10;60;25;15;2;5;4;3;2;9;0;0;0;0;1;10;10;9;3;1;0;1;3;9;0;9;10;8;2;1;5;5;8;1;1;10;10;10;3;0;10;4;10;2;9;10;6;2;0;5;1;1;10;1;1;0;0;45;5;1;4;50;300;16;2;-2;18;1;0;4;-2;2;1;1;1;213
0;0;0;0;5;6;5;0;10;6;7;10;0;10;10;10;6;10;10;0;70;30;5;2;0;0;0;10;6;0;0;0;0;5;10;7;5;0;0;7;7;10;10;2;6;1;5;5;5;5;7;10;5;5;10;10;0;0;0;0;0;0;5;0;8;4;0;2;0;0;5;0;0;5;10;10;2;5;5;50;300;4;1;-2;19;2;0;4;-2;10;1;1;1;213
0;0;0;0;10;0;10;9;10;6;5;10;10;10;9;10;10;10;10;20;20;60;10;5;8;5;5;10;8;5;0;1;5;3;10;10;10;0;0;10;6;10;8;5;3;5;7;10;5;6;5;10;10;10;0;5;5;0;0;1;0;4;5;0;8;10;5;2;5;0;5;3;1;6;1;65;1;5;5;50;3;4;2;-2;19;2;0;4;-2;7;2;1;1;213
0;0;0;0;8;0;10;8;8;10;10;10;10;10;9;9;9;9;10;70;15;15;10;8;4;4;2;10;10;5;4;5;10;2;10;10;10;0;1;5;5;10;10;10;10;10;10;10;9;9;10;10;8;10;0;5;9;0;5;10;3;4;10;0;9;8;8;2;9;9;1;9;9;8;50;80;8;2;9;25;3;4;2;-2;19;2;0;4;-2;5;1;1;1;213
0;0;0;0;10;0;5;10;10;6;6;10;0;10;10;10;10;10;10;30;40;30;6;5;0;0;0;10;10;0;0;0;0;0;10;10;10;0;0;0;0;10;0;0;0;0;10;10;6;6;6;10;0;6;10;10;7;10;8;5;7;0;2;0;10;10;2;0;10;10;0;6;6;10;70;100;7;5;8;25;100;6;2;-2;19;2;0;4;-2;5;1;1;2;213
0;0;0;0;10;0;10;10;10;10;10;10;10;10;9;9;9;9;9;50;25;25;4;4;5;5;5;5;5;5;5;10;5;3;7;7;7;5;5;6;5;7;6;5;5;5;5;6;6;7;7;7;5;8;5;7;8;0;5;6;6;5;6;3;8;8;5;3;5;5;2;4;6;5;70;70;5;6;6;25;1;2;2;-2;19;2;0;4;-2;3;1;1;2;213
0;0;0;0;10;0;3;3;2;3;4;3;4;3;5;3;6;6;5;0;0;100;6;6;0;1;2;5;5;4;5;5;5;4;5;4;6;3;6;5;4;5;4;5;4;5;5;5;4;3;3;4;4;5;5;5;5;0;3;4;4;3;4;3;5;4;6;6;8;5;4;5;4;5;0;50;5;16;5;50;3;4;2;-2;19;1;0;4;-2;5;1;1;1;213
0;0;0;0;3;4;5;6;7;3;4;3;4;3;4;3;4;5;4;0;0;100;4;5;4;5;5;3;4;4;4;5;4;5;4;5;4;6;5;4;5;6;4;5;4;5;4;3;3;5;4;5;3;4;4;4;8;0;4;4;4;5;5;5;3;3;2;4;5;4;5;7;5;5;80;60;4;3;5;50;3;4;2;-2;19;1;0;4;-2;5;1;1;1;213
0;0;0;0;10;8;10;10;10;10;10;10;0;10;0;0;0;0;0;50;25;25;7;6;5;5;5;10;10;0;0;0;0;3;10;10;10;0;0;0;0;10;5;0;10;10;9;9;5;5;5;7;7;7;10;10;0;0;7;8;5;5;0;0;10;10;0;0;0;5;5;10;8;10;10;10;0;1;8;25;3;7;1;-2;19;1;0;4;-2;7;1;1;2;213
0;0;0;0;2;8;3;1;10;9;9;9;0;9;10;10;10;10;10;100;0;0;5;7;0;0;0;8;1;0;0;0;0;8;9;9;9;0;0;2;2;8;2;2;8;8;9;9;9;9;9;9;3;9;9;10;9;0;8;10;8;10;10;5;8;2;0;2;8;4;9;2;7;0;75;1;5;3;9;25;3;7;1;-2;19;1;0;4;-2;2;1;1;1;213
0;0;0;0;10;0;10;10;10;5;5;5;5;9;10;10;10;10;10;100;0;0;4;5;7;5;5;0;0;0;0;0;0;5;0;0;0;0;0;5;5;5;4;5;5;5;8;9;0;0;0;10;0;0;0;10;10;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;50;50;10;1;7;50;3;4;1;-2;20;1;0;3;-2;10;1;1;1;213
0;0;0;0;5;2;0;7;9;5;5;10;0;10;9;9;2;10;10;60;20;20;8;9;0;0;0;5;1;0;0;0;0;0;10;9;10;0;0;5;6;10;7;10;6;9;10;10;5;8;8;8;3;10;8;7;8;0;1;8;5;8;8;0;10;10;5;0;8;5;0;0;7;10;0;20;1;3;9;25;3;7;2;-2;20;1;0;2;-2;3;1;1;1;213
0;0;0;0;5;10;3;3;10;1;1;10;1;10;6;7;5;8;5;100;0;0;1;7;5;5;5;5;5;5;5;5;5;3;10;10;10;0;0;6;7;5;5;5;5;5;6;6;6;5;6;4;3;3;4;6;5;0;5;4;5;4;4;0;10;9;5;0;9;9;5;5;5;9;20;30;5;16;5;25;3;7;1;-2;20;2;0;4;-2;2;1;1;1;213
0;0;0;0;7;6;9;10;10;9;9;9;9;6;7;8;7;9;10;45;30;25;5;7;5;5;6;8;8;6;0;0;0;3;0;9;9;0;2;6;4;7;5;5;6;7;8;8;9;8;4;9;3;7;6;6;7;0;5;3;1;1;1;0;9;8;5;0;5;5;0;5;5;8;1;10;5;14;5;50;300;2;2;-2;20;1;0;4;-2;3;1;1;1;213
0;0;0;0;0;8;0;0;0;9;9;7;0;8;9;9;9;3;8;100;0;0;3;4;8;5;5;5;5;5;5;7;6;2;9;9;8;0;3;5;7;8;8;8;9;9;5;8;3;7;8;2;3;6;3;5;6;0;7;4;8;8;3;8;5;6;5;4;4;5;5;2;2;4;14;14;8;1;9;25;3;7;1;-2;20;1;0;4;-2;5;1;1;1;213
0;0;0;0;0;0;0;5;5;3;3;3;7;3;6;6;6;6;6;40;20;40;4;4;5;5;5;5;5;0;0;0;0;2;7;7;7;1;1;4;4;4;4;6;6;6;5;5;4;4;3;3;3;3;7;5;2;0;3;3;3;3;3;3;6;5;3;3;3;3;7;3;3;2;0;30;5;11;2;50;300;4;1;-2;20;1;0;4;-2;5;1;1;1;213
0;0;0;0;9;1;10;10;10;10;10;10;10;10;10;10;10;10;10;100;0;0;8;8;5;5;5;0;2;3;0;0;3;5;8;10;10;0;7;5;2;10;8;10;2;9;3;5;2;3;2;1;10;10;6;2;7;0;8;10;10;6;10;10;5;4;5;7;4;7;2;3;3;5;30;70;5;4;7;50;300;4;1;-2;20;2;0;4;-2;5;1;1;1;213
0;0;0;0;7;4;7;9;9;6;6;7;2;6;10;8;9;8;8;70;20;10;6;5;8;6;6;10;9;2;0;0;0;7;7;7;7;4;4;6;6;8;8;6;9;9;8;8;7;7;7;7;7;5;3;3;8;0;1;5;1;5;5;6;7;7;5;2;3;3;6;3;3;5;5;5;5;10;9;50;300;7;1;-2;20;1;0;3;-2;5;1;1;1;213
0;0;0;0;10;0;6;10;10;5;5;10;9;10;10;10;10;10;10;50;25;25;7;6;8;8;10;10;10;10;7;1;8;5;10;8;10;0;0;10;10;10;10;5;10;5;10;10;10;8;9;10;8;10;2;8;6;0;0;1;5;5;5;2;7;6;5;2;5;4;6;6;6;8;0;100;5;16;10;50;300;4;1;-2;21;2;0;4;-2;5;1;1;1;213
0;0;0;0;10;2;10;10;10;5;5;10;1;10;10;10;10;10;10;50;25;25;5;5;0;0;0;9;5;0;0;0;1;0;10;10;10;0;0;6;5;10;7;6;10;10;5;6;2;10;10;8;10;10;2;3;0;0;5;0;0;1;5;0;8;8;5;1;5;7;5;5;7;5;1;50;5;1;7;50;9000;4;2;-2;21;1;0;4;-2;7;2;1;1;213
0;0;0;0;9;0;10;10;10;7;8;10;10;10;9;10;5;8;5;20;40;40;6;6;3;5;6;8;5;0;3;0;2;5;10;5;8;0;2;5;7;6;7;5;4;6;9;7;7;9;9;8;7;7;5;8;5;0;7;5;0;7;5;2;10;7;6;0;5;5;5;5;4;6;5;45;5;7;9;50;300;3;1;-2;21;1;0;1;-2;5;1;1;2;213
0;0;0;0;5;10;0;4;10;0;0;10;0;10;10;10;5;10;0;50;50;0;0;0;10;10;10;10;10;0;0;0;0;5;0;10;10;0;0;10;5;10;10;5;0;10;0;0;5;10;4;10;7;5;10;4;5;0;3;5;0;0;0;0;10;10;5;0;5;5;10;10;0;10;0;80;0;1;5;50;100;4;2;-2;21;2;0;4;-2;5;1;1;1;213
0;0;0;0;10;10;10;10;5;0;0;10;0;10;10;10;0;10;10;100;0;0;1;0;0;0;0;10;10;0;0;0;0;1;10;10;10;0;0;7;7;9;9;8;9;10;0;1;10;10;10;10;6;6;2;6;6;0;2;2;1;1;4;0;9;7;0;0;6;2;2;5;0;6;5;25;2;3;7;25;3;7;1;-2;21;1;0;3;-2;6;1;1;1;213
0;0;0;0;2;3;3;2;3;0;1;1;2;2;6;7;6;6;5;40;30;30;4;6;5;3;7;8;6;3;7;7;6;6;3;4;3;6;6;3;2;1;0;1;2;3;6;4;4;6;4;6;3;5;5;4;3;0;3;7;7;4;5;4;2;3;2;7;7;6;5;4;4;3;20;30;3;9;5;50;300;4;1;-2;21;2;0;4;-2;5;1;1;1;213
0;0;0;0;8;3;5;8;10;10;10;10;6;8;9;8;10;10;8;90;10;0;2;4;2;2;1;9;4;2;2;2;1;2;10;10;10;0;3;8;4;9;8;7;9;10;4;5;4;4;7;8;8;9;5;6;8;0;2;5;2;2;6;5;5;6;6;2;3;4;5;6;2;4;60;60;5;3;6;25;3;7;1;-2;21;1;0;4;-2;5;1;1;1;213
0;0;0;0;10;0;10;10;10;0;0;10;5;5;10;10;10;10;10;100;0;0;10;6;10;10;10;10;10;5;0;0;7;10;10;10;10;0;2;10;0;10;5;0;0;7;10;10;0;0;0;10;8;5;0;10;7;10;0;3;10;6;0;5;10;10;10;0;5;5;5;5;5;10;0;40;10;4;10;50;900;4;1;-2;21;2;0;5;-2;4;1;1;1;213
0;0;0;0;5;10;10;0;10;5;5;6;7;10;10;10;10;10;10;100;0;0;5;7;5;5;5;5;0;1;1;1;1;5;10;10;10;0;5;5;5;10;6;8;10;10;5;6;2;2;4;9;5;8;10;10;5;0;6;6;5;0;5;0;8;4;4;1;1;1;4;0;0;4;2;90;3;5;7;25;3;4;2;-2;21;2;0;4;-2;5;1;1;1;213
