RecordDate;Duration_sec;Country;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;k1w_tested_positive;AttCheck_1bots;AttCheck2
1/05/20 6:45;Not available;Colombia;SPA;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;0,00;100,00;0,00;6;7;8;8;5;10;10;0;0;0;0;0;10;10;10;0;0;5;10;10;10;10;0;0;7;10;10;7;7;10;7;10;7;0;8;0;5;0;5;0;0;10;10;5;0;5;10;0;10;10;10;90;90;5;12;10;0,10;1;24;2;;35;3;1;2;Not available;7;1;1;1;213;0
1/05/20 7:37;Not available;Colombia;SPA;10;1;10;9;10;8;8;10;10;10;10;10;8;10;10;0,00;100,00;0,00;6;7;5;5;0;8;5;0;0;0;0;1;10;10;10;0;2;2;7;8;7;2;8;10;8;9;3;8;8;8;8;10;2;1;8;6;6;1;6;6;2;7;6;0;2;2;3;6;2;2;6;1;10;4;11;10;0,10;5;47;2;;39;3;2;1;Not available;9;1;1;1;213;0
1/05/20 10:08;Not available;Colombia;SPA;10;0;7;10;10;10;10;8;2;10;10;10;10;10;10;71,38;5,10;15,30;8;8;5;6;7;10;7;5;5;5;5;7;10;10;10;0;3;10;10;8;6;3;1;2;8;10;6;9;9;10;1;6;8;5;7;5;5;5;2;5;1;10;7;3;0;5;5;0;0;0;3;10;20;5;3;7;10,00;500;24;2;;62;3;3;5;Not available;5;1;1;1;213;10
1/05/20 10:37;Not available;Colombia;SPA;10;0;10;10;0;10;10;10;10;10;10;10;10;10;10;100,00;6,25;0,63;8;6;5;5;5;10;10;0;0;0;0;0;10;10;10;0;0;10;10;7;10;5;5;5;10;10;10;10;10;10;8;10;3;0;5;0;0;0;3;0;0;10;5;0;0;0;4;4;4;8;10;50;50;5;16;7;0,10;100;24;1;;60;3;5;6;Not available;6;2;1;1;213;10
1/05/20 10:52;Not available;Colombia;SPA;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;11,62;5,81;5,81;6;6;1;10;0;10;5;5;2;0;1;0;10;10;10;10;0;8;9;8;9;6;7;8;6;9;6;6;3;10;5;9;5;7;6;1;7;1;7;3;1;8;6;2;1;1;0;5;5;2;8;2;98;2;14;7;10,00;1;24;2;;26;2;0;3;Not available;7;1;1;1;213;0
1/05/20 13:30;Not available;Colombia;SPA;9;8;10;7;10;8;8;10;5;9;10;10;9;10;10;0,00;66,67;33,33;7;9;8;9;6;10;10;5;3;1;0;1;10;10;10;2;3;8;8;5;7;4;1;2;9;8;7;9;9;8;6;7;3;2;8;6;7;1;7;5;2;10;8;5;0;6;7;1;1;5;10;75;85;4;9;7;0,05;5;24;2;;19;1;0;4;Not available;9;1;1;1;213;0
1/05/20 14:02;Not available;Colombia;SPA;10;0;10;10;10;10;10;10;10;7;10;10;10;10;10;0,00;100,00;100,00;6;6;5;8;7;10;10;8;7;1;5;5;8;9;8;9;3;8;8;9;9;9;5;5;9;9;8;7;8;9;6;9;4;3;9;3;9;2;8;5;2;8;8;4;2;7;8;3;5;7;3;100;100;5;5;10;0,05;100;47;1;;22;1;0;4;Not available;7;1;1;1;213;0
1/05/20 14:18;Not available;Colombia;SPA;10;0;10;10;10;7;8;10;10;10;10;8;6;9;10;100,00;0,00;0,00;5;8;7;5;7;10;10;0;0;0;0;0;10;10;10;0;0;7;3;7;7;7;5;1;8;6;8;8;8;9;4;7;9;8;4;4;6;7;7;5;8;8;7;7;2;8;5;2;2;5;6;25;40;6;3;7;0,50;2000;47;1;;19;1;0;4;Not available;8;1;1;1;213;0
1/05/20 14:37;Not available;Colombia;SPA;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;68,18;11,36;11,36;3;6;0;7;0;10;6;3;0;0;0;0;10;10;10;0;0;7;9;8;7;4;2;0;9;9;10;10;10;9;3;2;8;10;6;0;1;0;0;0;0;10;9;5;0;8;7;0;6;8;10;30;70;3;14;4;5,00;20;7;2;;19;1;0;4;Not available;8;1;1;1;213;0
1/05/20 14:49;Not available;Colombia;SPA;10;0;10;10;10;2;1;10;0;10;7;10;10;10;10;22,78;45,57;31,65;2;8;7;9;7;10;10;0;0;0;0;1;10;10;8;1;1;7;8;10;9;2;2;0;8;8;4;6;8;3;6;4;8;9;8;5;4;3;8;1;1;10;10;2;0;2;2;0;2;1;10;0,2;12;3;14;9;0,50;5;47;2;;20;1;0;4;Not available;10;1;1;1;213;0
