"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","sex","sex_3_TEXT","age","physical_contact_1","physical_contact_2","physical_contact_3","physical_contact_4","physical_contact_5","physical_hygiene_1","physical_hygiene_2","physical_hygiene_3","physical_hygiene_4","physical_hygiene_5","policy_support_1","policy_support_2","policy_support_3","policy_support_4","policy_support_5","generosity_1","generosity_2","generosity_3","psych_wellbeing1_1","psych_wellbeing2_1","collective_narcis_1","collective_narcis_2","collective_narcis_3","national_identity_1","national_identity_2","conspiracy_theories_1","conspiracy_theories_2","conspiracy_theories_3","conspiracy_theories_4","open_mindness_1","open_mindness_2","open_mindness_3","open_mindness_4","open_mindness_5","open_mindness_6","morality_as_cooperat_1","morality_as_cooperat_2","morality_as_cooperat_3","morality_as_cooperat_4","morality_as_cooperat_5","morality_as_cooperat_6","morality_as_cooperat_7","trait_optimism_1","trait_optimism_2","social_belonging_1","social_belonging_2","social_belonging_3","social_belonging_4","trait_self.control_1","trait_self.control_2","trait_self.control_3","trait_self.control_4","self.esteem_1","Q108_1","narcissism_1","narcissism_2","narcissism_3","narcissism_4","narcissism_5","narcissism_6","moral_identity_1","moral_identity_2","moral_identity_3","moral_identity_4","moral_identity_5","moral_identity_6","moral_identity_7","moral_identity_8","moral_identity_9","moral_identity_10","risk_perception_1","risk_perception_2","political_ideology_1","moral_circle1","health_1","CRT1","CRT2","CRT3","marital","children","employment","employment_6_TEXT","ladder_answer","urban","tested_positive","know_tested_positive","no_bots","FL_28_DO"
"1","27/04/2020 16.38","27/04/2020 16.47",0,"176.77.156.36",100,565,1,"27/04/2020 16.47","R_3dH48Scxov7H3AC",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",56,10,0,9,9,10,7,9,10,9,10,10,10,10,10,10,50,25,25,4,2,0,0,0,10,5,5,2,0,1,7,10,10,10,0,1,8,6,9,6,0,3,0,6,6,5,6,8,9,7,10,7,4,7,0,4,5,3,6,5,2,8,9,6,0,6,7,0,6,8,8,90,90,5,16,6,25,1,7,2,4,1,"",7,1,1,1,213,"MoralIdentity|Attentioncheck|Psychologicalwell-being|Narcissism|Traitoptimism|Collectivenarcissism|Self-esteem|Morality-as-cooperation(shortversion)|Anti-coronapolicysupport|Generosity|Physicalcontact|Riskperception|Physicalhealth|ConspiracyTheoriesCOVID-19|Physicalhygiene|Socialbelonging|Open-mindedness|NationalIdentification|Politicalideology|Moralcircle|Traitself-control"
"2","27/04/2020 16.39","27/04/2020 16.50",0,"80.98.89.117",100,635,1,"27/04/2020 16.50","R_2TTQWZBuq6JLZdd",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",50,6,0,4,10,10,10,10,10,0,0,10,10,10,10,10,100,0,0,0,0,0,10,0,6,0,0,0,0,0,10,10,10,10,0,0,10,10,10,10,0,10,0,6,6,0,0,6,0,0,10,10,0,6,5,4,10,4,10,10,4,4,4,4,1,3,6,9,0,0,0,20,70,5,16,2,50,900,4,1,0,3,"",11,1,1,1,213,"MoralIdentity|Self-esteem|Traitoptimism|Attentioncheck|ConspiracyTheoriesCOVID-19|Physicalcontact|Traitself-control|Psychologicalwell-being|Open-mindedness|Collectivenarcissism|Anti-coronapolicysupport|Socialbelonging|Physicalhealth|Moralcircle|Narcissism|Morality-as-cooperation(shortversion)|Riskperception|Politicalideology|NationalIdentification|Generosity|Physicalhygiene"
"3","27/04/2020 16.34","27/04/2020 16.51",0,"94.21.8.21",100,1016,1,"27/04/2020 16.51","R_wTPcyZ3CMEudEKR",NA,NA,NA,NA,48.09649658,20.78340149,"anonymous","HU",1,"",52,10,10,10,10,10,10,10,10,6,0,10,10,10,10,10,80,20,0,3,6,0,0,10,10,10,10,10,0,10,0,10,10,10,0,0,10,10,10,8,10,10,10,2,2,2,8,8,10,4,10,10,8,6,0,10,8,0,6,2,8,10,8,3,0,2,0,0,0,5,10,60,60,5,5,5,25,3,7,1,0,1,"",7,1,1,1,213,"Anti-coronapolicysupport|Attentioncheck|Self-esteem|Physicalhygiene|Generosity|Narcissism|Socialbelonging|MoralIdentity|Traitself-control|Open-mindedness|Psychologicalwell-being|Riskperception|Collectivenarcissism|Moralcircle|ConspiracyTheoriesCOVID-19|Traitoptimism|Morality-as-cooperation(shortversion)|Physicalhealth|NationalIdentification|Physicalcontact|Politicalideology"
"4","27/04/2020 16.39","27/04/2020 16.52",0,"89.147.66.145",100,741,1,"27/04/2020 16.52","R_Z2irgiAwtd51jtT",NA,NA,NA,NA,47.53039551,21.62789917,"anonymous","HU",1,"",45,10,7,10,9,10,6,6,8,6,6,2,0,0,0,3,0,100,0,7,5,9,10,6,10,10,7,1,9,8,10,10,10,10,6,6,9,9,9,9,7,6,6,6,6,6,6,8,7,9,10,1,8,7,0,0,9,1,9,9,6,9,9,6,0,9,8,0,6,6,6,0,80,8,11,6,25,300,4,1,0,1,"",7,1,1,1,213,"Physicalcontact|Psychologicalwell-being|Riskperception|Traitself-control|ConspiracyTheoriesCOVID-19|Physicalhygiene|Moralcircle|Morality-as-cooperation(shortversion)|NationalIdentification|Physicalhealth|Traitoptimism|Open-mindedness|MoralIdentity|Anti-coronapolicysupport|Narcissism|Attentioncheck|Generosity|Self-esteem|Socialbelonging|Politicalideology|Collectivenarcissism"
"5","27/04/2020 16.32","27/04/2020 16.52",0,"92.249.252.250",100,1168,1,"27/04/2020 16.52","R_sUsiKmlCmxuxD2x",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",66,7,2,7,7,8,7,7,7,7,7,5,5,5,8,8,50,50,0,6,7,5,5,5,9,9,1,2,5,5,5,7,7,7,5,5,7,5,6,7,3,5,2,3,5,5,7,7,7,7,7,5,3,4,0,5,5,3,3,3,5,7,5,5,5,5,5,5,5,5,5,30,30,3,9,5,50,100,4,3,2,5,"",6,1,1,1,213,"Psychologicalwell-being|Narcissism|Traitoptimism|Anti-coronapolicysupport|ConspiracyTheoriesCOVID-19|Socialbelonging|Physicalhygiene|Traitself-control|Morality-as-cooperation(shortversion)|Politicalideology|Open-mindedness|Physicalcontact|NationalIdentification|Collectivenarcissism|Physicalhealth|Self-esteem|Moralcircle|Riskperception|Generosity|Attentioncheck|MoralIdentity"
"6","27/04/2020 16.33","27/04/2020 16.53",0,"5.38.137.243",100,1162,1,"27/04/2020 16.53","R_1rlgeYwcveSNWuq",NA,NA,NA,NA,48.07299805,19.2960968,"anonymous","HU",1,"",75,10,0,10,10,10,10,10,10,0,10,10,10,3,10,10,100,0,0,9,8,0,0,0,1,1,0,0,0,0,4,10,10,10,0,7,9,9,4,4,1,0,0,6,6,8,7,8,7,4,3,6,7,7,0,0,0,0,0,1,9,10,8,0,0,0,0,0,0,0,10,10,80,1,14,3,25,3,4,3,3,5,"",7,2,1,1,213,"Generosity|MoralIdentity|Narcissism|Collectivenarcissism|NationalIdentification|Psychologicalwell-being|Attentioncheck|Open-mindedness|Moralcircle|ConspiracyTheoriesCOVID-19|Anti-coronapolicysupport|Socialbelonging|Self-esteem|Physicalhealth|Traitself-control|Traitoptimism|Physicalcontact|Physicalhygiene|Politicalideology|Riskperception|Morality-as-cooperation(shortversion)"
"7","27/04/2020 16.32","27/04/2020 16.53",0,"94.44.238.95",100,1234,1,"27/04/2020 16.53","R_DNMsf50Usf2h6Uh",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",1,"",70,9,0,10,10,10,9,9,9,7,10,10,10,10,10,10,70,30,0,8,7,2,9,7,10,10,0,0,0,0,7,9,9,9,1,0,10,10,10,8,5,6,0,9,9,9,9,8,9,9,9,3,7,8,0,1,2,7,6,4,2,7,8,8,0,7,9,1,9,8,9,20,60,9,5,7,50,3,4,3,3,5,"",4,2,1,1,213,"Traitself-control|Psychologicalwell-being|Physicalhygiene|NationalIdentification|Physicalhealth|Riskperception|Collectivenarcissism|Anti-coronapolicysupport|Attentioncheck|Politicalideology|Traitoptimism|Socialbelonging|Generosity|ConspiracyTheoriesCOVID-19|Moralcircle|Self-esteem|MoralIdentity|Physicalcontact|Morality-as-cooperation(shortversion)|Narcissism|Open-mindedness"
"8","27/04/2020 16.30","27/04/2020 16.53",0,"31.171.239.205",100,1346,1,"27/04/2020 16.53","R_veP9KMDJy3PCsP7",NA,NA,NA,NA,47.71229553,18.01130676,"anonymous","HU",1,"",51,10,6,10,10,10,10,10,10,7,9,10,10,9,10,9,61,36,3,6,7,6,7,5,9,8,8,0,0,0,8,9,10,10,0,2,4,8,9,7,2,1,0,7,6,5,6,8,7,4,8,6,7,7,0,4,8,1,7,6,2,9,3,2,0,3,4,1,1,3,3,0,30,7,1,6,25,3,7,2,0,1,"",5,2,1,1,213,"Riskperception|Physicalcontact|MoralIdentity|Politicalideology|Morality-as-cooperation(shortversion)|ConspiracyTheoriesCOVID-19|Traitself-control|NationalIdentification|Anti-coronapolicysupport|Attentioncheck|Generosity|Collectivenarcissism|Self-esteem|Traitoptimism|Physicalhealth|Narcissism|Physicalhygiene|Moralcircle|Psychologicalwell-being|Open-mindedness|Socialbelonging"
"9","27/04/2020 16.41","27/04/2020 16.55",0,"80.99.124.119",100,826,1,"27/04/2020 16.55","R_1NlHJ8hAjHqYCUg",NA,NA,NA,NA,47.49839783,19.04040527,"anonymous","HU",2,"",27,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,0,100,0,8,8,5,5,5,10,10,3,3,0,2,5,9,9,9,0,0,10,7,10,8,6,3,3,9,10,10,10,10,10,4,9,5,4,9,0,6,5,0,6,6,0,10,10,7,0,7,6,0,7,7,8,20,80,5,6,9,25,300,7,2,0,1,"",4,1,1,1,213,"Riskperception|MoralIdentity|Physicalcontact|Moralcircle|ConspiracyTheoriesCOVID-19|Open-mindedness|Physicalhealth|Physicalhygiene|Psychologicalwell-being|Morality-as-cooperation(shortversion)|Generosity|Attentioncheck|NationalIdentification|Politicalideology|Traitself-control|Collectivenarcissism|Narcissism|Anti-coronapolicysupport|Self-esteem|Traitoptimism|Socialbelonging"
"10","27/04/2020 16.38","27/04/2020 16.55",0,"89.135.5.194",100,1007,1,"27/04/2020 16.55","R_2S1xdIBscyWvW0W",NA,NA,NA,NA,46.08329773,18.23330688,"anonymous","HU",2,"",59,10,0,10,10,10,8,10,7,7,6,10,10,3,10,6,70,30,0,3,3,5,5,4,10,6,4,0,0,2,4,10,10,10,0,0,10,9,10,8,3,4,0,6,6,6,10,10,10,10,10,3,6,6,7,0,4,0,4,6,0,9,10,6,0,10,7,0,10,10,10,10,30,5,3,7,25,900,7,3,3,5,"",7,2,1,2,213,"Anti-coronapolicysupport|Physicalcontact|Moralcircle|Narcissism|ConspiracyTheoriesCOVID-19|Physicalhygiene|Psychologicalwell-being|Physicalhealth|Traitoptimism|Attentioncheck|MoralIdentity|Collectivenarcissism|Self-esteem|Socialbelonging|Riskperception|NationalIdentification|Open-mindedness|Morality-as-cooperation(shortversion)|Generosity|Traitself-control|Politicalideology"
