"","RecordedDate","Duration_sec","Country","Language","physical_contact_1","physical_contact_2","physical_contact_3","physical_contact_4","physical_contact_5","physical_hygiene_1","physical_hygiene_2","physical_hygiene_3","physical_hygiene_4","physical_hygiene_5","policy_support_1","policy_support_2","policy_support_3","policy_support_4","policy_support_5","generosity_1","generosity_2","generosity_3","psych_wellbeing1","psych_wellbeing2","collective_narcis_1","collective_narcis_2","collective_narcis_3","national_identity_1","national_identity_2","Conspiracy_theories_1","Conspiracy_theories_2","Conspiracy_theories_3","Conspiracy_theories_4","open_mindedness_1","open_mindedness_2","open_mindedness_3","open_mindedness_4","open_mindness_5","open_mindness_6","morality_as_cooperat_1","morality_as_cooperat_2","morality_as_cooperat_3","morality_as_cooperat_4","morality_as_cooperat_5","morality_as_cooperat_6","morality_as_cooperat_7","trait_optimism_1","trait_optimism_2","social_belonging_1","social_belonging_2","social_belonging_3","social_belonging_4","trait_self_control_1","trait_self_control_2","trait_self_control_3","trait_self_control_4","self_esteem","narcissism_1","narcissism_2","narcissism_3","narcissism_4","narcissism_5","narcissism_6","Moral_ID_1","Moral_ID_2","Moral_ID_3","Moral_ID_4","Moral_ID_5","Moral_ID_6","Moral_ID_7","Moral_ID_8","Moral_ID_9","Moral_ID_10","risk_perception_1","risk_perception_2","political_ideology","moral_circle","health_cond","CRT1","CRT2","CRT3","sex","sex_other","age","marital_status","children","employ_status","employ_status_other","Ladder","urban","tested_positive","know_tested_positive","AttCheck_nobots","AttCheck2"
"1","27/04/2020 14:20",2645,"MOROCCO","FRENCH",8,5,8,9,10,7,10,10,10,10,10,10,10,10,10,60,35,5,7,7,10,8,10,10,10,6,5,NA,6,1,9,10,9,0,1,8,10,10,10,9,9,9,8,8,7,7,7,9,7,9,5,3,8,5,8,0,8,8,5,9,9,2,0,9,6,3,4,7,7,50,60,5,10,6,"50","300","4",1,"",36,3,1,1,"",4,1,1,1,"213",0
"2","27/04/2020 17:38",1477,"MOROCCO","FRENCH",6,4,9,9,9,7,8,8,8,8,9,9,5,6,7,70,30,0,4,4,4,1,2,4,5,5,5,5,5,3,7,7,7,4,2,6,7,10,9,7,9,10,5,4,6,7,6,5,4,5,7,2,3,2,5,1,2,3,7,7,8,4,1,8,8,4,9,4,5,50,50,3,9,5,"50","300","8",1,"",60,3,2,1,"",5,1,1,1,"213",0
"3","28/04/2020 19:30",3686,"MOROCCO","FRENCH",8,0,10,10,10,0,10,10,10,8,10,10,10,10,10,0,75,25,7,8,10,10,10,10,10,10,10,8,8,0,10,10,10,0,0,10,10,10,10,10,10,0,8,9,10,9,10,0,10,10,3,0,3,7,8,0,5,8,0,10,8,10,0,9,3,0,10,10,10,30,60,6,NA,9,"25","300","4",1,"",25,1,0,2,"",6,1,1,1,"213",10
"4","28/04/2020 20:13",4268,"MOROCCO","FRENCH",10,0,10,10,10,6,7,10,8,10,10,10,10,10,7,0,60,40,9,6,7,8,8,10,6,5,5,5,5,4,9,9,10,0,1,8,7,9,9,5,2,9,9,5,3,8,9,2,6,7,7,9,9,4,10,6,10,9,7,9,6,3,5,3,4,6,2,3,8,20,70,8,14,3,"0","300","7",2,"",20,1,0,4,"",5,1,1,1,"213",0
"5","29/04/2020 01:23",2736,"MOROCCO","FRENCH",10,0,10,9,9,10,10,10,10,8,10,8,8,9,9,40,60,0,6,5,9,7,8,10,10,5,3,5,5,1,8,8,9,1,3,6,8,9,8,6,4,5,8,8,5,5,5,2,9,8,5,4,5,5,7,2,7,6,3,8,7,8,2,8,9,1,8,8,8,20,20,5,16,7,"50","3","7",1,"",30,1,0,3,"",5,1,1,1,"213",0
"6","02/05/2020 00:35",2696,"MOROCCO","FRENCH",10,0,10,10,10,8,7,10,3,8,10,10,6,10,10,50,50,0,4,4,3,10,10,10,10,5,2,7,7,2,10,10,8,0,0,5,10,10,10,3,8,10,4,4,5,5,5,8,4,8,5,7,7,0,5,5,5,7,0,5,5,5,5,6,5,5,5,0,0,50,70,5,16,4,"50","300","4",1,"",27,2,0,1,"",6,1,1,2,"213",0
"7","02/05/2020 00:39",3251,"MOROCCO","FRENCH",10,0,8,10,10,10,10,10,10,8,10,10,10,10,10,0,100,0,10,7,0,0,5,10,10,5,5,5,5,2,10,10,10,0,2,8,7,10,8,0,6,8,8,3,10,10,10,10,8,10,7,2,10,0,0,0,0,0,0,8,8,2,2,2,8,2,2,2,8,20,20,4,5,9,"50","3","7",1,"",28,1,0,1,"",4,1,1,1,"213",0
"8","02/05/2020 00:40",2909,"MOROCCO","FRENCH",10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,100,0,0,5,5,10,5,5,10,10,5,5,5,5,5,10,10,10,0,0,5,10,10,5,5,10,10,10,10,5,8,10,10,3,8,4,0,10,5,5,0,10,5,0,5,8,0,0,0,0,0,0,0,10,50,20,NA,4,7,"25","3","7",1,"",28,1,0,3,"",6,1,1,2,"213",0
"9","02/05/2020 01:46",9589,"MOROCCO","FRENCH",7,0,6,9,10,8,8,10,7,10,10,10,10,10,6,30,60,10,3,6,10,10,7,10,10,10,5,7,0,3,10,10,8,8,3,10,10,10,5,5,5,0,8,4,4,7,6,7,4,8,5,3,8,3,4,2,8,7,0,4,6,3,2,5,3,2,4,3,8,50,40,5,16,7,"50","100","7",1,"",30,1,0,1,"",6,1,1,1,"213",6
"10","02/05/2020 01:49",1578,"MOROCCO","FRENCH",10,0,10,10,10,9,10,9,8,10,10,10,10,10,10,50,50,0,4,7,7,3,8,10,10,10,0,8,2,3,9,10,10,3,1,5,5,9,7,6,0,0,7,8,8,4,6,2,0,8,7,7,4,3,7,1,3,7,3,4,9,3,5,9,7,5,1,0,5,80,80,1,3,6,"50","3","2",2,"",33,1,0,6,"lawyer",4,1,1,2,"213",0
