;RecordedDate;Duration_sec;Country;Language;physical_contact_1;physical_contact_2;physical_contact_3;physical_contact_4;physical_contact_5;physical_hygiene_1;physical_hygiene_2;physical_hygiene_3;physical_hygiene_4;physical_hygiene_5;policy_support_1;policy_support_2;policy_support_3;policy_support_4;policy_support_5;generosity_1;generosity_2;generosity_3;psych_wellbeing1;psych_wellbeing2;collective_narcis_1;collective_narcis_2;collective_narcis_3;national_identity_1;national_identity_2;Conspiracy_theories_1;Conspiracy_theories_2;Conspiracy_theories_3;Conspiracy_theories_4;open_mindedness_1;open_mindedness_2;open_mindedness_3;open_mindedness_4;open_mindness_5;open_mindness_6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging_1;social_belonging_2;social_belonging_3;social_belonging_4;trait_self.control_1;trait_self.control_2;trait_self.control_3;trait_self.control_4;self.esteem_1;narcissism_1;narcissism_2;narcissism_3;narcissism_4;narcissism_5;narcissism_6;Moral_ID_1;Moral_ID_2;Moral_ID_3;Moral_ID_4;Moral_ID_5;Moral_ID_6;Moral_ID_7;Moral_ID_8;Moral_ID_9;Moral_ID_10;risk_perception_1;risk_perception_2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2
1;26/04/2020 18:44;1963;SENEGAL;FRENCH;9;1;8;9;10;8;9;10;5;6;9;10;8;10;10;0;50;50;8;7;0;0;5;10;8;0;0;0;0;0;10;10;10;0;0;5;7;10;10;5;8;10;9;9;10;7;9;10;8;7;9;7;7;1;5;0;0;2;0;9;7;0;0;0;0;0;0;0;9;20;40;1;16;7;25;3;7;1;;44;3;1;1;;3;1;1;1;213;0
2;26/04/2020 18:56;620;SENEGAL;FRENCH;0;10;0;0;0;0;2;8;9;0;10;0;0;0;0;100;0;0;0;0;10;10;10;10;10;10;10;10;10;0;10;0;10;2;9;10;10;10;10;10;10;10;10;9;2;2;9;0;10;10;10;10;10;2;8;2;9;2;8;0;1;10;0;10;10;0;10;10;0;0;100;10;1;10;50;300;4;2;;30;2;0;3;;9;2;2;2;213;0
3;26/04/2020 20:41;724;SENEGAL;FRENCH;0;0;10;10;10;9;10;10;9;10;1;9;1;0;1;100;0;0;0;10;10;10;9;0;NA;9;10;10;10;10;0;0;0;10;0;10;10;10;10;10;10;10;10;10;0;1;10;0;10;10;10;0;10;7;8;9;10;9;10;0;0;0;0;0;0;0;0;0;0;0;100;10;1;0;;;;3;wx:X.;89;1;25;5;;2;2;2;2;213;0
4;27/04/2020 00:00;1760;SENEGAL;FRENCH;10;0;10;10;10;7;7;10;10;5;10;10;10;10;10;0;100;0;9;7;0;5;5;10;10;5;5;5;5;0;10;10;10;10;0;5;5;NA;NA;NA;NA;NA;10;10;7;7;7;10;7;10;7;0;10;5;10;4;10;10;5;10;10;10;0;10;5;0;0;0;10;10;50;6;16;7;50;300;;1;;43;3;1;1;;1;1;1;1;213;7
5;27/04/2020 00:27;756;SENEGAL;FRENCH;8;1;8;9;10;8;9;10;8;7;9;9;9;10;9;50;50;0;5;5;5;3;5;10;10;0;0;0;0;5;2;3;5;1;2;5;7;5;5;5;5;5;5;5;7;7;5;9;4;4;7;1;2;0;5;0;2;5;3;9;7;8;5;9;8;2;7;7;8;50;50;NA;2;5;125;3;4;1;;46;3;8;1;;4;1;1;1;213;5
6;27/04/2020 00:52;2374;SENEGAL;FRENCH;10;0;9;10;10;10;10;10;9;0;10;10;10;10;10;0;100;0;3;6;5;6;5;10;10;0;0;0;0;0;10;10;10;0;0;5;5;5;5;5;5;5;8;8;9;9;9;9;10;10;0;9;8;0;5;0;0;5;0;10;10;0;0;9;5;0;5;5;10;NA;NA;5;14;5;25;3;7;1;;35;3;1;1;;3;1;1;1;213;0
7;27/04/2020 01:01;4650;SENEGAL;FRENCH;9;1;9;7;9;2;1;4;2;4;9;8;4;10;10;80;20;0;8;8;2;3;3;10;6;0;0;0;0;2;8;7;8;1;2;8;6;3;6;9;2;1;9;9;4;6;8;6;9;8;7;2;6;3;3;1;6;7;3;8;6;3;0;2;4;1;5;6;9;20;60;1;1;3;50;3;8;1;;45;3;4;1;;4;1;1;1;213;3
8;27/04/2020 01:02;1644;SENEGAL;FRENCH;9;1;9;9;10;10;10;10;5;10;9;8;10;10;10;0;80;20;5;7;5;1;3;10;8;0;0;0;0;3;7;7;8;2;2;8;8;8;8;6;2;0;5;5;5;5;5;7;8;7;5;3;7;5;7;4;8;8;2;9;7;7;1;8;7;1;5;5;9;10;10;2;1;8;50;3;4;1;;65;2;3;1;;3;1;1;1;213;3
9;27/04/2020 01:15;1514;SENEGAL;FRENCH;8;1;8;8;10;8;9;10;6;8;10;10;10;10;10;62.5;25;12.5;7;7;7;2;2;10;10;5;0;0;0;9;10;10;10;0;1;5;2;2;5;5;5;3;9;9;3;8;7;7;8;8;2;0;8;1;7;0;2;7;0;9;7;6;10;9;5;0;7;7;10;50;20;5;14;7;;;;2;;61;2;2;1;;1;1;1;1;213;0
10;27/04/2020 02:07;3137;SENEGAL;FRENCH;10;0;10;10;10;9;10;10;10;10;10;10;5;10;10;70;30;0;7;6;10;8;10;10;10;5;5;5;0;3;10;10;10;0;0;0;10;10;10;5;0;0;7;7;8;5;9;10;8;8;0;0;8;3;8;0;5;7;3;10;10;7;0;10;7;0;10;10;10;10;60;2;5;5;50;900;;2;;54;3;3;1;;2;1;1;1;213;6
