RecordDate;Duration_sec;ISO-3;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;SUM_GEN;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2
13/05/2020 19:23;482;ARE;EN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;100;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;;;;NA;;NA;NA;NA;NA;;NA;NA;NA;NA;;NA
13/05/2020 19:27;21;ARE;EN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;NA;;NA;NA;NA;NA;;NA;NA;NA;NA;;NA
13/05/2020 19:27;3;ARE;EN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;NA;;NA;NA;NA;NA;;NA;NA;NA;NA;;NA
13/05/2020 19:28;3;ARE;EN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;NA;;NA;NA;NA;NA;;NA;NA;NA;NA;;NA
13/05/2020 19:32;4;ARE;EN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;NA;;NA;NA;NA;NA;;NA;NA;NA;NA;;NA
13/05/2020 21:08;4578;ARE;EN;10;1;10;7;9;10;10;10;10;9;10;10;10;10;8;80;15;5;;8;6;9;1;2;5;7;5;5;5;5;0;10;10;10;0;0;0;0;2;0;8;2;8;10;10;8;8;8;10;4;7;8;10;9;7;9;0;9;9;8;10;10;6;0;7;7;0;10;10;10;50;50;4;16;10;50;300 minutes;4 hours;1;;28;2;0;1;;5;1;1;2;213;0
13/05/2020 22:07;3847;ARE;EN;10;0;0;10;10;10;10;10;10;10;0;0;0;0;10;70;20;10;;7;6;0;1;0;0;0;0;0;0;0;0;10;10;10;0;10;8;10;6;6;4;10;0;10;10;10;10;10;10;9;10;0;0;6;0;0;0;0;6;10;10;10;0;0;10;8;0;0;7;10;10;50;3;14;10;25;300minutes;4hours;1;;24;1;0;2;;5;1;1;1;213;0
14/05/2020 12:04;1748;ARE;EN;8;4;7;8;10;8;7;10;10;9;8;9;10;8;9;20;50;30;;5;6;8;6;8;8;5;5;6;5;5;2;9;9;9;1;2;7;4;5;6;2;7;6;6;10;6;7;7;10;6;6;8;7;7;1;8;4;10;9;5;9;8;5;0;8;7;0;8;7;10;50;70;4;7;6;50 cents;300 patients;;1;;28;2;1;2;;6;1;1;2;213;0
14/05/2020 13:54;3860;ARE;EN;10;0;8;9;10;6;6;8;8;6;8;1;5;9;6;40;40;20;;5;9;10;9;10;10;10;5;5;5;5;1;10;9;10;8;8;10;9;9;9;8;9;9;10;10;8;1;10;10;8;8;5;6;8;2;10;1;10;10;5;10;9;1;0;5;1;1;8;9;9;30;80;9;1;10;50cents;5 hours;16 hours;2;;26;2;0;1;;6;1;1;2;213;0
14/05/2020 14:37;955;ARE;EN;10;1;10;10;10;10;10;10;10;8;10;10;NA;10;10;0;50;50;;5;6;5;4;3;5;7;5;1;5;5;4;10;10;8;5;6;6;6;7;5;5;7;5;9;9;9;10;10;10;7;7;6;4;8;6;6;1;4;5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;50;6;1;6;;;;2;;26;1;0;1;;3;1;1;1;213;7
