RecordDate;Duration_sec;Country;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2
2/05/2020 14:25;181;COLOMBIA;ES;;;;;;;;;;;;;;100;;0;0;100;;10;;;;;;;;;10;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/05/2020 14:29;90;COLOMBIA;ES;;;;;;;;;;;;;;100;;0;0;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/05/2020 14:32;232;COLOMBIA;ES;;;;100;;;;;100;;;;;;;0;0;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/05/2020 14:33;565;COLOMBIA;ES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/05/2020 14:41;92;COLOMBIA;ES;;;;;;;;;;;;;;;;0;0;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/05/2020 15:05;1264;COLOMBIA;ES;80;90;100;100;100;79;100;100;100;100;100;100;100;100;100;0;70;30;7;9;;5;;10;10;1;1;1;1;1;10;10;10;0;0;9;9;9;10;9;9;9;5;;;;;;4;9;5;5;8;2;0;9;9;5;0;9;7;2;0;5;0;5;1;5;5;60;80;1;16;5;25;600;2;2;;24;2;0;4;;3;1;1;1;213;0
2/05/2020 15:12;1051;COLOMBIA;ES;96;4;95;98;100;78;75;96;92;78;100;100;59;100;100;75;16;9;4;4;7;10;5;10;8;7;5;;;;10;10;10;4;5;7;2;10;10;6;5;10;9;10;7;9;8;9;3;5;9;5;8;5;7;2;7;7;8;10;10;4;4;5;6;8;2;7;10;;100;4;16;5;125;150;7;2;;24;1;0;4;;6;1;1;1;213;8
2/05/2020 15:13;939;COLOMBIA;ES;100;0;100;50;100;80;80;100;52;100;100;100;100;100;100;0;50;50;10;7;5;5;5;10;7;0;0;0;0;0;10;10;10;0;0;0;5;10;10;0;0;10;8;10;8;6;8;10;0;5;10;8;8;0;5;0;5;5;0;8;8;5;0;7;6;2;5;2;6;20;60;5;14;0;20;3;7;1;;22;2;0;4;;4;1;1;1;213;0
2/05/2020 15:18;1434;COLOMBIA;ES;90;0;80;100;100;60;80;80;100;85;50;80;75;100;77;0;80;20;5;3;;5;;10;7;3;0;3;3;0;10;10;10;0;2;7;;8;9;7;10;10;9;9;6;6;9;8;7;6;5;8;8;1;7;3;9;6;0;10;8;3;0;3;4;1;4;5;7;20;60;4;11;5;20;300;4;2;;22;1;0;4;;5;1;1;1;213;6
2/05/2020 15:21;1850;COLOMBIA;ES;100;0;100;99;100;100;100;100;85;94;100;100;100;100;100;5;65;30;9;8;9;8;7;10;10;2;1;0;1;8;10;10;10;0;0;6;8;8;10;8;6;6;9;10;9;9;9;9;7;10;2;2;9;2;4;0;5;2;1;6;7;4;1;8;8;6;6;6;7;10;20;4;14;8;20;300;1;1;;33;1;0;1;;6;1;1;1;213;0
2/05/2020 15:23;815;COLOMBIA;ES;81;1;100;100;100;100;100;100;50;100;83;100;100;100;100;40;40;20;5;8;3;;;6;;0;0;0;0;2;10;10;10;0;6;6;0;6;9;;5;10;6;8;6;7;7;2;;2;9;10;3;1;;2;;0;6;8;6;3;3;2;2;6;2;2;8;10;20;;1;6;100;3;.;1;;24;1;0;4;;5;1;1;1;213;8
2/05/2020 15:25;1108;COLOMBIA;ES;100;0;86;95;100;100;100;100;100;;91;100;100;100;100;10;80;10;4;5;6;5;6;10;6;;;3;;1;10;10;10;0;2;0;3;2;8;;8;9;7;6;6;6;7;8;6;6;4;4;9;2;5;2;6;6;5;5;5;5;0;8;7;5;5;6;10;20;50;;11;2;25;3;7;1;;23;2;0;4;;4;1;1;2;213;5
2/05/2020 15:26;1323;COLOMBIA;ES;71;31;90;81;100;100;100;100;100;100;100;100;100;100;100;50;35;15;10;10;5;8;7;10;10;10;3;4;10;4;10;10;10;0;1;7;7;8;7;8;7;7;10;10;9;10;8;10;4;6;6;3;8;2;7;0;7;7;3;6;7;4;1;10;5;1;7;7;7;70;80;8;5;10;20;300;4;2;;23;2;1;4;;6;2;1;1;213;10
2/05/2020 15:28;1569;COLOMBIA;ES;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;0;2;4;;7;7;10;10;10;0;10;0;0;10;10;0;0;8;10;10;10;10;10;10;10;10;10;7;7;7;8;3;10;7;10;8;2;5;2;10;10;0;10;10;10;0;10;10;0;10;10;10;80;100;0;11;8;25;300;4;2;;24;2;0;4;;6;1;1;1;213;10
2/05/2020 15:30;1102;COLOMBIA;ES;100;0;100;100;100;72;83;100;100;80;100;100;100;100;100;100;0;0;5;8;0;;0;;;8;3;7;0;6;10;10;8;0;7;3;4;6;8;8;0;10;7;3;1;2;1;9;2;7;9;10;4;0;0;3;0;1;7;8;4;0;6;0;4;8;2;3;4;0;100;3;3;10;130;300;7;1;;21;2;0;4;;6;1;1;1;213;8
2/05/2020 15:32;1017;COLOMBIA;ES;100;10;100;20;60;100;100;100;80;100;90;89;100;100;100;80;20;0;7;8;0;0;;10;10;0;0;0;0;0;10;10;10;0;10;8;6;8;10;;10;10;9;7;7;6;6;9;0;9;9;10;6;7;7;0;6;10;0;10;10;5;0;8;10;0;5;5;10;70;80;3;16;8;25;300;4 ;1;;22;2;0;4;;5;1;1;2;213;0
2/05/2020 15:35;1485;COLOMBIA;ES;90;100;100;80;100;80;90;100;90;90;100;100;100;100;100;0;80;20;3;8;1;7;7;10;7;0;0;0;0;2;10;10;10;0;2;7;7;8;10;7;8;10;2;2;0;3;9;9;9;5;8;10;2;0;2;1;8;1;1;10;10;5;1;5;5;0;7;5;8;40;100;8;16;2;20;300;4;2;;21;2;0;4;;6;1;1;1;213;10
2/05/2020 15:37;1149;COLOMBIA;ES;78;18;98;20;100;100;100;83;100;100;100;100;100;100;100;60;40;0;6;5;;5;2;10;10;;2;2;2;7;10;10;10;0;3;;10;10;10;3;1;0;9;10;9;5;9;10;2;10;2;1;9;5;6;0;6;2;3;10;10;10;0;10;10;0;8;9;4;10;;5;14;8;20;3;1;1;;62;3;2;6;;3;1;1;2;213;8
2/05/2020 15:37;1176;COLOMBIA;ES;83;100;0;100;100;100;100;100;100;76;100;100;100;100;100;50;50;0;6;8;0;10;0;10;10;0;0;0;2;10;10;10;10;0;0;10;10;8;10;10;10;10;9;10;8;8;7;10;1;4;10;10;6;0;10;0;10;2;0;10;10;1;0;1;6;1;1;1;9;30;70;2;14;7;25;300;2;2;;26;1;0;4;;5;1;1;2;213;10
2/05/2020 15:38;2126;COLOMBIA;ES;100;0;0;100;100;100;100;100;84;93;100;100;100;100;100;100;0;0;0;4;0;0;0;3;0;2;2;2;0;2;10;10;10;6;0;4;4;9;10;0;0;10;1;0;0;0;0;2;0;0;6;10;0;0;1;4;1;0;1;7;0;0;7;0;1;7;5;3;5;70;70;3;3;4;60;300;18;1;;22;1;0;4;;6;1;1;2;213;0
2/05/2020 15:39;2282;COLOMBIA;ES;70;0;100;100;100;100;100;100;100;100;100;100;100;100;100;70;20;10;6;6;5;5;0;10;10;0;0;10;0;0;10;10;10;0;0;10;10;10;10;10;0;10;10;10;10;0;10;10;10;10;0;0;10;0;0;0;10;0;10;10;0;0;0;10;10;0;0;0;10;0;100;5;16;7;25;900;300;1;;41;2;2;1;;8;1;1;1;213;10
