RecordedDate,Duration__in_seconds_,Progress,ResponseId,Country,Language,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_4,physical_hygiene_5,physical_hygiene_6,physical_hygiene_8,policy_support_1,policy_support_4,policy_support_5,policy_support_6,policy_support_9,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,self_esteem_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,edu,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,AttCheck2,weight,weight_trimmed_0.999,weight_trimmed_0.995,weight_trimmed_0.990
4/26/2020,1761,100,R_3J8B8l8W6W61XiK,the Netherlands,NL,8,7,5,7,10,10,10,10,3,10,0,9,5,9,10,50,50,0,7,6,1,5,1,10,10,10,2,2,2,5,10,10,10,0,0,10,5,10,5,8,5,5,7,7,8,8,8,10,6,5,5,1,8,0,2,0,5,0,0,9,7,5,0,7,0,1,0,1,9,50,50,2,16,5,50 cent,3 minuten,4 uur,2, ,29,4,1,0,2, ,5,2,1,1,213,0,1.00650604100769,1.00905951756447,1.02072630267992,1.03552785394915
4/24/2020,2326,100,R_wN0nKcq3BdLriNj,the Netherlands,NL,8,5,7,7,10,10,10,8,0,8,3,10,3,10,8,50,25,25,6,7,0,2,2,10,8,0,0,0,0,2,10,10,10,0,1,6,6,7,7,8,8,8,4,4,6,7,8,7,7,7,6,7,4,3,2,6,4,1,1,9,7,3,0,2,4,3,6,2,9,10,10,3,5,7,50,3,7,1, ,62,4,1,0,1, ,6,2,1,2,213,0,.546674413879812,.549227890436597,.560894675552046,.575696226821273
4/24/2020,2776,100,R_1n0dvuja8ATpMQX,the Netherlands,NL,7,2,7,6,9,5,6,7,5,5,5,7,6,9,9,75,10,15,6,8,5,7,7,9,8,4,3,3,5,6,8,7,8,2,5,5,6,7,6,7,6,4,5,5,5,6,5,7,5,5,5,2,5,4,5,5,5,5,5,5,5,5,4,4,4,6,5,5,5,30,40,5,9,5,25 cent,5 uur,7 uur,1, ,83,6,3,2,5, ,4,2,1,1,213,0,.866115399202356,.868668875759141,.88033566087459,.895137212143817
4/25/2020,2071,100,R_2Sc9Ibyf6egMK01,the Netherlands,NL,3,9,2,8,10,10,10,3,0,2,4,4,3,7,3,90,10,0,8,7,7,9,5,6,2,5,4,4,1,4,8,7,8,0,2,6,1,8,5,2,5,5,6,7,6,7,7,4,4,5,6,5,7,1,1,0,1,0,0,6,4,1,0,1,2,4,0,0,6,40,40,10,5,5,50,300,2,2, ,63,4,1,0,6,arbeidsongeschikt,10,2,1,1,213,0,1.89713257008636,1.89968604664314,1.91135283175859,1.92615438302782
4/26/2020,103905,100,R_11113cPBUvoipr3,the Netherlands,NL,9,2,7,7,9,7,8,7,3,3,4,9,5,9,9,70,20,10,7,8,2,2,2,9,9,0,0,0,0,4,8,8,8,2,2,8,8,8,8,6,3,9,8,8,8,8,8,8,7,8,4,2,7,5,2,1,5,2,1,7,6,5,2,5,6,6,5,4,7,30,40,7,10,8,25 cent,3 min.,7 uur,1, ,74,1,3,2,5, ,3,2,1,1,213,0,.270988224633311,.273541701190095,.285208486305545,.300010037574771
4/26/2020,2318,100,R_291fbQ6iKbstl8J,the Netherlands,NL,7,7,2,8,10,10,10,8,5,10,9,10,3,10,10,0,75,25,3,3,2,5,2,10,7,5,0,0,0,2,10,10,10,0,0,4,8,8,9,5,8,9,3,5,7,8,6,9,3,3,8,6,4,5,5,5,5,5,1,10,7,5,0,7,8,0,9,8,10,50,60,1,11,5,50,3,4,2, ,54,3,1,0,3, ,9,1,1,1,213,0,.933793378849997,.936346855406781,.948013640522231,.962815191791457
5/1/2020,1725,89,R_2q1mlsaAdsARj5Y,the Netherlands,NL,8,8,7,7,9,8,9,8,8,9,8,8,8,8,10,0,100,0,7,8,7,7,7,8,8,6,5,5,5,6,8,7,8,4,4,9,9,9,7,5,3,5,8,6,8,7,8,9,7,8,7,2,8,2,5,2,5,2,3,7,7,5,5,3,6,8,7,7,5,0,50,8,1,8,50 cent,Ook 1 minuut per patiënt,7 uur,1, ,64,4,3,2,5, ,4,1,1,2,213,8,1.22431888758412,1.2268723641409,1.23853914925635,1.25334070052558
4/25/2020,8365,100,R_3jTpGrpn267Az0I,the Netherlands,NL,9,6,10,9,10,10,10,10,9,10,5,9,3,9,8,0,100,0,3,7,3,8,3,10,7,5,2,2,2,8,8,9,9,1,5,10,5,8,10,10,2,2,8,8,8,8,8,9,9,9,7,7,7,3,5,3,5,5,5,10,10,5,0,9,5,2,8,8,9,80,80,5,12,7,50 cent,3 minuten,4 uur,2, ,59,3,3,2,2, ,4,1,1,2,213,0,1.16645427748434,1.16900775404112,1.18067453915657,1.1954760904258
4/24/2020,17846,100,R_9ZCYikjBpPGsnoB,the Netherlands,NL,4,8,9,6,10,8,8,8,0,9,1,4,0,6,4,60,10,30,8,8,0,0,0,2,2,0,0,0,0,6,9,9,8,0,2,7,8,8,7,7,7,9,9,9,8,8,8,7,9,9,1,9,8,2,2,2,2,6,0,7,7,2,1,7,5,2,7,1,6,60,60,3,5,8,25,3 minuten,7 uur,1, ,59,1,2,0,6,Freelance,3,1,1,1,213,5,.324044800238873,.326598276795657,.338265061911107,.353066613180333
4/26/2020,2661,100,R_117rJTmRiYiRKgi,the Netherlands,NL,8,8,10,9,10,9,9,9,7,9,10,10,10,10,10,50,50,0,8,6,5,7,10,10,10,1,1,0,1,2,10,10,10,0,0,8,9,9,9,8,6,9,9,9,8,8,9,9,9,10,2,0,8,1,1,0,7,7,0,10,9,4,0,7,7,1,8,9,10,70,60,9,14,7,50cent,300 minuten,4 uur,1, ,60,6,1,0,1, ,8,1,1,1,213,0,1.19425923891319,1.19681271546998,1.20847950058543,1.22328105185465
