"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q118","physical_contact_1","physical_contact_2","physical_contact_3","physical_contact_4","physical_contact_5","physical_hygiene_1","physical_hygiene_2","physical_hygiene_3","physical_hygiene_4","physical_hygiene_5","policy_support_1","policy_support_2","policy_support_3","policy_support_4","policy_support_5","generosity_1","generosity_2","generosity_3","psych_wellbeing1_1","psych_wellbeing2_1","collective_narcis_1","collective_narcis_2","collective_narcis_3","national_identity_1","national_identity_2","conspiracy_theories_1","conspiracy_theories_2","conspiracy_theories_3","conspiracy_theories_4","open_mindness_1","open_mindness_2","open_mindness_3","open_mindness_4","open_mindness_5","open_mindness_6","morality_as_cooperat_1","morality_as_cooperat_2","morality_as_cooperat_3","morality_as_cooperat_4","morality_as_cooperat_5","morality_as_cooperat_6","morality_as_cooperat_7","trait_optimism_1","trait_optimism_2","social_belonging_1","social_belonging_2","social_belonging_3","social_belonging_4","trait_self.control_1","trait_self.control_2","trait_self.control_3","trait_self.control_4","self.esteem_1","Q108_1","narcissism_1","narcissism_2","narcissism_3","narcissism_4","narcissism_5","narcissism_6","moral_identity_1","moral_identity_2","moral_identity_3","moral_identity_4","moral_identity_5","moral_identity_6","moral_identity_7","moral_identity_8","moral_identity_9","moral_identity_10","risk_perception_1","risk_perception_2","political_ideology_1","moral_circle1","health_1","CRT1","CRT2","CRT3","sex","sex_3_TEXT","age","marital","children","employment","employment_6_TEXT","ladder_answer","urban","tested_positive","know_tested_positive","no_bots","Q119","Q120","Q122","survey"
"3","2020-05-01 05:55:24","2020-05-01 06:20:53","IP Address","90.192.15.155","100","1529","True","2020-05-01 06:20:54","R_Djxe5ARKiku7i25","","","","","51.329498291015625","0.5780029296875","anonymous","EN","I agree","10","0","10","10","10","8","8","7","1","1","5","5","5","10","10","98","1","1","8","5","6","6","6","8","8","10","7","4","7","3","10","10","10","0","0","9","9","10","9","0","6","0","9","7","10","9","10","10","8","8","5","6","9","0","1","5","5","9","9","0","9","9","2","0","5","9","1","5","5","5","50","70","5","2","7","125","300minutes4","4","Male","","56","Single","0","Employed full-time","","5: In the middle in Ireland","Rural (in a village or a small place)","No","No","213","Yes","No","No","snowball"
"4","2020-05-01 06:08:00","2020-05-01 06:23:26","IP Address","109.78.228.97","100","926","True","2020-05-01 06:23:26","R_1kSJQimBXxn4KJ0","","","","","52.665496826171875","-8.6269073486328125","anonymous","EN","I agree","9","8","10","7","7","10","10","5","8","10","10","10","3","10","10","60","20","20","6","7","0","7","8","10","7","10","3","9","8","4","10","9","8","0","2","9","7","8","8","4","7","6","10","8","9","8","8","9","7","9","4","2","8","0","3","6","2","7","6","9","10","8","6","0","6","9","2","8","6","8","20","40","6","3","8","25","300 minutes","7","Male","","60","Married","2","Employed full-time","","6","Urban or suburban (in a city or near a city)","No","No","213","No","No","Yes (Republic of Ireland)","snowball"
"5","2020-05-01 06:19:53","2020-05-01 06:32:57","IP Address","86.158.86.42","100","784","True","2020-05-01 06:32:59","R_2Xb8UenFEDcv6mg","","","","","51.44830322265625","-0.08270263671875","anonymous","EN","I agree","9","0","9","10","10","10","10","10","0","2","9","10","4","9","8","0","100","0","8","7","4","7","2","10","8","0","0","0","0","2","10","9","9","0","0","8","8","7","7","7","6","4","8","8","8","8","8","8","6","8","2","2","8","0","3","7","3","4","3","0","9","7","1","1","6","2","6","7","7","7","80","60","2","10","8","25","3","7","Male","","43","Married","3","Employed full-time","","8","Rural (in a village or a small place)","No","No","213","No","Yes","Yes (Republic of Ireland)","snowball"
"6","2020-05-01 06:27:42","2020-05-01 06:44:31","IP Address","86.45.139.74","100","1008","True","2020-05-01 06:44:31","R_1q8mZL1rxR2EBUr","","","","","51.8968963623046875","-8.4949951171875","anonymous","EN","I agree","9","0","6","9","10","10","10","10","8","10","6","7","0","0","10","80","15","5","5","4","4","7","3","6","4","0","0","0","0","3","7","2","7","0","0","8","8","10","6","1","1","0","3","4","3","7","5","6","4","9","6","0","6","0","2","6","3","2","4","0","8","7","4","0","3","9","1","4","6","7","0","10","3","16","7","25","3","7","Male","","32","Single","0","Employed full-time","","3","Urban or suburban (in a city or near a city)","No","No","213","Yes","Yes","Yes (Republic of Ireland)","snowball"
"7","2020-05-01 06:37:03","2020-05-01 06:56:03","IP Address","89.19.67.137","100","1139","True","2020-05-01 06:56:03","R_2SGiX75QwVuSlFv","","","","","53.33380126953125","-6.2487945556640625","anonymous","EN","I agree","8","0","7","7","9","8","8","8","3","8","8","8","2","9","7","90","5","5","8","7","5","5","2","10","7","2","1","1","1","3","9","9","9","0","0","5","6","2","2","2","5","7","7","7","9","9","9","9","6","7","5","2","8","0","3","5","3","3","3","0","9","8","1","0","7","2","2","8","8","7","50","50","3","10","8","25","3 mins","7 hours","Male","","43","Married","2","Employed full-time","","7","Urban or suburban (in a city or near a city)","No","No","213","No","Yes","Yes (Republic of Ireland)","snowball"
"8","2020-05-01 06:42:19","2020-05-01 06:56:41","IP Address","77.98.202.157","100","862","True","2020-05-01 06:56:41","R_8voHviVPGUJmZXj","","","","","51.4037933349609375","-0.2346038818359375","anonymous","EN","I agree","10","0","9","10","10","8","7","10","8","10","9","10","4","10","10","95","5","0","8","7","2","2","3","6","6","0","0","0","0","1","8","8","8","0","1","6","4","8","8","3","1","7","7","7","6","6","7","6","2","6","7","4","6","0","1","4","5","1","3","0","8","6","4","1","6","5","3","4","4","7","80","90","6","4","7","25","3","7","Male","","31","Single","0","Employed full-time","","5: In the middle in Ireland","Urban or suburban (in a city or near a city)","No","No","213","No","Yes","No","snowball"
"9","2020-05-01 06:42:21","2020-05-01 06:57:55","IP Address","37.228.245.211","100","933","True","2020-05-01 06:57:55","R_26lHyrxySF3GWhP","","","","","53.33380126953125","-6.2487945556640625","anonymous","EN","I agree","9","0","10","8","8","9","8","8","0","10","0","0","0","0","0","100","0","0","0","0","6","7","5","10","8","0","1","0","0","3","10","10","8","0","3","8","6","8","2","1","1","3","8","9","7","8","8","10","4","7","3","5","8","0","6","9","10","7","7","3","10","8","1","0","7","4","6","0","0","8","70","70","5","7","9","50","300","7","Male","","34","In a relationship","1","Employed full-time","","7","Urban or suburban (in a city or near a city)","No","No","213","No","Yes","Yes (Republic of Ireland)","snowball"
"10","2020-05-01 06:42:35","2020-05-01 06:59:05","IP Address","86.155.235.102","100","989","True","2020-05-01 06:59:06","R_3rI08UZUdJBuTT1","","","","","55.11810302734375","-6.3347930908203125","anonymous","EN","I agree","10","0","10","10","10","8","10","10","9","10","10","10","10","10","10","90","5","5","4","6","0","6","0","10","10","5","5","0","5","0","10","10","10","0","0","0","0","10","10","0","0","0","7","7","4","0","3","7","4","4","4","2","4","0","0","0","0","5","0","6","10","10","0","0","7","8","0","0","6","10","100","100","4","16","6","50","300 minutes","4","Male","","52","In a relationship","0","Retired","","5: In the middle in Ireland","Rural (in a village or a small place)","No","No","213","No","No","Yes (Northern Ireland)","snowball"
"11","2020-05-01 06:53:18","2020-05-01 07:14:37","IP Address","90.249.217.213","100","1279","True","2020-05-01 07:14:38","R_zSepsds9fCuS8HT","","","","","54.6988067626953125","-1.6464996337890625","anonymous","EN","I agree","10","1","7","9","10","8","8","8","8","8","9","9","4","9","8","90","10","0","6","7","5","5","5","10","8","1","0","0","0","2","8","8","8","1","3","8","8","8","8","6","8","8","7","8","7","7","8","8","7","7","8","5","6","0","2","5","7","1","4","1","9","6","5","0","1","4","1","5","1","7","50","70","2","7","8","25","3","7","Male","","31","Married","2","Employed full-time","","7","Urban or suburban (in a city or near a city)","No","No","213","No","No","Yes (Northern Ireland)","snowball"
"12","2020-05-01 07:30:12","2020-05-01 07:42:26","IP Address","90.199.179.182","100","733","True","2020-05-01 07:42:27","R_1QsibwnBPBRDyFX","","","","","53.48089599609375","-2.237396240234375","anonymous","EN","I agree","9","0","9","8","10","9","10","10","6","7","10","10","8","10","10","50","25","25","6","5","5","4","3","10","9","1","1","0","0","1","8","9","8","2","2","6","6","7","6","4","4","2","6","6","4","6","6","7","6","7","5","4","4","0","4","4","4","5","4","4","9","8","2","0","4","5","1","6","4","9","60","40","2","4","7","25","3","4","Male","","45","Married","2","Employed full-time","","7","Urban or suburban (in a city or near a city)","No","Yes","213","No","Yes","Yes (Republic of Ireland)","snowball"
