RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2,
05/15/2020 01:05:05 PM,1405,Taiwan ,ZH,9,4,5,10,10,10,10,10,7,5,5,5,5,5,8,100,0,0,4,4,5,6,7,5,5,5,5,5,5,5,6,6,5,3,3,5,5,7,5,5,6,6,4,3,5,5,4,5,5,3,6,5,5,5,3,6,5,5,4,6,6,4,5,5,5,6,6,4,4,21,6,5,11,4,3,25,300,4,2,,41,3,0,1,,6,,1,1,213,,
05/15/2020 01:06:07 PM,1479,Taiwan ,ZH,10,2,10,10,10,10,10,10,6,10,5,6,2,10,10,20,70,10,5,5,5,5,5,10,10,10,10,10,10,6,2,5,0,10,0,10,10,10,10,5,10,6,10,10,0,5,5,10,5,10,5,5,0,10,5,10,5,10,5,10,5,10,10,6,10,5,5,10,10,53,53,5,2,6,3,50,100,4,1,,41,3,3,1,,4,,1,1,213,,
05/15/2020 01:08:32 PM,1888,Taiwan ,ZH,10,1,8,9,9,9,9,8,5,8,4,8,3,9,9,0,20,80,2,3,3,8,2,10,10,10,5,2,2,2,3,7,7,1,6,7,4,8,7,8,9,9,3,5,4,4,4,8,4,8,8,2,7,2,3,3,3,3,7,4,7,3,2,3,2,8,1,2,6,45,48,3,12,3,3,25,3,0.25,2,,51,3,1,1,,8,,1,1,213,,
05/15/2020 01:12:33 PM,1636,Taiwan ,ZH,10,10,5,10,10,10,10,10,10,10,7,10,6,10,10,80,10,10,10,9,10,10,3,10,10,10,10,10,10,0,0,10,10,0,0,6,10,10,10,10,10,10,10,10,10,10,10,10,5,10,0,0,0,0,0,0,6,10,1,10,10,10,0,6,10,5,5,10,10,0,21,5,14,10,3,25,3,4,1,,45,3,2,1,,1,,1,1,213,,
05/15/2020 01:23:00 PM,1114,Taiwan ,ZH,9,5,8,10,10,6,8,10,8,7,6,8,4,9,10,60,20,20,6,8,3,5,4,9,7,2,5,3,2,2,7,7,9,2,3,6,8,6,7,4,7,8,6,8,7,9,8,10,6,8,5,4,4,4,5,6,4,7,6,6,8,5,3,8,9,5,6,8,5,43,61,5,12,7,1,25,3,4,1,,41,1,0,1,,6,,1,1,213,,
05/15/2020 01:23:33 PM,1532,Taiwan ,ZH,8,1,6,2,10,10,9,10,9,9,5,2,1,9,10,20,40,40,7,7,8,6,3,10,10,7,7,2,1,10,10,9,9,2,0,6,7,8,8,8,9,9,8,9,9,9,9,10,9,8,2,0,1,4,5,2,2,7,5,9,9,7,1,7,7,1,6,4,6,5,14,1,16,8,3,503,3,2,2,,44,3,2,1,,4,,1,1,213,,
05/15/2020 01:25:04 PM,881,Taiwan ,ZH,9,9,5,7,5,6,6,8,6,6,6,7,6,7,7,80,10,10,7,6,7,7,5,6,6,6,6,7,6,6,7,7,6,6,7,7,8,4,8,8,6,3,8,8,8,7,5,8,8,5,8,6,7,6,6,3,6,5,5,4,3,5,6,8,4,8,7,8,8,77,72,8,10,6,2,50,20,10,2,,40,2,0,1,,5,,1,1,213,,
05/15/2020 01:25:08 PM,2917,Taiwan ,ZH,10,1,5,1,1,10,9,10,10,10,5,9,10,10,10,50,25,25,10,10,8,6,6,10,10,10,5,5,6,6,7,6,5,1,1,8,8,8,8,1,2,2,7,8,9,9,9,9,7,5,3,8,1,8,3,7,6,4,4,8,8,7,2,5,6,4,5,5,5,11,19,6,4,9,3,50,3,7,1,,42,3,2,5,,6,,1,1,213,,
05/15/2020 01:25:58 PM,3821,Taiwan ,ZH,9,2,6,7,8,6,7,10,5,8,2,4,7,8,8,20,20,60,2,2,5,5,6,9,8,6,6,5,5,3,7,7,7,1,1,5,4,8,7,7,6,5,5,5,3,4,5,5,7,5,7,7,7,3,5,6,5,6,5,6,6,7,2,5,6,3,3,4,5,22,23,4,11,6,1,25,3,7,1,,38,1,0,1,,7,,1,1,213,,
05/15/2020 01:26:01 PM,1544,Taiwan ,ZH,9,0,7,9,9,10,10,10,9,10,6,7,5,10,10,40,40,20,7,5,4,5,5,10,8,5,5,3,3,2,5,10,10,3,1,6,7,8,7,5,6,7,5,5,8,8,8,7,7,7,4,3,2,3,5,5,8,7,2,10,10,5,0,6,7,0,6,1,7,60,60,5,16,5,3,50,3,4,1,,36,3,0,1,,7,,1,1,213,,
