caseid,q1_1,q1_2,q1_3,q1_4,q1_5,q2_1,q2_2,q2_3,q2_4,q2_5,q3_1,q3_2,q3_3,q3_4,q3_5,q4_1_1,q4_2_1,q4_3_1,q5_1,q6_1,q7_1,q7_2,q7_3,q8_1,q8_2,q9_1,q9_2,q9_3,q9_4,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q12_1,q12_2,q13_1,q13_2,q13_3,q13_4,q14_1,q14_2,q14_3,q14_4,q15_1,q16_1,q17_1,q17_2,q17_3,q17_4,q17_5,q17_6,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_7,q18_8,q18_9,q18_10,q19_1,q19_2,q20_1,q21,q22_1,q23,q24,q25,civilstatus,children,jobsituation,jobsituation_other,q26,q27,q28,q29,q30,gender,age,profile_age1,profile_age2,profile_age3,region,household_income,profile_education,tot_time,endtime
1299691986,60,50,80,100,100,10,5,8,3,10,5,8,1,9,10,0,50,50,6,7,1,1,1,10,9,0,0,0,0,6,9,9,9,1,1,5,5,5,5,5,5,5,8,10,8,9,9,10,5,9,8,5,8,0,6,6,6,7,5,8,10,9,8,0,6,6,1,6,5,10,50,50,3,14,9,25,3,7,2,0,1,"",9,1,1,1,213,1,33,1,4,2,1,8,6,1106.574,2020-04-27 11:16:53
1299701432,100,70,50,100,100,10,10,10,1,10,10,10,10,10,10,10,50,40,3,8,1,1,1,10,8,0,0,0,0,1,10,10,10,1,1,6,1,10,5,1,5,10,3,4,6,8,7,10,3,6,10,7,5,0,5,5,0,6,6,0,10,10,2,1,6,3,1,1,1,7,20,50,5,5,7,100,300,5,1,0,4,"",5,1,1,2,213,1,20,1,1,1,1,1,2,689.438,2020-04-27 11:20:33
1299692394,100,10,100,100,100,8,8,10,8,10,8,10,2,8,10,80,20,0,6,7,1,1,2,10,9,2,1,1,1,2,10,10,10,1,1,2,6,7,7,5,8,9,7,8,8,7,9,10,7,10,4,3,5,0,3,5,3,5,5,1,10,7,5,1,4,4,1,1,3,9,90,90,7,10,8,25,300,4,3,0,1,"",7,1,1,1,213,1,30,1,3,2,4,9,7,842.841,2020-04-27 11:18:05
1299692026,10,5,10,10,10,7,7,9,9,9,10,10,9,10,10,100,0,0,10,7,5,0,0,10,10,1,1,1,1,0,10,10,10,0,4,5,6,10,10,6,0,0,2,2,10,10,10,10,7,7,9,2,3,0,2,0,1,0,0,0,6,6,5,0,0,0,2,0,0,1,10,10,1,6,10,25,3,7,2,0,3,"",7,1,1,1,213,1,24,1,2,1,5,6,2,1211.96,2020-04-27 11:20:57
1299637858,0,60,30,100,100,5,8,5,5,10,5,8,7,5,5,23,25,52,10,10,5,1,1,9,9,5,5,4,4,0,10,0,10,0,1,5,5,5,5,5,5,5,10,10,7,7,8,9,1,3,6,6,10,5,0,0,0,0,0,0,5,5,5,5,6,4,5,5,5,5,10,20,5,1,6,25,3,30,3,0,1,"",8,2,1,1,213,2,61,3,9,5,2,11,4,672.409,2020-04-27 11:22:12
1299556096,100,0,100,100,100,2,1,6,1,2,5,10,10,10,10,100,0,0,9,9,5,7,5,10,10,0,0,0,0,8,10,10,7,1,5,2,5,7,4,4,4,9,7,10,5,5,5,9,8,7,5,5,6,0,3,5,9,5,1,5,8,7,4,2,5,4,7,5,5,4,50,50,2,3,9,25,3,7,3,2,5,"",8,1,1,1,213,2,69,3,11,5,5,6,6,1018.185,2020-04-27 11:22:32
1299696954,80,60,70,90,100,0,5,8,1,7,6,8,7,10,8,100,0,0,8,8,1,5,2,10,8,4,0,0,1,5,9,9,8,1,5,1,5,5,5,5,5,5,9,9,7,5,9,5,4,7,7,7,10,0,2,7,2,6,6,0,5,5,6,2,7,0,5,5,7,3,50,50,5,3,9,25,3,4,3,0,1,"",7,1,1,1,213,2,27,1,2,1,4,5,4,974.108,2020-04-27 11:22:40
1299697012,100,30,60,80,100,8,8,2,5,8,7,7,4,10,10,80,20,0,8,8,1,5,1,10,7,1,1,1,1,5,8,9,10,1,1,2,2,7,5,5,3,2,6,7,9,9,8,9,4,8,7,4,7,0,1,3,1,5,2,1,10,9,5,1,6,7,1,3,6,8,90,90,3,12,7,50,300,7,3,1,1,"",5,1,1,2,213,1,30,1,3,2,3,9,7,926.305,2020-04-27 11:23:09
1299689534,80,20,50,60,80,8,8,6,1,6,5,6,3,5,6,100,0,0,4,3,5,5,5,10,9,1,1,1,1,2,9,8,8,1,1,5,5,5,6,5,4,5,1,1,7,8,7,8,1,1,8,6,2,0,1,1,1,1,1,1,8,8,5,1,1,1,8,1,1,8,70,50,5,3,3,50,300,4,1,1,3,"",6,2,1,2,213,1,37,2,4,2,3,3,4,722.51,2020-04-27 11:23:31
1299701406,80,70,60,80,80,10,10,10,5,10,10,10,5,8,5,34,27,39,3,4,1,1,1,8,3,1,1,1,1,5,10,8,7,1,4,7,7,8,5,2,8,8,6,6,5,7,5,6,3,3,8,7,2,0,10,5,10,5,5,8,10,10,3,1,10,8,6,6,7,10,30,70,1,3,5,50,3,7,2,0,3,"",4,1,1,1,213,1,23,1,2,1,3,13,4,1074.188,2020-04-27 11:26:00
