RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2,"live_in_kurdistan(1=no,2=yes)"
26/04/20 11:50,876,KURDISTAN,KU,10,0,10,10,10,10,10,10,2,10,10,0,0,0,0,70,20,10,7,7,5,0,0,0,0,0,0,0,0,10,10,10,10,0,2,8,8,8,8,8,9,10,10,10,1,10,10,8,8,10,8,8,10,0,5,0,10,10,0,8,8,2,2,10,10,10,10,10,8,100,100,2,16,10,50,,,1,,50,3,2,5,,11,1,1,1,213,10,1
26/04/20 11:57,1459,KURDISTAN,KU,4,6,8,5,5,5,5,6,4,7,5,8,3,4,6,0,70,30,7,7,7,7,8,10,10,2,2,2,2,1,10,10,0,0,0,5,5,7,4,4,3,2,9,8,6,10,10,10,8,8,2,1,7,0,10,0,8,8,0,10,10,5,0,10,8,0,3,9,10,20,20,4,10,7,49,100,8,1,,34,3,1,2,,4,1,1,1,213,10,1
26/04/20 12:06,1955,KURDISTAN,KU,10,10,10,9,8,10,10,10,10,4,10,10,10,10,10,50,0,50,4,5,7,10,7,10,10,10,10,10,0,1,10,10,10,0,1,5,10,10,7,7,5,5,5,7,6,9,7,10,6,10,3,4,7,0,10,10,10,10,0,10,7,3,0,9,0,0,0,9,10,50,40,0,9,10,-150,900,8,1,,37,3,2,2,,7,2,1,1,213,0,1
26/04/20 13:07,1126,KURDISTAN,KU,8,4,0,6,10,7,9,9,7,10,10,10,10,10,10,80,20,0,10,10,6,10,10,10,10,9,6,9,8,0,10,9,9,10,0,8,8,8,8,8,8,8,10,10,6,6,10,10,8,10,9,6,10,0,7,0,8,9,6,9,9,9,0,6,8,0,4,9,9,30,10,,10,10,50,90000,8,1,,35,3,2,1,,11,1,1,1,213,9,1
26/04/20 13:16,1848,KURDISTAN,KU,9,2,8,8,8,7,6,6,4,6,7,7,7,7,7,60,30,10,4,6,5,7,9,8,9,2,2,2,2,7,7,7,7,3,3,8,8,8,6,4,8,8,5,4,7,7,7,7,7,6,6,4,6,4,5,5,5,5,7,8,8,5,2,5,6,3,4,6,9,40,60,6,16,6,50,3,4,1,,45,3,1,1,,6,1,1,1,213,0,1
26/04/20 13:38,1135,KURDISTAN,KU,9,8,7,7,7,7,7,7,7,7,5,7,6,10,10,80,20,0,6,5,0,0,0,10,10,5,5,5,5,5,9,9,9,0,0,5,,6,4,5,6,4,8,7,1,0,1,7,5,7,5,1,8,0,0,0,0,0,0,5,5,0,5,5,5,5,5,5,5,50,50,5,16,10,50,300,4,1,,37,3,0,1,,8,1,1,2,213,10,1
26/04/20 13:39,1118,KURDISTAN,KU,5,0,10,0,6,8,9,9,4,10,0,8,,8,10,45,40,15,9,6,8,10,10,,4,8,8,10,9,4,10,10,10,0,8,9,6,8,10,6,9,0,8,8,7,8,8,10,8,10,10,2,9,5,8,6,7,5,6,9,10,3,0,7,7,0,1,,6,0,10,,15,9,50,900,,2,,20,3,0,4,,7,1,1,1,213,5,1
26/04/20 13:40,1290,KURDISTAN,KU,10,8,10,8,6,4,7,6,4,5,8,10,8,10,8,50,50,0,8,8,5,8,9,9,8,5,4,5,5,7,9,9,8,3,8,7,7,7,5,5,5,5,9,9,6,5,5,8,7,7,5,3,9,5,8,5,8,8,1,9,8,9,1,8,5,3,5,5,10,30,10,3,7,7,,,,2,,19,1,0,4,,4,1,1,1,213,8,1
26/04/20 13:42,1041,KURDISTAN,KU,9,2,8,9,8,2,3,3,8,7,3,8,3,3,7,50,40,10,1,2,9,8,8,1,2,7,7,7,7,10,10,8,7,8,4,3,2,7,7,7,4,8,9,7,2,3,7,4,3,4,3,6,8,4,3,4,3,3,6,4,6,4,4,6,6,4,6,6,3,30,30,5,9,3,250,300,1,2,,28,1,0,4,,5,1,1,1,200,5,1
26/04/20 13:47,4498,KURDISTAN,KU,8,8,9,8,9,10,10,10,2,10,10,10,5,10,10,90,5,5,4,5,5,5,10,10,10,1,1,1,1,0,10,10,10,0,0,8,5,5,5,5,5,5,8,6,8,9,8,10,10,10,0,0,10,0,5,5,10,10,7,10,10,9,0,10,0,0,5,10,10,50,80,5,15,8,"1,48 ",3,16,1,,40,3,2,6,teacher,6,1,1,1,213,0,1
