RecordDate;Duration_sec;Country;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2
22-May-2020 14:59:00;2022;NIGERIA;EN-GB;10;0;9;9;10;10;10;10;2;7;10;10;8;10;10;90;5;5;7;4;1;8;8;10;10;0;0;0;0;2;10;10;10;0;0;0;7;9;7;8;10;10;7;7;7;7;9;9;8;8;8;3;9;9;7;9;7;3;0;10;9;4;0;8;0;1;8;7;8;80;80;6;16;8;25;3;7;1;NA;37;3;0;1;NA;4;1;1;1;213;0
22-May-2020 16:20:00;1815;NIGERIA;EN-GB;8;6;8;7;8;7;7;7;7;6;8;10;8;10;10;70;20;10;7;5;6;6;6;10;7;8;7;7;7;5;10;10;10;5;4;7;8;9;8;9;8;8;8;8;7;7;7;7;6;7;6;5;9;8;8;5;9;5;5;7;7;6;4;6;5;5;6;6;6;10;30;7;6;7;50;300;4;1;NA;25;1;0;3;NA;6;1;1;1;213;0
22-May-2020 16:33:00;2566;NIGERIA;EN-GB;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;50;25;25;3;3;9;9;9;10;10;10;0;0;0;0;10;10;10;6;0;10;10;10;10;0;0;0;10;10;10;10;10;10;10;10;5;0;8;0;5;5;5;5;5;10;10;10;0;10;10;0;10;10;10;0;0;5;8;6;50;18000;4;1;NA;26;3;1;1;NA;6;1;1;1;213;0
22-May-2020 16:33:00;2556;NIGERIA;EN-GB;10;0;10;10;10;9;10;10;9;9;8;10;10;10;10;40;30;30;8;6;9;8;5;9;9;4;1;5;3;2;10;10;9;0;1;7;8;9;9;5;7;9;10;10;7;9;9;9;9;10;1;2;8;5;8;1;8;7;2;9;10;6;0;9;8;0;1;1;9;0;20;5;12;10;50;300;4;1;NA;23;1;0;3;NA;6;1;1;1;213;7
22-May-2020 16:36:00;1255;NIGERIA;EN-GB;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;30;50;20;10;9;10;10;3;10;10;1;2;1;2;2;10;9;10;1;1;7;8;9;9;8;7;7;10;10;9;8;8;10;10;10;6;0;9;8;8;1;8;7;3;8;8;7;2;6;2;8;2;8;8;80;80;10;8;10;50;300;4;2;NA;33;1;2;1;NA;4;1;1;1;213;8
22-May-2020 16:43:00;1452;NIGERIA;EN-GB;8;3;2;8;9;10;10;10;10;9;2;9;6;7;8;60;20;20;7;8;10;10;6;10;8;5;5;3;7;7;9;8;7;5;5;7;5;5;5;5;7;6;9;10;8;8;8;4;7;7;9;6;8;2;8;7;9;7;7;9;9;8;2;8;7;3;7;7;9;0;40;5;16;8;1.5;30;4;1;NA;25;3;0;1;NA;5;1;1;1;213;6
22-May-2020 16:46:00;1714;NIGERIA;EN-GB;9;2;2;8;8;3;3;0;1;0;9;9;9;9;9;0;40;60;7;6;4;3;0;9;8;1;1;1;1;2;9;9;8;1;1;8;8;8;8;7;6;6;10;10;8;8;9;9;6;9;7;7;7;6;4;2;4;4;2;9;8;6;0;9;7;0;6;4;7;0;70;7;4;10;50;3;4;1;NA;27;2;0;6;Self employed;5;1;1;1;213;0
22-May-2020 16:47:00;1223;NIGERIA;EN-GB;10;0;10;10;10;10;5;10;8;10;2;1;0;4;5;50;20;30;8;8;10;10;5;10;9;5;5;8;5;3;10;10;10;5;5;10;10;10;9;5;2;0;9;10;7;7;9;10;7;9;8;5;8;7;10;5;10;8;10;7;7;3;0;5;5;0;2;4;9;0;30;8;14;10;25;3;4;1;NA;19;1;0;4;NA;1;1;1;1;213;0
22-May-2020 16:47:00;1922;NIGERIA;EN-GB;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;60;20;20;10;10;5;10;10;10;10;10;10;10;10;0;10;10;10;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;8;10;0;0;10;8;10;8;10;10;3;10;10;10;0;10;10;0;10;10;10;0;0;8;14;10;50;300;12;1;NA;47;3;2;1;NA;3;1;1;1;213;8
22-May-2020 16:52:00;1059;NIGERIA;EN-GB;8;3;10;8;10;8;8;10;10;9;9;9;9;9;10;75;15;10;7;8;8;8;9;10;10;0;0;0;1;10;10;10;10;0;4;4;2;4;6;1;3;0;9;8;7;5;5;7;8;9;4;2;8;2;1;1;3;1;0;7;8;7;0;8;9;0;8;8;9;0;30;5;6;10;50;300;4;2;NA;23;2;0;2;NA;6;1;1;1;213;8
