StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,No_consent,Consent1,No_consent1,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,generosity_DO,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self-control_1,trait_self-control_2,trait_self-control_3,trait_self-control_4,self-esteem_1,Q108_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,CRT1,CRT2,CRT3,sex,sex_3_TEXT,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,FL_8_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Consent form  Please read and confirm the following statements:,Or If you do not wish to take part:,To take part you must provide your consent by ticking all of the below boxes and not ticking you don't wish to consent  Please read and confirm the following statements:,"If you do not wish to take part, please tick here or click next without ticking all of the above","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - Staying at home as much as practically possible","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - Visiting friends, family, or colleagues outside my home","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - Keeping the number of grocery store visits at an absolute minimum","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - Keeping physical distance from all other people outside my home","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - Avoiding handshaking with people outside my home","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - Washing my hands longer than usual","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - Washing my hands (with soap) more thoroughly than usual","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - Washing my hands immediately after returning home","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - Disinfecting frequently used objects, such as mobile phones and keys","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - Sneezing and coughing into my upper sleeve","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - In favour of closing all schools and universities","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - In favour of closing all bars and restaurants","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - In favour of closing all parks","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - In favour of forbidding all public gatherings where many people are gathered at one place (sports and culture)","Be as accurate as you can:  During the days of the coronavirus (COVID-19) pandemic, I have been ... - In favour of forbidding all non-necessary travel","Read carefully   Please imagine that you were provided with a total amount of £83.15     It would be entirely up to you how much money you would keep for yourself, and how much you would give to charity organisations who are working full-time to protect people from the Coronavirus (COVID-19).         Your identity would remain anonymous:   No one else would know how much you decided to keep and how much you decided to give.      If this was a real choice:  How much (0-100%) would you give to charity?     Please indicate below how much you would keep to yourself, how much you would give to a national charity in the UK, providing medical support to people in your own country, and how much you would give to an international charity, providing medical support to people in need all over the world. - What you would keep to yourself:","Read carefully   Please imagine that you were provided with a total amount of £83.15     It would be entirely up to you how much money you would keep for yourself, and how much you would give to charity organisations who are working full-time to protect people from the Coronavirus (COVID-19).         Your identity would remain anonymous:   No one else would know how much you decided to keep and how much you decided to give.      If this was a real choice:  How much (0-100%) would you give to charity?     Please indicate below how much you would keep to yourself, how much you would give to a national charity in the UK, providing medical support to people in your own country, and how much you would give to an international charity, providing medical support to people in need all over the world. - What you would give to a national charity in the UK:","Read carefully   Please imagine that you were provided with a total amount of £83.15     It would be entirely up to you how much money you would keep for yourself, and how much you would give to charity organisations who are working full-time to protect people from the Coronavirus (COVID-19).         Your identity would remain anonymous:   No one else would know how much you decided to keep and how much you decided to give.      If this was a real choice:  How much (0-100%) would you give to charity?     Please indicate below how much you would keep to yourself, how much you would give to a national charity in the UK, providing medical support to people in your own country, and how much you would give to an international charity, providing medical support to people in need all over the world. - What you  would give to an international charity:","Read carefully   Please imagine that you were provided with a total amount of £83.15     It would be entirely up to you how much money you would keep for yourself, and how much you would give to charity organisations who are working full-time to protect people from the Coronavirus (COVID-19).         Your identity would remain anonymous:   No one else would know how much you decided to keep and how much you decided to give.      If this was a real choice:  How much (0-100%) would you give to charity?     Please indicate below how much you would keep to yourself, how much you would give to a national charity in the UK, providing medical support to people in your own country, and how much you would give to an international charity, providing medical support to people in need all over the world. - Display Order","In general, to what extent do you feel happy these days? - 1","Please imagine a ladder, with steps numbered 0 at the bottom and 10 at the top. The top represents the best possible life for you, and the bottom represents the worst possible life for you. On which step of the ladder would you say you personally feel you stand at this time? - 1","For each of the following statements, please select the answer that best describes whether you agree or disagree. - The UK deserves special treatment","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Not many people seem to fully understand the importance of the UK","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I will never be satisfied until the UK gets the recognition it deserves","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I identify as British","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Being British is an important reflection of who I am.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - The coronavirus (COVID-19) is a bioweapon engineered by scientists.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - The coronavirus (COVID-19) is a conspiracy to take away citizen’s rights for good and establish an authoritarian government.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - The coronavirus (COVID-19) is a hoax invented by interest groups for financial gains.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - The coronavirus (COVID-19) was created as a cover up for the impending global economic crash","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I think that paying attention to people who disagree with me is a waste of time.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I feel no shame learning from someone who knows more than me.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - If I do not know much about some topic, I don’t mind being taught about it, even if I know about other topics.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Even when I have high status, I don’t mind learning from others who have lower status.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Only wimps admit that they’ve made mistakes.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I don’t take people seriously if they’re very different from me.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone helped a member of their family.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone worked to unite a community.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone kept their promise.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone showed courage in the face of adversity.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone deferred to those in authority.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone kept the best part for themselves.","When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? - Whether or not someone kept something that didn’t belong to them.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - As a person, I am optimistic for my future.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Overall, I expect more good things to happen to me than bad.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I feel connected with others.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - When I am with other people, I feel included.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I feel accepted by others.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I have close bonds with family and friends.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I am good at resisting temptation","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I am able to work effectively toward long-term goals","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I have a hard time breaking bad habits","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I am lazy","For the following statement, please select the answer that best describes whether you agree or disagree. - I have high self-esteem","Please confirm that you have read this question by moving the bar all the way to the left, providing the value 0 as your answer. - Weather rating:","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I react annoyed if another person steals the show from me.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I deserve to be seen as a great personality.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I want my rivals to fail.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Being a very special person gives me a lot of strength.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - I manage to be the center of attention with my outstanding contributions.","For each of the following statements, please select the answer that best describes whether you agree or disagree. - Most people are somehow losers.","Listed below are some characteristics that might describe a person:      caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind.     The person with these characteristics could be you or it could be someone else.      For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - It would make me feel good to be a person who has these characteristics.","Listed below are some characteristics that might describe a person:      caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind.     The person with these characteristics could be you or it could be someone else.      For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - Being someone who has these characteristics is an important part of who I am.","Listed below are some characteristics that might describe a person:      caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind.     The person with these characteristics could be you or it could be someone else.      For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - I often wear clothes that identify me as having these characteristics.","Listed below are some characteristics that might describe a person:      caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind.     The person with these characteristics could be you or it could be someone else.      For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - I would be ashamed to be a person who had these characteristics.","Listed below are some characteristics that might describe a person:      caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind.     The person with these characteristics could be you or it could be someone else.      For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - The types of things I do in my spare time (e.g., hobbies) clearly identify me as having these characteristics","Listed below are some characteristics that might describe a person:      caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind.     The person with these characteristics could be you or it could be someone else.      For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - The kinds of books and magazines that I read identify me as having these characteristics.","Listed below are some characteristics that might describe a person:      caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind.     The person with these characteristics could be you or it could be someone else.      For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - Having these characteristics is not really important to me.","Listed below are some characteristics that might describe a person:      caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind.     The person with these characteristics could be you or it could be someone else.      For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - The fact that I have these characteristics is communicated to others by my membership in certain organizations.","Listed below are some characteristics that might describe a person:      caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind.     The person with these characteristics could be you or it could be someone else.      For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - I am actively involved in activities that communicate to others that I have these characteristics.","Listed below are some characteristics that might describe a person:      caring, compassionate, fair, friendly, generous, helpful, hardworking, honest, kind.     The person with these characteristics could be you or it could be someone else.      For a moment, visualize in your mind the kind of person who has these characteristics. Imagine how that person would think, feel, and act. When you have a clear image of what this person would be like, answer the following questions. - I strongly desire to have these characteristics.","Please answer the following questions as accurately as possible: - By April 30, 2021: How likely do you think it is that you will get infected by the Coronavirus (Covid-19)?","Please answer the following questions as accurately as possible: - By April 30, 2021: How likely do you think it is that the average person in the UK will get infected by the Coronavirus (Covid-19)?","Overall, what would be the best description of your political views? - 1","Please select the number that represents the extent of your moral circle. Note that, in this scale, the number you select includes all the numbers below it as well. So, for example, if you select 10 (all mammals) you are also including number 1-9 (up to""all people on all continents"") in your moral circle.","In general, how would you rate your physical health as it is today? - 8",A postcard and a pen cost 150 cents in total. The postcard costs 100 cents more than the pen. How many cents does the pen cost?,"If it takes 3 nurses 3 minutes to measure the blood pressure of 3 patients, how long would it take 300 nurses to measure the blood pressure of 300 patients?","Sally is making some tea. Every hour, the concentration of the tea doubles. If it takes 8 hours for the tea to be ready, how many hours would it take for the tea to reach half of the final concentration?",What is your gender? - Selected Choice,What is your gender? - Other - Text,How old are you?,What is your current marital status?,"How many children do you have? If none, please type 0.",How would you describe your current employment status? - Selected Choice,How would you describe your current employment status? - Other - Text,"Where would you place yourself on this ladder to represent where you think you stand at this time in your life, compared to other people in the UK?",Which of the following best describes the area you live in?,"Have you tested positive for the Coronavirus (COVID-19), meaning that you (now or earlier) have had a medically confirmed case of this disease?","Has anyone you know well (friend, partner, family, colleague etc.) tested positive for the Coronavirus (COVID-19)?",Help us get rid of bots: Please write the number 213 into the comment box.,FL_8 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID172807553""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID46_3""}","{""ImportId"":""QID46_4""}","{""ImportId"":""QID46_5""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID47_3""}","{""ImportId"":""QID47_4""}","{""ImportId"":""QID47_5""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID48_5""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_DO""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID25_4""}","{""ImportId"":""QID25_5""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID26_5""}","{""ImportId"":""QID26_7""}","{""ImportId"":""QID26_8""}","{""ImportId"":""QID27_4""}","{""ImportId"":""QID27_5""}","{""ImportId"":""QID27_7""}","{""ImportId"":""QID27_8""}","{""ImportId"":""QID27_9""}","{""ImportId"":""QID27_10""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID28_5""}","{""ImportId"":""QID28_7""}","{""ImportId"":""QID28_8""}","{""ImportId"":""QID28_9""}","{""ImportId"":""QID28_10""}","{""ImportId"":""QID28_11""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_5""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID31_5""}","{""ImportId"":""QID31_12""}","{""ImportId"":""QID31_13""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID32_12""}","{""ImportId"":""QID32_13""}","{""ImportId"":""QID33_4""}","{""ImportId"":""QID63_4""}","{""ImportId"":""QID34_4""}","{""ImportId"":""QID34_5""}","{""ImportId"":""QID34_12""}","{""ImportId"":""QID34_13""}","{""ImportId"":""QID34_14""}","{""ImportId"":""QID34_15""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID35_5""}","{""ImportId"":""QID35_12""}","{""ImportId"":""QID35_13""}","{""ImportId"":""QID35_14""}","{""ImportId"":""QID35_15""}","{""ImportId"":""QID35_16""}","{""ImportId"":""QID35_17""}","{""ImportId"":""QID35_18""}","{""ImportId"":""QID35_19""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45_8""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_3_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID55_6_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""FL_8_DO""}"
28/04/2020 17:24,28/04/2020 17:35,0,90.219.131.226,100,667,1,28/04/2020 17:35,R_2yro2vRv84pAn9k,,,,,55.81190491,-4.257293701,anonymous,EN-GB,"1,3,4,5",-99,,,9,7,6,6,8,9,9,8,7,9,8,4,4,3,7,70,20,10,2|1|3,6,7,9,8,7,10,9,7,2,2,6,4,9,8,7,2,4,6,8,6,6,4,6,6,9,9,5,7,7,8,8,8,8,8,10,6,8,8,10,9,8,6,7,8,6,7,7,3,7,6,5,5,10,20,7,5,4,50 cents,300 minutes | 5 hours,4,1,-99,20,1,0,6,Self Employed,4,2,1,2,213,Generosity|Narcissism|Open-mindedness|Psychologicalwell-being|Self-esteem|Moralcircle|Attentioncheck|Socialbelonging|Physicalhealth|Morality-as-cooperation(shortversion)|NationalIdentification|Riskperception|Physicalhygiene|Traitoptimism|ConspiracyTheoriesCOVID-19|Politicalideology|MoralIdentity|Physicalcontact|Traitself-control|Collectivenarcissism|Anti-coronapolicysupport
28/04/2020 17:18,28/04/2020 17:36,0,92.40.180.73,100,1120,1,28/04/2020 17:36,R_1IsZYfZuXHlx2ZZ,,,,,51.49639893,-0.122406006,anonymous,EN-GB,"1,3,4,5",-99,,,9,0,8,8,10,0,0,0,0,7,10,10,4,10,10,100,0,0,2|3|1,9,7,1,5,1,10,6,6,1,1,2,1,10,8,8,0,0,4,4,8,5,2,1,8,4,5,7,9,8,9,3,3,9,8,1,0,1,2,8,5,2,6,9,7,4,0,2,2,3,5,2,6,10,40,5,11,6,50,3 mins ,4,2,-99,22,2,0,1,-99,7,2,1,2,213,Psychologicalwell-being|Riskperception|Open-mindedness|NationalIdentification|Socialbelonging|Physicalcontact|Generosity|Moralcircle|Traitoptimism|Physicalhygiene|Self-esteem|Traitself-control|Attentioncheck|Physicalhealth|Collectivenarcissism|Narcissism|Anti-coronapolicysupport|Politicalideology|Morality-as-cooperation(shortversion)|MoralIdentity|ConspiracyTheoriesCOVID-19
28/04/2020 17:18,28/04/2020 17:37,0,90.219.88.21,100,1114,1,28/04/2020 17:37,R_r3laLZK0UKtRkUF,,,,,51.56889343,0.007995605,anonymous,EN-GB,"1,3,4,5",-99,,,10,0,8,10,10,10,10,10,10,3,10,10,10,10,10,100,0,0,2|1|3,2,2,2,5,3,7,6,6,1,0,0,3,9,8,8,0,1,6,5,6,5,6,8,5,3,3,3,4,4,6,7,2,6,8,1,0,1,3,0,7,3,1,9,7,3,0,3,4,3,7,6,10,30,30,1,3,4,50,5 hours or 300 minutes,4 hours,2,-99,21,1,0,6,carer,10,1,1,2,213,Narcissism|Physicalhealth|Physicalcontact|Open-mindedness|Socialbelonging|Riskperception|ConspiracyTheoriesCOVID-19|Moralcircle|Generosity|Psychologicalwell-being|Collectivenarcissism|Attentioncheck|MoralIdentity|Anti-coronapolicysupport|Traitoptimism|Politicalideology|Traitself-control|Morality-as-cooperation(shortversion)|NationalIdentification|Self-esteem|Physicalhygiene
28/04/2020 17:11,28/04/2020 17:38,0,86.153.143.22,100,1640,1,28/04/2020 17:38,R_2aPidi5gKkpJE9f,,,,,52.64129639,1.219696045,anonymous,EN-GB,"1,3,4,5",-99,,,10,0,10,10,10,9,10,10,9,10,10,10,10,10,10,50,50,0,1|2|3,5,4,1,5,5,5,2,1,0,0,0,2,9,10,10,0,2,4,3,5,6,4,6,6,6,5,8,7,7,9,7,8,3,4,4,0,2,5,3,3,2,0,9,6,1,0,3,4,2,5,4,5,50,50,3,11,7,50,3 minutes ,4,1,-99,21,1,0,4,-99,7,2,1,1,213,Self-esteem|Psychologicalwell-being|MoralIdentity|Anti-coronapolicysupport|Socialbelonging|Traitoptimism|Riskperception|Morality-as-cooperation(shortversion)|Politicalideology|Open-mindedness|Physicalhygiene|NationalIdentification|Moralcircle|Attentioncheck|Traitself-control|Generosity|Collectivenarcissism|Physicalcontact|ConspiracyTheoriesCOVID-19|Narcissism|Physicalhealth
28/04/2020 17:21,28/04/2020 17:40,0,51.7.103.45,100,1171,1,28/04/2020 17:40,R_2vcu1KeoZuI2cGv,,,,,51.59269714,-2.963699341,anonymous,EN-GB,"1,3,4,5",-99,,,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,50,50,3|1|2,8,8,5,3,1,9,7,2,1,1,1,3,8,8,8,1,2,7,7,6,7,2,1,1,8,8,6,6,6,10,3,5,7,4,2,0,2,8,5,5,4,4,10,10,2,1,4,2,2,2,2,8,70,70,2,16,8,50,3 minutes ,7,2,-99,42,1,1,1,-99,7,1,1,1,213,Traitself-control|Riskperception|Narcissism|Moralcircle|Collectivenarcissism|Physicalcontact|Attentioncheck|ConspiracyTheoriesCOVID-19|Morality-as-cooperation(shortversion)|Socialbelonging|MoralIdentity|NationalIdentification|Anti-coronapolicysupport|Physicalhygiene|Traitoptimism|Politicalideology|Psychologicalwell-being|Generosity|Self-esteem|Open-mindedness|Physicalhealth
28/04/2020 17:23,28/04/2020 17:40,0,79.69.60.209,100,1070,1,28/04/2020 17:40,R_RryuuSUTjbCBlVT,,,,,53.09649658,-2.309295654,anonymous,EN-GB,"1,3,4,5",-99,,,9,1,10,10,10,7,7,10,2,7,9,10,8,10,7,20,60,20,2|3|1,6,6,3,2,2,6,5,6,2,1,2,3,7,7,7,2,3,7,6,8,8,4,6,7,7,6,6,9,8,10,3,6,9,9,6,0,3,4,3,1,2,1,9,7,2,0,3,4,2,3,6,8,60,60,3,14,8,50,300,4,2,-99,25,2,0,4,-99,5,2,1,2,213,Moralcircle|Attentioncheck|Riskperception|Anti-coronapolicysupport|Politicalideology|Self-esteem|Socialbelonging|Open-mindedness|Physicalhygiene|Physicalcontact|Physicalhealth|NationalIdentification|MoralIdentity|Generosity|Traitself-control|Narcissism|Traitoptimism|Collectivenarcissism|ConspiracyTheoriesCOVID-19|Morality-as-cooperation(shortversion)|Psychologicalwell-being
28/04/2020 17:08,28/04/2020 17:42,0,86.143.123.51,100,2045,1,28/04/2020 17:42,R_12sQFD11pYLQ58L,,,,,51.51919556,0.463806152,anonymous,EN-GB,"1,3,4,5",-99,,,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,50,50,0,3|1|2,9,9,3,5,3,10,5,0,0,0,0,2,10,10,10,0,1,6,6,7,6,6,6,7,9,10,6,7,7,9,4,8,7,6,4,0,4,6,0,4,2,0,10,10,7,0,10,10,0,6,6,10,90,90,2,14,7,25 cents,300 minutes,7 hours,2,-99,38,1,0,1,-99,5,1,1,1,213,ConspiracyTheoriesCOVID-19|Generosity|Physicalhygiene|NationalIdentification|Traitoptimism|Open-mindedness|Traitself-control|Socialbelonging|Riskperception|Self-esteem|Anti-coronapolicysupport|Narcissism|Morality-as-cooperation(shortversion)|Moralcircle|Physicalcontact|Attentioncheck|Psychologicalwell-being|Politicalideology|Collectivenarcissism|MoralIdentity|Physicalhealth
28/04/2020 17:29,28/04/2020 17:44,0,86.129.156.3,100,905,1,28/04/2020 17:45,R_3GBo5St5QF8MWzH,,,,,51.65519714,-0.387893677,anonymous,EN-GB,"1,3,4,5",-99,,,10,0,7,8,10,7,7,9,7,10,7,7,0,6,5,100,0,0,1|2|3,3,3,7,8,6,10,8,1,3,0,3,7,7,7,8,6,3,5,5,5,5,5,5,5,4,4,2,3,4,4,0,6,10,2,6,0,7,6,6,7,6,7,7,4,1,1,2,3,7,3,2,1,90,90,8,12,2,50,300 minutes,4,2,-99,24,1,0,6,Furloughed from part-time job,8,1,1,1,213,ConspiracyTheoriesCOVID-19|Physicalhealth|NationalIdentification|Attentioncheck|Physicalhygiene|Anti-coronapolicysupport|Politicalideology|Socialbelonging|Collectivenarcissism|Psychologicalwell-being|Generosity|Physicalcontact|Self-esteem|MoralIdentity|Traitself-control|Morality-as-cooperation(shortversion)|Narcissism|Moralcircle|Riskperception|Open-mindedness|Traitoptimism
