,RecordDate,Duration_sec,Language,Country,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1,psych_wellbeing2,collective_narcis1,collective_narcis2,collective_narcis3,national_identity_1,national_identity_2,Conspiracy_theories_1,Conspiracy_theories_2,Conspiracy_theories_3,Conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,Self.esteem,AttCheck2,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,MORAL_ID_1,MORAL_ID_2,MORAL_ID_3,MORAL_ID_4,MORAL_ID_5,MORAL_ID_6,MORAL_ID_7,MORAL_ID_8,MORAL_ID_9,MORAL_ID_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marital,children,employment_status,employment_status_other,Ladder,urban,tested_positive,know_tested_positive,education_status,education_status_other,region,latest_vote,latest_vote_other,AttCheck_nobots
1,4/28/2020 21:48,629,MK,North Macedonia,10,0,10,10,10,NA,NA,NA,NA,NA,8,8,4,9,89,0,50,50,NA,NA,0,0,0,2,0,0,0,0,0,2,10,8,9,0,0,NA,NA,NA,NA,NA,NA,NA,86,82,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,60,7,16,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,,
2,5/2/2020 16:33,2638,MK,North Macedonia,10,0,10,10,10,7,9,10,8,10,10,10,0,10,100,50,35,15,5,7,0,0,50,10,8,40,10,10,0,2,10,10,10,0,0,6,10,9,10,9,10,10,NA,80,8,9,10,10,10,10,8,2,9,0,7,0,0,0,3,0,5,10,0,0,3,0,0,5,7,10,50,70,4,15,7,25,3,7,2,,55,3,2,1,,5,1,1,1,7,,7,NA,,
3,4/28/2020 20:31,1463,MK,North Macedonia,7,6,6,6,7,5,6,10,3,7,10,4,0,4,100,0,100,0,3,3,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,10,2,1,10,2,2,0,60,60,7,7,8,8,9,9,1,0,10,0,0,0,0,2,8,0,10,10,8,0,10,6,0,6,7,10,80,80,5,16,8,25,NA,7,1,,45,1,0,3,,9,2,2,2,4,,7,11,ne glasav,213
4,5/1/2020 0:07,2701,MK,North Macedonia,10,0,10,10,2,10,10,10,10,10,10,10,10,10,100,70,20,10,8,8,60,80,100,10,10,100,100,100,100,10,10,10,10,0,2,9,6,10,2,10,10,10,75,74,NA,NA,5,5,8,8,3,3,9,0,3,3,0,0,0,1,10,10,5,1,3,5,0,9,9,5,40,20,10,2,10,25,NA,2,1,,47,3,3,1,,5,2,1,2,7,,4,5,,213
5,4/28/2020 19:33,946,MK,North Macedonia,10,0,10,9,10,10,10,10,10,10,5,5,5,10,100,0,100,0,4,4,0,0,0,0,0,100,30,40,40,8,10,10,10,0,0,10,10,10,10,10,10,10,64,24,7,7,7,9,10,10,2,2,8,0,6,3,2,2,2,1,9,9,1,1,2,2,NA,9,9,1,50,50,2,2,9,50,100,4,1,,35,2,0,6,,6,1,1,2,6,,7,4,,213
6,5/2/2020 14:00,1765,MK,North Macedonia,10,0,10,10,10,10,10,10,10,10,10,10,10,10,100,0,50,50,7,8,50,80,90,10,10,NA,NA,NA,NA,8,10,9,9,0,1,10,0,9,8,5,5,0,100,100,10,9,10,10,9,8,0,0,NA,5,0,0,0,5,5,5,8,10,5,0,9,9,9,0,0,8,50,80,NA,2,10,25,900,7,1,,64,3,2,1,,6,1,1,1,6,,NA,13,,213
7,5/1/2020 17:54,938,MK,North Macedonia,10,0,10,10,10,10,10,10,5,10,9,9,0,9,100,50,50,0,9,9,70,50,50,8,9,50,50,50,50,5,10,10,10,0,5,10,10,9,10,5,5,5,100,100,8,9,9,10,10,10,5,0,10,0,2,7,0,9,9,3,10,10,10,0,10,8,0,7,7,8,50,50,5,16,10,50,NA,4,2,,43,3,0,1,,3,1,1,1,7,,7,13,,213
8,5/1/2020 14:31,787,MK,North Macedonia,10,5,5,5,10,5,5,10,10,10,5,5,5,10,100,70,20,10,5,5,50,50,50,8,8,100,100,100,100,9,10,10,10,0,0,6,5,9,10,4,5,0,51,100,8,10,10,10,5,5,5,4,7,7,5,9,1,10,9,9,10,10,7,1,5,5,0,0,7,7,50,50,0,16,5,50,100,4,2,,45,3,2,1,,5,1,1,1,6,,4,4,,213
9,4/28/2020 20:07,7355,MK,North Macedonia,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,1,1,0,50,50,50,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,0,1,1,0,0,0,0,0,5,5,5,5,5,10,1,0,10,NA,10,0,1,3,0,100,40,5,9,0,NA,NA,NA,2,,51,3,2,5,,10,1,2,2,5,,NA,4,,213
10,4/28/2020 21:37,776,MK,North Macedonia,5,0,0,8,10,10,10,10,10,3,4,7,0,7,50,80,10,10,5,2,0,0,0,5,5,0,0,0,0,3,10,8,8,0,0,5,7,10,6,5,5,5,50,50,2,5,5,4,6,10,5,2,6,0,7,6,4,6,5,5,8,8,5,2,8,10,2,7,4,8,20,20,3,8,6,50,300,7,1,,36,2,0,1,,3,1,1,1,8,,8,4,,213
