Duration_sec,RecordedDate,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self_control__1,trait_self_control__2,trait_self_control__3,trait_self_control__4,Self_esteem,AttCheck2,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,CRT1,CRT2,CRT3,Country
696,   5/5/2020 6:18,PL,5,5,7,5,5,7,8,9,9,9,7,8,7,7,7,100,0,0,7,8,6,6,6,7,8,5,6,5,5,5,7,5,5,5,5,5,5,5,5,6,5,5,7,5,5,7,7,7,6,8,5,5,7,7,7,8,6,7,8,8,6,5,5,6,5,5,5,5,5,5,80,80,5,14,7,2,,39,3,3,1,,6,1,1,1,213,50,300,4,Poland
995,   5/5/2020 6:21,PL,7,6,9,9,8,10,10,10,7,4,8,8,4,7,8,40,40,20,7,7,3,6,5,10,8,5,4,4,4,3,8,8,9,1,0,8,7,9,7,7,2,0,8,6,9,10,10,4,8,6,6,9,3,0,3,2,4,7,6,5,9,9,1,1,6,8,1,7,7,7,30,70,7,10,10,2,,19,1,0,4,,6,1,1,1,213,50,3,4,Poland
1375,   5/5/2020 6:25,PL,7,7,8,5,6,8,8,8,8,3,7,7,2,7,7,60,10,30,5,5,2,1,0,2,3,2,2,2,2,6,8,7,7,2,4,7,7,7,8,7,6,6,6,4,8,8,7,5,6,6,6,3,4,7,6,6,6,6,6,4,6,6,5,4,6,6,3,5,4,6,60,60,2,14,7,2,,24,2,1,6,,7,1,1,1,213,25,3,7,Poland
1216,   5/5/2020 6:29,PL,10,2,10,10,10,10,10,6,8,10,10,10,10,10,10,50,25,25,8,7,8,10,3,10,10,0,0,0,0,2,3,10,10,0,0,7,2,8,8,3,5,7,10,2,3,3,10,10,8,10,7,3,7,5,10,7,10,10,7,3,10,3,3,0,7,2,3,7,7,7,30,90,5,1,8,1,,18,1,0,1,,7,4,1,1,213,50,300,256,Poland
1253,   5/5/2020 6:29,PL,10,0,8,9,10,8,5,7,2,10,10,10,10,10,10,0,100,0,8,8,0,0,0,10,10,5,3,0,1,1,10,9,9,0,0,9,8,10,7,10,10,10,7,9,8,8,9,9,7,8,6,0,9,0,3,2,0,4,5,7,7,8,2,0,8,6,5,0,3,5,60,80,2,10,8,2,,60,3,2,5,,6,1,1,1,213,50,300,4,Poland
1434,   5/5/2020 6:30,PL,10,9,9,10,10,6,8,10,10,10,10,10,10,10,10,50,20,30,8,7,3,3,4,8,7,10,10,8,8,4,10,10,10,0,0,4,4,4,3,4,3,5,2,7,6,7,7,8,3,4,6,6,4,0,8,5,6,7,5,6,8,9,7,2,7,5,3,3,6,4,0,10,5,10,7,2,,39,3,1,6,Housewife,3,4,1,1,213,50,3,4,Poland
1734,   5/5/2020 6:32,PL,10,0,10,10,10,4,3,2,0,1,10,6,7,7,7,0,50,50,7,7,4,4,4,10,7,7,6,6,6,2,10,10,10,0,0,8,8,10,10,9,2,2,6,7,10,9,9,10,5,10,0,0,6,3,6,7,0,7,7,1,10,10,8,0,9,8,0,7,7,10,40,90,0,16,10,2,,19,3,2,2,,5,1,1,1,213,50,3,4,Poland
996,   5/5/2020 6:33,PL,9,2,10,8,10,9,9,9,9,10,5,8,5,5,8,50,50,0,5,6,5,7,7,7,7,5,5,5,5,5,10,8,10,0,0,10,7,9,7,8,10,10,8,8,6,7,7,10,5,9,7,6,7,0,5,5,0,7,5,2,8,8,5,0,6,10,10,7,5,9,50,50,5,10,5,2,,33,2,0,1,,6,1,1,1,213,50,3,4,Poland
1053,   5/5/2020 6:34,PL,6,6,7,8,9,6,6,6,7,7,6,6,3,6,6,50,30,20,8,7,6,3,6,7,7,1,1,1,2,2,6,7,6,7,3,7,6,6,6,7,5,6,8,7,7,6,7,7,6,6,3,3,7,0,7,6,7,6,6,6,6,7,6,2,6,7,6,6,6,6,10,20,6,10,8,1,,44,2,0,1,,5,1,1,1,213,50,300,4,Poland
1200,   5/5/2020 6:35,PL,5,5,6,3,4,0,5,5,0,5,0,0,0,0,0,100,0,0,3,4,3,8,0,9,9,10,10,10,10,3,8,8,7,0,2,5,5,9,5,9,7,5,3,2,4,5,9,1,7,6,7,3,8,4,6,3,10,5,7,9,9,5,2,0,6,5,3,0,5,5,0,0,8,9,4,1,,38,1,0,3,,8,1,1,1,213,50,300,7,Poland
