StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,DistributionChannel,UserLanguage,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1_1,psych_wellbeing2_1,collective_narcis_1,collective_narcis_2,collective_narcis_3,national_identity_1,national_identity_2,conspiracy_theories_1,conspiracy_theories_2,conspiracy_theories_3,conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,self_esteem_1,narcissism_1,narcissism_2,narcissism_3,narcissism_4,narcissism_5,narcissism_6,moral_identity_1,moral_identity_2,moral_identity_3,moral_identity_4,moral_identity_5,moral_identity_6,moral_identity_7,moral_identity_8,moral_identity_9,moral_identity_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle1,health_1,attention_1,CRT1,CRT2,CRT3,sex,age,marital,children,employment,employment_6_TEXT,ladder_answer,urban,tested_positive,know_tested_positive,edu,Geo,Q46,vote.recall,Q49,no_bots,Q54_1,Q114_1,Q114_2,Q114_3,Q114_4,Q114_5,Q114_6,Q114_7,Q114_8,Q114_9,Q114_10,weight,weight_trimmed_0.999,weight_trimmed_0.995,weight_trimmed_0.990
4/26/2020,4/26/2020,0,100,990,1,4/26/2020,R_01dr4GJwoKYlwn7, , ,email,DE,7,3,7,9,10,2,3,6,7,9,7,7,7,6,8,100,0,0,6,4,5,5,5,10,5,0,0,0,0,3,8,8,5,0,3,7,6,8,6,1,3,1,7,7,7,4,4,4,6,4,7,8,4,6,6,3,3,4,0,8,6,2,3,3,4,7,3,4,6,20,20,3,4,8,0,25 Cent,3 Minuten,7 Stunden,1,43,3,2,6,Selbständig,4,1,1,1,11,3,3100,3,1,213,30,2,3,2,5,3,5,5,3,4,2,.0406983978965435,.0406983978965435,.0503409206445137,.0814659375539716
4/23/2020,4/26/2020,0,100,240126,1,4/26/2020,R_09tkhFjzYVUfyet, , ,email,DE,10,0,10,10,10,10,10,10,10,10,10,10,3,10,10,50,25,25,8,7,8,5,5,5,0,10,10,10,10,5,10,9,8,0,5,10,10,10,10,0,10,10,0,8,6,7,10,10,10,10,2,0,7,0,8,0,10,2,0,10,10,10,0,10,5,0,0,7,10,0,100,0,3,9,0,125,300,7,2,20,2,0,2, ,6,2,1,1,4,1,7011,3,2,213, ,4,4,4,3,2,3,3,3,4,4,.41694089667452,.41694089667452,.42658341942249,.457708436331948
4/26/2020,4/26/2020,0,45,1104,0,5/3/2020,R_0Cfs7ALlUP3KPrX, , ,email,DE,9,2,7,9,10,8,9,9,5,9,7,10,2,10,9, , , ,7,5,5,7,5,10,10,5,3,2,2,7,9,7,7,3,3,7,7,7,8,5,5,3,5,5,5,5,5,7,5,5,5,8,5,3,2,3,7,3,2,8,5,3,3,4,3,6,3,5,6,20,20,5,6,5,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4/23/2020,4/23/2020,0,100,1104,1,4/23/2020,R_0doFSZnji8hX4pr, , ,email,DE,8,5,9,9,10,10,10,10,6,10,2,7,0,10,10,33,33,34,5,4,0,0,0,1,0,0,0,0,0,2,10,8,10,0,0,7,9,10,8,5,8,7,7,8,8,8,10,9,3,7,5,5,10,6,3,1,5,5,0,8,8,6,0,7,10,0,9,8,8,20,20,1,11,10,0,50,3,"5,5",2,46,3,3,1, ,5,1,1,1,11,6,8141,3,6,213,15,3,3,4,3,3,4,4,3,3,3,.0214639911921454,.0214639911921454,.0311065139401156,.0622315308495736
4/23/2020,4/23/2020,0,100,3256,1,4/23/2020,R_0Dpsj7NexdkEvm1, , ,email,DE,8,2,8,7,10,7,8,8,5,5,3,4,0,4,6,30,20,50,5,7,3,5,5,7,5,0,0,0,0,3,9,8,8,1,3,5,7,7,6,5,4,7,5,7,7,6,6,5,7,5,6,3,7,6,5,6,5,4,2,9,7,5,1,5,6,1,8,7,9,40,40,2,10,8,0,50,3,4,1,69,3,2,5, ,3,2,1,1,11,6,8280,2,3,213,0,2,2,3,5,4,3,4,4,4,2,.320467114345688,.320467114345688,.330109637093658,.361234654003116
4/26/2020,4/26/2020,0,100,1311,1,4/26/2020,R_0DrVQTx5ixqloOt, , ,anonymous,DE,9,1,9,10,10,6,8,10,8,10,4,8,2,7,7,70,20,10,7,3,0,5,0,8,6,3,2,2,2,3,9,4,7,0,0,7,8,8,8,3,9,8,4,3,7,7,8,10,3,7,6,4,5,7,4,2,8,3,0,9,8,5,0,4,6,2,1,1,7,80,50,1,14,9,0,50,300,4,2,33,3,0,2, ,3,2,1,1,10,6,8120,3,3,213,0,4,4,4,3,2,2,4,3,4,3,.0351735610381465,.0351735610381465,.0448160837861167,.0759411006955747
4/28/2020,4/29/2020,0,100,71280,1,4/29/2020,R_0fC27hFqeLs3q37, , ,anonymous,DE,9,1,8,8,10,9,6,10,1,9,6,9,1,10,7,50,10,40,2,8,0,2,0,8,1,0,0,0,0,1,10,9,4,0,2,7,8,8,5,6,3,6,2,6,6,7,2,4,5,3,9,7,0,3,0,0,4,1,1,9,6,2,0,3,3,1,6,6,8,10,10,0,9,9,0,25,3 Minuten,7,2,28,2,0,6,Studentin und angestellt in Teilzeit,4,1,1,1,10,9,1210,3,3,213,5,2,3,4,3,2,5,4,2,2,5,.0351735610381465,.0351735610381465,.0448160837861167,.0759411006955747
4/23/2020,4/23/2020,0,100,966,1,4/23/2020,R_0GGsZVQcTqdrwmB, , ,email,DE,9,0,10,10,10,7,7,7,2,2,10,10,7,10,10,0,90,10,8,7,5,5,5,7,7,6,3,3,2,7,9,9,9,2,3,5,9,6,8,8,8,7,10,7,9,6,6,6,7,8,7,7,6,1,2,2,7,5,1,10,9,6,0,5,8,3,7,4,7,70,70,4,16,10,0,50,3,7,2,53,3,1,1, ,6,2,1,2,6,3,2540,3,2,213,0,2,2,3,5,5,2,5,5,3,1,.0998287692315477,.0998287692315477,.109471291979518,.140596308888976
4/26/2020,4/26/2020,0,100,1614,1,4/26/2020,R_0Hs0mz4xU283KFz, , ,email,DE,5,10,2,0,5,9,9,10,3,1,2,2,0,0,1,80,10,10,6,6,0,0,0,2,2,0,0,0,0,1,10,10,10,9,0,7,7,5,5,5,9,9,5,5,5,0,5,10,5,5,4,1,5,0,0,4,5,2,0,7,7,0,0,1,5,8,8,8,5,10,10,1,12,8,0,50,3,7,1,73,3,3,6,Werktätiger Pensionist,2,3,1,2,5,9,1040,2,2,213,30,2,2,1,5,4,2,4,3,4,2,2.03225781476748,2.03225781476748,2.04190033751545,2.07302535442491
4/26/2020,4/26/2020,0,100,1023,1,4/26/2020,R_0i8sLGFRkbIksA9, , ,email,DE,10,0,10,10,10,7,8,9,3,10,10,10,6,10,9,0,0,100,2,5,0,10,0,5,2,0,0,0,0,0,10,10,10,0,0,8,8,8,8,8,2,8,7,6,8,8,8,7,4,3,7,4,7,6,3,1,4,6,0,10,10,4,0,5,3,0,7,7,7,100,10,3,16,9,0,25,3,7,1,39,3,0,1, ,3,1,2,2,12,9,"New York, USA",3,3,213,26,2,4,3,4,2,3,4,2,4,2,.0406983978965435,.0406983978965435,.0503409206445137,.0814659375539716
4/25/2020,4/25/2020,0,100,3851,1,4/25/2020,R_0IZUEgA65bAGlGx, , ,anonymous,DE,9,0,8,10,10,9,9,9,9,9,8,8,2,9,6,1,50,49,4,4,1,5,0,6,5,2,0,0,0,2,0,8,8,0,0,7,7,8,8,5,6,8,6,5,2,5,4,7,7,7,3,3,7,2,5,1,5,3,0,9,8,5,0,6,5,0,6,8,7,60,50,5,9,7,0,25,3,7,2,38,3,0,1, ,4,1,1,1,10,4,4020,5,6,213,74,2,3,3,3,3,3,3,3,3,3,.150353076098005,.150353076098005,.159995598845975,.191120615755433
4/25/2020,4/25/2020,0,4,92,0,5/2/2020,R_0karjjMukTn9SCt, , ,anonymous,DE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4/23/2020,4/23/2020,0,6,61,0,4/30/2020,R_0SuyJzYATY852o1, , ,email,DE,5,6,5,7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4/29/2020,4/29/2020,0,100,1913,1,4/29/2020,R_0VY66dw8t7AIFzj, , ,anonymous,DE,9,1,10,10,10,8,10,10,9,9,8,10,9,10,10,80,10,10,7,7,0,1,1,10,4,0,0,0,0,3,10,8,8,0,2,9,7,6,8,4,6,8,6,6,7,7,8,10,3,4,9,10,7,6,8,6,9,7,2,10,9,8,0,6,4,2,7,7,9,10,30,3,9,4,0,25,3,7,2,27,2,0,2, ,4,1,1,1,10,9,1070,3,3,213,20,3,2,2,4,4,2,3,4,4,2,.0351735610381465,.0351735610381465,.0448160837861167,.0759411006955747
4/25/2020,4/25/2020,0,13,851,0,5/2/2020,R_0wAxaeLa7KHvRRf, , ,anonymous,DE,5,5,5,5,5,0,0,0,0,10,0,0,0,0,0,100,0,0,10,5, , , ,0,0, , , , , , , , , , ,5,5,5,5,5,5,5, , , , , , ,5,5,5,5,10, , , , , , ,0,0,0,10,0,0,0,0,0,0, , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4/24/2020,4/24/2020,0,100,21013,1,4/24/2020,R_10CbiS8heu7q7SL, , ,anonymous,DE,10,1,9,9,10,7,7,10,3,8,8,10,1,10,10,0,40,60,3,5,0,0,0,0,0,0,0,0,0,2,10,9,9,0,0,0,10,9,7,7,7,7,3,5,8,7,7,7,5,6,3,3,7,3,5,2,5,6,0,10,9,5,0,9,9,0,7,9,9,30,50,0,16,6,0,50,300,4,2,47,2,2,2, ,5,1,1,1,12,9,1040,8,8,213,42,2,3,4,3,3,3,3,2,4,3, , , , 
4/26/2020,4/26/2020,0,100,1171,1,4/26/2020,R_10HRXcd3iSwdeXv, , ,email,DE,7,1,8,8,10,6,7,6,0,5,3,4,2,7,7,50,50,0,6,6,5,4,2,8,8,0,0,0,0,5,7,6,6,3,2,5,5,7,6,6,6,7,7,7,6,5,6,8,7,7,2,4,7,3,6,1,6,6,2,8,6,5,3,5,4,5,6,6,6,10,10,3,4,7,0,50,3,7,1,77,2,2,5, ,5,1,1,2,4,6,8940,2,2,213,0,2,2,2,4,3,2,4,5,4,2,2.03225781476748,2.03225781476748,2.04190033751545,2.07302535442491
4/23/2020,4/23/2020,0,100,1158,1,4/23/2020,R_10JnVycyAAsxkSf, , ,email,DE,9,2,9,9,10,9,9,10,7,9,9,8,4,8,10,10,90,0,5,7,2,3,0,8,8,0,0,0,0,1,9,9,9,0,1,8,8,7,9,3,4,2,7,8,9,8,8,10,7,9,4,1,8,4,2,1,6,5,1,9,8,1,0,2,2,0,3,7,7,10,20,4,14,9,0,50 Cent,3 Minuten,7 Stunden,2,50,3,2,2, ,5,2,1,1,6,5,5081,3,3,213,14,4,3,4,3,2,3,4,3,4,1,.0998287692315477,.0998287692315477,.109471291979518,.140596308888976
4/23/2020,4/23/2020,0,100,1187,1,4/23/2020,R_10MiWeb2FTTs8Mj, , ,email,DE,10,0,10,10,10,9,9,10,5,10,10,10,2,10,10,0,70,30,3,4,5,5,0,8,4,0,0,0,0,5,10,10,10,0,0,7,5,9,6,2,9,10,7,7,10,9,10,10,9,10,5,1,6,5,1,0,5,1,0,10,9,6,0,3,7,1,6,8,10,10,10,6,16,8,0,25,3,7,2,49,2,2,1, ,3,2,1,1,11,3,2020,3,1,213,0,4,3,5,2,2,3,4,4,3,2,.0214639911921454,.0214639911921454,.0311065139401156,.0622315308495736
4/24/2020,4/24/2020,0,100,2827,1,4/24/2020,R_10oylnJ50U44KEe, , ,anonymous,DE,10,0,10,10,10,10,9,7,0,0,7,10,0,10,10,50,0,50,5,7,0,10,0,6,1,0,0,0,0,0,10,10,10,0,0,5,6,10,6,5,8,10,10,10,7,8,8,10,10,10,8,0,9,4,4,1,7,5,2,10,10,0,0,6,4,0,6,7,10,10,10,3,14,9,0,50 cent,300 Minuten,4 Stunden,2,48,3,2,1, ,2,2,1,1,12,3,2113,7,7,213,0,1,4,4,3,3,3,4,4,3,3,1.00136293143956,1.00136293143956,1.01100545418753,1.04213047109699
4/23/2020,4/23/2020,0,2,9,0,4/30/2020,R_10SDAUZVB059s2w, , ,email,DE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
