start,finish,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
2020/5/1 9:02,2020/5/1 9:28,CHINA,CHN,7,3,9,10,9,6,9,4,6,8,7,7,7,8,9,25,26,49,8,7,8,8,7,10,10,7,8,5,6,4,9,6,5,8,5,4,8,5,7,6,6,8,5,8,5,8,7,8,5,6,5,7,7,6,8,5,7,6,7,5,6,3,6,4,6,8,4,7,7,50,50,6,12,9,50,900,4,1,,25,1,0,1,,4,2,1,1,213,0
2020/5/1 9:05,2020/5/1 9:24,CHINA,CHN,9,1,8,10,10,8,9,10,7,8,10,8,7,10,7,0,100,0,9,8,10,5,9,10,10,2,2,3,1,2,8,8,10,0,2,8,7,10,7,3,4,3,8,9,8,8,9,8,7,9,2,1,7,1,8,2,7,6,2,8,9,4,2,7,3,2,8,6,4,20,20,8,2,8,50,3,4,2,,65,3,1,5,,5,1,1,1,213,0
2020/5/1 9:09,2020/5/1 9:41,CHINA,CHN,10,1,10,10,10,10,10,10,5,10,4,10,3,10,10,25,50,25,7,7,3,5,5,10,10,1,0,0,3,5,8,8,8,1,1,7,7,8,8,4,9,10,8,8,7,7,7,8,4,5,7,5,8,5,7,1,5,8,5,8,8,5,5,5,6,2,7,7,7,10,10,5,4,8,25,3,7,2,,19,2,0,4,,6,1,1,1,213,0
2020/5/1 9:13,2020/5/1 9:46,CHINA,CHN,10,1,10,10,10,10,8,9,10,10,10,10,7,10,10,10,50,40,5,2,1,9,7,10,10,1,0,0,3,1,10,10,10,1,1,1,4,7,3,6,7,3,2,2,9,5,7,5,9,5,3,5,7,2,6,6,4,3,3,10,8,2,1,5,6,3,7,8,9,0,10,4,7,1,25,3,7,1,,50,3,0,5,,3,1,1,1,213,0
2020/5/1 9:15,2020/5/1 9:45,CHINA,CHN,10,0,9,10,9,10,9,9,10,8,10,8,10,9,10,0,50,50,10,9,3,5,6,10,10,1,3,3,3,0,10,9,9,1,1,10,9,10,9,6,6,6,10,8,10,8,9,9,9,9,2,1,9,1,9,0,9,9,1,9,9,8,1,8,9,1,9,8,10,10,50,3,8,10,25,300,4,1,,61,3,1,1,,5,1,1,1,213,0
2020/5/1 9:19,2020/5/1 9:43,CHINA,CHN,10,0,9,10,10,9,9,10,10,9,10,10,7,10,10,0,60,40,4,6,9,8,8,10,10,1,0,0,3,2,10,9,10,0,0,8,8,10,9,9,8,9,8,9,9,9,10,10,9,8,7,4,9,4,7,4,9,7,5,8,9,10,5,8,8,4,7,6,6,10,10,3,10,9,50,37,7,1,,55,3,1,1,,5,1,1,1,213,0
2020/5/1 9:23,2020/5/1 10:04,CHINA,CHN,9,2,5,8,9,9,10,9,7,7,8,10,7,9,10,80,15,5,8,7,3,5,4,8,9,0,1,0,1,5,6,4,7,5,2,8,9,8,9,8,10,8,8,9,8,8,7,9,8,9,3,2,7,4,7,4,8,9,6,7,9,7,1,7,5,3,8,7,8,0,0,3,4,8,50,1,3,2,,50,3,1,1,,3,1,1,1,213,0
2020/5/1 9:29,2020/5/1 9:45,CHINA,CHN,10,1,9,10,9,10,10,9,10,9,8,8,5,10,8,0,100,0,6,5,7,8,9,10,10,5,3,2,3,3,10,8,9,3,2,5,7,9,9,8,9,10,5,4,7,8,9,10,7,9,2,1,6,3,6,2,6,9,5,7,7,8,2,8,8,2,6,8,9,50,30,6,6,8,100,3,4,2,,29,3,0,1,,3,1,1,1,213,0
2020/5/1 9:29,2020/5/1 9:53,CHINA,CHN,7,1,8,4,7,7,5,8,4,6,6,4,8,3,7,80,10,10,7,4,7,4,3,9,6,1,3,1,1,6,3,6,4,8,4,7,4,8,7,4,8,7,6,3,7,4,8,4,6,3,7,4,3,2,7,4,7,6,4,6,8,4,2,7,6,3,7,4,3,10,30,7,9,7,50,3,2,1,,64,3,1,5,,4,1,1,1,213,0
2020/5/1 9:32,2020/5/1 9:54,CHINA,CHN,9,1,9,10,10,8,10,9,7,9,9,10,7,10,10,30,50,20,8,7,6,4,4,9,8,0,0,1,1,2,8,9,7,2,1,7,9,9,8,9,5,8,8,7,9,9,8,9,8,9,1,0,8,5,8,7,9,7,4,8,9,8,0,8,9,2,5,8,8,10,10,4,12,8,25,3,4,1,,39,3,2,1,,4,1,1,1,213,0
2020/5/1 9:35,2020/5/1 10:05,CHINA,CHN,9,5,9,9,9,9,8,9,8,9,9,9,8,9,10,90,7,3,8,8,10,10,3,10,9,2,1,2,1,2,10,9,6,1,1,9,9,10,8,9,10,8,10,7,8,7,9,8,9,8,3,4,7,2,10,3,9,10,2,9,9,9,2,10,10,6,9,7,9,10,20,5,2,9,25,30,4,2,,61,3,2,5,,5,1,1,1,213,0
2020/5/1 9:36,2020/5/1 10:11,CHINA,CHN,10,5,10,8,10,10,10,10,8,10,10,10,8,10,10,90,7,3,9,10,10,10,10,10,10,3,3,4,1,8,5,7,10,5,10,9,8,10,8,10,7,10,10,10,8,10,8,9,6,7,9,8,10,5,10,8,10,7,9,10,10,2,3,10,5,1,8,3,9,0,50,5,16,10,25,3,4,2,,40,3,1,1,,5,1,1,1,213,0
2020/5/1 9:47,2020/5/1 10:13,CHINA,CHN,8,2,8,8,8,8,8,7,9,8,8,9,8,8,9,30,70,0,6,6,4,9,7,10,10,2,2,1,1,4,7,7,8,2,5,8,7,7,8,7,8,7,7,7,8,7,8,9,7,8,2,4,6,6,8,6,8,7,5,7,8,7,1,8,7,2,6,8,7,50,50,6,9,7,25,3,7,2,,27,3,1,1,,3,1,1,1,213,0
2020/5/1 9:54,2020/5/1 10:29,CHINA,CHN,10,5,8,10,10,9,10,8,9,9,5,10,4,10,9,20,40,40,7,9,0,5,4,10,10,1,0,0,3,5,4,10,9,1,2,10,6,9,8,8,8,7,9,8,10,9,0,9,7,8,7,1,8,1,5,1,6,7,5,7,7,5,6,7,7,4,6,7,6,20,70,8,7,10,50,3,7,1,,55,3,1,1,,5,1,1,1,213,0
2020/5/1 9:58,2020/5/1 10:21,CHINA,CHN,9,2,7,9,8,8,9,9,9,7,9,9,7,8,10,40,30,30,9,9,9,6,6,9,8,5,0,1,1,3,4,5,2,3,4,5,8,9,8,5,4,5,8,6,8,8,7,8,6,7,5,3,7,4,5,5,6,6,7,8,7,8,2,6,5,2,5,6,6,0,10,8,10,8,25,3,2,1,,35,3,1,1,,5,1,1,1,213,0
2020/5/1 10:04,2020/5/1 10:33,CHINA,CHN,9,3,8,9,7,8,8,9,4,7,9,7,9,9,9,60,30,10,9,8,4,3,4,10,8,1,1,2,0,2,8,9,9,2,3,3,8,9,6,8,8,7,8,7,7,8,8,9,7,8,4,2,7,4,6,7,6,8,6,9,7,5,2,7,6,4,4,7,8,10,20,4,9,9,25,3,7,2,,47,3,1,1,,5,1,1,1,213,0
2020/5/1 10:06,2020/5/1 10:21,CHINA,CHN,9,0,3,10,10,6,6,10,2,3,5,3,2,10,10,80,10,10,7,7,0,2,6,10,7,2,1,2,1,0,5,6,10,1,10,7,6,9,6,1,1,10,7,10,10,9,8,10,3,7,9,10,7,7,10,6,10,7,10,10,10,4,1,8,1,2,8,9,10,20,20,1,12,8,50,300,4,2,,67,3,1,5,,3,1,1,1,213,0
2020/5/1 10:11,2020/5/1 10:40,CHINA,CHN,9,0,5,10,10,9,10,9,6,7,9,10,8,10,9,50,30,20,7,6,6,7,8,9,5,1,1,3,2,6,8,7,8,4,7,8,9,8,7,6,9,9,9,7,6,9,8,7,7,6,7,8,9,5,4,6,6,8,7,6,8,7,6,5,7,4,8,7,7,20,60,7,8,5,50,3,4,1,,50,3,1,1,,4,1,1,1,213,0
2020/5/1 10:21,2020/5/1 10:36,CHINA,CHN,10,0,8,8,9,7,7,10,10,9,10,9,9,10,10,50,0,50,7,6,1,8,10,10,10,2,1,2,1,2,10,10,10,8,2,7,7,9,8,7,6,8,10,8,10,5,5,6,5,5,7,8,6,1,6,5,5,5,7,7,5,5,1,5,5,7,8,3,5,10,20,5,9,9,25,3,7,2,,66,3,1,5,,5,1,1,1,213,0
2020/5/1 10:21,2020/5/1 10:45,CHINA,CHN,9,2,7,8,8,8,7,8,9,8,8,5,3,7,7,80,15,5,7,6,7,7,7,10,10,9,7,6,7,3,3,7,7,2,2,8,8,7,8,6,7,6,8,6,9,7,8,7,7,5,7,4,8,8,7,9,7,8,5,7,6,6,5,5,4,2,7,5,7,20,50,8,3,9,50,100,4,2,,65,3,1,5,,4,1,1,1,213,0
2020/5/1 10:22,2020/5/1 11:01,CHINA,CHN,9,2,9,9,9,6,4,6,6,8,8,8,6,9,9,70,20,10,8,8,8,6,6,10,10,4,5,4,3,7,4,6,7,7,6,8,6,6,8,10,7,6,8,5,8,6,7,7,7,5,9,7,8,8,6,8,6,7,7,7,6,8,6,7,6,3,7,8,7,20,10,5,13,8,25,3,7,1,,65,3,1,5,,3,1,1,1,213,0
2020/5/1 10:24,2020/5/1 10:53,CHINA,CHN,9,0,9,9,9,9,10,10,9,9,9,9,9,10,10,50,50,0,6,6,8,7,8,10,9,0,1,1,6,8,9,9,8,0,4,8,10,9,9,8,5,5,5,5,8,8,8,9,7,9,4,1,6,7,6,6,6,5,5,9,8,6,1,6,5,1,7,7,8,10,20,6,6,8,50,3,4,2,,51,3,1,1,,5,1,1,1,213,0
2020/5/1 10:32,2020/5/1 10:53,CHINA,CHN,9,0,9,8,9,9,8,9,9,8,9,8,9,9,8,50,30,20,8,6,6,8,8,9,9,5,4,4,3,3,9,9,8,0,0,5,7,9,9,8,5,8,9,8,9,9,7,9,9,8,8,0,8,2,8,3,9,8,3,9,8,9,0,9,8,0,9,8,9,20,30,4,6,9,125,3,4,1,,33,3,1,1,,5,1,1,1,213,0
2020/5/1 10:36,2020/5/1 11:02,CHINA,CHN,8,1,8,9,10,7,9,7,9,7,8,8,9,7,8,50,25,25,8,6,8,1,1,9,10,1,1,3,1,1,9,9,9,1,1,9,10,6,8,9,7,9,7,9,8,9,7,9,8,9,1,1,9,1,8,1,7,8,1,8,9,8,0,8,9,1,7,9,7,20,10,8,8,9,25,3,2.5,2,,58,3,1,1,,5,1,1,1,213,0
2020/5/1 10:40,2020/5/1 11:12,CHINA,CHN,10,1,9,10,10,8,8,10,8,7,8,10,7,10,10,40,40,20,8,7,7,5,8,10,10,0,1,0,1,0,4,9,8,0,0,0,8,8,8,6,5,5,7,8,8,8,8,9,6,5,5,5,6,7,6,7,6,7,0,7,6,7,2,5,5,2,5,6,7,30,40,5,9,7,25,3,4,2,,53,3,1,5,,5,1,1,1,213,0
2020/5/1 10:44,2020/5/1 11:13,CHINA,CHN,10,1,10,8,10,9,10,10,8,8,9,9,9,8,10,80,5,15,7,7,9,2,7,10,10,1,1,2,2,1,9,9,10,1,2,1,3,3,3,1,3,3,10,9,8,9,9,9,9,8,2,8,7,2,8,3,9,8,2,8,8,8,2,4,3,8,4,4,9,20,10,3,14,10,25,3,7,2,,61,3,1,5,,6,1,1,1,213,0
2020/5/1 10:49,2020/5/1 11:07,CHINA,CHN,9,4,9,7,7,9,9,8,8,9,5,7,7,9,7,68,30,2,9,9,8,5,5,10,10,1,1,3,1,5,3,8,9,4,3,8,5,7,7,8,8,8,9,8,8,9,8,9,4,5,8,5,8,6,7,8,7,8,7,9,7,7,3,5,6,3,7,8,7,10,20,5,5,8,50,3,5,1,,65,3,1,5,,5,2,1,1,213,0
2020/5/1 10:54,2020/5/1 11:21,CHINA,CHN,8,2,7,9,8,8,7,9,7,7,7,7,7,8,10,60,30,10,8,7,7,5,2,10,8,6,7,4,3,7,6,8,5,1,7,8,7,7,8,7,6,6,8,7,8,7,7,8,6,5,8,5,7,8,7,7,8,6,6,7,6,8,7,7,6,2,6,6,7,30,40,3,13,8,25,3,7,2,,52,3,1,1,,4,1,1,1,213,0
2020/5/1 11:04,2020/5/1 11:35,CHINA,CHN,9,5,10,10,10,9,9,7,9,7,9,10,6,10,10,0,90,10,5,6,8,5,4,9,10,1,0,0,4,5,4,10,5,0,1,5,5,10,10,4,5,2,10,7,7,5,4,5,5,4,6,5,9,1,6,0,5,3,0,4,5,5,5,5,7,8,5,3,9,0,50,1,4,5,25,1,4,2,,22,1,0,1,,2,1,1,1,213,0
2020/5/1 11:10,2020/5/1 11:28,CHINA,CHN,5,1,9,10,5,9,2,4,4,10,10,6,5,10,10,0,45,55,4,7,4,3,3,10,9,3,3,4,2,8,10,8,10,0,5,5,7,9,6,8,7,8,9,10,8,7,7,9,6,9,2,4,6,2,9,4,9,8,0,5,8,8,4,6,8,4,8,7,8,0,0,2,5,8,25,3,4,1,,19,2,0,4,,6,1,1,1,213,0
2020/5/1 11:19,2020/5/1 11:35,CHINA,CHN,7,2,4,8,8,6,8,7,7,8,8,9,7,8,8,100,0,0,8,8,7,8,4,10,10,3,1,1,1,4,3,2,3,5,3,7,8,9,7,8,7,5,8,7,6,7,4,6,8,6,3,7,7,3,8,3,7,5,3,6,7,4,3,9,7,4,8,6,7,20,10,8,9,8,25,3,7,1,,26,2,0,1,,2,2,1,1,213,0
2020/5/1 11:49,2020/5/1 12:10,CHINA,CHN,7,1,9,9,9,7,9,9,9,9,6,9,6,9,9,0,80,20,7,8,7,9,10,10,10,5,5,4,6,6,5,7,7,3,8,7,6,8,7,4,7,7,8,7,8,6,8,7,7,5,8,7,5,5,7,8,5,6,6,7,5,6,7,6,6,3,5,5,7,40,60,6,16,7,125,3,7,1,,63,3,1,1,,2,1,1,1,213,0
2020/5/1 11:53,2020/5/1 12:14,CHINA,CHN,8,0,8,9,9,7,9,8,7,8,8,9,9,8,7,40,60,0,7,7,5,7,7,9,10,1,0,0,3,3,7,5,6,3,5,6,7,8,6,5,5,6,7,8,6,7,7,6,8,7,1,2,7,6,6,5,4,6,5,6,7,5,6,7,6,2,5,6,5,0,0,7,7,7,25,3,4,1,,42,3,1,1,,5,1,1,1,213,0
2020/5/1 11:58,2020/5/1 12:28,CHINA,CHN,8,1,7,9,9,8,9,9,8,8,7,9,8,8,9,70,30,0,8,9,8,7,5,8,9,0,1,0,1,0,7,10,8,1,1,7,9,8,7,9,8,9,7,7,8,9,9,8,9,9,3,1,8,3,8,5,7,9,1,7,9,9,0,7,8,0,6,9,8,10,20,7,4,8,50,3,7,1,,45,3,1,1,,6,1,1,1,213,0
2020/5/1 11:59,2020/5/1 12:25,CHINA,CHN,9,2,8,8,7,8,7,7,8,9,10,8,7,7,8,70,26,4,8,6,7,3,6,10,8,1,2,3,2,2,8,7,7,2,3,6,7,8,8,6,6,7,9,7,9,8,8,9,6,8,2,3,7,5,8,5,7,8,1,9,7,6,2,7,7,3,8,8,7,10,20,3,9,8,25,3,7,2,,35,3,1,1,,5,1,1,1,213,0
