"subId","covid_concern","covid_cases_personal","OUS1","OUS2","OUS3","OUS4","OUS5","OUS6","OUS7","OUS8","OUS9","gender","age","race","education","income","pol_ideology","religiosity","number_covid_studies","similarity_covid_studies","redcross_reliable","check_embezzle_clear","argument","gender_recode","race_recode","exclude_behav","avg_OUS_IB","avg_OUS_IH","dimension","dilemma","behav","moral","support","trustOther","trustworthy","avg_trust"
1,"5","No",4,3,4,4,3,6,3,6,6,"Male","27","White","4","7","3","1","6-10","Not at all similar","5","Yes","Non-Utilitarian","Male","White",0,3.5,6,"IH","lockdown",NA,"4","5",4,5,4.5
1,"5","No",4,3,4,4,3,6,3,6,6,"Male","27","White","4","7","3","1","6-10","Not at all similar","5","Yes","Non-Utilitarian","Male","White",0,3.5,6,"IB","medicine","Utilitarian","4","3",NA,NA,NA
1,"5","No",4,3,4,4,3,6,3,6,6,"Male","27","White","4","7","3","1","6-10","Not at all similar","5","Yes","Non-Utilitarian","Male","White",0,3.5,6,"IH","ventilator",NA,"5","6",4,5,4.5
2,"6","No",1,1,6,3,6,1,1,1,2,"Nonbinary","20","Asian","2","2","1","1","21-50","Not at all similar","2","Yes","Utilitarian","Other","Asian",0,3.5,1.5,"IH","lockdown","Non-Utilitarian","1","1",NA,NA,NA
2,"6","No",1,1,6,3,6,1,1,1,2,"Nonbinary","20","Asian","2","2","1","1","21-50","Not at all similar","2","Yes","Utilitarian","Other","Asian",0,3.5,1.5,"IB","medicine",NA,"4","6",4,4,4
2,"6","No",1,1,6,3,6,1,1,1,2,"Nonbinary","20","Asian","2","2","1","1","21-50","Not at all similar","2","Yes","Utilitarian","Other","Asian",0,3.5,1.5,"IB","ppe",NA,"3","7",3,4,3.5
3,"5","Yes",7,7,6,5,7,6,4,7,7,"Male","24","White","3","6","1","4","0","Not at all similar","2","Yes","Utilitarian","Male","White",0,7,6.5,"IB","ppe",NA,"7","7",6,6,6
3,"5","Yes",7,7,6,5,7,6,4,7,7,"Male","24","White","3","6","1","4","0","Not at all similar","2","Yes","Utilitarian","Male","White",0,7,6.5,"IB","medicine",NA,"7","7",5,6,5.5
3,"5","Yes",7,7,6,5,7,6,4,7,7,"Male","24","White","3","6","1","4","0","Not at all similar","2","Yes","Utilitarian","Male","White",0,7,6.5,"IH","ventilator","Non-Utilitarian","3","4",NA,NA,NA
4,"5","Yes",5,3,6,6,2,1,1,1,2,"Female","26","White","4","3","4","6","1-5","Not at all similar","3","Yes","Non-Utilitarian","Female","White",0,3.5,1.5,"IB","medicine",NA,"5","5",3,4,3.5
