"consent_1","consent_2","social_media","lockdown_support","lockdown_wrong","timing_1","lockdown_deon_trustworthy_v1","lockdown_deon_trust_other_v1","lockdown_deon_share_v1","lockdown_deon_share_media_v1","timing_2","lockdown_consq_trustworthy_v1","lockdown_consq_trust_other_v1","lockdown_consq_share_v1","lockdown_consq_share_media_v1","timing_3","lockdown_consq_trustworthy_v2","lockdown_consq_trust_other_v2","lockdown_consq_share_v2","lockdown_consq_share_media_v2","lockdown_deon_trustworthy_v2","lockdown_deon_trust_other_v2","lockdown_deon_share_v2","lockdown_deon_share_media_v2","ventilator_support","ventilator_wrong","timing_4","ventilator_deon_trustworthy_v1","ventilator_deon_trust_other_v1","ventilator_deon_share_v1","ventilator_deon_share_media_v1","timing_5","ventilator_consq_trustworthy_v1","ventilator_consq_trust_other_v1","ventilator_consq_share_v1","ventilator_consq_share_media_v1","timing_6","ventilator_consq_trustworthy_v2","ventilator_consq_trust_other_v2","ventilator_consq_share_v2","ventilator_consq_share_media_v2","timing_7","ventilator_deon_trustworthy_v2","ventilator_deon_trust_other_v2","ventilator_deon_share_v2","ventilator_deon_share_media_v2","timing_8","tracing_support","tracing_wrong","timing_9","tracing_deon_trustworthy_v1","tracing_deon_trust_other_v1","tracing_deon_share_v1","tracing_deon_share_media_v1","timing_10","tracing_consq_trustworthy_v1","tracing_consq_trust_other_v1","tracing_consq_share_v1","tracing_consq_share_media_v1","timing_11","tracing_consq_trustworthy_v2","tracing_consq_trust_other_v2","tracing_consq_share_v2","tracing_consq_share_media_v2","timing_12","tracing_deon_trustworthy_v2","tracing_deon_trust_other_v2","tracing_deon_share_v2","tracing_deon_share_media_v2","timing_13","medicine_support","medicine_wrong","timing_14","medicine_deon_trustworthy_v1","medicine_deon_trust_other_v1","medicine_deon_share_v1","medicine_deon_share_media_v1","timing_15","medicine_consq_trustworthy_v1","medicine_consq_trust_other_v1","medicine_consq_share_v1","medicine_consq_share_media_v1","timing_16","medicine_consq_trustworthy_v2","medicine_consq_trust_other_v2","medicine_consq_share_v2","medicine_consq_share_media_v2","timing_17","medicine_deon_trustworthy_v2","medicine_deon_trust_other_v2","medicine_deon_share_v2","medicine_deon_share_media_v2","timing_18","ppe_support","ppe_wrong","timing_19","ppe_deon_trustworthy_v1","ppe_deon_trust_other_v1","ppe_deon_share_v1","ppe_deon_share_media_v1","timing_20","ppe_consq_trustworthy_v1","ppe_consq_trust_other_v1","ppe_consq_share_v1","ppe_consq_share_media_v1","timing_21","ppe_consq_trustworthy_v2","ppe_consq_trust_other_v2","ppe_consq_share_v2","ppe_consq_share_media_v2","timing_22","ppe_deon_trustworthy_v2","ppe_deon_trust_other_v2","ppe_deon_share_v2","ppe_deon_share_media_v2","timing_23","covid_concern","covid_cases_personal","timing_24","OUS1","OUS2","OUS3","OUS4","OUS5","OUS6","OUS7","OUS8","OUS9","attention1","timing_25","gender","QID126_5_TEXT","age","race","timing_26","education","income","timing_27","political_ideology","pol_party","Q168_4_TEXT","timing_28","religious","timing_29","number_covid_studies","similarity_covid_studies","timing_30","order_dilemmas","order_lockdown","order_ventilators","order_tracing","order_medicine","order_ppe","OUS_DO","gender_recode","race_recode","education_num","medicine_deon_trustworthy","medicine_consq_trustworthy","medicine_deon_trust_other","medicine_consq_trust_other","medicine_deon_share","medicine_consq_share","medicine_deon_share_media","medicine_consq_share_media","ventilator_deon_trustworthy","ventilator_consq_trustworthy","ventilator_deon_trust_other","ventilator_consq_trust_other","ventilator_deon_share","ventilator_consq_share","ventilator_deon_share_media","ventilator_consq_share_media","lockdown_deon_trustworthy","lockdown_consq_trustworthy","lockdown_deon_trust_other","lockdown_consq_trust_other","lockdown_deon_share","lockdown_consq_share","lockdown_deon_share_media","lockdown_consq_share_media","tracing_deon_trustworthy","tracing_consq_trustworthy","tracing_deon_trust_other","tracing_consq_trust_other","tracing_deon_share","tracing_consq_share","tracing_deon_share_media","tracing_consq_share_media","ppe_deon_trustworthy","ppe_consq_trustworthy","ppe_deon_trust_other","ppe_consq_trust_other","ppe_deon_share","ppe_consq_share","ppe_deon_share_media","ppe_consq_share_media","exclude","consq_overall_trustworthy","deon_overall_trustworthy","consq_overall_trust_other","deon_overall_trust_other","lockdown_deon_overall_trust","lockdown_consq_overall_trust","medicine_deon_overall_trust","medicine_consq_overall_trust","ppe_deon_overall_trust","ppe_consq_overall_trust","tracing_deon_overall_trust","tracing_consq_overall_trust","ventilator_deon_overall_trust","ventilator_consq_overall_trust","consq_overall_trust","consq_trust_IH","consq_trust_IB","deon_overall_trust","deon_trust_IH","deon_trust_IB","consq_overall_share","consq_share_IH","consq_share_IB","deon_overall_share","deon_share_IH","deon_share_IB","support_overall","support_IB","support_IH","wrong_overall","wrong_IB","wrong_IH","policy_attitude","policy_attitude_IB","policy_attitude_IH","lockdown_policy_attitude","ventilator_policy_attitude","tracing_policy_attitude","ppe_policy_attitude","medicine_policy_attitude","impartial_beneficence","instrumental_harm"
1,1,"Yes",1,2,25.455,7,7,6,3,11.208,4,4,3,3,16.252,NA,NA,NA,NA,NA,NA,NA,NA,4,4,22.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,10.108,6,6,5,3,10.276,7,7,21.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,2,12.92,2,2,5,2,10.806,2,3,22.861,4,4,5,2,11.591,6,6,5,3,8.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,30.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,23.154,3,3,5,2,14.85,7,"No",3.581,5,6,6,4,5,5,5,5,4,NA,71.471,"Male","",25,"White",6.223,"College qualifications ",4,10.613,2,1,NA,19.553,1,2.261,"0",NA,10.626,"FL_24|FL_16|FL_35|FL_17|FL_68","Deontological First","VentilatorsVersion2","Consequentialist First","Deontological First","Consequentialist First","Instruct|OUS5|OUS6|OUS7|OUS3|OUS8|OUS1|attention1|OUS2|OUS4|OUS9|Q231","Male","White",2,4,6,4,6,5,5,2,3,6,5,6,5,5,5,3,3,7,4,7,4,6,3,3,3,2,6,2,6,5,6,2,2,3,6,3,6,5,6,2,3,0,5.4,4.4,5.4,4.4,7,4,4,6,3,6,2,6,6,5,5.4,5,6,4.4,5,3.5,3.9,3.66666666666667,4.25,3.8,4,3.5,3.6,3,4,4.6,5,4.33333333333333,4.1,4,4.16666666666667,1.5,4,7,5.5,2.5,5.2,4.75
1,1,"Yes",3,3,14.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,3,4,3,2,2,2,31.087,6,4,5,3,23.365,1,2,1,1,25.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4.074,3,4,4,3,4.62,5,3,4,4,4.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,38.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,2,13.182,5,4,4,3,5.801,5,7,15.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,3,7.428,5,4,6,2,7.308,6,"No",4.672,4,5,3,5,4,5,5,5,3,5,31.985,"Female","",21,"White",8.723,"College qualifications ",5,13.764,4,9,NA,8.375,1,2.982,"1-5",1,5.733,"FL_17|FL_68|FL_24|FL_16|FL_35","Consequentialist First","VentilatorsVersion1","Deontological First","Consequentialist First","Consequentialist First","Instruct|OUS8|OUS4|OUS6|OUS7|OUS9|OUS5|attention1|OUS2|OUS3|OUS1|Q231","Female","White",2,5,5,4,3,4,3,3,2,6,1,4,2,5,1,3,1,3,4,4,3,3,4,2,3,3,5,4,3,4,4,3,4,5,5,4,4,6,4,2,3,0,4,4.4,3,4,3.5,3.5,4.5,4,4.5,4.5,3.5,4,5,1.5,3.5,3,4.25,4.2,4,4.5,2.9,2.83333333333333,3,3.5,3.33333333333333,3.75,3.4,4,3,4.4,6,3.33333333333333,3.9,5,3.16666666666667,3,2,4.5,6,4,4.2,4.5
1,1,"Yes",3,3,37.309,5,5,1,1,24.027,4,4,1,1,30.264,NA,NA,NA,NA,NA,NA,NA,NA,7,5,43.252,3,4,1,1,40.533,5,5,7,1,24.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,24.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,12.419,7,5,4,1,23.993,1,4,25.416,5,4,4,1,25.74,4,3,1,1,18.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,22.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,14.84,4,3,1,1,14.388,5,"No",5.507,2,3,1,5,4,4,5,5,5,NA,183.937,"Female","",30,"White",11.29,"College qualifications ",6,20.105,3,2,NA,40.93,1,8.915,"0",NA,7.321,"FL_17|FL_35|FL_68|FL_16|FL_24","Deontological First","VentilatorsVersion1","Consequentialist First","Deontological First","Consequentialist First","Instruct|OUS2|OUS5|OUS7|OUS9|attention1|OUS3|OUS1|OUS8|OUS4|OUS6|Q231","Female","White",2,5,4,4,3,4,1,1,1,3,5,4,5,1,7,1,1,5,4,5,4,1,1,1,1,7,1,5,1,4,1,1,1,4,4,3,3,1,1,1,1,0,3.6,4.8,3.2,4.2,5,4,4.5,3.5,3.5,3.5,6,1,3.5,5,3.4,3.33333333333333,3.5,4.5,4.83333333333333,4,1.6,2,1,1.6,1.5,1.75,2.6,1,3.66666666666667,3.6,4.5,3,3.1,2.75,3.33333333333333,3,6,1,3,2.5,3,4.75
1,1,"Yes",1,5,29.67,5,5,4,6,28.946,4,4,3,2,18.736,NA,NA,NA,NA,NA,NA,NA,NA,3,3,41.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,1,32.293,6,6,5,6,19.965,1,2,28.448,5,4,4,1,18.903,4,4,4,1,14.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,19.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,6,13.125,3,3,4,1,18.61,7,6,24.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,6,18.333,2,2,4,1,22.447,4,"No",9.918,3,5,7,5,6,2,5,1,2,NA,103.366,"Female","",19,"White",9.465,"College qualifications ",1,17.699,1,1,NA,7.171,1,2.65,"0",NA,9.702,"FL_17|FL_35|FL_24|FL_16|FL_68","Deontological First","VentilatorsVersion2","Deontological First","Consequentialist First","Consequentialist First","Instruct|OUS5|OUS3|OUS8|OUS6|OUS7|OUS2|OUS9|OUS4|attention1|OUS1|Q231","Female","White",2,3,6,3,6,4,4,1,6,6,4,6,3,5,5,6,1,5,4,5,4,4,3,6,2,5,4,4,4,4,4,1,1,2,6,2,6,4,5,1,6,0,4.8,4.2,4.6,4,5,4,3,6,2,6,4.5,4,6,3.5,4.7,3.83333333333333,6,4.1,5.16666666666667,2.5,3.7,2.66666666666667,5.25,3.6,4.33333333333333,2.5,3.8,7,1.66666666666667,4.6,6.5,3.33333333333333,4.2,6.75,2.5,3,3,1.5,6.5,7,5.2,2.5
1,1,"Yes",2,3,35.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,6,6,5,6,6,6,27.675,4,3,3,3,18.681,5,5,4,5,19.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,31.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,4,20.722,6,5,5,5,53.426,7,7,24.895,2,2,5,6,26.473,6,6,6,7,14.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,33.566,3,2,3,3,84.413,6,5,5,6,22.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"No",10.861,2,3,7,5,3,7,1,1,5,NA,82.589,"Male","",38,"White",14.634,"Bachelor's degree ",3,14.86,4,2,NA,10.089,1,3.553,"1-5",1,9.6,"FL_24|FL_68|FL_16|FL_35|FL_17","Consequentialist First","VentilatorsVersion1","Consequentialist First","Deontological First","Deontological First","Instruct|OUS5|OUS4|attention1|OUS7|OUS8|OUS1|OUS2|OUS9|OUS3|OUS6|Q231","Male","White",3,2,6,2,6,5,6,6,7,4,5,3,5,3,4,3,5,6,1,6,1,5,4,6,4,6,4,5,2,5,3,5,4,3,6,2,5,3,5,3,6,0,4.4,4.2,3.8,3.6,6,1,2,6,2.5,5.5,5.5,3,3.5,5,4.1,3,5.75,3.9,5,2.25,4.8,4,6,4.4,4.5,4.25,4.6,7,3,4.8,7,3.33333333333333,4.7,7,3.16666666666667,2.5,6,1,7,7,4,3.5
1,1,"Yes",3,3,77.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,2,5,5,4,2,3,5,39.975,5,5,4,2,12.144,5,5,4,2,6.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,43.072,5,5,4,2,27.094,5,5,4,2,15.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,39.659,1,1,6,5,12.857,7,7,6,4,11.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,19.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,4,3,8.795,1,1,6,5,9.039,5,"No",13.034,6,4,7,3,6,6,5,5,6,NA,88.28,"Female","",20,"White",9.316,"College qualifications ",4,25.392,2,1,NA,8.805,1,3.247,"0",NA,13.259,"FL_35|FL_16|FL_68|FL_24|FL_17","Consequentialist First","VentilatorsVersion1","Deontological First","Deontological First","Consequentialist First","Instruct|OUS7|OUS9|OUS1|OUS5|OUS3|attention1|OUS2|OUS4|OUS8|OUS6|Q231","Female","White",2,1,7,1,7,6,6,5,4,5,5,5,5,4,4,2,2,5,5,5,5,4,4,2,2,5,5,5,5,4,4,2,2,1,7,1,7,6,4,5,3,0,5.8,3.4,5.8,3.4,5,5,1,7,1,7,5,5,5,5,5.8,5,7,3.4,5,1,3.5,3,4.25,4,3,5.5,5.4,7,4.33333333333333,5.4,7,4.33333333333333,5.4,7,4.33333333333333,3,4,6,7,7,5.2,5.5
1,1,"Yes",2,4,33.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,3,3,3,3,7,6,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,5,5,14.409,3,3,3,3,12.095,6,6,33.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,4,6.963,4,4,3,3,4.691,4,4,16.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4.601,4,4,4,4,3.7,3,5,37.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,2,26.875,3,3,1,1,17.31,6,"No",8.521,4,2,5,5,4,3,6,5,6,NA,73.462,"2,5","Transwoman",20,"White",17.023,"College qualifications ",1,19.741,3,1,NA,14.546,1,2.301,"1-5",2,8.547,"FL_24|FL_17|FL_68|FL_35|FL_16","Consequentialist First","VentilatorsVersion2","Consequentialist First","Consequentialist First","Consequentialist First","Instruct|OUS4|OUS9|OUS7|OUS6|OUS3|OUS1|OUS5|OUS2|OUS8|attention1|Q231","Other","White",2,4,4,4,4,4,4,4,4,3,7,3,7,3,5,3,5,3,5,3,5,3,4,3,4,4,6,4,6,3,4,3,4,3,4,3,4,1,3,1,2,0,5.2,3.4,5.2,3.4,3,5,4,4,3,4,4,6,3,7,5.2,6,4,3.4,3.33333333333333,3.5,3.9,4.33333333333333,3.25,2.8,3,2.5,4.4,3.5,5,5,4.5,5.33333333333333,4.7,4,5.16666666666667,3,6.5,6,4,4,4,5
1,1,"Yes",2,2,34.885,6,6,6,5,27.345,4,4,3,3,23.382,NA,NA,NA,NA,NA,NA,NA,NA,1,2,29.877,7,6,6,6,15.911,5,4,4,3,23.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,29.495,5,5,4,3,75.342,5,5,5,5,64.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,43.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,46.283,6,5,5,5,60.921,3,4,24.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,3,21.546,5,5,5,5,40.966,7,"Yes",4.962,4,4,4,5,4,3,5,4,3,NA,120.354,"Female","",41,"White",10.105,"Bachelor's degree ",5,9.646,3,1,NA,7.446,1,5.249,"1-5",1,9.13,"FL_35|FL_68|FL_17|FL_16|FL_24","Deontological First","VentilatorsVersion1","Deontological First","Consequentialist First","Consequentialist First","Instruct|OUS5|OUS9|OUS7|OUS6|OUS8|OUS4|OUS3|OUS1|attention1|OUS2|Q231","Female","White",3,6,5,5,5,5,4,5,4,7,5,6,4,6,4,6,3,6,4,6,4,6,3,5,3,5,5,5,5,4,5,3,5,5,5,5,5,5,4,5,3,0,4.8,5.8,4.6,5.4,6,4,5.5,5,5,5,5,5,6.5,4.5,4.7,4.5,5,5.6,5.83333333333333,5.25,3.8,3.83333333333333,3.75,5,5,5,3,3.5,2.66666666666667,3,3.5,2.66666666666667,3,3.5,2.66666666666667,2,1.5,4.5,3.5,3.5,4.2,3.75
1,1,"No",1,3,47.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,5,5,4,NA,7,4,35.125,5,5,4,NA,13.161,5,5,4,NA,10.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,46.852,4,5,4,NA,21.866,4,5,4,NA,25.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,35.128,5,5,4,NA,10.378,5,5,4,NA,5.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,35.043,6,5,4,NA,14.863,5,5,4,NA,12.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"No",7.045,1,2,2,2,2,5,3,4,5,NA,132.53,"Male","",24,"White",6.213,"Secondary School or High School",4,9.787,4,9,NA,10.053,1,2.246,"0",1,22.533,"FL_35|FL_24|FL_16|FL_17|FL_68","Consequentialist First","VentilatorsVersion1","Deontological First","Deontological First","Deontological First","Instruct|OUS7|OUS6|OUS5|OUS9|OUS1|attention1|OUS3|OUS8|OUS4|OUS2|Q231","Male","White",1,5,5,5,5,4,4,NA,NA,5,5,5,5,4,4,NA,NA,5,4,5,4,4,4,NA,NA,4,4,5,5,4,4,NA,NA,6,5,5,5,4,4,NA,NA,0,4.6,5,4.8,5,5,4,5,5,5.5,5,4.5,4.5,5,5,4.7,4.5,5,5,4.83333333333333,5.25,4,4,4,4,4,4,3.4,2.5,4,4.4,5,4,3.9,3.75,4,2,5.5,4.5,2.5,5,1.8,4.25
1,1,"No",3,4,37.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,NA,4,4,4,NA,5,4,44.243,5,5,4,NA,12.356,4,3,3,NA,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,35.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,24.331,5,4,4,NA,25.155,6,6,36.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,NA,15.691,2,2,2,NA,12.978,5,6,23.647,4,4,4,NA,15.637,5,5,4,NA,12.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"No",7.991,5,5,5,5,5,3,3,2,4,NA,95.648,"Female","",66,"White",14.939,"College qualifications ",2,18.636,2,5,NA,7.931,1,2.172,"0",NA,14.108,"FL_35|FL_16|FL_68|FL_17|FL_24","Consequentialist First","VentilatorsVersion1","Consequentialist First","Consequentialist First","Deontological First","Instruct|OUS1|OUS9|OUS6|OUS5|OUS2|OUS8|OUS3|OUS7|OUS4|attention1|Q231","Female","White",2,2,6,2,5,2,5,NA,NA,5,4,5,3,4,3,NA,NA,4,3,4,3,4,2,NA,NA,5,2,4,1,4,1,NA,NA,4,5,4,5,4,4,NA,NA,0,4,4,3.4,3.8,4,3,2,5.5,4,5,4.5,1.5,5,3.5,3.7,2.66666666666667,5.25,3.9,4.5,3,3,2,4.5,3.6,4,3,4.4,5.5,3.66666666666667,4.4,6,3.33333333333333,4.4,5.75,3.5,3.5,4.5,2.5,5.5,6,5,3
