surveyName	g_age	PercPop
Australia	M_18_24	0.062345722
Australia	F_18_24	0.059341981
Australia	M_25_34	0.095817854
Australia	F_25_34	0.096743658
Australia	M_35_44	0.08500069
Australia	F_35_44	0.085772451
Australia	M_45_54	0.080794515
Australia	F_45_54	0.084008933
Australia	M_55_64	0.079005461
Australia	F_55_64	0.082749042
Australia	M_over_65	0.087989243
Australia	F_over_65	0.100430451
Brazil	M_18_24	0.095177123
Brazil	F_18_24	0.095177123
Brazil	M_25_34	0.118449043
Brazil	F_25_34	0.122048356
Brazil	M_35_44	0.095815798
Brazil	F_35_44	0.10111261
Brazil	M_45_54	0.077071564
Brazil	F_45_54	0.083805251
Brazil	M_55_64	0.050834673
Brazil	F_55_64	0.057413476
Brazil	M_over_65	0.044770426
Brazil	F_over_65	0.058324556
Canada	M_18_24	0.055939186
Canada	F_18_24	0.053550166
Canada	M_25_34	0.081528027
Canada	F_25_34	0.082589635
Canada	M_35_44	0.07905011
Canada	F_35_44	0.082511584
Canada	M_45_54	0.088061783
Canada	F_45_54	0.091084816
Canada	M_55_64	0.085343666
Canada	F_55_64	0.089277006
Canada	M_over_65	0.095836186
Canada	F_over_65	0.115227835
Chile	M_18_24	0.072297934
Chile	F_18_24	0.070183152
Chile	M_25_34	0.104216285
Chile	F_25_34	0.103655934
Chile	M_35_44	0.088794254
Chile	F_35_44	0.091927298
Chile	M_45_54	0.085043029
Chile	F_45_54	0.091129993
Chile	M_55_64	0.067516204
Chile	F_55_64	0.074783129
Chile	M_over_65	0.064888086
Chile	F_over_65	0.085564702
China	M_18_24	0.086312362
China	F_18_24	0.074719615
China	M_25_34	0.0954987
China	F_25_34	0.09251957
China	M_35_44	0.117048767
China	F_35_44	0.113315036
China	M_45_54	0.088707875
China	F_45_54	0.086212037
China	M_55_64	0.066765541
China	F_55_64	0.066055446
China	M_over_65	0.047962274
China	F_over_65	0.064882775
Denmark	M_18_24	0.056231578
Denmark	F_18_24	0.053851746
Denmark	M_25_34	0.083626115
Denmark	F_25_34	0.080366391
Denmark	M_35_44	0.073478843
Denmark	F_35_44	0.072560304
Denmark	M_45_54	0.085573793
Denmark	F_45_54	0.085038726
Denmark	M_55_64	0.079215548
Denmark	F_55_64	0.079631261
Denmark	M_over_65	0.115452143
Denmark	F_over_65	0.134973551
France	M_18_24	0.052188672
France	F_18_24	0.050275129
France	M_25_34	0.072262468
France	F_25_34	0.074972115
France	M_35_44	0.077260309
France	F_35_44	0.080215021
France	M_45_54	0.083626034
France	F_45_54	0.085615238
France	M_55_64	0.077241545
France	F_55_64	0.083114498
France	M_over_65	0.113425578
France	F_over_65	0.149803393
Germany	M_18_24	0.047153089
Germany	F_18_24	0.042948196
Germany	M_25_34	0.078663703
Germany	F_25_34	0.07344987
Germany	M_35_44	0.074171008
Germany	F_35_44	0.072589832
Germany	M_45_54	0.086815576
Germany	F_45_54	0.085637991
Germany	M_55_64	0.095561906
Germany	F_55_64	0.097363001
Germany	M_over_65	0.107025449
Germany	F_over_65	0.138620378
India	M_18_24	0.109483944
India	F_18_24	0.100748235
India	M_25_34	0.125955642
India	F_25_34	0.123330587
India	M_35_44	0.105567458
India	F_35_44	0.101171386
India	M_45_54	0.076069902
India	F_45_54	0.070067398
India	M_55_64	0.050061884
India	F_55_64	0.050710313
India	M_over_65	0.04246867
India	F_over_65	0.044364582
Israel	M_18_24	0.077975517
Israel	F_18_24	0.074889415
Israel	M_25_34	0.102801495
Israel	F_25_34	0.101738504
Israel	M_35_44	0.094194699
Israel	F_35_44	0.095617735
Israel	M_45_54	0.074580804
Israel	F_45_54	0.076826801
Israel	M_55_64	0.062236395
Israel	F_55_64	0.068014265
Israel	M_over_65	0.075918115
Israel	F_over_65	0.095206255
Italy	M_18_24	0.043
Italy	F_18_24	0.0392
Italy	M_25_34	0.0652
Italy	F_25_34	0.0629
Italy	M_35_44	0.0776
Italy	F_35_44	0.0775
Italy	M_45_54	0.0948
Italy	F_45_54	0.097
Italy	M_55_64	0.0813
Italy	F_55_64	0.0865
Italy	M_over_65	0.12
Italy	F_over_65	0.155
Korea	M_18_24	0.0505
Korea	F_18_24	0.0464
Korea	M_25_34	0.0797
Korea	F_25_34	0.0723
Korea	M_35_44	0.0889
Korea	F_35_44	0.0855
Korea	M_45_54	0.1014
Korea	F_45_54	0.0987
Korea	M_55_64	0.0924
Korea	F_55_64	0.0926
Korea	M_over_65	0.0829
Korea	F_over_65	0.1087
KSA	M_18_24	0.107905946
KSA	F_18_24	0.100102044
KSA	M_25_34	0.141565783
KSA	F_25_34	0.13875838
KSA	M_35_44	0.108639754
KSA	F_35_44	0.105312965
KSA	M_45_54	0.075218687
KSA	F_45_54	0.071119512
KSA	M_55_64	0.044852618
KSA	F_55_64	0.041522404
KSA	M_over_65	0.031759194
KSA	F_over_65	0.033242713
Mexico	M_18_24	0.09223996
Mexico	F_18_24	0.094409835
Mexico	M_25_34	0.107893929
Mexico	F_25_34	0.118749025
Mexico	M_35_44	0.099363004
Mexico	F_35_44	0.110267197
Mexico	M_45_54	0.076178595
Mexico	F_45_54	0.085476686
Mexico	M_55_64	0.051125686
Mexico	F_55_64	0.057769003
Mexico	M_over_65	0.048929224
Mexico	F_over_65	0.057597856
Netherlands	M_18_24	0.055357391
Netherlands	F_18_24	0.053551921
Netherlands	M_25_34	0.08067413
Netherlands	F_25_34	0.078580504
Netherlands	M_35_44	0.073522031
Netherlands	F_35_44	0.073422402
Netherlands	M_45_54	0.087725607
Netherlands	F_45_54	0.087647723
Netherlands	M_55_64	0.084072739
Netherlands	F_55_64	0.084229643
Netherlands	M_over_65	0.1117304
Netherlands	F_over_65	0.129485509
Norway	M_18_24	0.07
Norway	F_18_24	0.07
Norway	M_25_34	0.08
Norway	F_25_34	0.07
Norway	M_35_44	0.09
Norway	F_35_44	0.08
Norway	M_45_54	0.09
Norway	F_45_54	0.08
Norway	M_55_64	0.09
Norway	F_55_64	0.09
Norway	M_over_65	0.09
Norway	F_over_65	0.1
Singapore	M_18_24	0.050667551
Singapore	F_18_24	0.048714359
Singapore	M_25_34	0.085787723
Singapore	F_25_34	0.089991983
Singapore	M_35_44	0.085413196
Singapore	F_35_44	0.094577985
Singapore	M_45_54	0.089295231
Singapore	F_45_54	0.093401802
