subId,country,check_selfrep,check_voting,age,education,subj_SES,pol_ideology,religiosity,argument,gender_recode,race_recode,exclude_behav,dimension,dilemma,behav,support,avg_trust,taskOrder
1,ASDF1,1,1,27,4,7,3,1,Non-Utilitarian,Male,White,0,IH,lockdown,NA,5,4.5,behav
1,ASDF1,1,1,27,4,7,3,1,Non-Utilitarian,Male,White,0,IB,medicine,Utilitarian,3,NA,behav
1,ASDF1,1,1,27,4,7,3,1,Non-Utilitarian,Male,White,0,IH,ventilator,NA,6,4.5,behav
2,ASDF1,1,1,20,2,2,1,1,Utilitarian,Other,Asian,0,IH,lockdown,Non-Utilitarian,1,NA,self-rep
2,ASDF1,1,1,20,2,2,1,1,Utilitarian,Other,Asian,0,IB,medicine,NA,6,4,self-rep
2,ASDF1,1,1,20,2,2,1,1,Utilitarian,Other,Asian,0,IB,ppe,NA,7,3.5,self-rep
3,ASDF1,1,1,24,3,6,1,4,Utilitarian,Male,White,0,IB,ppe,NA,7,6,self-rep
3,ASDF1,1,1,24,3,6,1,4,Utilitarian,Male,White,0,IB,medicine,NA,7,5.5,self-rep
3,ASDF1,1,1,24,3,6,1,4,Utilitarian,Male,White,0,IH,ventilator,Non-Utilitarian,4,NA,self-rep
4,ASDF1,1,1,26,4,3,4,6,Non-Utilitarian,Female,White,0,IB,medicine,NA,5,3.5,self-rep
4,ASDF1,1,1,26,4,3,4,6,Non-Utilitarian,Female,White,0,IH,tracing,Non-Utilitarian,3,NA,self-rep
4,ASDF1,1,1,26,4,3,4,6,Non-Utilitarian,Female,White,0,IB,ppe,NA,5,5,self-rep
5,ASDF1,1,1,27,5,5,3,1,Utilitarian,Male,Other,0,IH,ventilator,NA,7,4.5,self-rep
5,ASDF1,1,1,27,5,5,3,1,Utilitarian,Male,Other,0,IH,lockdown,NA,2,1,self-rep
5,ASDF1,1,1,27,5,5,3,1,Utilitarian,Male,Other,0,IB,medicine,Utilitarian,6,NA,self-rep
6,ASDF1,1,1,20,2,1,4,1,Utilitarian,Male,Other,0,IB,medicine,NA,6,2,self-rep
6,ASDF1,1,1,20,2,1,4,1,Utilitarian,Male,Other,0,IB,ppe,NA,6,2.5,self-rep
6,ASDF1,1,1,20,2,1,4,1,Utilitarian,Male,Other,0,IH,lockdown,Non-Utilitarian,2,NA,self-rep
7,ASDF1,1,1,50,4,4,2,2,Utilitarian,Male,White,0,IH,ventilator,NA,5,2,self-rep
