StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,g_knows_1,g_fake,g_reasonable_1,g_right,g_ability_1,g_situation,e_knows_1,e_fake,e_reasonable_1,e_right,e_ability_1,e_situation,d_knows_1,d_fake,d_reasonable_1,d_right,d_ability_1,d_situation,age,gender,gender_3_TEXT,country_now,country_now_2_TEXT,country_birth,country_birth_2_TEXT,ethnicity,ethnicity_7_TEXT,lvl_edu,english,enjoy_study,nervous_study,difficult_study,boring_study,tiring_study,quickly_study,regularly_study,selfcons_study,motivated_study,important_study,aim_study,comments_study,purpose_study,similar_study,SPI,FL_40_DO,FL_41_DO,FL_50_DO,FL_56_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Research Title: “Language Study”

PI: Alyssa Croft, PhD

 

 

 

 This is an academic research study created by researchers in the Department of Psychology at University of Arizona. As a participant in this study, you will read three different stories about other people. You will then answer some questions about these stories, followed by some questions about yourself. 

 

 In order to participate in this survey, you must be 18 years of age or older, live in the United States, and you must be able to read in English. This survey is anonymous, meaning that we will not ask for your name or any other personally identifying information. You will be compensated with 1 research credits for every 30 minutes of participation. We do not foresee any risks in participating in this study.  The version of the study you are participating in will take 15-20 minutes and you will only be participating in ONE version of the study.

 

Your participation is entirely voluntary, so you may withdraw your consent for any reason and at any time you wish to do so.  Whether or not you take part in and complete the project has no bearing whatsoever on your treatment or standing within the UA Psychology Department. You will be fully compensated for your time even if you decide to withdraw from the study. Data from any participant who has withdrawn consent will not be included in data analyses.

 

If at any point you decide that you no longer wish to participate, you can stop taking the survey at any time. If you have any questions about this survey, feel free to email the Primary Investigator, Alyssa Croft, Ph.D., at alyssac@email.arizona.edu or co-investigator Alexander Danvers, Ph.D., at adanvers@email.arizona.edu.  

 



 In line with current best practices in psychological research, electronic data will be preserved for future use in open science initiatives. No information that identifies you will be saved or used for any purpose other than to give you course credit. Open science initiatives allow for researchers from different universities to share their data upon completion of studies, in an effort to stimulate further use and exploration of existing data sets. Data is uploaded to the Open Science Framework (http://centerforopenscience.org/), an online forum, in the form of a computer software file, and these files are stripped of any information that could identify participants (e.g., names, email addresses), to ensure confidentiality. All raw data will be stored on a password-protected computer and secure, encrypted servers at the UA campus. Only the Principal Investigator, Dr. Alyssa Croft, authorized research lab personnel and the University of Arizona Institutional Review Board will have access to this information.



There are no foreseen risks associated with this study and there is minimal deception involved in the form of hypothesis concealment (necessary to avoid demand characteristics in participants). Refusal to participate or withdrawal/dropout after agreeing to participate will not have an adverse effect or consequences on the participants. The full purpose of the study will be explained to all participants at the end of the session, and participants will have the option to withdraw their data if they so choose.

 

The information that you provide in the study will be handled confidentially. However, there may be circumstances where this information must be released or shared as required by law. The University of Arizona Institutional Review Board may review the research records for monitoring purposes.

 

For questions about your rights as a participant in this study or to discuss other study-related concerns or complaints with someone who is not part of the research team, you may contact the Human Subjects Protection Program at 520-626-6721, at vpr-irb@email.arizona.edu, or online at http://rgw.arizona.edu/compliance/human-subjects-protection-program

 

An Institutional Review Board responsible for human subjects research at The University of Arizona reviewed this research project and found it to be acceptable, according to applicable state and federal regulations and University policies designed to protect the rights and welfare of participants in research.

 

By clicking “I agree” below, you are consenting to participate, and certify that you have received sufficient information describing the procedures, that you have received an adequate opportunity to consider the information above describing the study, and that you voluntarily agree to participate in the study. 

 

In considering the above information, please select an option below.

 

Please note that you are required to click one of the two boxes below.",Gerald            that he is pointing at a real house. - Sabe,Gerald is pointing at a            house.,"It is            for Gerald to think that he is pointing at a real house.



Please move the slider in the direction of the word (reasonable or unreasonable) that best reflects your opinion. - reasonable",g_right,g_ability - (in)ability,"In your view, which of the following sentences better describes Gerald's situation?",Emma            that she chose a necklace made of diamonds. - Knows,Emma chose a necklace made of           .,"It is            for Emma to think that she chose a necklace made of diamonds.


Please move the slider in the direction of the word (reasonable or unreasonable) that best reflects your opinion. - reasonable",e_right,e_ability - (in)ability,"In your view, which of the following sentences better describes Emma's situation?","Darrel            that there is at least one red speckled ground squirrel in Zone 3 today.
 

Please move the slider in the direction of the word (knows or believes) that best represents your opinion) - Knows",Darrel is looking at a           .,"It is            for Darrel to think that he is looking at a red speckled ground squirrel.


Please move the slider in the direction of the word (reasonable or unreasonable) that best reflects your opinion. - reasonable",d_right,d_ability - (in)ability,"In your view, which of the following sentences better describes Darrel's situation?",How old are you?,What is your gender? - Selected Choice,What is your gender? - Other (please specify): - Text,What country do you currently live in? - Selected Choice,What country do you currently live in? - Other (please specify): - Text,What is your country of birth? - Selected Choice,What is your country of birth? - Other (please specify): - Text,What is your ethnicity? (check all that apply) - Selected Choice,What is your ethnicity? (check all that apply) - Other - Text,What is your highest level of education attained?,How well do you speak English?,How much did you enjoy the study?,How nervous were you during the study?,How difficult did you find the study?,How boring did you find the study?,How tiring did you find the study?,How quickly did you adjust to the study task?,How regularly do you take part in research studies?,How self-conscious of your responses were you during the study?,How motivated were you to help the researchers during the study?,To what extent did you believe you were contributing to important research?,To what extent were you trying to work out the aim of the study during your participation?,"Do you have any further comments about your experience of this study that we have not addressed above? Please give any further comments to the study below. (If you have no further comments, please click continue.)","What do you think is the purpose of this study? If you have no idea what the purpose of this study is, the field may remain empty.","Have you ever participated in a similar study? If yes, please describe the study.","No caso de ter participado no estudo através do
Sistema de Participação em Investigação (SPI) do Iscte, insira o seu código de
identificação do SPI. Caso contrário, não necessita de preencher este
campo.",FL_40 - Block Randomizer - Display Order,FL_41 - Block Randomizer - Display Order,FL_50 - Block Randomizer - Display Order,FL_56 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_3_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_2_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_2_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID54_7_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""FL_40_DO""}","{""ImportId"":""FL_41_DO""}","{""ImportId"":""FL_50_DO""}","{""ImportId"":""FL_56_DO""}"
10/1/2020 3:41,10/1/2020 3:47,IP Address,100,381,TRUE,10/1/2020 3:47,R_3lY80CvzgmTxNiJ,anonymous,PT,I agree to participate in this study,34,real,66,right,64,Gerald knows that the house he is pointing at is a real house.,61,diamonds,19,right,29,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",17,ground squirrel,30,right,24,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",28,Male,-99,United States,-99,United States,-99,White/European,-99,"4-year college degree (B.A., B.S.)",Very well,5. Not sure,10. I was not nervous during the study at all,10. I did not find the study tasks difficult to complete at all,2,1. I found the study task very tiring,9,7,2,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,1. I was trying to work out the aim of the study during my participation,-99,-99,-99,-99,FL_55|FL_43|FL_49,FL_64,FL_70,FL_71
10/1/2020 3:41,10/1/2020 4:02,IP Address,100,1260,TRUE,10/1/2020 4:02,R_uyb4zShC0KNqtz3,anonymous,PT,I agree to participate in this study,100,real,0,right,50,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,diamonds,0,right,50,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,prairie dog,0,wrong,50,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",28,Female,-99,Other (please specify):,Alemanha,United States,-99,"White/European,Hispanic Latino,Black/African American",-99,"4-year college degree (B.A., B.S.)",Very well,1. I enjoyed the study a lot,10. I was not nervous during the study at all,10. I did not find the study tasks difficult to complete at all,7,10. I did not find the study task tiring at all,1. I was able to adjust to the study task very quickly,3,1. I was very self-conscious of the responses I gave in this study,1. I was strongly motivated to help make the study a success for the researchers,5. Not sure,1. I was trying to work out the aim of the study during my participation,-99,-99,-99,-99,FL_55|FL_43|FL_49,FL_66,FL_68,FL_73
10/1/2020 11:23,10/1/2020 11:35,IP Address,100,754,TRUE,10/1/2020 11:35,R_1mDaZA3ssAXVXUd,anonymous,PT,I agree to participate in this study,88,real,8,right,-99,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,diamonds,11,right,-99,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,prairie dog,0,wrong,-99,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",28,Male,-99,United States,-99,United States,-99,White/European,-99,"4-year college degree (B.A., B.S.)",Very well,7,10. I was not nervous during the study at all,9,1. I found the study task very boring,1. I found the study task very tiring,1. I was able to adjust to the study task very quickly,3,1. I was very self-conscious of the responses I gave in this study,1. I was strongly motivated to help make the study a success for the researchers,5. Not sure,10. I was not trying to work out the aim of the study during my participation,-99,-99,-99,-99,FL_49|FL_43|FL_55,FL_62,FL_70,FL_73
10/27/2020 5:07,10/27/2020 5:17,IP Address,100,597,TRUE,10/27/2020 5:17,R_3EHeprVj8BW77Q1,anonymous,PT,I agree to participate in this study,40,real,15,right,51,Gerald knows that the house he is pointing at is a real house.,91,diamonds,6,right,61,Emma knows that she chose a necklace made of diamonds.,7,ground squirrel,5,right,52,Darrel knows that the animal he saw is a red speckled ground squirrel.,42,Female,-99,United States,-99,United States,-99,White/European,-99,"Master’s degree (M.A., M.S.)",Very well,2,10. I was not nervous during the study at all,6,10. I did not find the study activity boring at all,10. I did not find the study task tiring at all,3,1. I have taken part in many research studies,2,1. I was strongly motivated to help make the study a success for the researchers,2,6,-99,-99,-99,-99,FL_55|FL_49|FL_43,FL_64,FL_68,FL_72
10/28/2020 5:01,10/28/2020 5:02,Survey Preview,100,68,TRUE,10/28/2020 5:02,R_2YQZpuvQgAFVsbM,preview,PT,I agree to participate in this study,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,FL_43|FL_55|FL_49,FL_62,FL_69,FL_72
10/29/2020 9:12,10/29/2020 9:19,IP Address,100,445,TRUE,10/29/2020 9:19,R_2tDPXMOZdngFbLG,anonymous,PT,I agree to participate in this study,65,fake,37,wrong,34,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,diamonds,0,right,74,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,prairie dog,0,right,11,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",19,Female,-99,United States,-99,United States,-99,White/European,-99,High school diploma (or GED),Very well,2,10. I was not nervous during the study at all,8,10. I did not find the study activity boring at all,10. I did not find the study task tiring at all,2,3,3,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,6,-99,-99,-99,9040,FL_43|FL_49|FL_55,FL_64,FL_68,FL_72
10/29/2020 9:33,10/29/2020 9:46,IP Address,100,771,TRUE,10/29/2020 9:46,R_3koIxg6RmYVB7c1,anonymous,PT,I agree to participate in this study,100,fake,0,wrong,25,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,diamonds,0,right,25,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,ground squirrel,0,right,25,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",20,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,2,4,10. I did not find the study tasks difficult to complete at all,8,8,1. I was able to adjust to the study task very quickly,4,1. I was very self-conscious of the responses I gave in this study,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,2,-99,"Acho que o objetivo deste estudo é avaliar a percepção das pessoas em relação os seus juízos relativos a crenças que têm por base a definição tripartida do Teeteto, relativa ao estudo do conhecimento na filosofia.",Não.,9610,FL_55|FL_43|FL_49,FL_64,FL_68,FL_72
10/29/2020 9:38,10/29/2020 9:47,IP Address,100,580,TRUE,10/29/2020 9:47,R_3DezPzxd9TeTbC1,anonymous,PT,I agree to participate in this study,78,fake,21,wrong,13,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,cubic zirconium stones,7,wrong,89,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,19,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,8,10. I was not nervous during the study at all,8,6,10. I did not find the study task tiring at all,1. I was able to adjust to the study task very quickly,3,3,2,1. I believe that my participation was contributing to very important research,4,-99,-99,-99,-99,FL_43|FL_49|FL_55,FL_66,FL_69,FL_71
