StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,consent,d_knows_1,d_fake,d_fake_DO,d_reasonable_1,d_right,d_right_DO,d_ability_1,d_situation,d_situation_DO,d_responsibility_1,g_knows_1,g_fake,g_fake_DO,g_reasonable_1,g_right,g_right_DO,g_ability_1,g_situation,g_situation_DO,g_responsibility_1,e_knows_1,e_fake,e_fake_DO,e_reasonable_1,e_right,e_right_DO,e_ability_1,e_situation,e_situation_DO,e_responsibility_1,age,gender,gender_3_TEXT,country_now,country_now_2_TEXT,country_birth,country_birth_2_TEXT,ethnicity,ethnicity_7_TEXT,lvl_edu,english,purpose_study,impression_study,similar_study,pay,enjoy_study,nervous_study,difficult_study,boring_study,tiring_study,quickly_study,regularly_study,selfcons_study,motivated_study,important_study,aim_study,comment_study,workerId,assignmentId,hitId,FL_85_DO,FL_78_DO,FL_41_DO,FL_50_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,"Consent Form

 

This study is conducted by Gilad Feldman and colleagues at the Department of Psychology of the University of Hong Kong. If you have questions or concerns regarding this project, please do not hesitate to contact Gilad Feldman at gfeldman@hku.hk at any time.



Purpose of the study

This study is on what people think another person knows.



Procedures

You will read three stories about people, then you will answer a few questions about these stories, followed by a very brief questionnaire about yourself. Survey time is indicated on MTurk task you accepted.



Potential risks

There are no known risks to you greater than those of ordinary daily life.



Potential benefits

Other than the monetary compensation, we do not anticipate any direct benefit to you in exchange for participation. This study aims to add to scientific knowledge about how language works. We also hope that this study can provide you with a learning experience of participating in psychological research and possibly learning more about yourself and your beliefs and evaluations.



Compensation

Compensation is offered through the Amazon Mechanical Turk platform. The level of compensation has been indicated on the Amazon Mechanical Turk HIT that you accepted.



Confidentiality

Your questionnaire responses are anonymous and strictly confidential. No personal identifiers are kept. Information obtained will only be used as aggregates for research purposes. Results from this study will be used for further research and may be reported in a department, campus, regional, or national meeting or published in a journal. Deidentified (anonymous) data will also be made available on a public repository (osf.io).



Participation and withdrawal

Your participation is voluntary. This means that you can choose to stop at any time without negative consequences. If at any time you wish to withdraw, please simply indicate eight zeros as your completion code on MTurk, and you will receive compensation regardless.



Questions and concerns

If you have any questions about the research, please feel free to contact Gilad Feldman at the University of Hong Kong (gfeldman@hku.hk). If you have questions about your rights as a research participant, please contact the Human Research Ethics Committee, HKU (+852 2241 5267).



Please print a copy of this consent form for your records, if you so desire.","Darrel            that there is at least one red speckled ground squirrel in Zone 3 today.
Please move the slider in the direction of the word (""only believes"" or ""knows"") that best reflects your opinion. - only believes",Darrel is looking at a           .,Darrel is looking at a           . - Display Order,"It is            for Darrel to think that he is looking at a red speckled ground squirrel.

Please move the slider in the direction of the word (""unreasonable"" or ""reasonable"") that best reflects your opinion. - unreasonable",d_right,d_right - Display Order,d_ability - (in)ability,"In your view, which of the following sentences better describes Darrel's situation?","In your view, which of the following sentences better describes Darrel's situation? - Display Order","A team of zoologists wants to observe red speckled ground squirrels in close distance. Darrel asserts to them that there is at least one such squirrel in Zone 3. The team, however, fails to find a squirrel in the Zone and much time and supplies are wasted. Darrel is            for the loss. - not responsible at all","Gerald            that he is pointing at a real house.
Please move the slider in the direction of the word (""only believes"" or ""knows"") that best reflects your opinion. - only believes",Gerald is pointing at a            house.,Gerald is pointing at a            house. - Display Order,"It is            for Gerald to think that he is pointing at a real house.



Please move the slider in the direction of the word (""unreasonable"" or ""reasonable"") that best reflects your opinion. - unreasonable",g_right,g_right - Display Order,g_ability - (in)ability,"In your view, which of the following sentences better describes Gerald's situation?","In your view, which of the following sentences better describes Gerald's situation? - Display Order","After driving out of the area, Gerald meets a group of hikers who are looking for housing. Gerald asserts to these hikers that they can find a place along the road if they keep going. Following Gerald’s advice, the hikers, however, fail to find housing and as it gets dark, they have to sleep in the open and suffer from cold wind. Gerald is            for their suffering. - not responsible at all","Emma            that she chose a necklace made of diamonds.
Please move the slider in the direction of the word (""only believes"" or ""knows"") that best reflects your opinion. - only believes",Emma chose a necklace made of           .,Emma chose a necklace made of           . - Display Order,"It is            for Emma to think that she chose a necklace made of diamonds.

Please move the slider in the direction of the word (""unreasonable"" or ""reasonable"") that best reflects your opinion. - unreasonable",e_right,e_right - Display Order,e_ability - (in)ability,"In your view, which of the following sentences better describes Emma's situation?","In your view, which of the following sentences better describes Emma's situation? - Display Order","Later, Emma meets a friend,
to whom she shows her newly-bought necklace. The friend is impressed and remembers
that she has always wanted a diamond ring. Under Emma’s recommendation, the friend,
who is also unable to tell the difference between a real diamond and a cubic
zirconium fake, goes to the same store. However, she eventually gets a fake at
a very high price. Emma is            for her
loss. - not responsible at all",How old are you?,What is your gender? - Selected Choice,What is your gender? - Other (please specify): - Text,What country do you currently live in? - Selected Choice,What country do you currently live in? - Other (please specify): - Text,What is your country of birth? - Selected Choice,What is your country of birth? - Other (please specify): - Text,What is your ethnicity? (check all that apply) - Selected Choice,What is your ethnicity? (check all that apply) - Other - Text,What is your highest level of education attained?,How well do you speak English?,"What do you think is the purpose of this study? (very briefly). If you have no idea what the purpose of this study is, please write ""None"".","What was your impression of the materials in this study? (very briefly). If you have no comments, please write ""None"".","Have you ever participated in a similar study? If yes, please mention where and very briefly describe the study. If not, simply indicate ""No"".",Please rate your satisfaction with the pay/compensation offered for this MTurk HIT (note - this will not impact your pay in any way),How much did you enjoy the study?,How nervous were you during the study?,How difficult did you find the study?,How boring did you find the study?,How tiring did you find the study?,How quickly did you adjust to the study task?,How regularly do you take part in research studies?,How self-conscious of your responses were you during the study?,How motivated were you to help the researchers during the study?,To what extent did you believe you were contributing to important research?,To what extent were you trying to work out the aim of the study during your participation?,Do you have any further comments about your experience of this study that we have not addressed above? Please give any further comments about this study below:,workerId,assignmentId,hitId,FL_85 - Block Randomizer - Display Order,FL_78 - Block Randomizer - Display Order,FL_41 - Block Randomizer - Display Order,FL_50 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""QID2""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_DO""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_DO""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_DO""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_DO""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_DO""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_DO""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_DO""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_DO""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_DO""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_3_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_2_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_2_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID54_7_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID80""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""workerId""}","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""FL_85_DO""}","{""ImportId"":""FL_78_DO""}","{""ImportId"":""FL_41_DO""}","{""ImportId"":""FL_50_DO""}"
4/20/20 11:08,4/20/20 11:08,IP Address,*******,100,11,TRUE,4/20/20 11:08,R_yDOBgTcnt04k2oV,*******,*******,*******,*******,*******,*******,anonymous,EN,0.7,TRUE,100,80,I DO NOT agree to participate in this study.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/20 11:18,4/20/20 11:23,IP Address,*******,100,317,TRUE,4/20/20 11:23,R_3Jkf33SWw1HeToN,*******,*******,*******,*******,*******,*******,anonymous,EN,0.9,,0,0,I agree to participate in this study.,85,ground squirrel,prairie dog|ground squirrel,100,right,right|wrong,23,Darrel knows that the animal he saw is a red speckled ground squirrel.,"Darrel knows that the animal he saw is a red speckled ground squirrel.|Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",59,14,fake,fake|real,86,wrong,wrong|right,68,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.","Gerald knows that the house he is pointing at is a real house.|Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",52,100,diamonds,diamonds|cubic zirconium stones,100,right,right|wrong,61,Emma knows that she chose a necklace made of diamonds.,"Emma knows that she chose a necklace made of diamonds.|Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",32,37,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,None.,None.,No,6Very satisfied,1. I enjoyed the study a lot,8,7,9. I did not find the study activity boring at all,8,2,4,6,2,1. I believe that my participation was contributing to very important research,9. I was not trying to work out the aim of the study during my participation,-99,*******,*******,*******,FL_89|FL_94|FL_93,FL_91,FL_64,FL_68
4/20/20 11:16,4/20/20 11:26,IP Address,*******,100,555,TRUE,4/20/20 11:26,R_1gO1YjCdNVhlpus,*******,*******,*******,*******,*******,*******,anonymous,EN,0.9,,0,0,I agree to participate in this study.,100,ground squirrel,prairie dog|ground squirrel,100,right,right|wrong,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,"Darrel knows that the animal he saw is a red speckled ground squirrel.|Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",29,0,fake,fake|real,100,wrong,right|wrong,100,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.","Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.|Gerald knows that the house he is pointing at is a real house.",27,100,diamonds,diamonds|cubic zirconium stones,100,right,wrong|right,100,Emma knows that she chose a necklace made of diamonds.,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.|Emma knows that she chose a necklace made of diamonds.",26,39,Female,-99,United States,-99,United States,-99,White/European,-99,"4-year college degree (B.A., B.S.)",Very well,None,None,No,6Very satisfied,1. I enjoyed the study a lot,9. I was not nervous during the study at all,4,9. I did not find the study activity boring at all,9. I did not find the study task tiring at all,5. Not sure,2,7,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,5. Not sure,-99,*******,*******,*******,FL_89|FL_93|FL_94,FL_90,FL_64,FL_70
4/20/20 11:19,4/20/20 11:27,IP Address,*******,100,452,TRUE,4/20/20 11:27,R_3LhBK9tXvx3SQAU,*******,*******,*******,*******,*******,*******,anonymous,EN,0.9,,0,20,I agree to participate in this study.,0,prairie dog,prairie dog|ground squirrel,50,wrong,wrong|right,50,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.","Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.|Darrel knows that the animal he saw is a red speckled ground squirrel.",0,0,real,real|fake,50,right,right|wrong,50,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.","Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.|Gerald knows that the house he is pointing at is a real house.",0,0,diamonds,cubic zirconium stones|diamonds,50,right,wrong|right,50,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.","Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.|Emma knows that she chose a necklace made of diamonds.",0,27,Male,-99,United States,-99,United States,-99,"White/European,Black/African American,Other",mixed,"4-year college degree (B.A., B.S.)",Very well,I think the purpose of this study is to evaluate responsibility in relation to knowledge.,None,No,3Neutral,1. I enjoyed the study a lot,9. I was not nervous during the study at all,9. I did not find the study tasks difficult to complete at all,9. I did not find the study activity boring at all,9. I did not find the study task tiring at all,1. I was able to adjust to the study task very quickly,1. I have taken part in many research studies,9. I was not at all self-conscious of the responses I gave in this study,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,1. I was trying to work out the aim of the study during my participation,-99,*******,*******,*******,FL_94|FL_93|FL_89,FL_92,FL_62,FL_70
4/20/20 11:23,4/20/20 11:27,IP Address,*******,100,272,TRUE,4/20/20 11:27,R_1KN4WW9BSoaQWHv,*******,*******,*******,*******,*******,*******,anonymous,EN,0.9,,0,0,I agree to participate in this study.,0,prairie dog,prairie dog|ground squirrel,100,wrong,right|wrong,75,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.","Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.|Darrel knows that the animal he saw is a red speckled ground squirrel.",86,0,real,real|fake,100,right,right|wrong,97,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.","Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.|Gerald knows that the house he is pointing at is a real house.",75,0,diamonds,cubic zirconium stones|diamonds,100,right,wrong|right,50,Emma knows that she chose a necklace made of diamonds.,"Emma knows that she chose a necklace made of diamonds.|Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,29,Male,-99,United States,-99,United States,-99,Black/African American,-99,Some college or a 2-year college degree (A.A.),Very well,who is to blame for the different situations,none,no,6Very satisfied,2,9. I was not nervous during the study at all,9. I did not find the study tasks difficult to complete at all,9. I did not find the study activity boring at all,9. I did not find the study task tiring at all,3,1. I have taken part in many research studies,8,1. I was strongly motivated to help make the study a success for the researchers,2,8,-99,*******,*******,*******,FL_89|FL_93|FL_94,FL_92,FL_66,FL_68
4/20/20 11:18,4/20/20 11:29,IP Address,*******,100,691,TRUE,4/20/20 11:29,R_2zTr8jsK388GOyG,*******,*******,*******,*******,*******,*******,anonymous,EN,0.9,,0,0,I agree to participate in this study.,82,prairie dog,prairie dog|ground squirrel,77,right,wrong|right,22,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.","Darrel knows that the animal he saw is a red speckled ground squirrel.|Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",74,89,real,real|fake,96,right,wrong|right,82,Gerald knows that the house he is pointing at is a real house.,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.|Gerald knows that the house he is pointing at is a real house.",97,87,diamonds,diamonds|cubic zirconium stones,86,right,right|wrong,23,Emma knows that she chose a necklace made of diamonds.,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.|Emma knows that she chose a necklace made of diamonds.",93,42,Female,-99,United States,-99,United States,-99,White/European,-99,"4-year college degree (B.A., B.S.)",Very well,None,None,no,6Very satisfied,8,9. I was not nervous during the study at all,8,9. I did not find the study activity boring at all,8,6,8,9. I was not at all self-conscious of the responses I gave in this study,8,6,7,thanks,*******,*******,*******,FL_93|FL_94|FL_89,FL_90,FL_66,FL_69
4/20/20 11:17,4/20/20 11:30,IP Address,*******,100,817,TRUE,4/20/20 11:30,R_10obyJCkcHa0EPm,*******,*******,*******,*******,*******,*******,anonymous,EN,0.9,,0,0,I agree to participate in this study.,100,ground squirrel,ground squirrel|prairie dog,95,right,wrong|right,10,Darrel knows that the animal he saw is a red speckled ground squirrel.,"Darrel knows that the animal he saw is a red speckled ground squirrel.|Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",20,25,real,fake|real,100,right,right|wrong,95,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.","Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.|Gerald knows that the house he is pointing at is a real house.",10,0,cubic zirconium stones,cubic zirconium stones|diamonds,95,wrong,right|wrong,10,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.","Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.|Emma knows that she chose a necklace made of diamonds.",20,60,Male,-99,United States,-99,United States,-99,White/European,-99,"4-year college degree (B.A., B.S.)",Very well,I think the main focus is on how much responsibility (if any) one should be accountable for in each situation. ,None. ,No. ,4,7,3,6,8,7,4,3,5. Not sure,1. I was strongly motivated to help make the study a success for the researchers,3,5. Not sure,Thank you very much. ,*******,*******,*******,FL_89|FL_93|FL_94,FL_90,FL_66,FL_69
4/20/20 11:15,4/20/20 11:31,IP Address,*******,100,932,TRUE,4/20/20 11:31,R_3M0sUeafm7rsKZ3,*******,*******,*******,*******,*******,*******,anonymous,EN,0.9,,0,0,I agree to participate in this study.,66,ground squirrel,ground squirrel|prairie dog,70,right,right|wrong,34,Darrel knows that the animal he saw is a red speckled ground squirrel.,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.|Darrel knows that the animal he saw is a red speckled ground squirrel.",32,21,fake,real|fake,72,wrong,right|wrong,64,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.","Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.|Gerald knows that the house he is pointing at is a real house.",40,12,diamonds,diamonds|cubic zirconium stones,88,right,wrong|right,71,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.","Emma knows that she chose a necklace made of diamonds.|Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",23,60,Female,-99,United States,-99,United States,-99,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,none,none,no,5,7,1. I was very nervous during the study,3,4,4,6,3,6,3,3,5. Not sure,-99,*******,*******,*******,FL_94|FL_93|FL_89,FL_90,FL_64,FL_70
