StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,g_knows_1,g_fake,g_reasonable_1,g_right,g_ability_1,g_situation,e_knows_1,e_fake,e_reasonable_1,e_right,e_ability_1,e_situation,d_knows_1,d_fake,d_reasonable_1,d_right,d_ability_1,d_situation,age,gender,gender_3_TEXT,country_now,country_now_2_TEXT,country_birth,country_birth_2_TEXT,ethnicity,ethnicity_7_TEXT,lvl_edu,english,enjoy_study,nervous_study,difficult_study,boring_study,tiring_study,quickly_study,regularly_study,selfcons_study,motivated_study,important_study,aim_study,comments_study,purpose_study,similar_study,FL_40_DO,FL_41_DO,FL_50_DO,FL_56_DO,FL_76_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent Information Statement

Assessing Language

 

Principal Investigator: Dr. Jennifer Beaudry, Senior Lecturer, Department of Psychological Sciences, Faculty of Health, Arts, and Design, Swinburne University of Technology

Student Investigator: Elian Thiele-Evans, Department of Psychological Sciences, Faculty of Health, Arts, and Design, Swinburne University of Technology

 

Introduction to Project

You are invited to participate in a research project being conducted by Dr. Jennifer Beaudry of the Faculty of Health, Arts, and Design, Swinburne University of Technology. You must be at least 18 years of age to participate.

 

About this Project

This is a study about assessing languages. You will be asked to read several stories and answer questions about each story. You will then be asked several questions about your experience as a participant in this study and demographic questions (e.g., age, gender). The entire study should take less than 30 minutes to complete.

 

Participants Rights and Interests

Risks of Participation

There are no known risks for participating in the current study. Furthermore, as your participation is voluntary, you may refuse to answer any questions, and can discontinue participation at any time with no penalty.

 

Benefits of Participation

Participating in this study will give you experience with psychological research, which will be useful during your coursework in Psychology. In addition, given that you are participating through the Research Experience Program, you will receive 0.5 REP credits. You may withdraw from the study at any time and still receive full credit.

 

Withdrawal from Participation

Your participation in the current study is completely voluntary. You may refuse to participate with no penalty. You have the right to withdraw from the study at any time without any penalty or prejudice from the researchers. You are not obligated to answer any question.

 

Privacy and Confidentiality

Your responses will be completely anonymous, and thus will have no identifying characteristics. This anonymised data will be made available to other researchers online through data sharing platforms (e.g., Open Science Framework; osf.io).

 

Research Output

The summary results of this study may be presented, for academic purposes at conferences, lectures, etc., and may be published in academic journals. Your responses will not be identifiable in any of these research outputs. Anonymised data will be uploaded to the data sharing platforms (e.g., Open Science Framework; osf.io) and shared with lead researchers at Avila University. If you would like a report of the final results, please contact the principal investigator (details below) in one year.

 

*** Please conduct this study only once. At the end of this study, we will provide you with a code on the debriefing page that you must send to beaudrylab@swin.edu.au to obtain REP credit. We will grant you credit within 48 hours of you sending this code to us. If you do not receive credit after this period, please email us.***

Further Information

If you would like further information about this study, please do not hesitate to contact:

Dr. Jennifer Beaudry, Senior Lecturer

Faculty of Health, Arts, and Design

ATC 1023

jbeadury@swin.edu.au

 



	
		
			
			This project has been approved by or on behalf of Swinburne’s Human Research Ethics Committee (SUHREC) in line with the National Statement on Ethical Conduct in Human Research. If you have any concerns or complaints about the conduct of this project, you can contact:

			Research Ethics Officer, Swinburne Research (H68),

			Swinburne University of Technology, P O Box 218, HAWTHORN VIC 3122 Australia.

			Tel (03) 9214 3845 or +61 3 9214 3845 or resethics@swin.edu.au",Gerald            that he is pointing at a real house. - Knows,Gerald is pointing at a            house.,"It is            for Gerald to think that he is pointing at a real house.



Please move the slider in the direction of the word (reasonable or unreasonable) that best reflects your opinion. - reasonable",g_right,g_ability - (in)ability,"In your view, which of the following sentences better describes Gerald's situation?",Emma            that she chose a necklace made of diamonds. - Knows,Emma chose a necklace made of           .,"It is            for Emma to think that she chose a necklace made of diamonds.


Please move the slider in the direction of the word (reasonable or unreasonable) that best reflects your opinion. - reasonable",e_right,e_ability - (in)ability,"In your view, which of the following sentences better describes Emma's situation?","Darrel            that there is at least one red speckled ground squirrel in Zone 3 today.
 

Please move the slider in the direction of the word (knows or believes) that best represents your opinion) - Knows",Darrel is looking at a           .,"It is            for Darrel to think that he is looking at a red speckled ground squirrel.


Please move the slider in the direction of the word (reasonable or unreasonable) that best reflects your opinion. - reasonable",d_right,d_ability - (in)ability,"In your view, which of the following sentences better describes Darrel's situation?",How old are you?,What is your gender? - Selected Choice,What is your gender? - Other (please specify): - Text,What country do you currently live in? - Selected Choice,What country do you currently live in? - Other (please specify): - Text,What is your country of birth? - Selected Choice,What is your country of birth? - Other (please specify): - Text,What is your ethnicity? (check all that apply) - Selected Choice,What is your ethnicity? (check all that apply) - Other - Text,What is your highest level of education attained?,How well do you speak English?,How much did you enjoy the study?,How nervous were you during the study?,How difficult did you find the study?,How boring did you find the study?,How tiring did you find the study?,How quickly did you adjust to the study task?,How regularly do you take part in research studies?,How self-conscious of your responses were you during the study?,How motivated were you to help the researchers during the study?,To what extent did you believe you were contributing to important research?,To what extent were you trying to work out the aim of the study during your participation?,"Do you have any further comments about your experience of this study that we have not addressed above? Please give any further comments to the study below. (If you have no further comments, please click continue.)","What do you think is the purpose of this study? If you have no idea what the purpose of this study is, the field may remain empty.","Have you ever participated in a similar study? If yes, please describe the study.",FL_40 - Block Randomizer - Display Order,FL_41 - Block Randomizer - Display Order,FL_50 - Block Randomizer - Display Order,FL_56 - Block Randomizer - Display Order,FL_76 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_3_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_2_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_2_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID54_7_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""FL_40_DO""}","{""ImportId"":""FL_41_DO""}","{""ImportId"":""FL_50_DO""}","{""ImportId"":""FL_56_DO""}","{""ImportId"":""FL_76_DO""}"
6/4/20 21:12,6/4/20 21:40,IP Address,,100,1720,TRUE,6/4/20 21:40,R_BXjEFRC53MLkxi1,,,,,,,anonymous,EN,I agree to participate in this study,0,fake,0,right,0,Gerald knows that the house he is pointing at is a real house.,100,diamonds,15,right,10,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,100,Darrel knows that the animal he saw is a red speckled ground squirrel.,29,Female,-99,Other (please specify):,Australia,Other (please specify):,Australia,White/European,-99,High school diploma (or GED),Very well,3,4,6,6,8,4,5. Not sure,2,3,4,4,-99,-99,-99,FL_49|FL_43|FL_55,FL_64,FL_68,FL_72,debrief_2
6/10/20 7:30,6/10/20 7:36,IP Address,,100,383,TRUE,6/10/20 7:36,R_25urEUIQLdWDSJL,,,,,,,anonymous,EN,I agree to participate in this study,-99,real,0,right,-99,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",75,diamonds,0,right,90,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",75,prairie dog,25,wrong,5,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",21,Female,-99,Other (please specify):,Australia,Other (please specify):,Australia,White/European,-99,High school diploma (or GED),Very well,4,9,9,6,8,1. I was able to adjust to the study task very quickly,3,4,3,5. Not sure,3,-99,-99,-99,FL_55|FL_49|FL_43,FL_62,FL_70,FL_73,debrief_3
6/5/20 2:10,6/5/20 2:30,IP Address,,98,1234,FALSE,6/12/20 2:31,R_2DS5GzKCVr6qKO8,,,,,,,anonymous,EN,I agree to participate in this study,90,fake,7,wrong,57,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",90,diamonds,11,right,32,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,ground squirrel,7,right,17,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",30,Female,-99,Other (please specify):,Australia,Other (please specify):,Australia,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,3,9,7,7,10. I did not find the study task tiring at all,2,3,4,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,1. I was trying to work out the aim of the study during my participation,-99,"I think the purpose of this study was to determine the readers understanding of the language, and to understand the readers interpretation of the language used.","No, I haven't.",FL_55|FL_43|FL_49,FL_64,FL_68,FL_72,debrief_3
6/16/20 22:06,6/16/20 22:13,IP Address,,100,456,TRUE,6/16/20 22:13,R_1HbNjz6fogcSAtd,,,,,,,anonymous,EN,I agree to participate in this study,0,real,0,right,0,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",100,cubic zirconium stones,0,wrong,0,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,ground squirrel,0,right,0,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",36,Female,-99,Other (please specify):,Australia,Other (please specify):,Australia,White/European,-99,Some college or a 2-year college degree (A.A.),Very well,3,10. I was not nervous during the study at all,10. I did not find the study tasks difficult to complete at all,8,10. I did not find the study task tiring at all,1. I was able to adjust to the study task very quickly,2,10. I was not at all self-conscious of the responses I gave in this study,2,2,10. I was not trying to work out the aim of the study during my participation,-99,to assess how well people pay attention to what they read and how well they actually understand the English language in comparison to how well they think they understand it,yes many REP programs,FL_49|FL_55|FL_43,FL_66,FL_69,FL_71,debrief_4
6/19/20 1:38,6/19/20 1:54,IP Address,,100,926,TRUE,6/19/20 1:54,R_3Ge8CjPMbkPSEHv,,,,,,,anonymous,EN,I agree to participate in this study,70,real,20,right,70,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",90,cubic zirconium stones,20,wrong,80,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,ground squirrel,22,right,25,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",34,Female,-99,Other (please specify):,Australia,Other (please specify):,Australia,White/European,-99,"4-year college degree (B.A., B.S.)",Very well,4,10. I was not nervous during the study at all,8,10. I did not find the study activity boring at all,10. I did not find the study task tiring at all,2,9,4,5. Not sure,5. Not sure,3,-99,People's perception/certainty in knowing things in the absolute.,-99,FL_55|FL_43|FL_49,FL_62,FL_69,FL_72,debrief_2
6/22/20 5:57,6/22/20 6:13,IP Address,,100,921,TRUE,6/22/20 6:13,R_1DHHBlQHSEevAKr,,,,,,,anonymous,EN,I agree to participate in this study,49,real,0,right,49,"Gerald feels like he knows that the house he is pointing at is a real house, but he doesn't actually know that it is.",99,diamonds,1,right,50,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",100,ground squirrel,0,right,0,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",30,Male,-99,Other (please specify):,Australia,Other (please specify):,Australia,"White/European,East or Southeast Asian/Pacific Islander (e.g. from Japan, China, Korea, Vietnam, Thailand, Philippines, native Hawaiian)",-99,"4-year college degree (B.A., B.S.)",Very well,2,4,10. I did not find the study tasks difficult to complete at all,10. I did not find the study activity boring at all,10. I did not find the study task tiring at all,5. Not sure,4,1. I was very self-conscious of the responses I gave in this study,2,5. Not sure,2,-99,Epistemology and language?,-99,FL_49|FL_55|FL_43,FL_64,FL_70,FL_71,debrief_3
6/17/20 3:53,6/17/20 4:03,IP Address,,98,615,FALSE,6/24/20 4:03,R_UMI84dq6cyWoFOh,,,,,,,anonymous,EN,I agree to participate in this study,9,real,6,right,16,Gerald knows that the house he is pointing at is a real house.,96,diamonds,15,right,81,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",87,ground squirrel,18,wrong,15,"Darrel feels like he knows that the animal he saw is a red speckled ground squirrel, but he doesn't actually know that it is.",27,Female,-99,Other (please specify):,Australia,Other (please specify):,NZ,Other,Polynesian,High school diploma (or GED),Very well,3,6,5. Not sure,7,2,4,5. Not sure,4,3,1. I believe that my participation was contributing to very important research,1. I was trying to work out the aim of the study during my participation,-99,How to interpret a short story and what you might think that the characters are feeling and thinking ,NO,FL_49|FL_55|FL_43,FL_62,FL_70,FL_73,debrief_2
6/24/20 12:04,6/24/20 12:15,IP Address,,100,650,TRUE,6/24/20 12:15,R_BVBtnjFhhG1Hwjv,,,,,,,anonymous,EN,I agree to participate in this study,50,fake,0,right,0,Gerald knows that the house he is pointing at is a real house.,100,diamonds,35,right,100,"Emma feels like she knows that she chose a necklace made of diamonds, but she doesn't actually know that it is.",0,ground squirrel,0,right,0,Darrel knows that the animal he saw is a red speckled ground squirrel.,18,Female,-99,Other (please specify):,Australia,Other (please specify):,India,"South Asian (e.g. from India, Pakistan)",-99,Some college or a 2-year college degree (A.A.),Very well,1. I enjoyed the study a lot,8,9,9,9,1. I was able to adjust to the study task very quickly,10. I have never taken part in a research study before,4,1. I was strongly motivated to help make the study a success for the researchers,1. I believe that my participation was contributing to very important research,1. I was trying to work out the aim of the study during my participation,"Great study set up, it was easy to understand what I was doing.",How words and language can effect a persons perspective on something.,-99,FL_49|FL_43|FL_55,FL_64,FL_68,FL_72,debrief_2
