"id","survey_lang","previous"
"s568","ger","test"
"s587","eng","No"
"s589","eng","I have not. "
"s590","eng","No."
"s591","eng","No I have not"
"s592","eng","No"
"s593","eng","No"
"s594","eng","No"
"s595","eng","no"
"s596","eng","No, I have not."
"s597","eng","NO"
"s598","eng","No"
"s599","eng","I have not ever participated in a research study."
"s604","eng","yes, actually the study had the same questions but in different order "
"s607","eng","I have never participated in a research study before. "
"s609","eng","No"
"s610","eng","I have not participated in a similar study."
"s612","eng","No, I have not participated in a similar study. "
"s614","eng","no"
"s621","eng","No"
"s622","eng","No, I have not. "
"s636","eng","No."
"s660","eng","I have not participated in a similar study."
"s661","eng","No"
"s663","eng","No"
"s664","eng","I have never completed anything similar in this study."
"s666","eng","I have never participated in a study. "
"s667","eng","no"
"s668","eng","no"
"s680","eng","No"
"s683","eng","I have not participated in a similar study. "
"s686","eng","No, this was my first study."
"s687","eng","no"
"s688","eng","no, i have not participated in a study like this before."
"s690","eng","no"
"s691","eng","No"
"s696","eng","No."
"s697","eng","N/A"
"s700","eng","I've participated in a couple other online survey-type studies, but none exactly like this."
"s702","eng","No"
"s716","eng","This is my first one."
"s717","eng","no."
"s718","eng","No, I have not participated in a study like this."
"s725","eng","No, this was my first research study. "
"s726","eng","I have not participated in a similar study."
"s727","eng","No"
"s729","eng","No, I have not."
"s730","eng","No."
"s731","eng","No"
"s732","eng","No I have not."
"s737","eng","No"
"s739","eng","no"
"s740","eng","I have never participated in a study like this."
"s742","eng","its my seont time taking this study becouse the first time is wasent working"
"s743","eng","No I have not."
"s746","eng","i have not"
"s748","eng","No. "
"s753","eng","No"
"s757","eng","No"
"s760","eng","No, I haven't participated in a study similar to this one."
"s761","eng","No, I've never participated in a study like this."
"s762","eng","No, this is the first study I have ever participated in. "
"s763","eng","I have taken some studies online before."
"s772","eng","No, I've never participated in a study before."
"s773","eng","no"
"s776","eng","Yes, I've taken this study before."
"s791","eng","no."
"s795","eng","Yes I have."
"s796","eng","No"
"s797","eng","no"
"s815","eng","N/A"
"s817","eng","I have not participated in a similar study."
"s818","eng","No"
"s819","eng","yes answering questions about day to day things"
"s822","eng","No "
"s838","eng","no"
"s839","eng","No"
"s840","eng","No this is my first time doing this kind of study."
"s841","eng","No"
"s844","eng","No, I have never participated in a study"
"s845","eng","no"
"s847","eng","no"
"s849","eng","No"
"s850","eng","No"
"s856","eng","No this is the first research study I have participated in. "
"s861","eng","No"
"s862","eng","This was my first time participating. "
"s863","eng","No, I have not participated in a similar study."
"s867","eng","Not really nothing like this one "
"s875","eng","no"
"s876","eng","I have not participated in a similar study. "
"s877","eng","I have not"
"s878","eng","No"
"s879","eng","No"
"s883","eng","No."
"s902","eng","NO"
"s913","ger","nein "
"s914","ger","Nein"
"s918","ger","nein"
"s920","ger","nein "
"s923","ger","nein"
"s927","ger","nein "
"s928","ger","nein, noch an keiner ähnlichen studie teilgenommen
"
"s933","ger","nein"
"s940","eng","
No, this is the first time I have participated in a study like this."
"s941","eng","No"
"s942","eng","no"
"s943","eng","No, I have not."
"s957","ger","Nein"
"s963","ger","Nein"
"s967","ger","Nein"
"s968","ger","nein!"
"s970","ger","nein"
"s971","ger","nein"
"s973","ger","nein noch nicht"
"s976","ger","glaube nicht"
"s978","ger","Nein"
"s989","ger","nein"
"s990","ger","Nein"
"s996","ger","Nein, die Studien, an denen ich teilgenommen habe, anders."
"s997","ger","nein"
"s998","ger","nein"
"s1000","eng","Nope."
"s1012","ger","nein "
"s1013","ger","Ja mit Hörverständnis"
"s1015","eng","No"
"s1016","eng","NA"
"s1017","eng","No I have not"
"s1018","eng","No i have not"
"s1019","eng","no"
"s1020","eng","No"
"s1021","eng","No"
"s1023","eng","No. "
"s1025","eng","No"
"s1026","eng","no, i have never participated in a study before. "
"s1030","ger","nein"
"s1038","ger","ja, kann mich jedoch nur noch wenig daran erinnern"
"s1042","ger","Ja, lediglich fragen mit multiple Choice antworten"
"s1043","eng","No I have not."
"s1045","eng","i have not"
"s1046","ger","Nein"
"s1047","eng","No"
"s1050","eng","no I have not"
"s1052","eng","No"
"s1053","eng","No"
"s1055","eng","No I have not. "
"s1056","eng","no"
"s1058","eng","no"
"s1059","eng","Not exactly but I've done other online studies."
"s1060","eng","No."
"s1062","eng","Not exactly but I've done other online studies."
"s1063","eng","Yes, I've done other studies were you read something and answer questions about it."
"s1064","eng","no"
"s1066","eng","no"
"s1071","ger","nein"
"s1079","ger","nein"
"s1085","ger","Nein"
"s1086","ger","nein"
"s1087","ger","nein"
"s1092","eng","I have never done a study like this before."
"s1093","eng","No"
"s1094","eng","No"
"s1095","eng","No, I have not. "
"s1096","eng","no"
"s1099","eng","No"
"s1100","eng","This is my first research study."
"s1105","ger","nein"
"s1109","eng","No "
"s1111","eng","TEST"
"s1112","eng","I have not."
"s1113","eng","THIS IS A TEST"
"s1114","eng","Test"
"s1117","pol","nie wie"
"s1119","ger","Nein"
"s1120","eng","No"
"s1122","eng","Just recently for this class.  "
"s1131","eng","No"
"s1132","eng","No"
"s1134","eng","No"
"s1135","eng","I have for a class I am taking this term."
"s1136","eng","No not one like this "
"s1137","eng","No"
"s1146","pol","nie"
"s1154","ger","nein"
"s1155","ger","Bundesheer/Stellung, kein Kommentar nötig dazu. "
"s1158","ger","nein"
"s1174","ger","Nein"
"s1178","eng","TEST"
"s1180","ger","TEST"
"s1181","ger","TEST"
"s1205","zho","TEST"
"s1208","eng","TEST"
"s1211","eng","TEST"
"s1213","eng","TEST"
"s1219","nor","test"
"s1247","ger","Nein"
"s1249","ger","Nein"
"s1253","ger","Nein"
"s1256","ger","Nein"
"s1258","ger","nein"
"s1261","ger","nein"
"s1275","ger","nein"
"s1299","ger","nein"
"s1300","ger","Nein"
"s1303","ger","nein"
"s1306","ger","nein"
"s1308","tur","TEST"
"s1311","ger","nein"
"s1313","ger","Ja andauernd, da ich mich selbst momentan auf der Universität beschäftige. "
"s1321","ger","nein"
"s1336","ger","Nein"
"s1338","nor","test"
"s1340","pol","jo"
"s1344","pol","nkjn"
"s1354","ger","nein"
"s1357","pol","nk"
"s1363","ger","Nein"
"s1373","ger","nein"
"s1375","ger","Nein"
"s1379","eng","no"
"s1397","eng","no"
"s1400","eng","Yes. I have participated in similar studies during my undergrad. I attended a university with many research projects happening at once."
"s1420","eng","No"
"s1424","pol","sdfg"
"s1440","eng","No I have not."
"s1442","ger","nein"
"s1447","eng","No, I have not."
"s1450","eng","no the would be my first one like this "
"s1451","eng","no never "
"s1452","eng","No"
"s1465","eng","I have taken the MSLQ study before but that is it. "
"s1475","eng","no"
"s1477","eng","No."
"s1478","eng","no"
"s1479","eng","No"
"s1482","eng","I have not participated in a similar study. Usually, the studies consist of only questions about myself and never offer any other material, like the three individual studies."
"s1484","eng","I have never participated in a familiar study. "
"s1489","eng","Not one where it felt like a test and a lot of reading and questions about the scenarios."
"s1490","eng","no"
"s1492","eng","no, I have not"
"s1495","eng","no"
"s1502","eng","no"
"s1509","eng","no"
"s1510","eng","No"
"s1512","eng","No"
"s1518","eng","no"
"s1519","eng","No I have not participated in a study similar to this. "
"s1521","eng","No"
"s1532","eng","No I have not."
"s1534","ger","nein"
"s1535","eng","No I haven't."
"s1548","eng","No. This is my first time."
"s1556","eng","no"
"s1663","eng","no"
"s1694","eng","no"
"s1695","eng","Nope."
"s1696","eng","No"
"s1714","ger","Nein"
"s1731","ger","Nein"
"s1735","ger","Ich habe an Studien teilgenommen, bei denen ich mich in Szenarien hineinversetzten musste oder Texte lesen und anschließend Fragen dazu beantworten musste."
"s1739","ger","Nein."
"s1752","eng","No."
"s1763","eng","no"
"s1764","eng","no"
"s1765","eng","no"
"s1767","eng","no"
"s1772","eng","no"
"s1775","ger","Ich habe bisher an keiner ähnlichen Studie teilgenommen. "
"s1784","ger","Nein"
"s1788","eng","sdd"
"s1790","eng","no"
"s1791","eng","no"
"s1799","eng"," No I have not"
"s1851","eng","No"
"s1853","eng","No"
"s1855","eng","No"
"s1871","ger","nein"
"s1889","eng","no"
"s1905","ger","nein"
"s1906","ger","Nein"
"s1907","ger","nein"
"s1916","eng","No"
"s1927","eng"," no"
"s1929","eng","No."
"s1930","eng","No"
"s1931","eng","Nothing like this. "
"s1932","eng","No."
"s1933","eng","Negatory."
"s1940","eng","NO"
"s1942","eng","not that I can remember"
"s1945","eng","No"
"s1952","eng","I have not."
"s1954","eng","No. "
"s1959","eng","No
"
"s1961","eng","No"
"s1972","eng","no"
"s1986","eng","TEST"
"s1991","eng","Yes, I have seen the red squirrel question before."
"s2031","eng","no"
