"id","survey_lang","previous"
"s587","eng","No"
"s589","eng","I have not. "
"s590","eng","No."
"s591","eng","No I have not"
"s592","eng","No"
"s593","eng","No"
"s594","eng","No"
"s595","eng","no"
"s596","eng","No, I have not."
"s597","eng","NO"
"s598","eng","No"
"s599","eng","I have not ever participated in a research study."
"s604","eng","yes, actually the study had the same questions but in different order "
"s607","eng","I have never participated in a research study before. "
"s609","eng","No"
"s610","eng","I have not participated in a similar study."
"s612","eng","No, I have not participated in a similar study. "
"s614","eng","no"
"s621","eng","No"
"s622","eng","No, I have not. "
"s636","eng","No."
"s660","eng","I have not participated in a similar study."
"s661","eng","No"
"s663","eng","No"
"s664","eng","I have never completed anything similar in this study."
"s666","eng","I have never participated in a study. "
"s667","eng","no"
"s668","eng","no"
"s680","eng","No"
"s683","eng","I have not participated in a similar study. "
"s686","eng","No, this was my first study."
"s687","eng","no"
"s688","eng","no, i have not participated in a study like this before."
"s690","eng","no"
"s691","eng","No"
"s696","eng","No."
"s697","eng","N/A"
"s700","eng","I've participated in a couple other online survey-type studies, but none exactly like this."
"s702","eng","No"
"s716","eng","This is my first one."
"s717","eng","no."
"s718","eng","No, I have not participated in a study like this."
"s725","eng","No, this was my first research study. "
"s726","eng","I have not participated in a similar study."
"s727","eng","No"
"s729","eng","No, I have not."
"s730","eng","No."
"s731","eng","No"
"s732","eng","No I have not."
"s737","eng","No"
"s739","eng","no"
"s740","eng","I have never participated in a study like this."
"s742","eng","its my seont time taking this study becouse the first time is wasent working"
"s743","eng","No I have not."
"s746","eng","i have not"
"s748","eng","No. "
"s753","eng","No"
"s757","eng","No"
"s760","eng","No, I haven't participated in a study similar to this one."
"s761","eng","No, I've never participated in a study like this."
"s762","eng","No, this is the first study I have ever participated in. "
"s763","eng","I have taken some studies online before."
"s772","eng","No, I've never participated in a study before."
"s773","eng","no"
"s776","eng","Yes, I've taken this study before."
"s791","eng","no."
"s795","eng","Yes I have."
"s796","eng","No"
"s797","eng","no"
"s815","eng","N/A"
"s817","eng","I have not participated in a similar study."
"s818","eng","No"
"s819","eng","yes answering questions about day to day things"
"s822","eng","No "
"s838","eng","no"
"s839","eng","No"
"s840","eng","No this is my first time doing this kind of study."
"s841","eng","No"
"s844","eng","No, I have never participated in a study"
"s845","eng","no"
"s847","eng","no"
"s849","eng","No"
"s850","eng","No"
"s856","eng","No this is the first research study I have participated in. "
"s861","eng","No"
"s862","eng","This was my first time participating. "
"s863","eng","No, I have not participated in a similar study."
"s867","eng","Not really nothing like this one "
"s875","eng","no"
"s876","eng","I have not participated in a similar study. "
"s877","eng","I have not"
"s878","eng","No"
"s879","eng","No"
"s883","eng","No."
"s902","eng","NO"
"s940","eng","
No, this is the first time I have participated in a study like this."
"s941","eng","No"
"s942","eng","no"
"s943","eng","No, I have not."
"s1000","eng","Nope."
"s1015","eng","No"
"s1016","eng","NA"
"s1017","eng","No I have not"
"s1018","eng","No i have not"
"s1019","eng","no"
"s1020","eng","No"
"s1021","eng","No"
"s1023","eng","No. "
"s1025","eng","No"
"s1026","eng","no, i have never participated in a study before. "
"s1043","eng","No I have not."
"s1045","eng","i have not"
"s1047","eng","No"
"s1050","eng","no I have not"
"s1052","eng","No"
"s1053","eng","No"
"s1055","eng","No I have not. "
"s1056","eng","no"
"s1058","eng","no"
"s1059","eng","Not exactly but I've done other online studies."
"s1060","eng","No."
"s1062","eng","Not exactly but I've done other online studies."
"s1063","eng","Yes, I've done other studies were you read something and answer questions about it."
"s1064","eng","no"
"s1066","eng","no"
"s1092","eng","I have never done a study like this before."
"s1093","eng","No"
"s1094","eng","No"
"s1095","eng","No, I have not. "
"s1096","eng","no"
"s1099","eng","No"
"s1100","eng","This is my first research study."
"s1109","eng","No "
"s1111","eng","TEST"
"s1112","eng","I have not."
