"id","survey_lang","previous"
"s2604","fre","dwq"
"s4692","fre","TEST delete data"
"s8141","fre","TEST"
"s8198","fre","TEST"
"s8898","fre","Non"
"s8899","fre","Non"
"s8900","fre","non"
"s8901","fre","non"
"s8906","fre","non"
"s8909","fre","Non"
"s8913","fre","Non"
"s8914","fre","Non"
"s8915","fre","non"
"s8918","fre","non"
"s8919","fre","Non."
"s8920","fre","Oui j'ai dejà participer à une étude sur support informatique, oui j'ai déjà participé à une étude me posant des questions de ressenti sur ma personne"
"s8922","fre","non"
"s12008","fre","non"
"s12009","fre","Non."
"s12011","fre","Non jamais."
"s12013","fre","Non"
"s12017","fre","Il y a 4 ans, une tâche de décision lexicale et de mémoire de travail mais je ne me rappelle plus précisément."
"s12031","fre","Non"
"s12033","fre","Similaire niveau thème non, mais j'ai déjà eu à utiliser les boutons rouge et vert pour une étude sur """"""""théoriquement"""""""" du moins, sur la rapidité des réflexes après un stimuli, il y a 5 ans."
"s12035","fre","Non, je n'ai jamais participé à une étude auparavant"
"s12037","fre","non"
"s12045","fre","Non."
"s12046","fre","NON"
"s12048","fre","j'ai participé à une étude sur  la mémoire, les exercices était un peu similaire. Le but était de retenir des séries de chiffres et de lettres puis ensuite de les répéter. "
"s12055","fre","Non"
"s12064","fre","non"
"s12065","fre","Une étude sur la mémoire et notre capacité à focaliser notre attention sur un objet"
"s12081","fre","Non jamais."
"s12082","fre","non"
"s12083","fre","Non"
"s12091","fre","non"
"s12092","fre","non"
"s12194","fre","Non"
"s12201","fre","non jamais"
"s12203","fre","Non"
"s12208","fre","oui, l'étude ressemblait un peu à celle que je viens de faire : il fallait mémoriser un nombre donné de chiffres et les réécrire. C'était aussi une tâche de mémoire."
"s12222","fre","oui, j'ai déjà participé a une étude qui ressemble a la première partie ou il faut dire les mots a voix haute "
