"id","survey_lang","previous"
"s568","ger","test"
"s913","ger","nein "
"s914","ger","Nein"
"s918","ger","nein"
"s920","ger","nein "
"s923","ger","nein"
"s927","ger","nein "
"s928","ger","nein, noch an keiner ähnlichen studie teilgenommen
"
"s933","ger","nein"
"s957","ger","Nein"
"s963","ger","Nein"
"s967","ger","Nein"
"s968","ger","nein!"
"s970","ger","nein"
"s971","ger","nein"
"s973","ger","nein noch nicht"
"s976","ger","glaube nicht"
"s978","ger","Nein"
"s989","ger","nein"
"s990","ger","Nein"
"s996","ger","Nein, die Studien, an denen ich teilgenommen habe, anders."
"s997","ger","nein"
"s998","ger","nein"
"s1012","ger","nein "
"s1013","ger","Ja mit Hörverständnis"
"s1030","ger","nein"
"s1038","ger","ja, kann mich jedoch nur noch wenig daran erinnern"
"s1042","ger","Ja, lediglich fragen mit multiple Choice antworten"
"s1046","ger","Nein"
"s1071","ger","nein"
"s1079","ger","nein"
"s1085","ger","Nein"
"s1086","ger","nein"
"s1087","ger","nein"
"s1105","ger","nein"
"s1119","ger","Nein"
"s1154","ger","nein"
"s1155","ger","Bundesheer/Stellung, kein Kommentar nötig dazu. "
"s1158","ger","nein"
"s1174","ger","Nein"
"s1180","ger","TEST"
"s1181","ger","TEST"
"s1247","ger","Nein"
"s1249","ger","Nein"
"s1253","ger","Nein"
"s1256","ger","Nein"
"s1258","ger","nein"
"s1261","ger","nein"
"s1275","ger","nein"
"s1299","ger","nein"
"s1300","ger","Nein"
"s1303","ger","nein"
"s1306","ger","nein"
"s1311","ger","nein"
"s1313","ger","Ja andauernd, da ich mich selbst momentan auf der Universität beschäftige. "
"s1321","ger","nein"
"s1336","ger","Nein"
"s1354","ger","nein"
"s1363","ger","Nein"
"s1373","ger","nein"
"s1375","ger","Nein"
"s1442","ger","nein"
"s1534","ger","nein"
"s1714","ger","Nein"
"s1731","ger","Nein"
"s1735","ger","Ich habe an Studien teilgenommen, bei denen ich mich in Szenarien hineinversetzten musste oder Texte lesen und anschließend Fragen dazu beantworten musste."
"s1739","ger","Nein."
"s1775","ger","Ich habe bisher an keiner ähnlichen Studie teilgenommen. "
"s1784","ger","Nein"
"s1871","ger","nein"
"s1905","ger","nein"
"s1906","ger","Nein"
"s1907","ger","nein"
"s2033","ger","Nein"
"s2036","ger","Nein"
"s3502","ger","nein"
"s3503","ger","Nein"
"s3504","ger","Nein"
"s3505","ger","Nein."
"s3506","ger","Nein"
"s3507","ger","nein"
"s3515","ger","Nein, habe ich nicht."
"s3521","ger","nein"
"s3523","ger","Nein, habe ich nicht"
"s3524","ger","Nein, an so einer Studie habe ich noch nihct teilgenommen."
"s3527","ger","Nein, ich habe noch nie zuvor an irgendeiner Studie teilgenommen."
"s3531","ger","Nicht wirklich, nein"
"s3532","ger","nein"
"s3556","ger","Nein"
"s3573","ger","nein"
"s3579","ger","nein"
"s3589","ger","Nein"
"s3590","ger","nein"
"s3591","ger","nein "
"s3592","ger","Ja, ich habe bereits an einer ähnlichen Studie teilgenommen. Dort musste man entscheiden, ob gezeigte personen lügen oder die Wahrheit sagen."
"s3594","ger","Ich haeb des öfteren an psychologischen Studien teilgenommen, bei denen es u.a. auch um Textverständnis ging."
"s3595","ger","Ja, es ging um Wörter und deren Zusammensetzung"
"s3600","ger","nein"
"s3601","ger","Nein."
"s3602","ger","Nein"
"s3603","ger","Ich habe an Psycholgiestudien teilgenommen, aber nicht an einer, die mit Sprache zu tun hat."
"s3608","ger","nein"
"s3615","ger","Nein."
"s3617","ger","nein"
"s3625","ger","Nein"
"s3632","ger","nein"
"s3633","ger","Ja einige Umfragen für Bachelorarbeiten auf den verschiedensten Themengebieten"
"s3634","ger","Ja vor einem Jahr mit ähnlichen oder sogar identischen Texten."
"s3635","ger","Ja. text lesen, Fragen beantworten - fast identisch"
"s3637","ger","Ja, ich war im Empra bei Sophia"
"s3640","ger","nein"
"s3643","ger","nein"
"s3647","ger","nein"
"s3715","ger","nein"
"s3719","ger","Nein"
"s3720","ger","nein"
"s3721","ger","Wenn ja kann ich mich nicht erinnern."
"s3728","ger","nein"
"s3729","ger","nein"
"s3730","ger","Nein"
"s3732","ger","nein."
"s3738","ger","nein "
"s3739","ger","Nein"
"s3743","ger","Nein"
"s3744","ger","Nein"
"s3745","ger","Nein"
"s3755","ger","Nein"
"s3756","ger","Nein noch nicht"
"s3759","ger","Ich glaube, dass ich schon einmal an der gleichen Studie teilgenommen habe."
"s3762","ger","nein"
"s3764","ger","Nein"
"s3765","ger","nein"
"s3766","ger","Nein, an keiner ähnlichen Studie."
"s3767","ger","Nein habe ich nicht"
"s3769","ger","Ja, habe ich, ich weiß allerdings nicht mehr, ob es sich um die gleichen Texte gehandelt hat - zumindest musste ich auch Entscheidungen zwischen """"""""wissen"""""""" und """"""""glauben zu wissen"""""""" treffen."
"s3770","ger","Nein"
"s3771","ger","Nein"
"s3772","ger","Ich glaube nicht."
"s3773","ger","Nein, habe ich nicht."
"s3775","ger","Nein"
"s3776","ger","Nein"
"s3777","ger","nein"
"s3779","ger","Ja"
"s3783","ger","Ich habe im Laufe des Studiums (5 Semester) schon an einem Dutzend psychologischer Studien teilgenommen, die inhaltlich teilwiese ähnlich Waren.
Die Form war immer dieselbe.
"
"s3784","ger","nein "
"s3785","ger","Nein habe ich nicht "
"s3786","ger","nein"
"s3787","ger","nein"
"s3792","ger","Nein"
"s3793","ger","nein"
"s3794","ger","nein"
"s3795","ger","nein"
"s3798","ger","Nein"
"s3799","ger","Nein, dass war das erste Mal."
"s3802","ger","Nein "
"s3808","ger","nein"
"s3809","ger","Nein, noch nicht zu dem Thema Sprache"
"s3811","ger","Nein"
"s3813","ger","nö"
"s3816","ger","Nein"
"s3819","ger","nein"
"s3820","ger","Nein"
"s3821","ger","nein"
"s3822","ger","Ich erinnere mich nicht"
"s3823","ger","nur studien wo man was lesen musst und anschließend dinge ankreuzen sollte aber keine grammatikalischen fragen"
"s3827","ger","nein"
"s3881","ger","Nein"
"s3884","ger","Nein"
"s3885","ger","Nein"
"s3888","ger","Ja, exakt die gleiche"
"s3890","ger","nein"
"s3894","ger","Ich habe bereits an einer Studie zum Thema Autismus an einem Institut/der Uni Marburg teilgenommen, erinnere mich aber nicht mehr daran da dies sehr lange her ist."
"s3896","ger","Nein"
"s3897","ger","Ich habe bisher an noch keiner ähnlichen Studie teilgenommen."
"s3898","ger","Ja, die vorherigeStudie war eigentlich genauso aufgebaut, nur länger und mit mehr Szenarien und ich glaube auch mit mehr Fragen zu mir selber am Ende/ Anfang.. (ist schon länger her) "
"s3899","ger","nein"
"s3901","ger","Nein"
"s3905","ger","nein"
"s3906","ger","nein"
"s3917","ger","An einer psychologischen Studie, Thema kann ich mich leider nich erinnern"
"s3921","ger","Nein"
"s3922","ger","Es ging um Sprachen, wo man Aliens Namen vergeben sollte."
"s3928","ger","Nein"
"s3932","ger","Nein"
"s3935","ger","Ich habe an einer Studie teilgenommen, bei der ich Texte inhaltlich wiedergeben musste. Dabei ging es auch um das Leseverständnis"
"s3936","ger","Ja, die Studie war allerdings ein wenig langwieriger, was es schwieriger gemacht hat, bis zum Ende durchzuhalten/ sich zu konzentrieren."
"s3937","ger","...:)"
"s3939","ger","nein"
"s3945","ger","Nein"
"s3946","ger","Nein."
"s3947","ger","nein"
"s3948","ger","Nein."
"s3954","ger","Nein"
"s3956","ger","Nein"
"s3960","ger","nein"
"s3963","ger","nein bisher noch nicht"
"s3967","ger","Nein"
"s3969","ger","Die Sprachstudie nebenan, in der man Wortlaute untersucht hat, aber nicht weiter auf einen Kontext eingegangen ist. Beim ersten Mal wurden einem ausgedachte Wörter zur Bewertung von 1-10 ausgehändigt, beim zweiten Mal musste man sich Wörter ausdenken, die finnisch klingen, nachdem man einen finnischen Text gehört hat (man hat Bilder bekommen, zu denen man sich die Wörter ausdenken sollte)"
"s3970","ger","Nein, keiner der Studien an denen ich bisher teilgenommen habe ähnelt dieser."
"s3972","ger","Nein."
"s3973","ger","Ja ich habe an einigen Studien teilgenommen. Zum Biespiel musste ich mir mal Texte über 2 Wochen merken und da wurden mir dann Fragen zu gestellt und am Ende habe ich pro richtige Frage 50 ct bekommen. "
"s4216","ger","nein"
"s4217","ger","Nein"
"s4218","ger","nein"
"s4222","ger","Ja, dabeiging es um das Verstehen, Merken und nach kurzer Zeit um die Wiedergabe von Wörtern "
"s4223","ger","Nein"
"s4226","ger","Nein."
"s4229","ger","Nein"
"s4256","ger","Nein"
"s4257","ger","nein "
"s4266","ger","Psychologische Studie zur Entschlossenheit und Durchhaltevermögen."
"s4267","ger","Nein "
"s4268","ger","Nein"
"s4279","ger","Es ging um fiktive Worte, ich sollte bestimmen was sie für mich bedeuten."
