"id","survey_lang","previous"
"s12730","gre","TEST"
"s12781","gre","TEST"
"s12936","gre","TEST"
"s13399","gre","ναι.
"
"s13676","gre","ασδ"
"s13859","gre","Οχι"
"s13869","gre","Όχι"
"s13872","gre","Όχι"
"s13874","gre","Οχι"
"s13878","gre","Οχι"
"s13887","gre","Όχι"
"s13895","gre","όχι πρόσφατα "
"s13898","gre","όχι"
"s13908","gre","δεν νομίζω"
"s13936","gre","οχι          δεν βλέπω που δεν απάντησα
"
"s13940","gre","Οχι, σε καμία"
"s14015","gre","ΟΧΙ"
"s14043","gre","οχι"
"s14047","gre","ΟΧΙ"
"s14205","gre","οχι "
"s14220","gre","Όχι"
"s14232","gre","οχι,ποτέ"
"s14239","gre","οχι
"
"s14245","gre","οχι"
"s14246","gre","Ναι αλλά ήταν σαν καταμέτρηση των φόβων μας"
"s14258","gre","Όχι"
"s14274","gre","οχι."
"s14275","gre","oxi"
"s14339","gre","οχι"
"s14363","gre","όχι"
"s14377","gre","Όχι δεν έχω συμμετάσχει."
"s14387","gre","ΟΧΙ"
"s14395","gre","όχι"
"s14397","gre","οχι"
"s14431","gre","Όχι"
"s14463","gre","Όχι"
"s14468","gre","οχι"
"s14488","gre","ΟΧΙ"
"s14494","gre","Όχι."
"s14509","gre","Όχι"
"s14511","gre","Όχι"
"s14514","gre","οχι σε παρομοια"
"s14539","gre","ΣΤΑ  ΦΟΙΤΗΤΙΚΑ ΧΡΟΝΙΑ ΚΑΤΙ ΑΝΤΙΣΤΟΙΧΟ ΙΣΩΣ "
"s14549","gre","Οχι"
"s14572","gre","Οχι"
"s14573","gre","οχι"
"s14583","gre","οχι"
"s14589","gre","όχι"
"s14606","gre","όχι"
"s14607","gre","Όχι."
"s14611","gre","Όχι"
"s14661","gre","Οχι"
"s14720","gre","Οχι, δεν συμμετειχα"
"s14724","gre","οχι, "
"s15379","gre","Δεν έχω συμμετάσχει σε πολλές έρευνες"
"s15466","gre","οχι"
"s15548","gre","..."
"s16558","gre","οχι"
"s19725","gre","Όχι."
"s21313","gre","οχι"
