"id","survey_lang","previous"
"s3704","hun","Logopédiát tanulok, így az egyetemen már beszélgettünk párszor a nyelv és a gondolkodás összefüggéseiről."
"s3710","hun","Még nem."
"s3869","hun","Még nem."
"s3870","hun","Emlékezetem szerint nem. "
"s3873","hun","Nem, hasonló kísérletben még nem vettem részt."
"s3874","hun","Nem"
"s3875","hun","Ilyesmiben még nem vettem részt."
"s3876","hun","Nem."
"s19719","hun","TEST"
"s19721","hun","TEST"
"s19722","hun","TEST"
"s20128","hun","Nem"
"s20129","hun","nem"
"s20135","hun","Korábban még nem vettem részt hasonló kísérletben."
"s20136","hun","Korrábban olyan kísérletben még nem vettem részt ahol történetek alapján kellett kérdésekre válaszolni, és ilyen csúszkát kell használni."
"s20137","hun","nem"
"s20138","hun","nem"
"s20139","hun","Még nem."
"s20140","hun","Nem"
"s20141","hun","Még nem."
"s20144","hun","Nem vettem részt hasonló kísérletben"
"s20146","hun","Nem vettem még rész hasonló kísérletben."
"s20148","hun","nem"
"s20149","hun","Nem."
"s20153","hun","nem"
"s20154","hun","Nem."
"s20156","hun","nem"
"s20157","hun","Igen, korábbi félévben a Pszichológiai kísérletek és tudományos aktivitásban való részvétel kurzuson."
"s20158","hun","Nem"
"s20159","hun","Nem"
"s20160","hun","Nem"
"s20163","hun","Még nem"
"s20164","hun","Nem"
"s20165","hun","nem"
"s20169","hun","Még nem"
"s20173","hun","nem"
"s20174","hun","Nem vettem még részt semmilyen kísérletben."
"s20177","hun","Nem vettem részt."
"s20179","hun","Sajnos még nem vettem részt hasonló kísérletben. "
"s20181","hun","nem"
"s20187","hun","Nem emlékszem, hogy lett volna ilyen."
"s20189","hun","még nem vettem részt, ez volt az első"
"s20191","hun","Még nem vettem részt hasonló kísérletben "
"s20192","hun","nem"
"s20193","hun","Még nem vettem részt hasonló kísérletben."
"s20195","hun","nem"
"s20197","hun","Nem vettem még részt eddig kísérletben."
"s20198","hun","Nem"
"s20199","hun","Még soha nem vettem részt hasonló kísérletben."
"s20200","hun","Nem."
"s20201","hun","nem"
"s20203","hun","Nem"
"s20207","hun","Nem még."
"s20208","hun","konkrétan ilyen témájúban nem, de pszichológiai kísérletben való részvétel kurzus keretein belül több pszichológiai kutatásban vettem ilyen módon részt"
"s20209","hun","Még nem vettem részt hasonló kísérletben."
"s20210","hun","Még nem vettem részt hasonló kísérletben."
"s20211","hun","Nem vettem részt még kísérletben."
"s20212","hun","Nem vettem részt"
"s20216","hun","hát ez a második kitöltésem, mert az elsőnél nem engedte jóváírni a pontot"
"s20217","hun","Ezelőtt nem."
"s20218","hun","Nem"
"s20220","hun","Vettem már részt hasonló kísérletben. Metaforák jelentését, hatását vizsgálták a kutatók."
"s20221","hun","nem"
"s20222","hun","Nem."
"s20223","hun","Még nem."
"s20226","hun","Nem"
"s20230","hun","Még nem vettem részt hasonló kísérletben."
"s20232","hun","Nem vettem részt hasonló kísérletben ez előtt."
"s20233","hun","Nem, még nem vettem részt hasonló kísérletben."
"s20235","hun","..."
"s20236","hun","Nem "
"s20239","hun","Még nem"
"s20240","hun","Nem."
"s20241","hun","Nem"
"s20244","hun","Nem"
"s20246","hun","nem"
"s20247","hun","nem."
"s20248","hun","Igen, online kérdőív kitöltésében már igen."
"s20249","hun","Még nem vettem részt, de ha ilyen érdekesek lesznek akkor biztosan lesz még rá alkalom."
"s20252","hun","Nem"
"s20253","hun","Nem"
"s20254","hun","Még nem."
"s20255","hun","Ehhez hasonlóban úgy elmékszem, hogy még nem, nem volt ismerős. (Nagyon régen, évekkel ezelőtt vettem utoljára részt kísérletekben.)"
"s20257","hun","nem "
"s20258","hun","Nem."
"s20259","hun","Még nem."
"s20260","hun","nem "
"s20261","hun","Nem vettem még részt hasonlóban."
"s20262","hun","Nem."
"s20263","hun","Egyelőre még nem "
"s20267","hun","Nem"
"s20271","hun","nem"
"s20272","hun","Nem"
"s20274","hun","Ez volt az első alkalmam."
"s20275","hun","Nem"
"s20276","hun","Igen, volt hasonló kísérlet, ott össze kellett hasonlítani a történetben szereplő munkavállalók döntéseit és motivációit, hogy azok szerintem mennyire voltak helyesek."
"s20279","hun","Nem, még nem vettem részt hasonló kísérletben."
"s20281","hun","Még nem."
"s20282","hun","nem"
"s20284","hun","Még nem."
"s20285","hun","Nem vettem még részt hasonló kísérletben."
"s20289","hun","Ehhez hasonlóban még nem vettem részt"
"s20292","hun","Ehhez kifejezetten hasonlóban még nem"
"s20294","hun","nem"
"s20296","hun","Igen."
"s20298","hun","Még nem."
"s20301","hun","Igen, ennek a kísérletes tárgynak a másik részében, előző félévben"
"s20302","hun","nem"
"s20303","hun","nem"
"s20304","hun","Még nem."
"s20306","hun","Nem"
"s20309","hun","Nem."
"s20310","hun","Korábban nem. Ez az első ilyen kísérlet amiben részt veszek."
"s20312","hun","nem"
"s20313","hun","Még nem vettem részt ilyen kísérletben."
"s20315","hun","nem"
"s20316","hun","Nem."
"s20317","hun","Nem vettem részt."
"s20319","hun","nem"
"s20321","hun","Nem"
"s20323","hun","Nem"
"s20324","hun","Nem"
"s20325","hun","Nem"
"s20326","hun","Nem."
"s20327","hun","nem"
"s20330","hun","Nem."
"s20331","hun","Nem."
"s20333","hun","még nem "
"s20334","hun","Nem"
"s20336","hun","Nem"
"s20337","hun","Nem, még sosem vettem részt hasonló kísérletben. "
"s20338","hun","Ilyenben, mint ez még nem."
"s20340","hun","Még nem vettem részt ehhez hasonló kísérletben."
"s20342","hun","Még nem. "
"s20343","hun","Nem."
"s20345","hun","Még nem"
"s20346","hun","nem"
"s20351","hun","Nem vettem részt korábban hasonló kísérletben"
"s20353","hun","Nem. "
"s20354","hun","Nem, még soha nem vettem részt kísérletben."
"s20355","hun","nem"
"s20356","hun","Még nem "
"s20358","hun","Nem."
"s20360","hun","Szituációk voltak, ahol az emberek érzelmeit kellett megtippelni, hogy én mit gondolnék az ő helyükben, illetve éreznék"
"s20362","hun","Nem."
"s20363","hun","nem"
"s20364","hun","Nem, még soha nem vettem részt hasonló kísérletben. "
"s20365","hun","df"
"s20366","hun","nem"
"s20367","hun","Nem."
"s20369","hun","nem"
"s20370","hun","Nem."
"s20372","hun"," Nem hiszem"
"s20375","hun","Nem vettem még részt hasonló kísérletben."
"s20377","hun","Nem."
"s20379","hun","Vettem már részt kísérletekben,de ilyenre nem emlékszem. "
"s20381","hun","Nem "
"s20382","hun","Nem."
"s20383","hun","Nem"
"s20384","hun","Nem."
"s20386","hun","Még soha"
"s20387","hun","Nem. "
"s20389","hun","Nem"
"s20390","hun","nem"
"s20393","hun","nem"
"s20398","hun","Még nem."
"s20399","hun","Nem vettem részt hasonló kísérletben."
"s20402","hun","nem."
"s20403","hun","Nem"
"s20406","hun","Még nem vettem részt ilyesmiben. "
"s20407","hun","Nem "
"s20409","hun","Még nem "
"s20410","hun","Még sosem vettem részt semmilyen kísérletben."
"s20411","hun","Nem"
"s20412","hun","Nem vettem még részt."
"s20413","hun","Még nem vettem részt ehhez hasonló kísérletben."
"s20414","hun","Eddig még nem vettem részt hasonló kísérletben."
"s20416","hun","Még nem vettem részt  kísérletben."
"s20420","hun","Nem"
"s20422","hun","Nem."
"s20423","hun","nem "
"s20424","hun","Nem vettem részt még ezelőtt semmilyen kísérletben."
"s20425","hun","Még nem."
"s20426","hun","Nem, még sohasem."
"s20428","hun","Még nem."
"s20429","hun","Szerintem nem."
"s20430","hun","Még nem vettem részt soha ilyen kísérletben. "
"s20431","hun","Még nem vettem részt hasonló kísérletben."
"s20432","hun","Történet elemzős kísérletekben igen, de azok nem ilyen céllal készültek szerintem, a kérdések se hasonlítottak."
"s20433","hun","Még nem."
"s20436","hun","Nem"
"s20437","hun","Nem"
"s20438","hun","nem"
"s20439","hun","még nem vettem részt ilyen kísérletben."
"s20440","hun","Nem."
"s20442","hun","Nem, ez volt az első ilyen jellegű kísérletben való részvételem."
"s20443","hun","Még nem."
"s20444","hun","Még nem."
"s20445","hun","Nem, ez az első"
"s20446","hun","még nem vettem részt kísérletben."
"s20447","hun","Eddig nem"
"s20448","hun","nem"
"s20449","hun","Még nem."
"s20451","hun","Igen, a tavalyi döntéslabor kurzus részeként"
"s20452","hun","még nem"
"s20454","hun","Nem"
"s20457","hun","Nem. "
"s20459","hun","Nem."
"s20463","hun","Igen, biztos vagyok benne, hogy részt vettem már. De nem tudnám visszaidézni. "
"s20464","hun","még nem"
"s20465","hun","ilyenben még nem"
