"id","survey_lang","previous"
"s1219","nor","test"
"s1338","nor","test"
"s2092","nor","Nei. "
"s2122","nor","Ikke deltatt i lignende tidligere, men har heller ikke vært i et studiemiljø tidligere. "
"s2142","nor","Ikke noe lignende studie "
"s2145","nor","Nei, det har jeg ikke"
"s2147","nor","Ja, husker ikke nøyaktig detaljer, men den var så å si identisk til denne, man skulle lese en lang historie, og hovedpoenget var at personene i historien hadde fått presentert falsk informasjon, og så skulle man definere hva som var """"""""egentlig rett"""""""" eller noe lignende "
"s2150","nor","Nei."
"s2151","nor","nei"
"s2152","nor","Nei."
"s2154","nor","En studie om hvordan språk påvirker vår forståelse av nyheter. Relatert til """"""""Fake news""""""""."
"s2155","nor","Har deltatt i ulike undersøkelse; spørreskjemaer og intervjuer i forbindelse med den videregående skolen jeg gikk på (Foss videregående i Oslo) "
"s2156","nor","Ikke i det siste, jeg har deltatt i spørreskjemaer og evaluering av arbeid, men ikke forskning på denne måten. "
"s2157","nor","Nei"
"s2158","nor","Nei"
"s2161","nor","Ikke helt liknende, men deltatt i en studie som omhandlet """"""""mot"""""""". Noe som skulle måle motet til en personen i forskejllige situasjoner. "
"s2246","nor","Nei. "
"s2249","nor","Nei"
"s2253","nor","nei"
"s2255","nor","Nei
"
"s2267","nor","nei"
"s2268","nor","Ja, engelsk setningsoppbygging. Man skulle svare på hvor ord i setninger skulle komme o.l. "
"s2269","nor","Nei"
"s2296","nor","Nei"
"s2301","nor","Nei."
"s2310","nor","Deltatt i forskning, men ikke slik som denne"
"s2311","nor","Ikke på denne måten, men jeg har bidratt i andre studier. "
"s2312","nor","Nei, deltatt i en forskningstudie, men ikke som denne."
"s2316","nor","Jeg har deltatt på andre spørreundersøkelser, men ikke en som hadde slike scenarioer. "
"s2323","nor","Nei"
"s2325","nor","nei"
"s2330","nor","Nei"
"s2334","nor","Nei"
"s2368","nor","Nei."
"s2369","nor","Nei ingen studier om språk så langt gitt"
"s2370","nor","Tror ikke det. Men scenariet (""""""""tankeeksperimentet"""""""") med landeveien hørtes kjent ut fra tidligere."
"s2377","nor","Ja, kanskje"
"s2393","nor","Nei"
"s2395","nor","nei "
"s2396","nor","Nei"
"s2398","nor","nei"
"s2404","nor","Nei. "
"s2412","nor","Nei. "
"s2415","nor","Nei. "
"s2448","nor","Nei. "
"s2477","nor","nei"
"s2547","nor","Nei. "
"s2991","nor","Nei."
"s6154","nor","TEST"
"s7006","nor","Ikke deltatt i lignende studier tidligere."
"s7014","nor","Vet jo ikke hva studien handler om, så vanskelig å si. "
"s7083","nor","Nei"
"s7138","nor","Nei"
"s7141","nor","Aldri deltatt i en studie som ligner denne. Det var noe helt nytt."
"s7168","nor","nei"
"s7195","nor","Nei"
"s7219","nor","nei"
"s7308","nor","fdkfjgfjg"
"s7331","nor","nei."
"s7332","nor","nei"
"s7333","nor","Nei"
"s7334","nor","Nei"
"s7338","nor","nei"
"s7357","nor","Et annet psykologistudie som så på sammenhengen mellom nysgjerrighet og sinnslidelser. "
"s7370","nor","Har ikke svart på lignende spørsmål tidligere"
"s7375","nor","nei"
"s7417","nor","Nei"
"s7418","nor","Nei."
"s7447","nor","Nei, ikke som jeg kan gjenkalle."
"s7458","nor","Nei. "
"s7633","nor","Nei."
"s7647","nor","nei"
"s7650","nor","skjelden"
"s7653","nor","Nei, bare deltatt i andre forskjellige spørreundersøkelser om andre temaer."
"s7678","nor","nei"
"s7684","nor","Ja"
"s7712","nor","nix"
"s7714","nor","Nei."
"s7747","nor","nope"
"s7749","nor","Nei"
"s7759","nor","Nei"
"s7883","nor","nei"
