"id","survey_lang","previous"
"s1117","pol","nie wie"
"s1146","pol","nie"
"s1340","pol","jo"
"s1344","pol","nkjn"
"s1357","pol","nk"
"s1424","pol","sdfg"
"s3345","pol","Nie"
"s3354","pol","Nie"
"s3382","pol","nie wiem"
"s3391","pol","Wydaje mi się, że tak - niestety nie jestem w stanie go przytoczyć."
"s3429","pol","Nie."
"s3430","pol","Nie."
"s3431","pol","Chyba nie"
"s3432","pol","nie"
"s3433","pol","Nigdy"
"s3434","pol","Nie"
"s3435","pol","nie"
"s3438","pol","Nigdy"
"s3439","pol","nie "
"s3666","pol","Nie."
"s3667","pol","Ocena sytuacji kryminalnych"
"s3668","pol","Nie uczestniczyłam "
"s3672","pol","nie."
"s3673","pol","nie pamiętam, chyba nie, "
"s3709","pol","Tak, odpowiadalem na pytania na bazie tekstu do ktorego nie moglem wrocic."
"s3722","pol","nie"
"s3841","pol","nie"
"s3842","pol","Nie"
"s3843","pol","Nie"
"s3844","pol","Nie uczestniczyłem"
"s3892","pol","Nie"
"s3893","pol","Często biorę udział w badaniach prowadzonych w Waszym Instytucie, trudno mi spamiętać wszystkie, ale na pewno było coś w pewnym stopniu podobnego"
"s3911","pol","Nie."
"s3914","pol","Nie"
"s3944","pol","Nie uczestniczyłam w podobnym badaniu"
"s3952","pol","nie"
"s3977","pol","Nie"
"s3984","pol","nie"
"s4017","pol","Nie"
"s4020","pol","Nie przypominam sobie, uczestniczyłam w badaniach z obrazkami, ale w innym laboratorium i dotyczyły one języka obcego."
"s4021","pol","nie"
"s4022","pol","Nie"
"s4729","pol","nie"
"s4754","pol","Nie"
"s4778","pol","Nie"
"s4779","pol","Nie "
"s4781","pol","nie"
"s4782","pol","nie, to był pierwszy raz"
"s4825","pol","Nie uczestniczyłam"
"s4826","pol","Nie przypominam sobie."
"s4828","pol","Nie."
"s4829","pol","nie"
"s4830","pol","uczestniczyłem, ale nie pamiętam już o co w nim konkretnie chodziło. Trzeba było oglądać jakieś filmy i zapamiętywać co na nich było."
"s4831","pol","Nie uczestniczyłem"
"s4832","pol","Nigdy wcześniej nie uczestniczyłem w podobnym badaniu"
"s4833","pol","nie"
"s4846","pol","Nie"
"s6613","pol","nie"
"s6680","pol","nie"
"s6693","pol","Nie"
"s6694","pol","owszem, było bardzo podobne jeżeli nie takie same."
"s6701","pol","nie"
"s6729","pol","nie"
"s6754","pol","tak"
"s6760","pol","Nie"
"s6764","pol","Nie."
"s6765","pol","nie "
"s6766","pol","Nie."
"s6777","pol","Nie"
"s6793","pol","Nie"
