"id","survey_lang","previous"
"q_87d100_R_3koIxg6RmYVB7c1","prt","Não."
"q_87d100_R_1EhWufjF0xhtSCv","prt","Não"
"q_87d100_R_3KTP4XczikAHRGy","prt","Não"
"q_87d100_R_2YhspgorECCCF46","prt","não"
"q_87d100_R_2cwj2IC6auynCPS","prt","Não."
"q_87d100_R_BDlPaIMLQxapWq5","prt","Não"
"q_87d100_R_2wGEziC67rFqtg5","prt","Nao"
"q_87d100_R_1Fkz4wEUo36P9cu","prt","Nunca tinha participado num estudo deste género."
"q_87d100_R_2UgcMzMU8BKGA0P","prt","Não"
"q_87d100_R_1IH69kI9FiaZVi9","prt","Não"
"q_87d100_R_29v44PykkgbOWwk","prt","Não."
"q_87d100_R_3NO1A7xXAbVvGEe","prt","Não"
"q_87d100_R_1hQmLMgOTHjhJWR","prt","Não"
"q_87d100_R_UxnSSxIqnMVteQV","prt","Não"
"q_87d100_R_22rYd9mAXxUxoKD","prt","Não"
"q_87d100_R_3Oq96voEFcsGYSs","prt","Não"
"q_87d100_R_3mmH474L1C8XoG3","prt","Em alguns estudos, do sentido das palavras."
"q_87d100_R_Ti1HjKiDHC6oKrf","prt","Não."
"q_87d100_R_22V8AsXcCphF5Ux","prt","Não"
"q_87d100_R_1QEqgB4WK82OGS8","prt","Não"
"q_87d100_R_3oC2JV5pnbMgLJA","prt","não"
"q_87d100_R_2COZaNOKPNm83kE","prt","não"
"q_87d100_R_3knRHphKwVjDcp0","prt","Ainda não participei em nenhum parecido"
"q_87d100_R_2Vs6vobz9Dsnw3C","prt","Não"
"q_87d100_R_1GKsDKfN79ui2dl","prt","Não"
"q_87d100_R_1OHnqya1ZZysb4T","prt","Não"
"q_87d100_R_22K3x6g4DNwZnPZ","prt","Nãp"
"q_87d100_R_1FnXRuYQnY4g6Ok","prt","Não."
"q_87d100_R_2TnpNtGgSbL1d17","prt","Não."
"q_87d100_R_30eOw3t4klgxVu1","prt","Não."
"q_87d100_R_1NEdynnPr6kZQxS","prt","não lembro"
"q_87d100_R_1rAo1buUKddVZFX","prt","Não."
"q_87d100_R_27U4cpPyOKJSZS5","prt","Não"
"q_87d100_R_sNfTopzAr9tyTOp","prt","Nao"
"q_87d100_R_2dXXP9dSZACoPY7","prt","Já participei em variados estudos deste género, a maioria deles implicam a memorização de palavras ou conceitos chave e posterior resposta a perguntas"
"q_87d100_R_XugJR2KoMf3ndnj","prt","Não"
"q_87d100_R_2DS37SrF4RN4kLN","prt","Já participei de um estudo que também consistia de ler um texto para, posteriormente responder a algumas questões, porém não tinha nenhuma semelhança em termos de conteúdo ou de estilo de perguntas."
"q_87d100_R_aWeu6Psy6aNe8ed","prt","Não"
"q_87d100_R_3dTefIesQWx06wr","prt","Não, nunca tinha participado num estudo semelhante"
