"id","survey_lang","previous"
"s15551","rum","Nu"
"s15553","rum","Nu am mai participat la un astfel de studiu."
"s15554","rum","Nu"
"s15556","rum","Nu."
"s15558","rum","nu"
"s15560","rum","Nu"
"s15562","rum","nu"
"s15563","rum","nu"
"s15564","rum","nu"
"s15569","rum","Nu "
"s15571","rum","Nu."
"s15576","rum","Nu"
"s15579","rum","De acest gen nu"
"s15585","rum","Nu"
"s15586","rum","Nu"
"s15588","rum","Nu"
"s15589","rum","Nu"
"s15591","rum","Nu am participat la un studiu similar."
"s15593","rum","La studii da, dar nu similare."
"s15595","rum","nu"
"s15596","rum","nu"
"s15597","rum","Am mai participat la studii de cercetare, insa nu cu acest format."
"s15598","rum","nu"
"s15601","rum","Nu"
"s15604","rum","Nu"
"s15606","rum","Nu"
"s15608","rum","Nu-mi amintesc"
"s15609","rum","Nu"
"s15611","rum","Nu."
"s15613","rum","nu "
"s15615","rum","nu"
"s15617","rum","da, am mai participat la astfel de studii. Unul asemănător făcea referință la gradul de moralitate al oamenilor."
"s15618","rum","Nu am participat la un studiu similar."
"s15619","rum","Nu am participat la un studiu similar."
"s15620","rum","nu"
"s15623","rum","Nu, nu am participat."
"s15624","rum","Da"
"s15625","rum","nu"
"s15627","rum","La un studiu de acest nivel, cu text citit si verificarea intelegerii/logicii enuntului nu, e prima data. La alte studii in domeniul psihologiei, da!"
"s15632","rum","Nu"
"s15633","rum","La studiul pentru coronavirus"
"s15641","rum","La un studiu care sa se asemene in mare cu acesta, nu, nu am participat."
"s15643","rum","oana in prezent, nu"
"s15651","rum","nu"
"s15653","rum","nu"
"s15654","rum","nu"
"s15656","rum","nu "
"s15658","rum","AM PARTICIPAT LA STUDII, DAR NU CA ACESTA."
"s15659","rum","nu"
"s15661","rum","Nu cred că am participat la un studiu de acest gen, cu povesti, ci doar la studii clasice "
"s15662","rum","Nu, nu am participat."
"s15664","rum","Nu am mai participat la un astfel de studiu."
"s15666","rum","nu am participat la studii similare"
"s15667","rum","Nu, este prima oara."
"s15668","rum","Nu"
"s15671","rum","Nu-mi amintesc momentan sa fi participat la un studiu similar"
"s15673","rum","Nu"
"s15674","rum","Nu"
"s15676","rum","Nu, nu am participat la un studiu similar"
"s15677","rum","Nu."
"s15678","rum","nu"
"s15679","rum","nu"
"s15680","rum","Nu."
"s15683","rum","nu"
"s15687","rum","NU"
"s15693","rum","nu"
"s15697","rum","NU"
"s15702","rum","nu"
"s15705","rum","da"
"s15709","rum","interesant"
"s15717","rum","Nu am participat niciodată la un chestionar similar.
"
"s15824","rum","Nu. "
"s15826","rum","Nu îmi amintesc să fi participat la un studiu asemănător"
"s15828","rum","Nu"
"s15836","rum","Am participat o data la un studiu atat despre cognitie cat si despre emotii in perioada de pandemie si cum influenteaza asta rezultatele mele ca student. Initial, primul val a fost aplicat in primul an, deci cand nu era inca o pandemie, iar al doilea val a fost aplicat luna aceasta cred, deci e un studiu longirudinal. Au fost itemi care au vizat si aspecte ce tin de facultate, apoi de rezultate si ce atitudine am eu referitor la asta, dar si itemi despre partea relationala, prietenii."
"s15837","rum","nu"
"s15838","rum","Nu cred că am participat la ceva similar."
"s15842","rum","da"
"s15843","rum","Am participat acum câțiva ani, însă nu îmi mai amintesc în ce consta"
