"id","survey_lang","previous"
"s19687","rus","TEST"
"s19690","rus","TEST"
"s19691","rus","TEST"
"s19727","rus","TEST"
"s19745","rus","test"
"s19751","rus","TEST"
"s20114","rus","TEST"
"s21231","rus","нет"
"s21241","rus","нет"
"s21256","rus","нет"
"s21260","rus","не участвовал"
"s21263","rus","нет"
"s21269","rus","Участвовала в разных психологических исследованиях во время учебы в институте, иногда участвую в некоторых психологических тестах, находящихся в свободных источниках в интернете."
"s21300","rus","НЕ УЧАСТВОВАЛА"
"s21305","rus","нет"
"s21331","rus","нет"
"s21333","rus","нет"
"s21335","rus","нет"
"s21338","rus","нет"
"s21339","rus","нет"
"s21341","rus","Нет"
"s21345","rus","нет"
"s21354","rus","Да
"
"s21358","rus","нет"
"s21361","rus","Нет."
"s21365","rus","нет"
"s21366","rus","нет"
"s21371","rus","Нет."
"s21382","rus","Нет"
"s21388","rus","Нет"
"s21390","rus","учавствовал в большом количестве исследований"
"s21397","rus","Нет"
"s21757","rus","нет"
"s21943","rus","Никогда не участвовала в подобном"
"s21944","rus","нет, я впервые "
"s21948","rus","нет."
"s21949","rus","Нет"
"s21951","rus","Нет, ни разу"
"s21954","rus","Нет"
"s21962","rus","нет"
"s21967","rus","нет"
"s21968","rus","Нет"
"s21972","rus","Нет"
"s21982","rus","Нет"
"s21983","rus","нет "
"s21984","rus","Нет"
"s21986","rus","Нет"
"s21990","rus","Нет, впервые "
"s21992","rus","Не учавствовала в похожих исследованиях. Но мне очень понравился данный формат!"
"s22001","rus","нет"
"s22002","rus","нет"
"s22003","rus","нет"
"s22004","rus","Никогда"
"s22006","rus","нет, не участвовала"
"s22007","rus","Нет, не участвовал"
"s22008","rus","не участвовала "
"s22009","rus","нет"
"s22010","rus","Сложно вспомнить, но мне кажется нет."
"s22011","rus","Нет."
"s22015","rus","Нет, в похожих исследованиях никогда не участвовал "
"s22016","rus","Не участвовала"
"s22019","rus","нет"
"s22022","rus","нет"
"s22036","rus","Нет"
"s22039","rus","Нет"
"s22041","rus","Нет."
"s22042","rus","Нет"
"s22045","rus","Я первый раз участвую в подобном исследовании."
"s22047","rus","Нет, никогда. "
"s22053","rus","Нет"
"s22062","rus","нет, не участвовал."
"s22063","rus","Нет"
"s22064","rus","Нет"
"s22065","rus","Нет"
"s22067","rus","Нет"
"s22068","rus","Нет."
"s22071","rus","нет не участвовала"
"s22073","rus","Нет."
"s22074","rus","нет"
"s22075","rus","нет "
"s22076","rus","Нет"
"s22079","rus","Нет"
"s22082","rus","нет"
"s22088","rus","нет, не доводилось"
"s22093","rus","Никогда не участвовала"
"s22099","rus","Нет."
"s22100","rus","Нет"
"s22105","rus","нет"
"s22110","rus","Нет."
"s22111","rus","нет"
"s22112","rus","нет "
"s22113","rus","нет, не участвовала"
"s22114","rus","Нет, не участвовала"
"s22115","rus","нет"
"s22117","rus","нет
"
"s22118","rus","Нет. "
"s22120","rus","Нет"
"s22121","rus","нет"
"s22125","rus","Нет"
"s22126","rus","Нет"
"s22131","rus","нет"
"s22133","rus","нет"
"s22135","rus","Нет."
"s22148","rus","Нет"
"s22190","rus","Нет"
"s22192","rus","нет"
"s22197","rus","Нет."
"s22201","rus","Нет."
"s22214","rus","Нет."
"s22219","rus","Нет"
"s22235","rus","Нет , не учавствовала"
"s22246","rus","нет"
"s22252","rus","нет"
"s22282","rus","Нет"
"s22289","rus","нет"
"s22295","rus","нет"
"s22299","rus","Нет"
"s22303","rus","Нет"
"s22309","rus","Нет"
"s22317","rus","Нет"
"s22322","rus","нет"
"s22329","rus","нет"
"s22331","rus","Нет"
"s22344","rus","Не могу припомнить.
Были опросы, в которых также были истории и затем задавали вопросы по ним, но детали вспомнить не могу. И что конкретно за опросы - тоже."
"s22351","rus","нет"
"s22356","rus","Нет"
"s22363","rus","нет"
"s22367","rus","нет"
"s22369","rus","Нет"
"s22375","rus","Вроде нет"
"s22382","rus","нет"
"s22384","rus","Нет"
"s22395","rus","нет"
"s22423","rus","Нет"
"s22436","rus","Нет"
