"id","survey_lang","previous"
"s10626","slo","TEST"
"s10655","slo","Test"
"s10661","slo","TEST"
"s10664","slo","TEST"
"s10674","slo","TEST"
"s10784","slo","TEST"
"s11111","slo","Nie"
"s11120","slo","Nepamätám si"
"s11130","slo","nie"
"s11140","slo","nie"
"s11141","slo","Ešte nie"
"s11146","slo","nie"
"s11148","slo","nie"
"s11156","slo","Nie."
"s11158","slo","Toto je prvý takýto výskum, ktorého sa zúčastňujem."
"s11160","slo","nie"
"s11163","slo","Nie"
"s11170","slo","myslím, že podobného výskumu som sa ešte nezúčastnila"
"s11171","slo","Nie. "
"s11179","slo","Podobneho vyskumu som sa nezucastnila"
"s11181","slo","Nezúčasntnil."
"s11184","slo","nie"
"s11191","slo","nie"
"s11192","slo","áno, výskum bol zameraný na narábanie so spomienkami na informácie z textov a ich analýzu"
"s11197","slo","nie"
"s11200","slo","nezúčastnila"
"s11201","slo","Výskumu s touto problematikou som sa ešte nezúčastnila. "
"s11202","slo","Áno, nepamätám si už konkrétne o čo išlo"
"s11204","slo","Nie "
"s11205","slo","Nie"
"s11210","slo","Nie."
"s11211","slo","nie"
"s11213","slo","áno zúčastnila a bol zameraný na to, čo človek obetuje v prospech iného a či vôbec je ochotný niečo obetovať "
"s11216","slo","Nie, nezucastnil"
"s11219","slo","nie"
"s11222","slo","nie"
"s11223","slo","nie"
"s11236","slo","Ešte nie"
"s11237","slo","nie"
"s11260","slo","ešte nie"
"s11266","slo","asi nie."
"s11268","slo","nie"
"s11291","slo","Nie"
"s11295","slo","Nie"
"s11298","slo","Nie"
"s11308","slo","nie"
"s11312","slo","Nie, nebola príležitosť."
"s11314","slo","Nie nezúčastnila."
"s11319","slo","nie"
"s11321","slo","nezúčastnila"
"s11323","slo","nie"
"s11324","slo","Nie, zúčastnila som sa takéhoto výskumu po prvý krát.
"
"s11334","slo","Nie"
"s11343","slo","nie"
"s11346","slo","Nie."
"s11349","slo","Nie"
"s11352","slo","ešte zatiaľ nie"
"s11354","slo","nie"
"s11355","slo","nie, nezúčastnila som sa podobného výskumu"
"s11356","slo","podobného výskumu som sa zúčastnil"
"s11363","slo","nie"
"s11382","slo","Výskumu takéhoto typu som sa ešte nezúčastnil"
"s11393","slo","nie."
"s11397","slo","nie ešte som sa podobného výskumu nezúčastnila"
"s11400","slo","nie"
"s11417","slo","nie, nezúčastnila "
"s11420","slo","Nie"
"s11424","slo","Nie. "
"s11433","slo","nie"
"s11434","slo","nie"
"s11436","slo","Nie"
"s11439","slo","nie"
"s11467","slo","nie"
"s11470","slo","nie"
"s11484","slo","Nie"
"s11487","slo","nie "
"s11506","slo","nie"
"s11513","slo","Nie"
"s11539","slo","nie"
"s11577","slo","áno , čitateľná gramotnosť (čítanie s porozumením)"
"s11578","slo","nie"
"s11584","slo","Nie"
"s11605","slo","Myslím, že nie"
"s11619","slo","nie"
"s11630","slo","Nie"
"s11663","slo","Nie"
"s11664","slo","nie"
"s11665","slo","nie nezúčastnila, ale bolo to zaujimavé"
"s11666","slo","O morálnych hodnotách"
"s11667","slo","zucastnila som sa vyskumu o moralnych hodnotach "
"s11671","slo","nie"
"s11672","slo","Nie."
"s11830","slo","Nie"
"s11832","slo","nie"
"s11836","slo","Nie"
"s11840","slo","Nie"
"s11979","slo","Nie"
"s11980","slo","nezučastnil som sa takehoto výskumu"
"s11985","slo","Ešte som nemala možnosť sa zúčastniť niečoho podobného."
"s11986","slo","nie"
"s11989","slo","Nie"
"s12059","slo","Nie"
"s12060","slo","nie"
"s12061","slo","Nie"
"s12102","slo","nie"
"s12106","slo","áno, ale nepopíšem. "
"s12120","slo","Zúčastnil som sa bežných prieskumov."
"s12123","slo","Nie."
"s12134","slo","nie"
"s12140","slo","Nie"
"s12145","slo","nie"
"s12147","slo","nie"
"s12153","slo","Ano"
"s12157","slo","Nie"
"s12159","slo","nie"
"s12169","slo","Nie nezúčastnila"
"s12171","slo","ešte som sa s takýmto druhom výskumu nestretla"
"s12239","slo","nie"
"s12250","slo","Nie"
"s12282","slo","Bola som účastníčkou výskumov, ktoré sa týkali diplomových prípadne bakalárskych prác"
"s12504","slo","Myslím, že v škole sme ešte dávno vypĺňali nejaký výskum, v ktorom sme odpovedali na otázky týkajúce sa uvedených textov."
