"id","survey_lang","previous"
"s1308","tur","TEST"
"s3522","tur","hayır"
"s3540","tur","Çeşitli psikolojik ölçek çalışmalarına katıldım fakat içerik olarak buna benzeyen bir çalışmaya katıldığımı düşünmüyorum."
"s3543","tur","katılmadım"
"s3560","tur","evet"
"s3610","tur","hayır"
"s3641","tur","Hayır."
"s3660","tur","hayır"
"s3663","tur","evet, buna benzer deneysel bir ankete katıldım. onun amacı da hafızayı test etmekti."
"s3664","tur","Hayır katılmadım"
"s3665","tur","evet"
"s3674","tur","Hayır."
"s3690","tur","hayır"
"s3693","tur","hayır"
"s3695","tur","Hayır"
"s3696","tur","Evet."
"s3712","tur","Yine aynı ders kapsamında düşünce yapısının incelenmesine yönelik bir çalışma"
"s3780","tur","Hayır."
"s3782","tur","hayır"
"s3839","tur","hayır"
"s3849","tur","Evet detaylarını hatırlamıyorum "
"s3975","tur","hayır."
"s3982","tur","hayir"
"s3986","tur","hayır"
"s3989","tur","Evet okuldaki bir araştırmaya katılmıştım. "
"s3991","tur","hayır."
"s3993","tur","Katılmadım."
"s4000","tur","Hayır"
"s4009","tur","Project Assistant Belemir Çoktok belemir.coktok@st.uskudar.edu.tr , bu kişinin çalışmasına benziyor"
"s4024","tur","Hayır"
"s4030","tur","hayır katılmadım."
"s4032","tur","hayır"
"s4035","tur","Hayır katılmadım"
"s4039","tur","hayır"
"s4041","tur","Hayır."
"s4043","tur","hayır"
"s4103","tur","hayır"
"s4121","tur","Hayır katılmadım."
"s4123","tur","hayır"
"s4144","tur","hayır."
"s4152","tur","hayır "
"s4172","tur","hayır katılmadım."
"s4173","tur","hayır "
"s4179","tur","Evet"
"s4214","tur","Hayır"
"s4409","tur","Evet. Yükseklisans tezi için arkadaşlarımın hazırladığı anketleri dolduruyorum."
"s4490","tur","Katılmadım. "
"s4526","tur","hayır katılmadım."
"s4542","tur","Psikoloji öğrencilerinin yürüttüğü araştırmalar kapsamında anketlere katıldım."
"s4547","tur","Hayır"
"s4548","tur","evet psikoloji öğrencilerin araştırmalarını yaptığı anketlere katıldım. örneğin derse katılımın ders başarısı üzerindeki etkileri anketine katılmıştım. bilişsel süreçleri inceleyen bir ankate katılmıştım."
"s4550","tur","Evet, katıldım."
"s4611","tur","Hayır."
"s4613","tur","Evet. Üniversitemde online yürütülen bir araştırmaya daha katıldım. Araştırmanın amacı hakkında bilgi sahibi değilim. "
"s4658","tur","hayır"
"s4662","tur","Hayır , Katılmadım."
"s4673","tur","hatırlamıyorum."
"s4766","tur","Hayır."
"s4783","tur","Hayır"
"s4786","tur","Hayır. "
"s4818","tur","hayir."
"s4824","tur","hayır"
"s4845","tur","Daha önce benzer bir çalışmaya katılmadım."
"s4859","tur","Hayır."
"s4865","tur","Hayır."
"s4866","tur","Evet. Asil hocanın bir çalışmasıydı. Bilgisayardan sorular,anket ve resimler verilmişti. Ve bunları cevaplamamız istenmişti."
"s4894","tur","Daha önce böyle bir çalışmaya katılmamıştım."
"s5461","tur","Hayır"
"s6004","tur","Hayır."
"s6016","tur","hayır katılmadım"
"s6116","tur","hayır."
"s6365","tur","Hayır"
"s6373","tur","HAYIR"
"s6444","tur","hayır"
"s6457","tur","Bilinçlice HAYIR..."
"s6466","tur","İlk çalışmam. İkinci bir çalışma için bir daha zaman ayırma konusunda emin değilim."
"s6468","tur","Hayır"
"s6516","tur","HAYIR"
"s6519","tur","HAYIR"
"s6522","tur","hayır"
"s6526","tur","Katılmadım."
"s6562","tur","Hayır."
"s6574","tur","Katılmadım"
"s6596","tur","Hayır."
"s6604","tur","hayır"
"s6605","tur","hayır"
"s6614","tur","hayır"
"s6615","tur","hayır"
"s6624","tur","hayır."
"s6655","tur","Evet. Eğitim aldığım kurumlarda yapılan bilimsel çalışmalara katıldım. En son  Üsküdar üniversitesinde Deniz Ülke Hanımın yaptığı “ Büyükşehir seçimlerinin iptali ve seçmen tutumu” konulu bir araştırmaya katıldım."
"s6881","tur","evet ismini hatırlamıyorum"
"s6903","tur","hayır"
"s6911","tur","hayır"
"s6912","tur","hayır"
"s6932","tur","hayır"
"s6941","tur","Hayır"
"s6946","tur","hayır"
"s6947","tur","hayır."
"s6957","tur","hayır"
"s6958","tur","hayır"
"s6982","tur","Hayır"
"s7034","tur","Hayır."
"s7036","tur","hayır."
"s7092","tur","hayır"
"s7093","tur","HYYR"
"s7094","tur","hayır."
"s7099","tur","Okuduğunu anlamaya dair bir araştırma değildi ama görselliğin zihnimizde ayırt edilip edilmediğine dair bir çalışmaya katılmıştım. "
"s7104","tur","hayır"
"s7107","tur","hayır"
"s7110","tur","Hayır."
"s7156","tur","Hayır"
"s7183","tur","Hayır, katılmadım."
"s7222","tur","hayır"
