"id","survey_lang","previous"
"s1205","zho","TEST"
"s2227","zho","TESt"
"s2228","zho","TEST"
"s4080","zho","沒有"
"s4088","zho","沒有。"
"s4098","zho","沒有耶"
"s4140","zho","有，針對一種行為、不同場所的合理性及到道德性進行評斷；隨後閱讀短篇故事，並且針對故事中人物的心情進行模擬。"
"s4142","zho","無
"
"s4159","zho","沒有"
"s4160","zho","沒有"
"s4191","zho","看一段影片，判斷內容的真實性"
"s4194","zho","類似閱讀文章並作答的研究，那個研究中途會插入自製廣告模擬網站的彈出式廣告，並進行問題回答"
"s4203","zho","有，參加過行為實驗，以問卷作答"
"s4206","zho","沒有。"
"s4247","zho","沒有"
"s4263","zho","之前有參與過其他心理學研究"
"s4283","zho","有，有趣"
"s4323","zho","沒有"
"s4325","zho","沒有"
"s4393","zho","該研究給受試者閱讀報導後，詢問有關報導的問題，問題許多相似但不完全相同"
"s4394","zho","no"
"s4395","zho","有
是一個藉由手上負重重量來實驗重量對人的信心的影響"
"s4477","zho","沒有喔！"
"s4513","zho","沒有"
"s4564","zho","沒有，所以覺得挺酷的XD"
"s4679","zho","TEST delete data "
"s4798","zho","無。"
"s4808","zho","無。參與過一些心理學研究，但看完一段故事後回答問題倒是第一次。"
"s4811","zho","好像有，但沒有印象測驗內容"
"s4896","zho","沒有"
"s4961","zho","有，為大眾對競選海報之研究"
"s5211","zho","No"
"s5562","zho","有。聽幾則故事，回答腳色在過程中的想法。"
"s5643","zho","沒有"
"s5760","zho","無。"
"s5930","zho","沒印象"
"s6094","zho","沒有"
"s6157","zho","TEST"
"s6280","zho","沒有"
"s6361","zho","心理系的一些問卷，跟情緒字詞有關的研究
或者是消費產品的問卷，一樣會出現邏輯題來詢問"
"s6700","zho","留白"
"s6732","zho","沒有類似的經驗。"
"s6742","zho","No"
"s6800","zho","沒有"
"s7533","zho","TEST SOPHIA"
"s7742","zho","沒有"
