"id","survey_lang","purpose"
"s568","ger","test"
"s589","eng","I think that it might have been identifying how word choice and perspective can change an individual's interpretation of a scenario. "
"s590","eng","To see how people perceive what (or who) is right/wrong"
"s591","eng","I think the purpose of this study is to determine the factors that influence cognitive decision making. "
"s592","eng","Whether or not people truly know something or if they just believe they know something."
"s593","eng","To look for the effects of language on perception of various situations. "
"s594","eng","To understand how we perceive the correctness of assumptions when under unknown factors"
"s596","eng","I feel like the purpose of this study is to discover what people know about their knowledge and their beliefs."
"s597","eng","To see what people believe is true/real."
"s598","eng","It is interesting how people could react deepening of the situation. "
"s609","eng","To see how different people look at the same scenario in different ways"
"s610","eng","I think that the purpose of this study is to understand people's knowledge and thoughts on whether something is a belief or a fact. "
"s620","eng","To see the perception of the people participating in the study on whether or not another person's perception is believable or not. "
"s621","eng","To determine how humans perceive real from fake?"
"s622","eng","I think that the purpose of this study was to explore the way that we apply different words with different connations to the same situation. "
"s636","eng","I honestly have no clue. My gut tells me it has something to do with if we believe or know what the people in the readings feel one way or another, or the study has something to do with us reading the passages and then based on those passages how we answer these questions in terms of unconfident (believes) or confident (knows) to see if the ideas in our minds carry on after the study has supposedly ended."
"s660","eng","I think the purpose of this study was to see what people thought about a store they read about someone else. This helps the researchers see what people think about other people situations."
"s661","eng","I think the purpose of this study is to figure out what people think that other people are aware of."
"s663","eng","I think the purpose of this study is to study the difference between knowing something or only believing something is true and whether or not it's true because you know it is or it turns out to be true by luck."
"s664","eng","I think this study deals with the perspectives of individuals in a given situation in which the main characters may or may not have full information on the matter. The study, however, wants to see our perspective on the matter since we have all of the information. "
"s666","eng","I think it was to see if people realize that just because they think it is the correct answer, it may not necessarily the correct or right answer. "
"s668","eng","To see how responses change based on the circumstances of a situation."
"s669","eng","jjjj"
"s680","eng","To show the difference between beliefs and knowledge."
"s683","eng","I think the purpose of this study was to see how different people interpret situations."
"s686","eng","I believe the purpose of the study is to assess how people perceive situations; reality and being confident vs. not knowing the truth or being deceived. "
"s688","eng","i have no idea."
"s690","eng","To help understand the knowledge vs guessing of humans"
"s696","eng","I do not have a good idea of what the purpose is."
"s697","eng","I believe the purpose of this study is to help understand what an outsider thinks when they know the whole situation, as though it seems the people """"""""only believe"""""""" the majority of the time, I said the characters in the story """"""""knew"""""""" what they saw because in their mind, they did know, even if it was wrong."
"s700","eng","Well I thought that it was about """"""""knowing"""""""" vs. """"""""believing,"""""""" but half of the questions are now about how I felt and what I think the purpose is, so now I don't think it has anything to do with those first questions and instead, it's something tricky about how we took the study. But I don't actually know for certain what the study is about."
"s702","eng","I do not know"
"s715","zho","TEST"
"s716","eng","I think the purpose was to see how we can undestand the situation if a person is right oe wrong."
"s717","eng","judging the variables that make people believe something vs. what makes people know something "
"s718","eng","To see what participants believe is ideas based on facts or theory."
"s725","eng","To establish peoples perception of reality.  "
"s726","eng","I think that the purpose of this study was to analyze the reactions or beliefs that individuals make when faced or told of a certain situation. "
"s727","eng","I think the purpose of this study was to tell how well I was paying attention to the paragraphs and how I would react to strangely worded questions"
"s729","eng","How well people can answer questions based off of their short term memory. See how well people can deconstruct a few paragraphs. "
"s730","eng","I think that the purpose may involve how our brains try to  evaluate situations based on very little background."
"s731","eng","To see how the reader feels towards the person talked about."
"s732","eng","To question and test the boundaries of what people think they know, and what they actually know for a fact."
"s737","eng","I think the purpose of this study was to test how well I paid attention to the paragraph without knowing what the questions would be, then how well I would answer strangely worded questions"
"s739","eng","i have no idea"
"s740","eng","I am really not sure."
"s742","eng","I dont know what the purpose of this study is"
"s743","eng","I am not sure."
"s746","eng","logical reasoning"
"s757","eng","To figure out what people really think they know and how confident they are in what they think they know, even though the possibility to be wrong is always present."
"s760","eng","I believe the purpose of this study is to show people that there are many things that people believe 
are true, but in reality aren't and vice versa. This study could also have the purpose of examining people to see if they themselves are able to understand the difference between something that is believed to be true and something that is actually true."
"s761","eng","I believe the purpose of this study was to show people that you can't always trust what you believe."
"s762","eng","The purpose may have been to test the recall of the story as well as the beliefs that people have towards certain things. "
"s763","eng","Knowledge about beliefs."
"s772","eng","I believe the purpose was to determine how easily we attribute wrong answers to situational versus dispositional occurrences."
"s773","eng","the purpose was to determine how we judge {Category:} based on their awareness of their knowledge."
"s776","eng","I think the purpose of this study was to see what {Category:} think others are aware of."
"s795","eng","To see how {Category:} perceive and belief things "
"s796","eng","I think this study is focusing on the perspective of individuals in the fictional scenarios, as well as our perspective in being the all-knowing reader. Due to the fact that the reader has all of the information from the story, it is easy to see the explanations behind the choices and thinking made by each character in the different scenarios. I think the idea in understanding all sides of one's perspectives would limit the disagreements in today's world. For instance, the story with the father and son driving through the tornado town. The father thought he was pointing at a real house, but it was in fact a fake house. Since it was evident to the reader that he was unaware of the recent tornado that had ripped through the town, it is easy to understand his belief. If the reader did not know this information, it could be highly likely that they think the father is not very intelligent because he can't tell the difference between a fake and real house. The study is all about gaining every angle on someone's belief, before making judgement upon them."
"s797","eng",".."
"s815","eng","To examine the general public's response to the reasons {Category:} get certain things right or wrong."
"s818","eng","Not sure, test {Category:}'s comprehension of language maybe"
"s819","eng","to find out if {Category:} actually paid attention "
"s822","eng","To test {Category:} ability to judge others based on the information given, "
"s838","eng","n/a"
"s839","eng","n/a"
"s840","eng","To understand our opinions on other {Category:}'s knowledge, and compare them. "
"s841","eng","To study how an individual judges the actions, motivations, beliefs of others."
"s845","eng","to show how {Category:} percieve different things"
"s849","eng","I think the purpose of this study was to compare and contrast knowledge to assumptions."
"s850","eng","I have no idea"
"s862","eng","I think the study was bringing into question whether we truly know things, or if we only believe them to be true based on the evidence provided to us. "
"s863","eng","To see how {Category:} perceive different things from an outside perspective"
"s867","eng","Not sure "
"s875","eng","reading comprehension"
"s876","eng","I think the purpose of this study was to take a deeper look into what {Category:} think they know or believe about something upon first glance. "
"s877","eng","to see how {Category:} form perceptions"
"s879","eng","none"
"s883","eng","I felt the purpose was to determine how others judge others when knowledge of a situation is given to them about the others."
"s902","eng","I think the purpose of this study was to interpret our perspective on other's ability to perceive common knowledge"
"s903","ger","Die persönliche Einschätzung von Entscheidungen und Meinungen anderer Personen "
"s913","ger","Sprachgebrauch, Verständnis von Sprache, Gefühle; weiß man etwas wenn man richtig ist oder kann man nur glauben, dass etwas richtig ist. Kann man etwas wissen wenn man eigentlich falsch liegt. "
"s914","ger","das Leseverständnis wurde getestet "
"s920","ger","Inwieweit lassen sich Probanden, ihre Meinung, durch nicht bewiesenen Fakten beeinflussen."
"s923","ger","Ob eine Person etwas für sich als Wissen bezeichnen kann, obwohl dieses objektiv falsch ist. "
"s927","ger","Testung der Selbstsicherheit von Menschen
Leseverständnis?"
"s928","ger","thematisiert wissen, glauben und hinterfragen auf basis der wahrnehmung, ähnlich zu testimony von alvin goldman"
"s933","ger","Eventuell herauszufinden, wie unterschiedlich Menschen die Realität wahrnehmen können."
"s940","eng","To study how perceptive {Category:} really are and if what they see is a reality."
"s941","eng","To see how {Category:} think about other {Category:}'s knowledge on certain things?"
"s942","eng","I think this study was to see the outside perception of situations"
"s943","eng","To see if {Category:} are able to understand the context they are reading. To also understand what characters in a story believe."
"s959","ger","Unterschied zwischen etwas glauben und etwas wissen zu erkennen. "
"s963","ger","Bin sehr gespannt, habe wirklich keine Idee"
"s967","ger","weiß man etwas oder glaubt man nur etwas zu wissen"
"s976","ger","Analyse wie Menschen bestimmte Texte auffassen? bzw wie Menschen etwas selbst in sachliche Texte hineininterpretieren?"
"s981","ger","Auffassung & Definition von Wahrheit"
"s989","ger","Das Verstehen von Texten, der Sprache"
"s990","ger","Nicht sicher aber Annahmen und Warheiten"
"s996","ger","Ich glaube, dass der Sinn der Studie darin liegt, das Bewusstsein über die Bedeutungen der Formulierungen """"""""glauben"""""""" und """"""""wissen"""""""" zu definieren."
"s1000","eng","Testing how {Category:} view beliefs and what they are"
"s1013","ger","Lesekompetenzen"
"s1016","eng","NA"
"s1017","eng","To get feedback on experimental information."
"s1018","eng","To understand the extent to which {Category:} are paying attention to the scenarios"
"s1019","eng","To determine how our perception of reality can be right or wrong and how the circumstances surrounding what we perceive affect our perception"
"s1020","eng","The questions that were asked about the individuals taking the survey instead of the responses to the scenarios. "
"s1021","eng","N/A"
"s1025","eng","No idea"
"s1026","eng","maybe to see how a questioner effect confidence "
"s1038","ger","Keine Ahnung"
"s1042","ger","Erfassung verschiedener Auffassungen und Interpretierungen von Situation"
"s1043","eng","I think the purpose of this study was to evaluate the psychological processes associated with perception by testing situational variables. "
"s1045","eng","i have no idea"
"s1046","ger","keine Ahnung"
"s1047","eng","To see if there is an ability to see what is real and what is not. "
"s1050","eng","the purpose was to determine differences between knowing and believing  "
"s1052","eng","To see {Category:}'s opinions on others beliefs in difficult scenarios. "
"s1053","eng","No idea"
"s1055","eng","How {Category:} perceive reality. That's my best guess.  "
"s1056","eng","N/A"
"s1058","eng","What knowledge we have about beliefs"
"s1059","eng","to see if {Category:} pay attention to details when they read."
"s1060","eng","I think the purpose of the study was to see how much {Category:} trust their instincts."
"s1062","eng","To see if readers can remember the details of what they read."
"s1063","eng","To see what readers remember."
"s1066","eng","When we know the full situation, but another person doesn't do we think they are right or wrong in their beliefs/choices in the situation."
