"id","survey_lang","purpose"
"s2604","fre","cds"
"s2987","fre","TEST"
"s3124","fre","TEST"
"s3127","fre","TEST"
"s4692","fre","TEST delete data"
"s8141","fre","TEST"
"s8198","fre","TEST"
"s8899","fre","Le but est de voir la manière dont est prise notre décision en fonction de chaque situation."
"s8900","fre","selon moi le but de l'étude est de voir si on se rappel des histoire tel qu'elles sont présentées ou si selon les questions posées notre mémoire est faussée."
"s8901","fre","Savoir pourquoi on juge les autres alors que nous n'avons pas toutes les informations"
"s8909","fre","selon moi, le but de cette étude est d'évaluer la précision de nos choix de mots lorsqu'on nous demande de restituer une information"
"s8913","fre","Je pense que cette étude à pour but de comprendre si notre cerveau est capable de distinguer les fais d'une situation malgré le fait qu'ils se ressemblent énormément."
"s8914","fre","De voir comment le contexte impacte les perceptions que les gens ont de l'intelligence et des connaissances d'autrui"
"s8919","fre","Voir à quel point on peut influencer l'esprit selon le choix et la fréquences des mots utilisés."
"s8920","fre","une étude sur le lien de l'attribution en fonction de la compétence. en outre comment on perçoit quelqu'un qui sait et qui se trompe pas par rapport à qqn qui sait pas et qui se trompe "
"s12008","fre","savoir jusqu'à quel point les choses sont incertaines et comment l'humain peut être trompé par sa conviction"
"s12009","fre","Dans le premier exercice, il m'a semblé cliquer sur le bouton vert alors que je ne connaissais pas le mot. Je me dis qu’inconsciemment, mon cerveau pensait les connaitre. En revanche, j'ai eu plus de mal à cerner le but de la deuxième expérience. "
"s12013","fre","Travailler sur la mémoire"
"s12017","fre","Je me demande si les mots présentés dans la première tâche varie d'une condition à une autre (positif vs négatif) de sorte à influencer l'attitude des participants durant la tâche des histoires. Je pense néanmoins que les hypothèses de cette recherche sont nombreuses."
"s12031","fre","Je pense qu'il s'agit d'une expérience dans le but de comprendre le lien entre un récit ambiguë sur nos pensée concernant ce même récit."
"s12032","fre","Je pense que le but de cette expérience était de tester la mémoire de travail. Voir comment fonctionne la mémoire quand le cerveau est stimulé de façon rapide."
"s12033","fre","J'ai plusieurs hypothèses:
Réussir à déterminer le rôle que peut jouer la concentration dans la mémoire à court terme (en nous """"""""déconcentrant"""""""", nous concentrant sur autre chose à chaque fois avec le système de validation, non-validation du mot)
Réussir à déterminer quel rôle peut jouer la concentration dans la reconnaissance linguistique (en nous """"""""déconcentrant"""""""", nous concentrant sur autre chose à chaque fois avec le système de rappel des mots.
Savoir si le fait d'avoir déjà vu un mot lors d'une première étape facilite la reconnaissance linguistique.
Savoir si la complexité du mot à une influence sur sa mémorisation.
Et pour la deuxième partie, l'influence de la manière de raconter sur un jugement."
"s12035","fre","Le but de cet étude est de faire des statistiques selon le sexe et l'âge des personnes afin de savoir quel est la durée de leur mémoire à court terme"
"s12037","fre","mieux comprendre les fausses croyances (?)"
"s12045","fre","Selon moi, le but de cette étude est de mieux comprendre comment fonctionne la mémoire. "
"s12048","fre","Connaître la capacité des gens à faire la différence entre quelque chose qu'ils connaissent réellement et qui existe et quelque chose qu'ils pensent connaître mai qui n'existe peut-être pas. "
"s12055","fre","Etudier la mémoire de travail, plus précisement la manipulation d'information (administrateur central - boucle phonologique et buffer épisodique)"
"s12056","fre","Influence de nos croyances sur les croyances des autres. Ou alors influence d'un texte sur les textes qui suivent. "
"s12064","fre","Evaluer l'attribution, 
tester working memory "
"s12065","fre","Le but de cette étude est de tester notre mémoire et notre rapidité à la reflexion et de savoir notre capacite à juger le savoir des autres"
"s12081","fre","Recherche sur la mémoire, l attention et la compréhension "
"s12082","fre","Travailler l'attention et la mémoire"
"s12090","fre","de voir si le fait que le mot dans la partie mot/non mot soit un mot deja vue ou non change le TR"
"s12091","fre","Essayer de déterminer les éléments important que nous utilisons pour déterminer si une personne sait ou non quelque chose. Voir si on arrive à se mettre à la place du protagoniste pour analyser la situation en fonction de ce qu'il sait. "
"s12194","fre","Peut-être le rôle de la mémoire de travail dans la compréhension d'énoncés ambigus"
"s12201","fre","selon moi, le but de cette étude est de comprendre les différentes interprétations des histoires possibles, en changeant la grammaire."
"s12203","fre","Voir à quel point l'on fait la différence entre le fait de savoir et de croire savoir. 
Comment l'on juge les personnes qui prennent des décisions en présence d'informations manquantes."
"s12208","fre","je pense que c'est une étude qui vise à évaluer le niveau d'attention que l'on peut avoir durant une tâche de travail."
"s12222","fre","voir si on peut dire si un mot fait partie du lexique plus rapidement si il a été présenté avant, et si on est encore plus rapide quand c'est le mot qu'on doit dire a voix haute "
