"id","survey_lang","purpose"
"s12730","gre","TEST"
"s12781","gre","TEST"
"s12936","gre","TEST"
"s13399","gre","Το πώς λειτουργεί η αντίληψη και η διαφοροποίηση μεταξύ γνώσης και πίστης."
"s13676","gre","ασδα"
"s13859","gre","Δεν ειμαι σιγουρος."
"s13869","gre","Δεν κατάλαβα"
"s13872","gre","Πόσο επηρεάζει την άποψη των  ανθρώπων, αυτά που πιστεύουν ότι γνωρίζουν, αυτά που τα θεωρούν ως αυτονόητα, χωρίς να το ερευνήσουν περαιτέρω. "
"s13874","gre","Οχι"
"s13878","gre","Οχι, "
"s13887","gre","Αντίληψη αληήθειας και αληθοφάνειας"
"s13895","gre","1) η γλωσσική (σημασιακή)/εννοιακή διαφορά μεταξύ """"""""πιστεύω"""""""" κ """"""""ξέρω""""""""
2) η γνωσιακή/ψυχολογική υπόσταση της κατάστασης """"""""πιστεύω"""""""" κ """"""""ξέρω"""""""""
"s13908","gre","η νοητική επεξεργασία των πληροφοριών;"
"s13940","gre","Οχι"
"s14015","gre","OXI"
"s14043","gre","πιστευω οτι θελει να δειξει με τον τροποσ που χρησιμοποιουμε τις λεξεις μπορουμε να δωσουμε οτι νοημα θελουμε "
"s14047","gre","ΟΧΙ"
"s14205","gre","ο σκοπός είναι για το πως λειτουργεί η γλώσσα στην κατανόηση και παρουσίαση των γεγονότων,αρα και στην διαμόρφωση της δικής μας αποψης."
"s14220","gre","Κατά πόσο η προσωπική μας γνώση καθορίζει την άποψη μας για την γνώση και των άλλων."
"s14232","gre","δε μπόρεσα να καταλάβω.."
"s14246","gre","Κρίνοντας τις συμπεριφορές των 3 ανθρώπων που επιλέγουν κάτι σωστά ή λάθος δίνουμε στοιχε΄΄ια που χαρακτηρίζουν την συμπεριφορά μας"
"s14258","gre","Αυτό που έγραφε  στην αρχή. Πως κατανοεί ο καθένας αυτό που διαβάζει."
"s14274","gre","Να βγουν συμπεράσματα για το εάν ο μέσος αναγνώστης """"""""καταλαβαίνει τι διαβάζει"""""""""
"s14363","gre","Κατά πόσο τα στερεότυπα και οι πεποιθήσεις του αναγνώστη επηρεάζονται από το κείμενο που διαβάζει"
"s14377","gre","Η ανάλυση του τρόπου με τον οποίο αναλύουμε δεδομένα που μας δίνονται."
"s14395","gre","η αντίληψη της πραγματικότητας και η διαφορά μεταξύ γνώσης και πεποίθησης"
"s14397","gre","ερευνα για την κατανόηση του τι ειναι πραγματικο/αληθες"
"s14431","gre","Διάκριση μεταξύ πραγματικής αλήθειας και προσωπικής """"""""αλήθειας"""""""""
"s14467","gre","Να μελετηθεί ο τρόπος που αντιλαμβάνονταικαι κρίνουν οι άνθρωποι τα γεγονότα"
"s14468","gre","Αντιληψη του νοηματοσ της χρησης λεξεων "
"s14488","gre","ΟΧΙ"
"s14494","gre","Η κατανόηση της γλώσσας και των εννοιών. "
"s14511","gre","Η κατανόηση της λογικής και των νοημάτων των προτάσεων. "
"s14514","gre","η οπτικη γωνία, η προσεγγιση που δινουμε σε ενα συμβαν με βαση τις πληροφοριες που εχουμε"
"s14524","gre"," Πιστεύω πως έχει να κάνει με το πως αντιλαμβάνεται ο άνθρωπος τη γλώσσα και τι καταλαβαίνει από το νόημα των παραπάνω κειμένων."
"s14539","gre","ΤΕΣΤ ΟΞΥΝΟΙΑΣ"
"s14572","gre","Οχι"
"s14573","gre","ΟΧΙ"
"s14583","gre","δεν ξερω"
"s14589","gre"," το κατά πόσο  τα συμπεράσματά μας αποκλίνουν από την πραγματικότητα όταν οι πληροφορίες που μας δόθηκαν ήταν ασαφείς."
"s14606","gre","γλωσσολογικός"
"s14607","gre","Οι τρόποι με τους οποίους κατανοούμε την έννοια της αλήθειας και εκφραζόμαστε για αυτήν. "
"s14611","gre","Πόσο αποτελεσματικές μπορεί να είναι οι έρευνες, άμεσα"
"s14661","gre","ΟΧΙ"
"s14720","gre","Οχι, δεν καταλαβα"
"s14724","gre","Οχι, "
"s15379","gre","Πόση σημασία έχουν οι λέξεις όταν παρουσιάζεις κάτι στον άλλον. Δηλαδή τι θα του πεις , με ποιο τρόπο, ποιες προτάσεις θα χρησιμοποιήσεις πρώτα και ποιες μετά και ποιες λέξεις θα τονίσεις. Φαντάζομαι ότι ενώ τα δεδομένα ήταν συγκεκριμένα οι απαντήσεις θα ποικίλλουν γιατί κάθε άτομα τα ερμηνεύει διαφορετικά με βάση τις εμπειρίες του και τη δική του λογική "
"s15466","gre","OXI"
"s15548","gre","..."
"s16558","gre","οχι"
"s19725","gre","Να κριθεί κατά πόσο η πρόσληψη πληροφοριών μέσω των αισθήσεων (επηρεασμένη από προηγούμενες γνωσιακές εμπειρίες) οδηγεί σε κρίσεις/πεποιθήσεις που αληθεύουν. Κάτι τέτοιο τελοσπάντων."
"s21313","gre","δεν καταλαβα"
