"id","survey_lang","purpose"
"s1984","hun","TEST"
"s1985","hun","TEST"
"s2965","hun","TEST"
"s3704","hun","A nyelv vizsgálata, és a nyelv és a gondolkodás összefüggésének kutatása talán."
"s3710","hun","Talán  az, hogy felmérje, az emberek mennyire tudnak logikusan gondolkozni egy-egy olvasott szöveg kapcsán."
"s3869","hun","Az, hogy miként befolyásolja egy ember véleményét a plusz információ. A szövegek első fele még szokványos volt, aztán a plusz információ más megvilágításba helyezte az olvasottakat."
"s3870","hun","Ki hogyan dolgozza fel azt a szöveget, amit olvasott. Hogyan gondolkozik róla."
"s3873","hun","Talán valami tudatelmélettel kapcsolatos dolog."
"s3874","hun","Megfigyelni, hogy a nyelvhasználat hogyan befolyásolja az emlékezetünket."
"s3875","hun","Az hogy viszonylag egyértelmű kijelentésekhez olyan ellentétes információkat tesznek ami összekavarhatja a megértést és hogy ennek ellenére is átjön-e az üzenet."
"s3876","hun","A teszt elején leírtak."
"s19719","hun","TEST"
"s19721","hun","TEST"
"s19722","hun","TEST"
"s20082","hun","TEST"
"s20128","hun","Vizsgálni az objektív """"""""igazság"""""""" és az egyénileg felfogott valóság kapcsolatát."
"s20133","hun","Felmérje azt, hogy mit gondolunk arról, hogy egy személy egy adott szituációban hogyan gondolkodik."
"s20137","hun","Döntéshozatali képességek vizsgálása."
"s20138","hun","a különböző nyelvekben más jelentésbeli árnyalatai vannak pl a tudni igének"
"s20139","hun","Szövegértés és a döntéseink okai."
"s20140","hun","Lássuk az emberek, hogyan értelmeznek egy szöveget, mennyire figyelnek oda. Szövegértési technikák."
"s20141","hun","Az olvasók kritikus gondolkodásának felmérése hamis, igaz vagy igaznak vélt információk alapján."
"s20144","hun","Nem tudom, de nagyon érdekelne."
"s20147","hun","A tudatos/szerintünk tudatos gondolatok/tettek vizsgálata"
"s20148","hun","a nyelvi érzékek megfigyelése"
"s20149","hun","Szövegértés mérése."
