"id","survey_lang","purpose"
"s1219","nor","Tset"
"s1220","nor","test"
"s1338","nor","Test"
"s2092","nor","Formålet var muligens å se på hva deltakerne opplever som sanne eller usanne utsagn ut fra hvordan scenarioene ble beskrevet. "
"s2142","nor","Gjetter på at det har noe å gjøre med om språket referer til den faktiske virkeligheten, usikkerheten i virkeligheten, eller den subjektive opplevelsen. "
"s2145","nor","Å finne ut mer om spårkunnskaper"
"s2147","nor","Studere hvordan hjernen prosesserer semantisk ambiguous informasjon "
"s2150","nor","Formålet tror jeg er å se hvordan vi forholder oss til ting som er usikkert, og hvordan man formulerer seg rundt ting som man tror er ekte men egentlig ikke er det."
"s2151","nor","Jeg tror den dreide seg om å hvordan språk påvirker oppfatninger om hva man kan vite"
"s2154","nor","Forstå hvordan språk påvirker våre holdninger. Virker som sannhet og forståelsen av det er et tema."
"s2155","nor","Formålet med studien tror jeg er å se hvor stor forstålese studenter har i de gitte casene, og evnen til å tolke de gitte oppgavene. "
"s2156","nor","Hvilke utsagn deltagerne tror på. Om  man får sympati for den som tror feil, eller om man får sympati for den andre siden av saken. "
"s2157","nor","Gikk først ut ifra at studien skulle teste hvorsan vi tolker situasjoner som minner om hverandre med små variasjoner, men på grunn av den store mengden spørsmål om studien selv går jeg nå ut ifra at det er reaksjonen på utformingen på studien som ble testet. "
"s2158","nor","Få en bedre forståelse av hva språket har å si for oppfattelsen av en situasjon "
"s2161","nor","Jeg tror formålet handler om å se på hvordan språk man påvirke omgivelsene og situasjonene vi omgås"
"s2246","nor","Jeg tror at formålet med studien er å undersøke hvordan mennesker forstår persepsjon og hvordan man forstår forskjellen på beliefs og kunnskap. Eventuelt er det kanskje en studie om theory of mind. "
"s2249","nor","Noe om oppfattelse av sikker kunnskap (vet) og overbevisning (tror man vet), og oppfattelse av de to når man som leser vet svaret"
"s2253","nor","For å se om jeg husket detaljene i historien"
"s2255","nor","Sammenhengen mellom agent-situasjon attribution ut fra hvorvidt man har fått riktig svar, og om dette har en kulturell faktor."
"s2267","nor","Forske på personer sine ulike tolkinger av tekst "
"s2268","nor","Vår evne til å tenke kritisk på ting vi vanligvis tar for gitt? Eller antar stemmer, basert på at det vanligvis er slik. At noe som ser ut som et hus langs en vei ikke er et hus, er jo for eksempel rimelig absurd. 
Evt bare en metastudie av forskningsstudier, slik som kanskje disse spørsmålene tyder på.. "
"s2269","nor","Kartlegge hvordan folk tolker tekster"
"s2275","nor","Det kan virke som om man vil utforske hva folk legger i begrepet """"""""å vite noe"""""""" (når kan man vite noe med sikkerhet. Dette er jo også et begrep med lang filosofisk diskusjon rundt seg :)"
"s2296","nor","Jeg tror formålet er å undersøke folk sitt syn på hvorvidt man kan si at """"""""slik ser jeg det og derfor er det slik"""""""" selv om vi ikke har all informasjon, og i hvilken grad man syns konklusjonene vil være korrekte eller ei om man tar hensyn til mengden informasjon"
"s2301","nor","Jeg tenkte at studien dreide seg om å undersøke hvorvidt man tviler på fakta og opplysninger, og hvor mye man tenker at det er rimelig å anta og ikke. Jeg ble riktig nok i tvil da dere begynte å spørre på denne måten."
"s2310","nor","Se hvordan man ordlegger seg påvirker deltagerens svar"
"s2311","nor","Jeg vil anta nyanser i språk. Som forskjellen på å tro og vite. Persepsjon. "
"s2312","nor","Å se om deltakere svarer forskjellig når de tror de vet formålet med studien. Trodde underveis at studien handlet om noe rundt tilfeldigheter og om det man tror er sant eller bare tilfeldigvis det vi tror."
"s2323","nor","Hvilken betydning vi tillegger forskjellige ord/formuleringer/Hvordan vi tolker informasjon. For eksempel kan man si at virkeligheten kan sies å være objektiv og subjektiv - vi oppfatter/sanser det rundt oss og skaper så vår egen subjektive virkelighet på grunnlag av dette. "
"s2325","nor","noko med språk å gjør. hvor mye man følger med når man leser, eller hvordan man bruker ord for å gi en tekst mer mening"
"s2330","nor","Undersøke hvordan mennesker oppfatter faktakunnskap "
"s2334","nor","Å undersøke hvordan vi oppfatter hva som er sant/usant på bakgrunn av språk."
"s2368","nor","Studere hvordan vi vurderer overbevisninger."
"s2369","nor","For å forstå i hvilken grad folk bedømmer sann kunnskap. Når det alltid er mulighet for at den informasjonen man oppfatter er feil, hva kan man da egentlig si om kunnskap. Det ville vært urealistisk av Emma å forvente at diamantene var falske når det ikke egentlig var noen god informasjon som pekte andre veien. "
"s2370","nor","Overordnet tror jeg studien tar utgangspunkt i (eksperimentell) filosofi, hvor formålet her er å undersøke folks oppfatninger om når man har justified true beliefs."
"s2377","nor","Språkegenskaper?"
"s2393","nor","innenfor kognitiv psykologi, muligens for å forstå hvordan vi tror vi vet noe, hvordan vi intuitivt ikke tar hemsyn til ulike variabler."
"s2396","nor","Jeg vil tro formålet med denne studien er å kartlegge menneskers evne til å innhente informasjon fra ulike situasjoner, og se om leseren klarer å observere og tolke det de leser."
"s2398","nor","vet ikke "
"s2404","nor","Ordvalg påvirker oppfattelse av historiene og våres perspektiv."
"s2406","nor","Typ theory of mind, kanskje"
"s2412","nor","Kartlegge menneskers intuitive oppfatning av kunnskap."
"s2415","nor","Å forstå hvordan språk fungerer - det var det jeg fikk opplysning om. "
"s2448","nor","Jeg tror formålet med denne studien er hvordan ulike mennesker tolker tekster ulikt. "
"s2547","nor","Jeg tror formålet handler om å bedre forstå relasjonen mellom ord og opplevde gjenstander og konsepter. -Hvordan mennesker i det daglige tar beslutninger om å si noe eller å handle basert på noe som er opplevd, men ikke helt vites. "
"s2991","nor","Hvordan mennesker definerer/bruker ordene å vite eller tror. Kanskje finne ut i hvor stor grad vi skylder på menneskene sine evner hvis vi mener de burde visst bedre, eller om vi tenker at de ikke kan klandres for sine feil. "
"s6154","nor","TEST"
"s7006","nor","Ingen kommentar, usikker på formål"
"s7014","nor","Kan ha vært å se hvor konsekvent man svarer.
Eventuelt om man motsier seg selv
Eventuelt om man svarer slik man føler man burde svare.
Eventuelt hvor godt man leser teksten.
Eller noe annet :-) "
"s7083","nor","Enten ang språk slik som dere forteller, eller om hvordan individer oppfatter/tenker om studier. "
"s7138","nor","Nei"
"s7142","nor","Noe med beslutningstaking med hensyn på gitt informasjon/kunnskap. "
"s7168","nor","Leseforståelse"
"s7308","nor","v jfvbfjhgf"
"s7329","nor","Attribusjonsstil"
"s7331","nor","Å finne ut funksjonen til språklig formulering."
"s7332","nor","oppmerksomhet, tilpassing"
"s7333","nor","Jeg tror det handlet noe om språkforståelse "
"s7338","nor","sjekke vår forståelse av ulike begreper"
"s7370","nor","Undersøke hvor sikker man tror man kan være i sine antagelser "
"s7375","nor","Se på virkningen av motivert tenkning? "
"s7417","nor"," Nei"
"s7418","nor","Studere kunnskap."
"s7447","nor","Evnen til å kunne sette seg inn i andres perspektiv, muligens hukommelseskapasitet"
"s7458","nor","Teste folks språkforståelse. "
"s7633","nor","Vel, enten så er det for å sjekk om mennesker ser og konkluderer situasjoner objektivt hvis man """"""""vet alt"""""""" eller så måler dere hvordan historier kan gjøre folk mer villige til å ta slike spørreundersøkelser. Eller noe annet haha"
"s7647","nor","undersøke hvordan vi mennesker oppfatter/tolker andres beslutninger og vurderinger, og hvordan vi bruker språket til å beskrive/vurdere andres handlinger/reaksjoner."
"s7650","nor","Usikker"
"s7653","nor","Selvtillit i persepsjonen våres og valgene vi tar."
"s7712","nor","Forskning på flaks"
"s7714","nor","Språkforståelse "
"s7747","nor","Forrholdet mellom resonomet, språk og situasjon i den første delen.
Den andre delen er antagelig der resultatene egentlig kommer"
