"id","survey_lang","purpose"
"s1117","pol","nie mam"
"s1162","pol","nj"
"s1310","pol","TEST"
"s1340","pol","jo"
"s1344","pol","nk"
"s1352","pol","sa"
"s1357","pol","jn"
"s1424","pol","tedsdt"
"s1722","pol","xdc"
"s3345","pol","Jak dobór słowa """"""""wie/wierzy"""""""" wpływa na rozumienie sytuacji"
"s3354","pol","Może ma to związek z rozumieniem """"""""ja"""""""" a perspektywą innej osoby w zależności od kontektsu"
"s3391","pol","wpływ słów takich jak wierzę/wiem na formułowanie sądów "
"s3430","pol","Spróbować dowiedzieć się, jak sposób przekazywania informacji wpływa na ich odbiór."
"s3431","pol","Osiągnięcie wiedzy na temat stereotypów"
"s3434","pol","Poznanie odczuć do osób o innym kolorze skóry oraz do osób wykonujące zawody, które nie cieszą się dużą sympatią społeczeństwa"
"s3438","pol","Celem badania jest zobrazowanie jak w pewnych sytuacjach człowiek może być nie jest nieświadowym co kryję się za danym rzeczą/sytuacją itd."
"s3439","pol","celem badania jest  sprawdzenie  jak badany czyta tekst ze zrozumieniem, jak wybiera informacje z tekstu  oraz jaki ma refleks "
"s3666","pol","Ocena na ile jednostkowe przekonania traktować jako prawdę, a na ile jako zwykłe hipotezy o wysokim stopniu prawdopodobieństwa?"
"s3667","pol","Ocena umiejętności czytania ze zrozumieniem, wnioskowania na podstawie historyjek"
"s3668","pol","Starałam się nie formułować przypuszczeń"
"s3672","pol","Wydaję mi się, że badanie ma na celu sprawdzenie w jaki sposób ludzie postrzegają i oceniają innych ludzi lub sytuacje na podstawie stanu wiedzy jaki posiadają."
"s3673","pol","mysle, ze pierwsze 2 badania to była fasada, podejrzewam badanie uprzedzeń i stereotypów grupowych, a bardziej może zależności między uprzedzeniem w stosunku do danej grupy z poprzedniego zadania, a sposobem rozumienia innych w tym zadaniu. chociaż pewności nie mam. ciekawe po cóż moje utożsamianie się z rasą? tego odkryć nie mogę, bo że do białej przynależę to oczywiste, nie tak oczywiste moje utożsamianie się z tym. "
"s3709","pol","Badanie na temat postrzegania faktow i domyslow na bazie tekstu. Moze miec jakies powiazanie z aktualna popularnoscia fake news'ow i tego jak odbieraja je ludzie."
"s3722","pol","Na ile ludzie przypisują innym sprawczosć w danej sytucji w zależności od zmiennych?"
"s3841","pol","Być może przedmiotem badania był wpływ sposobu sformułowania historii na ocenę intencji/wiedzy jej bohatera."
"s3842","pol","Nie mam przypuszczeń"
"s3843","pol","Dotyczyło tego jak odbieramy różne grupy społeczne"
"s3844","pol","Badanie może dotyczyło umiejętności przyjmowania cudzej perspektywy?"
"s3892","pol","Nie mam pojęcia, strasznie dużo elementów (ankiet i testów) jak na pojedyncze badanie"
"s3893","pol","Nie mam pojęcia"
"s3911","pol","Badanie umiejętności dokładnego czytania tekstów."
"s3914","pol","Przypuszczam, że badanie ma na celu ocenę języka używanego w sytuacjach, kiedy brak niezbędnych informacji nie pozwala na rzeczywistą ocenę sytuacji, jednak osoba mówiąca nie jest tego świadoma "
"s3944","pol","Moim zdaniem celem badania była ocena postrzegania zachowań ludzi"
"s3952","pol","rozumienie języka, czytanie ze zrozumieniem"
"s3984","pol","nie wiem"
"s4017","pol","Jak ludzie oceniają daną sytuację i społeczeństwo"
"s4020","pol","Myślę, że chodzi tutaj o zbadanie jakiegoś powiązania między uprzedzeniami/poglądami a sposobem postrzegania rzeczywistości, ale zdecydowanie nie jestem tego pewna."
"s4022","pol","uzyskanie informacji dotyczących pewności i przypuszczeń"
"s4729","pol","wpływ pokazania obiektu na jego identyfikację i odbiór"
"s4778","pol","Nie mam"
"s4779","pol","Zrozumienie logiki konstrukcji tekstów"
"s4782","pol","ciężko określić"
"s4825","pol","Podatność na manipulację"
"s4826","pol","Sprawdzić jak postrzegamy dane sytuacje."
"s4828","pol","Pewność w ocenie otaczającej sytuacji?"
"s4830","pol","sprawdzenie zdolności zapamiętywania/ kojarzenia osób w różnym wieku, z różnych grup etnicznych/ społecznych"
"s4831","pol","Czytanie ze zrozumieniem i umiejętność wyciągania wniosków na podstawie zawartych w tekście informacji"
"s4832","pol","Nie mam żadnych przypuszczeń"
"s4846","pol","Jak bardzo jesteśmy w stanie zaufać swojemu subiektywnemu odczuciu."
"s6613","pol","celem badania jest ustalenie, jak postrzegane jest formułowanie prawdziwych/fałszywych tez w zależności od tego, czy następuje to w wyniku wiedzy i umiejętności, czy też innych okoliczności. "
"s6680","pol","nie wiem"
"s6686","pol","Zależność między postrzeganiem rzeczywistości a ilością posiadanych informacji"
"s6693","pol","Różnica w potocznym rozumieniu słów o wierze vs wiedzy."
"s6694","pol","zbadanie jak ludzie postrzegają rzeczywistość na podstawie informacji, które są dla nich dostępne"
"s6754","pol","Jak kontekst zmienia naszą opinię na dany temat? "
"s6760","pol","Określenie stopnia umiejętności czytania ze zrozumieniem w społeczeństwie. "
"s6765","pol","nie wiem "
"s6777","pol","Przypuszczam, że cel jest związany z określeniem, jak ludzie rozumieją pewne słowa lub w jaki sposób ich używają; kiedy o sądzie można mówić, że jest uzasadniony lub prawdziwy;jak kontekst wpływa na przypisywanie sądom tych cech, itp. "
"s6793","pol","Sprawdzenie czy ludzie czytają ze zrozumieniem"
"s6875","pol","Czytanie ze zrozumieniem"
"s6893","pol","Zapewne taki, jaki był podany na początku, zwiazany z badaniem języka"
"s6902","pol","Nie zastanawiałam się nad tym."
"s7019","pol","nie wiem"
"s7132","pol","Nie jestempewna odpowiedzi na to pytanie"
"s7134","pol","Celem badania jest umiejętność czytania ze zrozumieniem i wnioskowania"
"s7151","pol","badania dot. empatii? Ontologii, epistemologii? No i czytania ze zrozumieniem."
"s7155","pol","Ustalenie osobowości badanego"
"s7323","pol","Sprawdzenie w jakim stopniu badany potrafi rozróżnić faktyczną wiedzę a przypuszczenie i na jakiej zasadzie to robi"
"s7717","pol","TEST"
"s8022","pol","TEST"
"s8140","pol","TEST"
"s8161","pol","TEST"
"s8163","pol","TEST"
"s8252","pol","TEST"
"s8540","pol","Aim of the study"
"s8653","pol","TEST"
"s8654","pol","TEST"
"s9039","pol","Celem jest odpowiedzenie na pytanie """"""""czym jest wiedza?"""""""""
"s9043","pol","Zbadanie rozumienia słów takich jak wiedza, wiara i pewnie zbadanie jakiejś teorii semantycznej stojącej za tym, który to teoretyk miał rację."
"s9048","pol","Zbadanie różnic w postrzeganiu wyrażeń """"""""wiedzieć"""""""" i """"""""myśleć, że się wie""""""""."
"s9050","pol","Badanie tego, co ludzie uważają za pewne, choć nie musi nim być (oraz tego, jak w języku funkcjonuje znaczenie """"""""pewności"""""""") i/lub badanie tego, na ile świadomie i z jakim zaangażowaniem osoby podchodzą do badań naukowych, w których uczestniczą."
"s9100","pol","Zbadanie, czy potrafimy odróżnić prawdę od wiary w tego, że coś jest prawdą."
"s9115","pol","Sądze, że celem było zbadanie trgo, co badany uważa za wiedzę a co za wiarę. Takze badał na ile adny uważa, ża wiedza/wiara uzasadnia podejmowane decyzje"
"s9117","pol","Ne wiem"
"s9119","pol","Pewnie uzyskanie odpowiedzi w tym właśnie polu. A tak poza tym to porównanie stosunku rzeczywistość vs postrzeganie rzeczywistości przez osoby z zewnątrz, posiadające większą informację niż sam podmiot."
"s9120","pol","Sprawdzenie, czy umiejętności eksperckie mają wpływ na przypisanie wiedzy."
"s9130","pol","Ważniejsza jest ta część o moich uczuciach."
"s9137","pol","rozróżnienie pomiędzy wiarą i fartem a rzetelną wiedzą"
"s9139","pol","Zbadanie jak ludzie rozumieją słowa typu """"""""wie"""""""", """"""""wierzy"""""""""
"s9153","pol","zbadanie jak reagujemy na """"""""prawdziwość"""""""" danych zdarzeń poprzez wykorzystanie różnych opisów podobnych sytuacji (ale pewnie tak nie jest, bo zazwyczaj badania tego typu odnoszą się do innych aspektów niż te konkretnie badane)"
"s9155","pol","Wydaje mi się, że badanie miało na celu testowanie mojej intuicji odnośnie znaczenia słowa """"""""wiedzieć"""""""""
"s9187","pol","Ujęcie rozróżnienia w naszych głowach i języku wiary i wiedzy? Rozszerzając to, może badanie ma coś powiedzieć o tym, czym jest nauka, kiedy możemy przyjąć, że coś wiemy?"
"s9206","pol","Wszystkie wydarzenia były opisane wyczerpująco nie pozostawiając żadnych wątpliwości, jednak w zależności od własnej interpretacji w zależności od sytuacji ten sam język użyty w pytaniach może być postrzegany inaczej. Cel to sprawdzić jak te same słowa mogą dawać inne wyobrażenia w zależności od własnego pojmowania sytuacji."
"s9211","pol","Dowiedzieć się, czy to, że ktoś ma specjalistyczną wiedzę wpływa na postrzeganie przez nas robionych przez niego błędów"
"s9232","pol","badanie przekonań i roli języka w przekonaniach (coś w ten deseń)"
"s9242","pol","Sposób postrzegania rzeczywistości przez ludzi. Wykrywanie niezgodności w rozumowaniu w zależności od kontekstu mimo podobieństwa w podanych problemach."
"s9246","pol","Badanie dotyczy tego jak ludzie odpowiadają na pytanie: Jeśli ktoś myśli, że coś wie ale ty wiesz w 100%, że się mylą lub nie, to czy twoja wiedza wpływa na ich bycie w błędzie lub racji."
"s9257","pol","Celem badania jest zweryfikowanie filozoficznych koncepcji wiedzy przez sprawdzenie, czy ludzie myślą w sposób analogiczny, co filozofowie budujący pewne argumentacje przeciwko tym koncepcjom."
"s9267","pol","Zbadanie spójności wydawanych przez ludzi sądów w zależności od dostarczonej im wiedzy"
"s9270","pol","Może chodzi o logiczne myślenie i wnioskowanie? Lub zbadanie rekcji ankietowanego na postawione pytania? "
"s9273","pol","Sprawdzenie, czy ludzie rozumieją różnicę pomiędzy """"""""wiedzą"""""""" a """"""""wiarą"""""""" w życiu codziennym. "
"s9298","pol","natura wiedzy, rozumowań i przypisywania prawdziwości?"
"s9308","pol","<puste>"
"s9314","pol","Powtarzalność odpowiedzi względem historii"
"s9324","pol","Myślę, że chodzi o postrzeganie i przypisywanie emocji innym. Być może testowanie wnikliwości wypełniających test."
"s9343","pol","nie mam pojęcia"
"s9379","pol","Głupie"
"s9396","pol","Nie mam pojęcia:)"
"s9400","pol","nie mam pojęcia"
"s9409","pol","Stwierdzenia jak poziom wiedzy, szczęścia, przekonania wpływa na ocenę rzeczywistości. "
"s9426","pol","logiczne myślenie
czytanie ze zrozumieniem"
"s9449","pol","Myślę, że chodzi o badanie umiejętności logicznego myślenia."
"s9472","pol","pojęcia nie mam"
"s9492","pol","logiczne myślenie"
"s9493","pol","Czytanie ze zrozumieniem. Logika lub brak logiki w myśleniu."
"s9503","pol","Zbadanie jak wynik obserwacji ex post wpływa na nasze postrzeganie jej jako prawidłowej/ nieprawidłowej ex ante"
"s9522","pol","Celem badania wg mnie jest wskazanie, czy potrafię odróżnić odczucia obiektywne od subiektywnych."
"s9573","pol","Poznanie w jaki sposób używany jest język."
"s9592","pol","Nie można pozostawić tego pola pustego, bo walidatorek nie przepuszcza dalej."
"s9616","pol","Myślę, że celem badania jest sprawdzenie czy mylne przeświadczenie o czymś ludzie nazywają wiedzą czy tylko wydawaniem się, że wiedzą i czy brak możliwości wydedukowania przez bohaterów historii jest brakiem wiedzy czy tylko pechem.
"
"s9639","pol","Zbadanie jak pojmowana jest wiedza na temat przekonań osób w historiach. On wie, czy on myśli że wie."
"s9641","pol","Badanie intuicji użytkowników/czek języka nt. pojęcia wiedzy (przede wszystkim), pomyłki, prawdy"
"s9643","pol","1. związek między faktami a przypuszczeniami
albo
2. zbadanie utrzymanie uwagi uczestnika badania"
"s9659","pol","Badanie czytania ze zrozumieniem i oceny kompetencji osob."
"s9694","pol","Podejrzewam, że odpowiedzi w każdej z historii powinny być takie same.
Ale mam świadomość, że używamy pojęć - również  takich jak """"""""wie"""""""", czy """"""""wierzy"""""""" - intuicyjnie, często niekonsekwentnie i pewnie błędnie. 
Brakowało mi w pytaniach określenia: """"""""myśli'. "
"s9696","pol","pomoc w nauce językówobcych"
"s9709","pol","Zbadanie ,czy ludzie umieją czytać ze zrozumieniem."
"s9722","pol","Sprawdzenie naszych przekonań względem odniesień słów(znaków)."
"s9729","pol","Sprawdzenie w jakim momencie czyjaś posiadana wiedza jest odbierana jako fakt, a nie tylko jako przeświadczenie o posiadaniu wiedzy."
"s9731","pol","Intuicja jezykowa a logika? Rozumienie pojecia """"""""wiedzy"""""""". A moze poziom irytacji niejednoznacznymi pytaniami (bo kilka razy padlo pytanie o zmeczenie, zniecierpliwienie itp.)"
"s9734","pol","Jedyne, co przychodzi mi do głowy, to może być coś związane z tym, jak osoba badana ustala granice takożsamości i pytania jej zadane sugerują, że musi się wybrać, co wg niego jest odniesieniem w tych tekstach. Odpowiadając na pytania, musiałam wybrać, kiedy mogę mieć pewność co do tego, czy mogę być przekonana, czy rzecz, do której się odnoszę, jest nią faktycznie. Jednak ostatecznie nie udało mi się sprecyzować konkretnych przypuszczeń. "
"s9746","pol","Myślę, że główną częścią badania jest ostatnia część ankiety - pytania dotyczące pierwszej części - badanie może dotyczyć sposobu w jaki studenci podchodzą do wykonywania zadań w badaniu"
"s9767","pol","Szukanie tego co jest prawdą"
"s9768","pol","Sprawdzenie zdolności czytania ze zrozumieniem."
"s9772","pol","Zbadanie intuicji ludzi na temat tego, do czego w rzeczywistości odnoszą się poszczególne nazwy."
"s9912","pol","Nie mam pojęcia, ale już któryś raz robię podobne badanie i bardzo chętnie bym się dowiedziła."
"s9939","pol","Myślę, że było to zbadanie, jak bardzo ludzie widzą różnicę między faktem stwierdzonym, a hipotetycznym (osąd oparty na konkretnych faktach vs osąd wynikający z przesłanek pozornie znanych lecz niemożliwych do obiektywnego zweryfikowania)"
"s10002","pol","nie wiem w sumie, ale może faktycznie głównie chodziło o te bezsensowne pytania o których napisałam już wcześniej"
"s10141","pol","nie wiem"
"s10183","pol","Pokazanie jak oddziałują na ludzi przekonania o różnych rzeczach i osobach"
"s10210","pol","nie wiem"
"s10243","pol","Wpływ sugestii na tok myślenia."
"s15760","pol","Nie mam przypuszczeń"
"s15764","pol","postrzeganie szczęścia/pecha, wiedzy/domysłów"
"s15768","pol","Zbadanie czy ludzie mają dobrą intuicję do zagadnień z dziedziny epistemologii."
"s15778","pol","jak szybko student zostanie znudzony przez to badanie"
"s15780","pol","Badanie ma sprawdzić jak myślimy o języku."
"s15783","pol","Sprawdzić na ile ludzie świadomie kierują się intuicją a na ile posiadaną wiedzą"
"s15784","pol","Myślę, że miało pokazać problem językowy w mówieniu o wiedzy."
"s15790","pol","Skojarzył mi się z tekstem z filozofii języka, więc miałam wcześniej spojler"
"s15802","pol","Zbadanie potocznego posługiwania się pojęciem """"""""wiedzieć"""""""" w aspekcie paradoksów z tym pojęciem związanych."
"s15806","pol","Sprawdzenie, co ludzie podświadomie uważają za justified true beliefs."
"s15807","pol","Badanie intuicji językowych w sytuacjach, kiedy osoba bazuje przekonania na niepełnej informacji."
"s15813","pol","Badanie ma na celu ocene logicznego myslenia w zaleznosci od posiadancyh informacji. JAkie wnioski potrawimy wyciagnac. "
"s15814","pol","Przypominało to trochę wstęp do zajęć z logiki. Celem było sprawdzenie jak różni ludzie mogą interpretować różne sytuacje."
