"id","survey_lang","purpose"
"q_87d100_R_3koIxg6RmYVB7c1","prt","Acho que o objetivo deste estudo é avaliar a percepção das pessoas em relação os seus juízos relativos a crenças que têm por base a definição tripartida do Teeteto, relativa ao estudo do conhecimento na filosofia."
"q_87d100_R_3QLfER9AV3j2GI0","prt","memorização"
"q_87d100_R_3EssqRoF1WhmUM0","prt","Testar a concentração dos participantes e a perceção e compreensão da língua portuguesa"
"q_87d100_R_2cwj2IC6auynCPS","prt","Acho que o objetivo deste estudo é perceber se as pessoas compreendem realmente o que leem."
"q_87d100_R_1Fkz4wEUo36P9cu","prt","O objetivo deste estudo deve ter sido o estudo da língua portuguesa, pois esta pode ser muito matreira e complexa em certos casos."
"q_87d100_R_3ir3Iffpth5sxzg","prt","Testar a atenção das pessoas a lerem os textos."
"q_87d100_R_3s4X0YcebE3oskX","prt","Perceber se as pessoas conseguem compreender as histórias, através da maneira como estão escritas."
"q_87d100_R_1IH69kI9FiaZVi9","prt","Entender pela forma que a frase é escrita se o participante consegue ou não identificar as respostas corretas"
"q_87d100_R_Pv1p6cGLph20Qoh","prt","Ver qual a perceção que os participantes têm sobre as personagens da história, criando cenários idênticos de forma a ver se os participantes mantém a sua opinião de história para história."
"q_87d100_R_29v44PykkgbOWwk","prt","Compreender se os participantes estavam realmente atentos"
"q_87d100_R_A66M7HkovlKc3It","prt","perceber diferentes interpretacoes que damos ao portugues"
"q_87d100_R_3NO1A7xXAbVvGEe","prt","Penso que o objetivo do estudo seja avaliar como determinadas palavras mudam a perceção que temos da história"
"q_87d100_R_2OVE8CI3LPZEqHL","prt","Tentar perceber o nível de concentração e a capacitação de interpretação de texto de cada indivíduo"
"q_87d100_R_1hQmLMgOTHjhJWR","prt","Entender que as pessoas acreditam realmente que certas coisas são reais apesar de não teres forma de o comprovar."
"q_87d100_R_2R3tyJaE3oRKU6y","prt","testar a atenção dos participantes"
"q_87d100_R_2bVov9SEeNvSOnZ","prt","Creio que o objetivo do estudo seja relacionar o fator sorte com conhecimento prévio."
"q_87d100_R_UxnSSxIqnMVteQV","prt","Compreender de que forma a interpretação da língua portuguesa pode influenciar as respostas."
"q_87d100_R_22rYd9mAXxUxoKD","prt","Analisar a perceção das pessoas face a circunstâncias"
"q_87d100_R_3mmH474L1C8XoG3","prt","Talvez para  avaliar como as pessoas interpretam certas palavras e como elas conseguem mudar o contexto da conversa."
"q_87d100_R_31o3ykm6q9p8PA3","prt","Interpretação da lingua portuguesa"
"q_87d100_R_2wnNl8yMZ5ML2bY","prt","não só estudar de que forma os textos podem ser interpretados por diferentes pessoas, mas também as diversas perceções possíveis."
"q_87d100_R_2DV8FODCRY5Ui42","prt","Analisar como a linguagem utilizada e a forma como a informação é apresentada influencia a nossa perceção de acontecimentos e de pessoas"
"q_87d100_R_Ti1HjKiDHC6oKrf","prt","Perceber se o facto de falarmos fluentemente português, garante a nossa compreensão da língua ao lermos textos."
"q_87d100_R_3JsJAS0HLYsMvdO","prt","Percecionar como os participantes interpretam os textos, e a sua capacidade de distinguir entre, por exemplo, saber vs. acreditar"
"q_87d100_R_1QEqgB4WK82OGS8","prt","Acho que o estudo serve para perceber o que nós dizemos da boca para fora por pensarmos que sabemos tudo vs o que realmente sabemos e conhecemos"
"q_87d100_R_3lXKhLWKwqCnRSN","prt","Penso que o estudo, em questão, tem como objetivo ""qualificar"" o nível de compreensão da língua portuguesa dos seus participantes."
"q_87d100_R_2Bzgj2kyo4RmOks","prt","Fazer uma distinção entre aquilo que sentimos/achamos que vemos e aquilo que realmente vemos."
"q_87d100_R_Ol1qY7xhnslH12V","prt","Capacidade de interpretação"
"q_87d100_R_3oC2JV5pnbMgLJA","prt","entender como é percecionada a diferença entre saber e acreditar, e como essa muda dependendo da situação e do seu outcome"
"q_87d100_R_cC5o05f2D4TcyHL","prt","Interpretação da lingua portuguesa"
"q_87d100_R_2COZaNOKPNm83kE","prt","Verificar se o facto de se falar fluentemente uma lingua , também influencia a sua compreensão escrita."
